,flop,board_type,0b,1b,2b,profit,flop,max_profit
0,"[9, 9, 8]",two-tone,15,10,7,7.8046695706666664,"[9, 9, 8]",7.8046695706666664
1,"[9, 9, 7]",two-tone,16,11,8,6.283687051000001,"[9, 9, 7]",6.283687051000001
2,"[9, 9, 6]",two-tone,16,11,8,4.138656340000002,"[9, 9, 6]",4.138656340000002
3,"[9, 9, 5]",two-tone,16,11,8,2.371632211111112,"[9, 9, 5]",2.371632211111112
4,"[9, 9, 4]",two-tone,15,10,7,2.325671081269842,"[9, 9, 4]",2.325671081269842
5,"[9, 9, 3]",two-tone,16,11,8,2.3181434488888897,"[9, 9, 3]",2.3181434488888897
6,"[9, 9, 2]",two-tone,16,11,8,2.3189843120634914,"[9, 9, 2]",2.3189843120634914
7,"[9, 8, 8]",two-tone,15,10,7,6.874497135245901,"[9, 8, 8]",6.874497135245901
8,"[9, 8, 7]",two-tone,15,10,7,9.210425018103447,"[9, 8, 7]",9.210425018103447
9,"[9, 8, 6]",two-tone,15,10,7,7.545661229152541,"[9, 8, 6]",7.545661229152541
10,"[9, 8, 5]",two-tone,15,10,7,4.387786747704917,"[9, 8, 5]",4.387786747704917
11,"[9, 8, 4]",two-tone,16,11,8,4.107815517704918,"[9, 8, 4]",4.107815517704918
12,"[9, 8, 3]",two-tone,15,10,7,4.102014518196721,"[9, 8, 3]",4.102014518196721
13,"[9, 8, 2]",two-tone,15,10,7,4.1024129596721295,"[9, 8, 2]",4.1024129596721295
14,"[9, 7, 7]",two-tone,16,11,8,4.8186773565573775,"[9, 7, 7]",4.8186773565573775
15,"[9, 7, 6]",two-tone,15,10,7,6.908532893559323,"[9, 7, 6]",6.908532893559323
16,"[9, 7, 5]",two-tone,15,10,7,3.777502985409836,"[9, 7, 5]",3.777502985409836
17,"[9, 7, 4]",two-tone,16,11,8,3.481856778196721,"[9, 7, 4]",3.481856778196721
18,"[9, 7, 3]",two-tone,15,10,7,3.4819299229508194,"[9, 7, 3]",3.4819299229508194
19,"[9, 7, 2]",two-tone,16,11,8,3.4700193621311466,"[9, 7, 2]",3.4700193621311466
20,"[9, 6, 6]",two-tone,15,10,7,3.2995296581967217,"[9, 6, 6]",3.2995296581967217
21,"[9, 6, 5]",two-tone,16,11,8,3.6907328114754097,"[9, 6, 5]",3.6907328114754097
