,flop,board_type,0b,1b,2b,profit,flop,max_profit
0,"[9, 9, 8]",two-tone,15,10,7,8.188529794285714,"[9, 9, 8]",8.188529794285714
1,"[9, 9, 7]",two-tone,15,10,7,6.881725826666665,"[9, 9, 7]",6.881725826666665
2,"[9, 9, 6]",two-tone,15,10,7,5.117194578095238,"[9, 9, 6]",5.117194578095238
3,"[9, 9, 5]",two-tone,16,11,8,3.6930014766439903,"[9, 9, 5]",3.6930014766439903
4,"[9, 9, 4]",two-tone,15,10,7,3.6520887292517,"[9, 9, 4]",3.6520887292517
5,"[9, 9, 3]",two-tone,15,10,7,3.6488030648526064,"[9, 9, 3]",3.6488030648526064
6,"[9, 9, 2]",two-tone,15,10,7,3.654016768253968,"[9, 9, 2]",3.654016768253968
7,"[9, 8, 8]",two-tone,16,11,8,7.459508740749414,"[9, 8, 8]",7.459508740749414
8,"[9, 8, 7]",two-tone,15,10,7,9.214249037931033,"[9, 8, 7]",9.214249037931033
9,"[9, 8, 6]",two-tone,15,10,7,7.87497041307506,"[9, 8, 6]",7.87497041307506
10,"[9, 8, 5]",two-tone,16,11,8,5.360866036768148,"[9, 8, 5]",5.360866036768148
11,"[9, 8, 4]",two-tone,16,11,8,5.1402034629976585,"[9, 8, 4]",5.1402034629976585
12,"[9, 8, 3]",two-tone,15,10,7,5.144911876580796,"[9, 8, 3]",5.144911876580796
13,"[9, 8, 2]",two-tone,16,11,8,5.148172067447304,"[9, 8, 2]",5.148172067447304
14,"[9, 7, 7]",two-tone,16,11,8,5.769168436768148,"[9, 7, 7]",5.769168436768148
15,"[9, 7, 6]",two-tone,15,10,7,7.393555019370459,"[9, 7, 6]",7.393555019370459
16,"[9, 7, 5]",two-tone,15,10,7,4.9057160531615915,"[9, 7, 5]",4.9057160531615915
17,"[9, 7, 4]",two-tone,15,10,7,4.684891814754097,"[9, 7, 4]",4.684891814754097
18,"[9, 7, 3]",two-tone,16,11,8,4.683250477283371,"[9, 7, 3]",4.683250477283371
19,"[9, 7, 2]",two-tone,16,11,8,4.674703770023418,"[9, 7, 2]",4.674703770023418
20,"[9, 6, 6]",two-tone,16,11,8,4.482954751053863,"[9, 6, 6]",4.482954751053863
21,"[9, 6, 5]",two-tone,16,11,8,4.843503583372366,"[9, 6, 5]",4.843503583372366
22,"[9, 6, 4]",two-tone,16,11,8,4.623028744730679,"[9, 6, 4]",4.623028744730679
23,"[9, 6, 3]",two-tone,15,10,7,4.6222891152224825,"[9, 6, 3]",4.6222891152224825
24,"[9, 6, 2]",two-tone,15,10,7,4.604484486651053,"[9, 6, 2]",4.604484486651053
25,"[9, 5, 5]",two-tone,15,10,7,3.1249767486607136,"[9, 5, 5]",3.1249767486607136
26,"[9, 5, 4]",two-tone,15,10,7,3.3440354716517855,"[9, 5, 4]",3.3440354716517855
27,"[9, 5, 3]",two-tone,15,10,7,3.3444087834821428,"[9, 5, 3]",3.3444087834821428
28,"[9, 5, 2]",two-tone,15,10,7,3.3221676209821425,"[9, 5, 2]",3.3221676209821425
29,"[9, 4, 4]",two-tone,16,11,8,3.081889753125,"[9, 4, 4]",3.081889753125
30,"[9, 4, 3]",two-tone,16,11,8,3.3087188229910693,"[9, 4, 3]",3.3087188229910693
31,"[9, 4, 2]",two-tone,15,10,7,3.293814752232141,"[9, 4, 2]",3.293814752232141
32,"[9, 3, 3]",two-tone,16,11,8,3.087988435044643,"[9, 3, 3]",3.087988435044643
33,"[9, 3, 2]",two-tone,15,10,7,3.288573322321427,"[9, 3, 2]",3.288573322321427
34,"[9, 2, 2]",two-tone,15,10,7,3.085848521875,"[9, 2, 2]",3.085848521875
35,"[8, 8, 7]",two-tone,16,11,8,8.1542003281106,"[8, 8, 7]",8.1542003281106
36,"[8, 8, 6]",two-tone,16,11,8,6.8643887953917035,"[8, 8, 6]",6.8643887953917035
37,"[8, 8, 5]",two-tone,16,11,8,5.4131581362637355,"[8, 8, 5]",5.4131581362637355
38,"[8, 8, 4]",two-tone,16,11,8,5.39498139164835,"[8, 8, 4]",5.39498139164835
39,"[8, 8, 3]",two-tone,16,11,8,5.37407192087912,"[8, 8, 3]",5.37407192087912
40,"[8, 8, 2]",two-tone,16,11,8,5.368844991648349,"[8, 8, 2]",5.368844991648349
41,"[8, 7, 7]",two-tone,16,11,8,8.151252438709678,"[8, 7, 7]",8.151252438709678
42,"[8, 7, 6]",two-tone,16,11,8,8.715418924939469,"[8, 7, 6]",8.715418924939469
43,"[8, 7, 5]",two-tone,16,11,8,7.150342402764977,"[8, 7, 5]",7.150342402764977
44,"[8, 7, 4]",two-tone,16,11,8,7.029620728110598,"[8, 7, 4]",7.029620728110598
45,"[8, 7, 3]",two-tone,16,11,8,6.893330961290323,"[8, 7, 3]",6.893330961290323
46,"[8, 7, 2]",two-tone,16,11,8,6.8955927843317975,"[8, 7, 2]",6.8955927843317975
47,"[8, 6, 6]",two-tone,16,11,8,6.871785276497696,"[8, 6, 6]",6.871785276497696
48,"[8, 6, 5]",two-tone,16,11,8,7.109857369124423,"[8, 6, 5]",7.109857369124423
49,"[8, 6, 4]",two-tone,16,11,8,6.990828787096773,"[8, 6, 4]",6.990828787096773
50,"[8, 6, 3]",two-tone,16,11,8,6.857595621198157,"[8, 6, 3]",6.857595621198157
51,"[8, 6, 2]",two-tone,16,11,8,6.860984888479263,"[8, 6, 2]",6.860984888479263
52,"[8, 5, 5]",two-tone,16,11,8,5.444594191648352,"[8, 5, 5]",5.444594191648352
53,"[8, 5, 4]",two-tone,16,11,8,5.739476530109887,"[8, 5, 4]",5.739476530109887
54,"[8, 5, 3]",two-tone,16,11,8,5.496158905494504,"[8, 5, 3]",5.496158905494504
55,"[8, 5, 2]",two-tone,16,11,8,5.501801613186811,"[8, 5, 2]",5.501801613186811
56,"[8, 4, 4]",two-tone,16,11,8,5.414949514725274,"[8, 4, 4]",5.414949514725274
57,"[8, 4, 3]",two-tone,16,11,8,5.479175010109889,"[8, 4, 3]",5.479175010109889
58,"[8, 4, 2]",two-tone,16,11,8,5.479224936263733,"[8, 4, 2]",5.479224936263733
59,"[8, 3, 3]",two-tone,16,11,8,5.401485822417581,"[8, 3, 3]",5.401485822417581
60,"[8, 3, 2]",two-tone,16,11,8,5.453669994725272,"[8, 3, 2]",5.453669994725272
61,"[8, 2, 2]",two-tone,16,11,8,5.393418948571428,"[8, 2, 2]",5.393418948571428
62,"[7, 7, 6]",two-tone,16,11,8,8.328280394470044,"[7, 7, 6]",8.328280394470044
