,flop,board_type,0b,1b,2b,profit,flop,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,1.5581679209117645,"[9, 9, 8]",1.5581679209117645
1,"[9, 9, 7]",two-tone,1,1,1,1.5849644755985786,"[9, 9, 7]",1.5849644755985786
2,"[9, 9, 6]",two-tone,1,1,1,1.1736258186447786,"[9, 9, 6]",1.1736258186447786
3,"[9, 9, 5]",two-tone,1,1,1,1.3055775549333934,"[9, 9, 5]",1.3055775549333934
4,"[9, 9, 4]",two-tone,2,2,2,1.0643661577133274,"[9, 9, 4]",1.0643661577133274
5,"[9, 9, 3]",two-tone,3,2,2,1.0644803451185352,"[9, 9, 3]",1.0644803451185352
6,"[9, 9, 2]",two-tone,1,1,1,1.0623719833927776,"[9, 9, 2]",1.0623719833927776
7,"[9, 8, 8]",two-tone,1,1,1,1.0474423303337794,"[9, 8, 8]",1.0474423303337794
8,"[9, 8, 7]",two-tone,1,1,1,0.4751286189733104,"[9, 8, 7]",0.4751286189733104
9,"[9, 8, 6]",two-tone,1,1,1,1.0299756926221744,"[9, 8, 6]",1.0299756926221744
10,"[9, 8, 5]",two-tone,1,1,1,1.5308074614034668,"[9, 8, 5]",1.5308074614034668
11,"[9, 8, 4]",two-tone,1,1,1,1.3963690229384684,"[9, 8, 4]",1.3963690229384684
12,"[9, 8, 3]",two-tone,1,1,1,1.396763131385658,"[9, 8, 3]",1.396763131385658
13,"[9, 8, 2]",two-tone,1,1,1,1.3931006223171016,"[9, 8, 2]",1.3931006223171016
14,"[9, 7, 7]",two-tone,8,6,4,1.0903247194211356,"[9, 7, 7]",1.0903247194211356
15,"[9, 7, 6]",two-tone,1,1,1,1.3895424679841255,"[9, 7, 6]",1.3895424679841255
16,"[9, 7, 5]",two-tone,1,1,1,1.1166744711853105,"[9, 7, 5]",1.1166744711853105
17,"[9, 7, 4]",two-tone,2,2,2,1.3652753192702032,"[9, 7, 4]",1.3652753192702032
18,"[9, 7, 3]",two-tone,2,2,2,1.4108440875891683,"[9, 7, 3]",1.4108440875891683
19,"[9, 7, 2]",two-tone,1,1,1,1.3626264410514528,"[9, 7, 2]",1.3626264410514528
20,"[9, 6, 6]",two-tone,1,1,1,1.2569771338258522,"[9, 6, 6]",1.2569771338258522
21,"[9, 6, 5]",two-tone,2,2,2,0.1817521168787604,"[9, 6, 5]",0.1817521168787604
22,"[9, 6, 4]",two-tone,1,1,1,1.3293730869685867,"[9, 6, 4]",1.3293730869685867
23,"[9, 6, 3]",two-tone,1,1,1,1.3233175135382993,"[9, 6, 3]",1.3233175135382993
24,"[9, 6, 2]",two-tone,1,1,1,1.32311945111559,"[9, 6, 2]",1.32311945111559
25,"[9, 5, 5]",two-tone,1,1,1,1.3545086542525613,"[9, 5, 5]",1.3545086542525613
26,"[9, 5, 4]",two-tone,1,1,1,1.5593163608491156,"[9, 5, 4]",1.5593163608491156
27,"[9, 5, 3]",two-tone,1,1,1,1.5620342029402587,"[9, 5, 3]",1.5620342029402587
