,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,1.941721659377437,9,"[9, 9, 9]",1.941721659377437
1,"[9, 9, 8]",rainbow,15,10,7,1.5181623762374024,9,"[9, 9, 8]",1.5181623762374024
2,"[9, 9, 7]",rainbow,15,10,7,1.4685544873121592,9,"[9, 9, 7]",1.4685544873121592
3,"[9, 9, 6]",rainbow,16,11,8,1.7254863447846396,9,"[9, 9, 6]",1.7254863447846396
4,"[9, 9, 5]",rainbow,16,11,8,1.7406490025274328,9,"[9, 9, 5]",1.7406490025274328
5,"[9, 9, 4]",rainbow,16,11,8,1.6204035099085372,9,"[9, 9, 4]",1.6204035099085372
6,"[9, 9, 3]",rainbow,16,11,8,1.6198087788109758,9,"[9, 9, 3]",1.6198087788109758
7,"[9, 9, 2]",rainbow,16,11,8,1.6216547086890247,9,"[9, 9, 2]",1.6216547086890247
8,"[9, 8, 8]",rainbow,16,11,8,1.3589681933314963,9,"[9, 8, 8]",1.3589681933314963
9,"[9, 8, 7]",rainbow,8,6,4,1.1820206378013658,9,"[9, 8, 7]",1.1820206378013658
10,"[9, 8, 6]",rainbow,16,11,8,1.4438836872180452,9,"[9, 8, 6]",1.4438836872180452
11,"[9, 8, 5]",rainbow,16,11,8,1.3799562079218668,9,"[9, 8, 5]",1.3799562079218668
12,"[9, 8, 4]",rainbow,16,11,8,1.0536306595394738,9,"[9, 8, 4]",1.0536306595394738
13,"[9, 8, 3]",rainbow,16,11,8,1.0498938865131582,9,"[9, 8, 3]",1.0498938865131582
14,"[9, 8, 2]",rainbow,16,11,8,1.0525932039473684,9,"[9, 8, 2]",1.0525932039473684
15,"[9, 7, 7]",rainbow,15,10,7,1.3159479632132969,9,"[9, 7, 7]",1.3159479632132969
16,"[9, 7, 6]",rainbow,15,10,7,1.5950351104427734,9,"[9, 7, 6]",1.5950351104427734
17,"[9, 7, 5]",rainbow,15,10,7,1.4944834842105266,9,"[9, 7, 5]",1.4944834842105266
18,"[9, 7, 4]",rainbow,15,10,7,1.0812246407894741,9,"[9, 7, 4]",1.0812246407894741
19,"[9, 7, 3]",rainbow,15,10,7,1.081584495394737,9,"[9, 7, 3]",1.081584495394737
20,"[9, 7, 2]",rainbow,15,10,7,1.064971759868421,9,"[9, 7, 2]",1.064971759868421
21,"[9, 6, 6]",rainbow,16,11,8,1.55693716570122,9,"[9, 6, 6]",1.55693716570122
22,"[9, 6, 5]",rainbow,16,11,8,1.7299124923018296,9,"[9, 6, 5]",1.7299124923018296
23,"[9, 6, 4]",rainbow,16,11,8,1.4809483099203842,9,"[9, 6, 4]",1.4809483099203842
24,"[9, 6, 3]",rainbow,16,11,8,1.4830084640970551,9,"[9, 6, 3]",1.4830084640970551
25,"[9, 6, 2]",rainbow,16,11,8,1.469056924857829,9,"[9, 6, 2]",1.469056924857829
