,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,3.4095613475145545,9,"[9, 9, 9]",3.4095613475145545
1,"[9, 9, 8]",rainbow,16,11,8,4.230844620689656,9,"[9, 9, 8]",4.230844620689656
2,"[9, 9, 7]",rainbow,16,11,8,3.756679603448276,9,"[9, 9, 7]",3.756679603448276
3,"[9, 9, 6]",rainbow,16,11,8,3.0159193103448274,9,"[9, 9, 6]",3.0159193103448274
4,"[9, 9, 5]",rainbow,16,11,8,1.7781436692789965,9,"[9, 9, 5]",1.7781436692789965
5,"[9, 9, 4]",rainbow,16,11,8,1.7289525918047466,9,"[9, 9, 4]",1.7289525918047466
6,"[9, 9, 3]",rainbow,16,11,8,1.7319312823555753,9,"[9, 9, 3]",1.7319312823555753
7,"[9, 9, 2]",rainbow,16,11,8,1.719879704657412,9,"[9, 9, 2]",1.719879704657412
8,"[9, 8, 8]",rainbow,16,11,8,3.710065019770115,9,"[9, 8, 8]",3.710065019770115
9,"[9, 8, 7]",rainbow,16,11,8,6.819849185464557,9,"[9, 8, 7]",6.819849185464557
10,"[9, 8, 6]",rainbow,15,10,7,5.4295099641001405,9,"[9, 8, 6]",5.4295099641001405
11,"[9, 8, 5]",rainbow,16,11,8,3.268300398160919,9,"[9, 8, 5]",3.268300398160919
12,"[9, 8, 4]",rainbow,15,10,7,2.980378774022988,9,"[9, 8, 4]",2.980378774022988
13,"[9, 8, 3]",rainbow,15,10,7,2.971472831494252,9,"[9, 8, 3]",2.971472831494252
14,"[9, 8, 2]",rainbow,15,10,7,2.9692234866666665,9,"[9, 8, 2]",2.9692234866666665
15,"[9, 7, 7]",rainbow,15,10,7,3.0471883513793108,9,"[9, 7, 7]",3.0471883513793108
16,"[9, 7, 6]",rainbow,16,11,8,5.184644794284363,9,"[9, 7, 6]",5.184644794284363
17,"[9, 7, 5]",rainbow,16,11,8,3.0414418898850566,9,"[9, 7, 5]",3.0414418898850566
18,"[9, 7, 4]",rainbow,16,11,8,2.742580586321838,9,"[9, 7, 4]",2.742580586321838
19,"[9, 7, 3]",rainbow,15,10,7,2.7403648902298845,9,"[9, 7, 3]",2.7403648902298845
20,"[9, 7, 2]",rainbow,16,11,8,2.7277510033333323,9,"[9, 7, 2]",2.7277510033333323
21,"[9, 6, 6]",rainbow,16,11,8,2.5259995850574724,9,"[9, 6, 6]",2.5259995850574724
22,"[9, 6, 5]",rainbow,16,11,8,2.9595959122988487,9,"[9, 6, 5]",2.9595959122988487
23,"[9, 6, 4]",rainbow,16,11,8,2.6626456374712637,9,"[9, 6, 4]",2.6626456374712637
24,"[9, 6, 3]",rainbow,16,11,8,2.6642406606896545,9,"[9, 6, 3]",2.6642406606896545
