,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,1.8508143378877304,9,"[9, 9, 9]",1.8508143378877304
1,"[9, 9, 8]",rainbow,16,11,8,1.7397262147992691,9,"[9, 9, 8]",1.7397262147992691
2,"[9, 9, 7]",rainbow,16,11,8,1.6575597113367624,9,"[9, 9, 7]",1.6575597113367624
3,"[9, 9, 6]",rainbow,16,11,8,1.6359395112094492,9,"[9, 9, 6]",1.6359395112094492
4,"[9, 9, 5]",rainbow,16,11,8,1.6231206440923782,9,"[9, 9, 5]",1.6231206440923782
5,"[9, 9, 4]",rainbow,16,11,8,1.690907138459476,9,"[9, 9, 4]",1.690907138459476
6,"[9, 9, 3]",rainbow,16,11,8,1.665535271269743,9,"[9, 9, 3]",1.665535271269743
7,"[9, 9, 2]",rainbow,16,11,8,1.6540750279619787,9,"[9, 9, 2]",1.6540750279619787
8,"[9, 8, 8]",rainbow,15,10,7,1.8906916591333072,9,"[9, 8, 8]",1.8906916591333072
9,"[9, 8, 7]",rainbow,15,10,7,1.7347856372517674,9,"[9, 8, 7]",1.7347856372517674
10,"[9, 8, 6]",rainbow,15,10,7,1.6836270423169917,9,"[9, 8, 6]",1.6836270423169917
11,"[9, 8, 5]",rainbow,16,11,8,1.7037517044487638,9,"[9, 8, 5]",1.7037517044487638
12,"[9, 8, 4]",rainbow,15,10,7,1.668319434898785,9,"[9, 8, 4]",1.668319434898785
13,"[9, 8, 3]",rainbow,16,11,8,1.6446135045859933,9,"[9, 8, 3]",1.6446135045859933
14,"[9, 8, 2]",rainbow,16,11,8,1.6232094865678923,9,"[9, 8, 2]",1.6232094865678923
15,"[9, 7, 7]",rainbow,15,10,7,1.752293980435542,9,"[9, 7, 7]",1.752293980435542
16,"[9, 7, 6]",rainbow,16,11,8,1.6622979394000088,9,"[9, 7, 6]",1.6622979394000088
17,"[9, 7, 5]",rainbow,16,11,8,1.5771257371662164,9,"[9, 7, 5]",1.5771257371662164
18,"[9, 7, 4]",rainbow,16,11,8,1.5859358143049933,9,"[9, 7, 4]",1.5859358143049933
19,"[9, 7, 3]",rainbow,16,11,8,1.555405426743783,9,"[9, 7, 3]",1.555405426743783
20,"[9, 7, 2]",rainbow,16,11,8,1.5522127234428806,9,"[9, 7, 2]",1.5522127234428806
21,"[9, 6, 6]",rainbow,16,11,8,1.8352135607531632,9,"[9, 6, 6]",1.8352135607531632
22,"[9, 6, 5]",rainbow,16,11,8,1.6825234948711316,9,"[9, 6, 5]",1.6825234948711316
23,"[9, 6, 4]",rainbow,16,11,8,1.6995214504493643,9,"[9, 6, 4]",1.6995214504493643
24,"[9, 6, 3]",rainbow,16,11,8,1.6650833403399092,9,"[9, 6, 3]",1.6650833403399092
25,"[9, 6, 2]",rainbow,16,11,8,1.6598967062211332,9,"[9, 6, 2]",1.6598967062211332
26,"[9, 5, 5]",rainbow,16,11,8,1.8375984885633805,9,"[9, 5, 5]",1.8375984885633805
27,"[9, 5, 4]",rainbow,16,11,8,1.8111268010230253,9,"[9, 5, 4]",1.8111268010230253
