,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,1,1,1,-1.866334767717996,9,"[9, 9, 9]",-1.866334767717996
1,"[9, 9, 8]",rainbow,1,1,1,0.26910785696298656,9,"[9, 9, 8]",0.26910785696298656
2,"[9, 9, 7]",rainbow,1,1,1,-0.06603103479865502,9,"[9, 9, 7]",-0.06603103479865502
3,"[9, 9, 6]",rainbow,3,2,2,-0.7366817430454853,9,"[9, 9, 6]",-0.7366817430454853
4,"[9, 9, 5]",rainbow,2,2,2,-1.7016038311046982,9,"[9, 9, 5]",-1.7016038311046982
5,"[9, 9, 4]",rainbow,2,2,2,-1.6308549089325317,9,"[9, 9, 4]",-1.6308549089325317
6,"[9, 9, 3]",rainbow,1,1,1,-1.5636677193084032,9,"[9, 9, 3]",-1.5636677193084032
7,"[9, 9, 2]",rainbow,2,2,2,-1.5136512866061649,9,"[9, 9, 2]",-1.5136512866061649
8,"[9, 8, 8]",rainbow,1,1,1,-0.7074120042513119,9,"[9, 8, 8]",-0.7074120042513119
9,"[9, 8, 7]",rainbow,1,1,1,4.004426494715447,9,"[9, 8, 7]",4.004426494715447
10,"[9, 8, 6]",rainbow,2,2,2,1.845525679746075,9,"[9, 8, 6]",1.845525679746075
11,"[9, 8, 5]",rainbow,1,1,1,-2.7204407690864194,9,"[9, 8, 5]",-2.7204407690864194
12,"[9, 8, 4]",rainbow,1,1,1,-0.2735801754591417,9,"[9, 8, 4]",-0.2735801754591417
13,"[9, 8, 3]",rainbow,1,1,1,-0.07164981708710882,9,"[9, 8, 3]",-0.07164981708710882
14,"[9, 8, 2]",rainbow,1,1,1,-0.0776286940139378,9,"[9, 8, 2]",-0.0776286940139378
15,"[9, 7, 7]",rainbow,2,2,2,-1.0059424317594048,9,"[9, 7, 7]",-1.0059424317594048
16,"[9, 7, 6]",rainbow,2,2,2,0.3377781109054441,9,"[9, 7, 6]",0.3377781109054441
17,"[9, 7, 5]",rainbow,1,1,1,-1.4261509743761052,9,"[9, 7, 5]",-1.4261509743761052
18,"[9, 7, 4]",rainbow,2,2,2,-1.134356756255143,9,"[9, 7, 4]",-1.134356756255143
19,"[9, 7, 3]",rainbow,2,2,2,-0.3902464750917543,9,"[9, 7, 3]",-0.3902464750917543
20,"[9, 7, 2]",rainbow,2,2,2,0.035310001593494844,9,"[9, 7, 2]",0.035310001593494844
21,"[9, 6, 6]",rainbow,2,2,2,-2.645589756000001,9,"[9, 6, 6]",-2.645589756000001
22,"[9, 6, 5]",rainbow,3,2,2,-2.474731368799963,9,"[9, 6, 5]",-2.474731368799963
23,"[9, 6, 4]",rainbow,1,1,1,-2.440603579800001,9,"[9, 6, 4]",-2.440603579800001
24,"[9, 6, 3]",rainbow,3,2,2,-1.3097585058930037,9,"[9, 6, 3]",-1.3097585058930037
25,"[9, 6, 2]",rainbow,1,1,1,-0.6758660151934156,9,"[9, 6, 2]",-0.6758660151934156
26,"[9, 5, 5]",rainbow,1,1,1,-3.9988815038461536,9,"[9, 5, 5]",-3.9988815038461536
27,"[9, 5, 4]",rainbow,2,2,2,-3.501040099315424,9,"[9, 5, 4]",-3.501040099315424
28,"[9, 5, 3]",rainbow,3,2,2,-3.060300610416667,9,"[9, 5, 3]",-3.060300610416667
29,"[9, 5, 2]",rainbow,1,1,1,-2.4572788129166656,9,"[9, 5, 2]",-2.4572788129166656
30,"[9, 4, 4]",rainbow,3,2,2,-2.6402569874999995,9,"[9, 4, 4]",-2.6402569874999995
