,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,5.450690258701298,9,"[9, 9, 9]",5.450690258701298
1,"[9, 9, 8]",rainbow,15,10,7,5.788897996216216,9,"[9, 9, 8]",5.788897996216216
2,"[9, 9, 7]",rainbow,15,10,7,5.443669059189191,9,"[9, 9, 7]",5.443669059189191
3,"[9, 9, 6]",rainbow,16,11,8,4.912861535135137,9,"[9, 9, 6]",4.912861535135137
4,"[9, 9, 5]",rainbow,16,11,8,4.033451546493507,9,"[9, 9, 5]",4.033451546493507
5,"[9, 9, 4]",rainbow,16,11,8,4.005017602337663,9,"[9, 9, 4]",4.005017602337663
6,"[9, 9, 3]",rainbow,16,11,8,4.014032515064935,9,"[9, 9, 3]",4.014032515064935
7,"[9, 9, 2]",rainbow,16,11,8,4.01325317948052,9,"[9, 9, 2]",4.01325317948052
8,"[9, 8, 8]",rainbow,16,11,8,5.436456895199998,9,"[9, 8, 8]",5.436456895199998
9,"[9, 8, 7]",rainbow,15,10,7,6.943226823749999,9,"[9, 8, 7]",6.943226823749999
10,"[9, 8, 6]",rainbow,16,11,8,6.364474900273973,9,"[9, 8, 6]",6.364474900273973
11,"[9, 8, 5]",rainbow,15,10,7,4.8002490164,9,"[9, 8, 5]",4.8002490164
12,"[9, 8, 4]",rainbow,16,11,8,4.615931310933332,9,"[9, 8, 4]",4.615931310933332
13,"[9, 8, 3]",rainbow,16,11,8,4.614695462266666,9,"[9, 8, 3]",4.614695462266666
14,"[9, 8, 2]",rainbow,15,10,7,4.623944011199999,9,"[9, 8, 2]",4.623944011199999
15,"[9, 7, 7]",rainbow,15,10,7,4.991003372133333,9,"[9, 7, 7]",4.991003372133333
16,"[9, 7, 6]",rainbow,16,11,8,6.381200751232876,9,"[9, 7, 6]",6.381200751232876
17,"[9, 7, 5]",rainbow,16,11,8,4.856933993866667,9,"[9, 7, 5]",4.856933993866667
18,"[9, 7, 4]",rainbow,15,10,7,4.666479638,9,"[9, 7, 4]",4.666479638
19,"[9, 7, 3]",rainbow,16,11,8,4.670401346933334,9,"[9, 7, 3]",4.670401346933334
20,"[9, 7, 2]",rainbow,16,11,8,4.658027391733333,9,"[9, 7, 2]",4.658027391733333
21,"[9, 6, 6]",rainbow,16,11,8,4.604130882133334,9,"[9, 6, 6]",4.604130882133334
22,"[9, 6, 5]",rainbow,16,11,8,4.9151815186666665,9,"[9, 6, 5]",4.9151815186666665
23,"[9, 6, 4]",rainbow,16,11,8,4.730031780399999,9,"[9, 6, 4]",4.730031780399999
