,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,15,10,7,1.2414383117276953,9,"[9, 9, 9]",1.2414383117276953
1,"[9, 9, 8]",rainbow,15,10,7,0.8381219472941089,9,"[9, 9, 8]",0.8381219472941089
2,"[9, 9, 7]",rainbow,2,2,2,0.8987594059372424,9,"[9, 9, 7]",0.8987594059372424
3,"[9, 9, 6]",rainbow,10,7,5,0.8501952349110301,9,"[9, 9, 6]",0.8501952349110301
4,"[9, 9, 5]",rainbow,1,1,1,0.8422664309114247,9,"[9, 9, 5]",0.8422664309114247
5,"[9, 9, 4]",rainbow,2,2,2,0.6825717910076672,9,"[9, 9, 4]",0.6825717910076672
6,"[9, 9, 3]",rainbow,1,1,1,0.6917483594612825,9,"[9, 9, 3]",0.6917483594612825
7,"[9, 9, 2]",rainbow,1,1,1,0.8360749015140764,9,"[9, 9, 2]",0.8360749015140764
8,"[9, 8, 8]",rainbow,15,10,7,0.7465481045641394,9,"[9, 8, 8]",0.7465481045641394
9,"[9, 8, 7]",rainbow,8,6,4,0.25924461582255603,9,"[9, 8, 7]",0.25924461582255603
10,"[9, 8, 6]",rainbow,8,6,4,0.4274620912016841,9,"[9, 8, 6]",0.4274620912016841
11,"[9, 8, 5]",rainbow,8,6,4,0.7688984739465259,9,"[9, 8, 5]",0.7688984739465259
12,"[9, 8, 4]",rainbow,1,1,1,0.5004192193205742,9,"[9, 8, 4]",0.5004192193205742
13,"[9, 8, 3]",rainbow,1,1,1,0.5219577232822964,9,"[9, 8, 3]",0.5219577232822964
14,"[9, 8, 2]",rainbow,1,1,1,0.6680087690358638,9,"[9, 8, 2]",0.6680087690358638
15,"[9, 7, 7]",rainbow,10,7,5,0.9049035267572436,9,"[9, 7, 7]",0.9049035267572436
16,"[9, 7, 6]",rainbow,8,6,4,0.4950910401726051,9,"[9, 7, 6]",0.4950910401726051
17,"[9, 7, 5]",rainbow,2,2,2,0.6390288123368448,9,"[9, 7, 5]",0.6390288123368448
18,"[9, 7, 4]",rainbow,1,1,1,0.7298706578852535,9,"[9, 7, 4]",0.7298706578852535
19,"[9, 7, 3]",rainbow,1,1,1,0.741747671332385,9,"[9, 7, 3]",0.741747671332385
20,"[9, 7, 2]",rainbow,2,2,2,0.9043196592613112,9,"[9, 7, 2]",0.9043196592613112
21,"[9, 6, 6]",rainbow,10,7,5,1.1664427365490877,9,"[9, 6, 6]",1.1664427365490877
22,"[9, 6, 5]",rainbow,2,2,2,0.4701115400103533,9,"[9, 6, 5]",0.4701115400103533
23,"[9, 6, 4]",rainbow,1,1,1,0.8181743890977444,9,"[9, 6, 4]",0.8181743890977444
24,"[9, 6, 3]",rainbow,1,1,1,0.8340313990977445,9,"[9, 6, 3]",0.8340313990977445
25,"[9, 6, 2]",rainbow,1,1,1,1.0153657242105265,9,"[9, 6, 2]",1.0153657242105265
26,"[9, 5, 5]",rainbow,10,7,5,1.034072385448348,9,"[9, 5, 5]",1.034072385448348
27,"[9, 5, 4]",rainbow,1,1,1,0.8950616319959672,9,"[9, 5, 4]",0.8950616319959672
28,"[9, 5, 3]",rainbow,1,1,1,0.9119809153917052,9,"[9, 5, 3]",0.9119809153917052
29,"[9, 5, 2]",rainbow,2,2,2,1.054717823078892,9,"[9, 5, 2]",1.054717823078892
30,"[9, 4, 4]",rainbow,10,7,5,0.7029033628097558,9,"[9, 4, 4]",0.7029033628097558
31,"[9, 4, 3]",rainbow,1,1,1,0.6121124860585198,9,"[9, 4, 3]",0.6121124860585198
32,"[9, 4, 2]",rainbow,1,1,1,0.7707597752760604,9,"[9, 4, 2]",0.7707597752760604
33,"[9, 3, 3]",rainbow,10,7,5,0.7143831119261949,9,"[9, 3, 3]",0.7143831119261949
34,"[9, 3, 2]",rainbow,1,1,1,0.7541695008276581,9,"[9, 3, 2]",0.7541695008276581
35,"[9, 2, 2]",rainbow,10,7,5,0.8967733322812176,9,"[9, 2, 2]",0.8967733322812176
36,"[8, 8, 8]",rainbow,16,11,8,0.8689180856509746,8,"[8, 8, 8]",0.8689180856509746
37,"[8, 8, 7]",rainbow,16,11,8,0.6729210652789412,8,"[8, 8, 7]",0.6729210652789412
38,"[8, 8, 6]",rainbow,1,1,1,0.6875115515126399,8,"[8, 8, 6]",0.6875115515126399
39,"[8, 8, 5]",rainbow,1,1,1,0.522328708968008,8,"[8, 8, 5]",0.522328708968008
40,"[8, 8, 4]",rainbow,1,1,1,0.4791445979104986,8,"[8, 8, 4]",0.4791445979104986
41,"[8, 8, 3]",rainbow,1,1,1,0.4524103317982453,8,"[8, 8, 3]",0.4524103317982453
42,"[8, 8, 2]",rainbow,2,2,2,0.5932022326305262,8,"[8, 8, 2]",0.5932022326305262
43,"[8, 7, 7]",rainbow,16,11,8,0.7998726174954993,8,"[8, 7, 7]",0.7998726174954993
44,"[8, 7, 6]",rainbow,1,1,1,0.28362690226094434,8,"[8, 7, 6]",0.28362690226094434
45,"[8, 7, 5]",rainbow,1,1,1,0.5335615700999694,8,"[8, 7, 5]",0.5335615700999694
46,"[8, 7, 4]",rainbow,1,1,1,0.7743500439553751,8,"[8, 7, 4]",0.7743500439553751
47,"[8, 7, 3]",rainbow,1,1,1,0.6533071161428567,8,"[8, 7, 3]",0.6533071161428567
