,flop,board_type,0b,1b,2b,profit,flop,max_profit
0,"[9, 9, 8]",two-tone,15,10,7,1.5272658908208976,"[9, 9, 8]",1.5272658908208976
1,"[9, 9, 7]",two-tone,16,11,8,1.1982049782125268,"[9, 9, 7]",1.1982049782125268
2,"[9, 9, 6]",two-tone,16,11,8,0.7551314367724821,"[9, 9, 6]",0.7551314367724821
3,"[9, 9, 5]",two-tone,16,11,8,0.9803346922291551,"[9, 9, 5]",0.9803346922291551
4,"[9, 9, 4]",two-tone,16,11,8,0.9227800736668208,"[9, 9, 4]",0.9227800736668208
5,"[9, 9, 3]",two-tone,16,11,8,0.7512012377827366,"[9, 9, 3]",0.7512012377827366
6,"[9, 9, 2]",two-tone,16,11,8,0.6133757619796637,"[9, 9, 2]",0.6133757619796637
7,"[9, 8, 8]",two-tone,15,10,7,1.8030374056224905,"[9, 8, 8]",1.8030374056224905
8,"[9, 8, 7]",two-tone,15,10,7,1.7858234447252417,"[9, 8, 7]",1.7858234447252417
9,"[9, 8, 6]",two-tone,16,11,8,1.5095387397339497,"[9, 8, 6]",1.5095387397339497
10,"[9, 8, 5]",two-tone,16,11,8,1.6251206759259254,"[9, 8, 5]",1.6251206759259254
11,"[9, 8, 4]",two-tone,15,10,7,1.3092980701754384,"[9, 8, 4]",1.3092980701754384
12,"[9, 8, 3]",two-tone,15,10,7,1.176451460188933,"[9, 8, 3]",1.176451460188933
13,"[9, 8, 2]",two-tone,16,11,8,1.0434855762483128,"[9, 8, 2]",1.0434855762483128
14,"[9, 7, 7]",two-tone,16,11,8,1.3983840645161294,"[9, 7, 7]",1.3983840645161294
15,"[9, 7, 6]",two-tone,16,11,8,1.2529558796992477,"[9, 7, 6]",1.2529558796992477
16,"[9, 7, 5]",two-tone,15,10,7,1.4088047346666663,"[9, 7, 5]",1.4088047346666663
17,"[9, 7, 4]",two-tone,16,11,8,0.9596108232118756,"[9, 7, 4]",0.9596108232118756
18,"[9, 7, 3]",two-tone,15,10,7,0.8300813009446693,"[9, 7, 3]",0.8300813009446693
19,"[9, 7, 2]",two-tone,16,11,8,0.6789989311740892,"[9, 7, 2]",0.6789989311740892
20,"[9, 6, 6]",two-tone,16,11,8,1.202040284946237,"[9, 6, 6]",1.202040284946237
21,"[9, 6, 5]",two-tone,16,11,8,1.41334919047619,"[9, 6, 5]",1.41334919047619
22,"[9, 6, 4]",two-tone,16,11,8,0.8913369662618081,"[9, 6, 4]",0.8913369662618081
23,"[9, 6, 3]",two-tone,16,11,8,0.7602438596491227,"[9, 6, 3]",0.7602438596491227
24,"[9, 6, 2]",two-tone,16,11,8,0.6019108016194332,"[9, 6, 2]",0.6019108016194332
25,"[9, 5, 5]",two-tone,16,11,8,1.2811750592,"[9, 5, 5]",1.2811750592
26,"[9, 5, 4]",two-tone,16,11,8,1.3218901637096772,"[9, 5, 4]",1.3218901637096772
27,"[9, 5, 3]",two-tone,16,11,8,1.2027340230645158,"[9, 5, 3]",1.2027340230645158
28,"[9, 5, 2]",two-tone,16,11,8,1.066922746612903,"[9, 5, 2]",1.066922746612903
29,"[9, 4, 4]",two-tone,16,11,8,1.1434922542857149,"[9, 4, 4]",1.1434922542857149
30,"[9, 4, 3]",two-tone,16,11,8,1.2965813243373492,"[9, 4, 3]",1.2965813243373492
31,"[9, 4, 2]",two-tone,16,11,8,1.1309375662650605,"[9, 4, 2]",1.1309375662650605
32,"[9, 3, 3]",two-tone,16,11,8,0.9895975638095242,"[9, 3, 3]",0.9895975638095242
33,"[9, 3, 2]",two-tone,16,11,8,1.1295533185542168,"[9, 3, 2]",1.1295533185542168
34,"[9, 2, 2]",two-tone,16,11,8,0.8639186761904764,"[9, 2, 2]",0.8639186761904764
35,"[8, 8, 7]",two-tone,16,11,8,1.579799147659064,"[8, 8, 7]",1.579799147659064
36,"[8, 8, 6]",two-tone,16,11,8,1.3691263875987618,"[8, 8, 6]",1.3691263875987618
37,"[8, 8, 5]",two-tone,16,11,8,1.6120042581458394,"[8, 8, 5]",1.6120042581458394
38,"[8, 8, 4]",two-tone,16,11,8,1.6109973324142552,"[8, 8, 4]",1.6109973324142552
39,"[8, 8, 3]",two-tone,16,11,8,1.4483596567002426,"[8, 8, 3]",1.4483596567002426
40,"[8, 8, 2]",two-tone,16,11,8,1.3353414723001404,"[8, 8, 2]",1.3353414723001404
41,"[8, 7, 7]",two-tone,16,11,8,1.5777936471088436,"[8, 7, 7]",1.5777936471088436
42,"[8, 7, 6]",two-tone,16,11,8,1.09489645564516,"[8, 7, 6]",1.09489645564516
43,"[8, 7, 5]",two-tone,16,11,8,1.6467000709142852,"[8, 7, 5]",1.6467000709142852
44,"[8, 7, 4]",two-tone,16,11,8,1.5163902895798314,"[8, 7, 4]",1.5163902895798314
45,"[8, 7, 3]",two-tone,16,11,8,1.1231178045714278,"[8, 7, 3]",1.1231178045714278
46,"[8, 7, 2]",two-tone,16,11,8,0.9883888639999996,"[8, 7, 2]",0.9883888639999996
47,"[8, 6, 6]",two-tone,16,11,8,1.3391166499146272,"[8, 6, 6]",1.3391166499146272
48,"[8, 6, 5]",two-tone,16,11,8,1.6649396663428568,"[8, 6, 5]",1.6649396663428568
49,"[8, 6, 4]",two-tone,16,11,8,1.5022991723320152,"[8, 6, 4]",1.5022991723320152
50,"[8, 6, 3]",two-tone,16,11,8,0.962664720971428,"[8, 6, 3]",0.962664720971428
51,"[8, 6, 2]",two-tone,16,11,8,0.8404509799999997,"[8, 6, 2]",0.8404509799999997
52,"[8, 5, 5]",two-tone,16,11,8,1.518392491138595,"[8, 5, 5]",1.518392491138595
53,"[8, 5, 4]",two-tone,16,11,8,1.8329030569934968,"[8, 5, 4]",1.8329030569934968
54,"[8, 5, 3]",two-tone,16,11,8,1.497080764940239,"[8, 5, 3]",1.497080764940239
55,"[8, 5, 2]",two-tone,16,11,8,1.3902525994088162,"[8, 5, 2]",1.3902525994088162
56,"[8, 4, 4]",two-tone,16,11,8,1.431810828083492,"[8, 4, 4]",1.431810828083492
57,"[8, 4, 3]",two-tone,16,11,8,1.574720331797235,"[8, 4, 3]",1.574720331797235
58,"[8, 4, 2]",two-tone,16,11,8,1.467507859447004,"[8, 4, 2]",1.467507859447004
59,"[8, 3, 3]",two-tone,16,11,8,1.2723773339658448,"[8, 3, 3]",1.2723773339658448
60,"[8, 3, 2]",two-tone,16,11,8,1.4513102557603683,"[8, 3, 2]",1.4513102557603683
61,"[8, 2, 2]",two-tone,16,11,8,1.1656013631878563,"[8, 2, 2]",1.1656013631878563
62,"[7, 7, 6]",two-tone,16,11,8,1.4710932941176478,"[7, 7, 6]",1.4710932941176478
63,"[7, 7, 5]",two-tone,16,11,8,1.6410899597722963,"[7, 7, 5]",1.6410899597722963
64,"[7, 7, 4]",two-tone,16,11,8,1.5972760606818983,"[7, 7, 4]",1.5972760606818983
65,"[7, 7, 3]",two-tone,16,11,8,1.4696491420992452,"[7, 7, 3]",1.4696491420992452
66,"[7, 7, 2]",two-tone,16,11,8,1.3244066861195896,"[7, 7, 2]",1.3244066861195896
67,"[7, 6, 6]",two-tone,16,11,8,1.4685847125850344,"[7, 6, 6]",1.4685847125850344
68,"[7, 6, 5]",two-tone,16,11,8,1.8864936433734931,"[7, 6, 5]",1.8864936433734931
69,"[7, 6, 4]",two-tone,16,11,8,1.728858338303926,"[7, 6, 4]",1.728858338303926
70,"[7, 6, 3]",two-tone,16,11,8,1.4693321616806716,"[7, 6, 3]",1.4693321616806716
71,"[7, 6, 2]",two-tone,16,11,8,0.9818667028571424,"[7, 6, 2]",0.9818667028571424
72,"[7, 5, 5]",two-tone,16,11,8,1.4410928644906291,"[7, 5, 5]",1.4410928644906291
73,"[7, 5, 4]",two-tone,16,11,8,1.9487101779569889,"[7, 5, 4]",1.9487101779569889
74,"[7, 5, 3]",two-tone,16,11,8,1.7484606899910742,"[7, 5, 3]",1.7484606899910742
75,"[7, 5, 2]",two-tone,16,11,8,1.3151571197532448,"[7, 5, 2]",1.3151571197532448
76,"[7, 4, 4]",two-tone,16,11,8,1.354655474383302,"[7, 4, 4]",1.354655474383302
77,"[7, 4, 3]",two-tone,16,11,8,1.7391163623613406,"[7, 4, 3]",1.7391163623613406
78,"[7, 4, 2]",two-tone,16,11,8,1.4107570304915509,"[7, 4, 2]",1.4107570304915509
79,"[7, 3, 3]",two-tone,16,11,8,1.2201307046679315,"[7, 3, 3]",1.2201307046679315
80,"[7, 3, 2]",two-tone,16,11,8,1.3961597253456215,"[7, 3, 2]",1.3961597253456215
81,"[7, 2, 2]",two-tone,16,11,8,1.077944710132828,"[7, 2, 2]",1.077944710132828
82,"[6, 6, 5]",two-tone,16,11,8,1.7187834569436924,"[6, 6, 5]",1.7187834569436924
83,"[6, 6, 4]",two-tone,16,11,8,1.5901536379880947,"[6, 6, 4]",1.5901536379880947
84,"[6, 6, 3]",two-tone,16,11,8,1.452023938339125,"[6, 6, 3]",1.452023938339125
85,"[6, 6, 2]",two-tone,16,11,8,1.2986720901102105,"[6, 6, 2]",1.2986720901102105
86,"[6, 5, 5]",two-tone,16,11,8,1.5356676024892053,"[6, 5, 5]",1.5356676024892053
87,"[6, 5, 4]",two-tone,16,11,8,2.0288128867754778,"[6, 5, 4]",2.0288128867754778
88,"[6, 5, 3]",two-tone,16,11,8,1.9040372012288775,"[6, 5, 3]",1.9040372012288775
89,"[6, 5, 2]",two-tone,16,11,8,1.5705308226185952,"[6, 5, 2]",1.5705308226185952
90,"[6, 4, 4]",two-tone,16,11,8,1.2960164460721069,"[6, 4, 4]",1.2960164460721069
91,"[6, 4, 3]",two-tone,16,11,8,1.8629346442432733,"[6, 4, 3]",1.8629346442432733
92,"[6, 4, 2]",two-tone,16,11,8,1.5197113696289677,"[6, 4, 2]",1.5197113696289677
93,"[6, 3, 3]",two-tone,16,11,8,1.1522876732447822,"[6, 3, 3]",1.1522876732447822
94,"[6, 3, 2]",two-tone,16,11,8,1.5045792518169057,"[6, 3, 2]",1.5045792518169057
95,"[6, 2, 2]",two-tone,16,11,8,0.9971930427324488,"[6, 2, 2]",0.9971930427324488
96,"[5, 5, 4]",two-tone,16,11,8,1.9749583833910043,"[5, 5, 4]",1.9749583833910043
97,"[5, 5, 3]",two-tone,16,11,8,1.8434349284139382,"[5, 5, 3]",1.8434349284139382
98,"[5, 5, 2]",two-tone,16,11,8,1.7116201965076054,"[5, 5, 2]",1.7116201965076054
99,"[5, 4, 4]",two-tone,16,11,8,1.8580374535845592,"[5, 4, 4]",1.8580374535845592
100,"[5, 4, 3]",two-tone,16,11,8,2.882648382417704,"[5, 4, 3]",2.882648382417704
101,"[5, 4, 2]",two-tone,16,11,8,2.7359999781044766,"[5, 4, 2]",2.7359999781044766
