,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,2.0357133362527167,9,"[9, 9, 9]",2.0357133362527167
1,"[9, 9, 8]",rainbow,16,11,8,1.890537057486926,9,"[9, 9, 8]",1.890537057486926
2,"[9, 9, 7]",rainbow,16,11,8,1.9200534891180883,9,"[9, 9, 7]",1.9200534891180883
3,"[9, 9, 6]",rainbow,16,11,8,1.8010832525414946,9,"[9, 9, 6]",1.8010832525414946
4,"[9, 9, 5]",rainbow,16,11,8,1.8053211752069696,9,"[9, 9, 5]",1.8053211752069696
5,"[9, 9, 4]",rainbow,16,11,8,1.8795063179872096,9,"[9, 9, 4]",1.8795063179872096
6,"[9, 9, 3]",rainbow,16,11,8,1.9118744199055528,9,"[9, 9, 3]",1.9118744199055528
7,"[9, 9, 2]",rainbow,16,11,8,1.9033127038154658,9,"[9, 9, 2]",1.9033127038154658
8,"[9, 8, 8]",rainbow,16,11,8,2.1888508985422743,9,"[9, 8, 8]",2.1888508985422743
9,"[9, 8, 7]",rainbow,15,10,7,2.121131135699311,9,"[9, 8, 7]",2.121131135699311
10,"[9, 8, 6]",rainbow,15,10,7,2.0493899059744347,9,"[9, 8, 6]",2.0493899059744347
11,"[9, 8, 5]",rainbow,16,11,8,2.085947872759779,9,"[9, 8, 5]",2.085947872759779
12,"[9, 8, 4]",rainbow,16,11,8,1.936530289539484,9,"[9, 8, 4]",1.936530289539484
13,"[9, 8, 3]",rainbow,16,11,8,1.9766096889462264,9,"[9, 8, 3]",1.9766096889462264
14,"[9, 8, 2]",rainbow,16,11,8,1.967431088512999,9,"[9, 8, 2]",1.967431088512999
15,"[9, 7, 7]",rainbow,16,11,8,2.0564368913103337,9,"[9, 7, 7]",2.0564368913103337
16,"[9, 7, 6]",rainbow,15,10,7,1.9991601727399468,9,"[9, 7, 6]",1.9991601727399468
17,"[9, 7, 5]",rainbow,16,11,8,2.0553774347036966,9,"[9, 7, 5]",2.0553774347036966
18,"[9, 7, 4]",rainbow,16,11,8,1.8839888638821258,9,"[9, 7, 4]",1.8839888638821258
19,"[9, 7, 3]",rainbow,16,11,8,1.9013490698703133,9,"[9, 7, 3]",1.9013490698703133
20,"[9, 7, 2]",rainbow,16,11,8,1.9136406050974517,9,"[9, 7, 2]",1.9136406050974517
21,"[9, 6, 6]",rainbow,16,11,8,2.0570621186848435,9,"[9, 6, 6]",2.0570621186848435
22,"[9, 6, 5]",rainbow,16,11,8,2.05469778320833,9,"[9, 6, 5]",2.05469778320833
23,"[9, 6, 4]",rainbow,16,11,8,1.8746560764835607,9,"[9, 6, 4]",1.8746560764835607
24,"[9, 6, 3]",rainbow,16,11,8,1.8949505130373916,9,"[9, 6, 3]",1.8949505130373916
25,"[9, 6, 2]",rainbow,16,11,8,1.898126229961387,9,"[9, 6, 2]",1.898126229961387
26,"[9, 5, 5]",rainbow,16,11,8,2.0580878573510195,9,"[9, 5, 5]",2.0580878573510195
27,"[9, 5, 4]",rainbow,16,11,8,2.048532173321338,9,"[9, 5, 4]",2.048532173321338
28,"[9, 5, 3]",rainbow,16,11,8,2.010689751799178,9,"[9, 5, 3]",2.010689751799178
29,"[9, 5, 2]",rainbow,16,11,8,2.0051523642893696,9,"[9, 5, 2]",2.0051523642893696
30,"[9, 4, 4]",rainbow,16,11,8,2.1245229501314924,9,"[9, 4, 4]",2.1245229501314924
31,"[9, 4, 3]",rainbow,16,11,8,2.1213591761521458,9,"[9, 4, 3]",2.1213591761521458
32,"[9, 4, 2]",rainbow,16,11,8,2.1090190307662544,9,"[9, 4, 2]",2.1090190307662544
33,"[9, 3, 3]",rainbow,16,11,8,2.1484533568807342,9,"[9, 3, 3]",2.1484533568807342
34,"[9, 3, 2]",rainbow,16,11,8,2.1702883501072403,9,"[9, 3, 2]",2.1702883501072403
35,"[9, 2, 2]",rainbow,16,11,8,2.1723304276038604,9,"[9, 2, 2]",2.1723304276038604
36,"[8, 8, 8]",rainbow,16,11,8,2.1701614429353957,8,"[8, 8, 8]",2.1701614429353957
37,"[8, 8, 7]",rainbow,16,11,8,2.023727482249452,8,"[8, 8, 7]",2.023727482249452
38,"[8, 8, 6]",rainbow,16,11,8,2.0253580206508066,8,"[8, 8, 6]",2.0253580206508066
39,"[8, 8, 5]",rainbow,16,11,8,1.9694107949996031,8,"[8, 8, 5]",1.9694107949996031
40,"[8, 8, 4]",rainbow,16,11,8,2.012308685115304,8,"[8, 8, 4]",2.012308685115304
41,"[8, 8, 3]",rainbow,16,11,8,2.052555390156843,8,"[8, 8, 3]",2.052555390156843
42,"[8, 8, 2]",rainbow,16,11,8,2.0475243076416354,8,"[8, 8, 2]",2.0475243076416354
43,"[8, 7, 7]",rainbow,16,11,8,2.15610924831756,8,"[8, 7, 7]",2.15610924831756
44,"[8, 7, 6]",rainbow,16,11,8,2.0209968011904764,8,"[8, 7, 6]",2.0209968011904764
45,"[8, 7, 5]",rainbow,16,11,8,2.035166308610535,8,"[8, 7, 5]",2.035166308610535
46,"[8, 7, 4]",rainbow,16,11,8,2.061081429237458,8,"[8, 7, 4]",2.061081429237458
47,"[8, 7, 3]",rainbow,16,11,8,1.9884069455040432,8,"[8, 7, 3]",1.9884069455040432
48,"[8, 7, 2]",rainbow,16,11,8,1.9861366482802676,8,"[8, 7, 2]",1.9861366482802676
49,"[8, 6, 6]",rainbow,16,11,8,2.128073283141763,8,"[8, 6, 6]",2.128073283141763
50,"[8, 6, 5]",rainbow,16,11,8,1.9864544382165576,8,"[8, 6, 5]",1.9864544382165576
51,"[8, 6, 4]",rainbow,16,11,8,2.019499739234865,8,"[8, 6, 4]",2.019499739234865
52,"[8, 6, 3]",rainbow,16,11,8,1.978349279447104,8,"[8, 6, 3]",1.978349279447104
53,"[8, 6, 2]",rainbow,16,11,8,1.9646686737251096,8,"[8, 6, 2]",1.9646686737251096
54,"[8, 5, 5]",rainbow,16,11,8,2.0996491311694125,8,"[8, 5, 5]",2.0996491311694125
55,"[8, 5, 4]",rainbow,16,11,8,2.111418604321018,8,"[8, 5, 4]",2.111418604321018
56,"[8, 5, 3]",rainbow,16,11,8,2.0439626759765623,8,"[8, 5, 3]",2.0439626759765623
