,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,5.433449222704568,9,"[9, 9, 8]",5.433449222704568
1,"[9, 9, 7]",two-tone,1,1,1,4.808998470756661,9,"[9, 9, 7]",4.808998470756661
2,"[9, 9, 6]",two-tone,1,1,1,3.613306019822831,9,"[9, 9, 6]",3.613306019822831
3,"[9, 9, 5]",two-tone,2,2,2,3.3240829880681533,9,"[9, 9, 5]",3.3240829880681533
4,"[9, 9, 4]",two-tone,1,1,1,3.002859096449112,9,"[9, 9, 4]",3.002859096449112
5,"[9, 9, 3]",two-tone,2,2,2,3.0868148247569107,9,"[9, 9, 3]",3.0868148247569107
6,"[9, 9, 2]",two-tone,2,2,2,3.122503818960399,9,"[9, 9, 2]",3.122503818960399
7,"[9, 8, 8]",two-tone,1,1,1,4.562521343273895,9,"[9, 8, 8]",4.562521343273895
8,"[9, 8, 7]",two-tone,1,1,1,5.558764263807496,9,"[9, 8, 7]",5.558764263807496
9,"[9, 8, 6]",two-tone,1,1,1,5.6678245145530175,9,"[9, 8, 6]",5.6678245145530175
10,"[9, 8, 5]",two-tone,1,1,1,3.250653426798679,9,"[9, 8, 5]",3.250653426798679
11,"[9, 8, 4]",two-tone,1,1,1,5.088182567250223,9,"[9, 8, 4]",5.088182567250223
12,"[9, 8, 3]",two-tone,1,1,1,5.2341548609099515,9,"[9, 8, 3]",5.2341548609099515
13,"[9, 8, 2]",two-tone,1,1,1,5.236529274783246,9,"[9, 8, 2]",5.236529274783246
14,"[9, 7, 7]",two-tone,2,2,2,2.2459266661366613,9,"[9, 7, 7]",2.2459266661366613
15,"[9, 7, 6]",two-tone,1,1,1,4.779980405178644,9,"[9, 7, 6]",4.779980405178644
16,"[9, 7, 5]",two-tone,1,1,1,3.170115801890965,9,"[9, 7, 5]",3.170115801890965
17,"[9, 7, 4]",two-tone,2,2,2,3.3117767174694737,9,"[9, 7, 4]",3.3117767174694737
18,"[9, 7, 3]",two-tone,1,1,1,3.963499244161065,9,"[9, 7, 3]",3.963499244161065
19,"[9, 7, 2]",two-tone,2,2,2,4.051598215689592,9,"[9, 7, 2]",4.051598215689592
20,"[9, 6, 6]",two-tone,3,2,2,0.7740733304695269,9,"[9, 6, 6]",0.7740733304695269
21,"[9, 6, 5]",two-tone,2,2,2,1.9345787574957385,9,"[9, 6, 5]",1.9345787574957385
22,"[9, 6, 4]",two-tone,1,1,1,2.1123742235157126,9,"[9, 6, 4]",2.1123742235157126
23,"[9, 6, 3]",two-tone,1,1,1,2.957423344161707,9,"[9, 6, 3]",2.957423344161707
24,"[9, 6, 2]",two-tone,2,2,2,3.5079026394203265,9,"[9, 6, 2]",3.5079026394203265
25,"[9, 5, 5]",two-tone,1,1,1,0.8929259351978932,9,"[9, 5, 5]",0.8929259351978932
26,"[9, 5, 4]",two-tone,1,1,1,1.5192550318093665,9,"[9, 5, 4]",1.5192550318093665
27,"[9, 5, 3]",two-tone,1,1,1,1.9042085464127982,9,"[9, 5, 3]",1.9042085464127982
28,"[9, 5, 2]",two-tone,2,2,2,2.425387936272488,9,"[9, 5, 2]",2.425387936272488
29,"[9, 4, 4]",two-tone,1,1,1,1.2167723477095067,9,"[9, 4, 4]",1.2167723477095067
30,"[9, 4, 3]",two-tone,1,1,1,2.594230364520937,9,"[9, 4, 3]",2.594230364520937
31,"[9, 4, 2]",two-tone,1,1,1,2.6512886476485185,9,"[9, 4, 2]",2.6512886476485185
32,"[9, 3, 3]",two-tone,1,1,1,2.016709281836277,9,"[9, 3, 3]",2.016709281836277
33,"[9, 3, 2]",two-tone,2,2,2,3.0457401214149336,9,"[9, 3, 2]",3.0457401214149336
34,"[9, 2, 2]",two-tone,1,1,1,2.05483177023815,9,"[9, 2, 2]",2.05483177023815
35,"[8, 8, 7]",two-tone,1,1,1,4.767464232530799,8,"[8, 8, 7]",4.767464232530799
36,"[8, 8, 6]",two-tone,1,1,1,4.503783645183038,8,"[8, 8, 6]",4.503783645183038
37,"[8, 8, 5]",two-tone,1,1,1,3.0943604467119084,8,"[8, 8, 5]",3.0943604467119084
38,"[8, 8, 4]",two-tone,1,1,1,3.763662980662189,8,"[8, 8, 4]",3.763662980662189
39,"[8, 8, 3]",two-tone,2,2,2,2.96059822468834,8,"[8, 8, 3]",2.96059822468834
40,"[8, 8, 2]",two-tone,2,2,2,2.964451501176036,8,"[8, 8, 2]",2.964451501176036
41,"[8, 7, 7]",two-tone,1,1,1,2.5168287566265928,8,"[8, 7, 7]",2.5168287566265928
42,"[8, 7, 6]",two-tone,1,1,1,4.166826028951244,8,"[8, 7, 6]",4.166826028951244
43,"[8, 7, 5]",two-tone,1,1,1,2.9291773795478995,8,"[8, 7, 5]",2.9291773795478995
44,"[8, 7, 4]",two-tone,1,1,1,1.946855060237422,8,"[8, 7, 4]",1.946855060237422
45,"[8, 7, 3]",two-tone,1,1,1,4.381595316515295,8,"[8, 7, 3]",4.381595316515295
46,"[8, 7, 2]",two-tone,1,1,1,4.385994201849893,8,"[8, 7, 2]",4.385994201849893
47,"[8, 6, 6]",two-tone,2,2,2,1.7250293475116276,8,"[8, 6, 6]",1.7250293475116276
48,"[8, 6, 5]",two-tone,1,1,1,2.6510462284840544,8,"[8, 6, 5]",2.6510462284840544
49,"[8, 6, 4]",two-tone,2,2,2,3.2800028854480128,8,"[8, 6, 4]",3.2800028854480128
50,"[8, 6, 3]",two-tone,1,1,1,3.6863068407608885,8,"[8, 6, 3]",3.6863068407608885
51,"[8, 6, 2]",two-tone,2,2,2,3.6929925341027148,8,"[8, 6, 2]",3.6929925341027148
52,"[8, 5, 5]",two-tone,2,2,2,0.7148837395417065,8,"[8, 5, 5]",0.7148837395417065
53,"[8, 5, 4]",two-tone,3,2,2,-0.5352690967279945,8,"[8, 5, 4]",-0.5352690967279945
54,"[8, 5, 3]",two-tone,2,2,2,2.086911576808995,8,"[8, 5, 3]",2.086911576808995
55,"[8, 5, 2]",two-tone,1,1,1,2.083040725152077,8,"[8, 5, 2]",2.083040725152077
56,"[8, 4, 4]",two-tone,1,1,1,2.131218145109738,8,"[8, 4, 4]",2.131218145109738
57,"[8, 4, 3]",two-tone,1,1,1,3.0247611972553776,8,"[8, 4, 3]",3.0247611972553776
58,"[8, 4, 2]",two-tone,1,1,1,3.0312327254369866,8,"[8, 4, 2]",3.0312327254369866
59,"[8, 3, 3]",two-tone,1,1,1,1.724982978876198,8,"[8, 3, 3]",1.724982978876198
60,"[8, 3, 2]",two-tone,2,2,2,3.2005963902519925,8,"[8, 3, 2]",3.2005963902519925
61,"[8, 2, 2]",two-tone,2,2,2,1.7136672404105129,8,"[8, 2, 2]",1.7136672404105129
62,"[7, 7, 6]",two-tone,1,1,1,1.2075253516345166,7,"[7, 7, 6]",1.2075253516345166
63,"[7, 7, 5]",two-tone,2,2,2,-1.179058124156195,7,"[7, 7, 5]",-1.179058124156195
64,"[7, 7, 4]",two-tone,1,1,1,-0.43537366465116256,7,"[7, 7, 4]",-0.43537366465116256
65,"[7, 7, 3]",two-tone,3,2,2,0.5782203047746444,7,"[7, 7, 3]",0.5782203047746444
66,"[7, 7, 2]",two-tone,1,1,1,-0.8895871734082077,7,"[7, 7, 2]",-0.8895871734082077
67,"[7, 6, 6]",two-tone,1,1,1,0.8579462792495346,7,"[7, 6, 6]",0.8579462792495346
68,"[7, 6, 5]",two-tone,1,1,1,5.110206901348041,7,"[7, 6, 5]",5.110206901348041
69,"[7, 6, 4]",two-tone,1,1,1,1.590205625987804,7,"[7, 6, 4]",1.590205625987804
70,"[7, 6, 3]",two-tone,1,1,1,0.4706988389969938,7,"[7, 6, 3]",0.4706988389969938
71,"[7, 6, 2]",two-tone,1,1,1,2.6504810363100804,7,"[7, 6, 2]",2.6504810363100804
72,"[7, 5, 5]",two-tone,2,2,2,-0.8972353611423776,7,"[7, 5, 5]",-0.8972353611423776
73,"[7, 5, 4]",two-tone,1,1,1,-0.6002560940312974,7,"[7, 5, 4]",-0.6002560940312974
74,"[7, 5, 3]",two-tone,1,1,1,0.5079641172311649,7,"[7, 5, 3]",0.5079641172311649
75,"[7, 5, 2]",two-tone,1,1,1,-0.24503764273964745,7,"[7, 5, 2]",-0.24503764273964745
