,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,5.484277623011409,9,"[9, 9, 9]",5.484277623011409
1,"[9, 9, 8]",rainbow,15,10,7,5.6763781740964285,9,"[9, 9, 8]",5.6763781740964285
2,"[9, 9, 7]",rainbow,16,11,8,5.0241659192398815,9,"[9, 9, 7]",5.0241659192398815
3,"[9, 9, 6]",rainbow,16,11,8,5.056380474118452,9,"[9, 9, 6]",5.056380474118452
4,"[9, 9, 5]",rainbow,16,11,8,4.41871885610766,9,"[9, 9, 5]",4.41871885610766
5,"[9, 9, 4]",rainbow,16,11,8,3.6802591964625857,9,"[9, 9, 4]",3.6802591964625857
6,"[9, 9, 3]",rainbow,16,11,8,3.8803882660067486,9,"[9, 9, 3]",3.8803882660067486
7,"[9, 9, 2]",rainbow,16,11,8,3.8779952401349833,9,"[9, 9, 2]",3.8779952401349833
8,"[9, 8, 8]",rainbow,16,11,8,6.276688665555555,9,"[9, 8, 8]",6.276688665555555
9,"[9, 8, 7]",rainbow,15,10,7,7.622665567159089,9,"[9, 8, 7]",7.622665567159089
10,"[9, 8, 6]",rainbow,16,11,8,7.0087351566308245,9,"[9, 8, 6]",7.0087351566308245
11,"[9, 8, 5]",rainbow,16,11,8,6.040706557654383,9,"[9, 8, 5]",6.040706557654383
12,"[9, 8, 4]",rainbow,15,10,7,4.598653527383997,9,"[9, 8, 4]",4.598653527383997
13,"[9, 8, 3]",rainbow,16,11,8,4.812365939710144,9,"[9, 8, 3]",4.812365939710144
14,"[9, 8, 2]",rainbow,16,11,8,4.815796901884057,9,"[9, 8, 2]",4.815796901884057
15,"[9, 7, 7]",rainbow,15,10,7,5.347151810361682,9,"[9, 7, 7]",5.347151810361682
16,"[9, 7, 6]",rainbow,16,11,8,6.938654520382607,9,"[9, 7, 6]",6.938654520382607
17,"[9, 7, 5]",rainbow,16,11,8,5.8847576438172045,9,"[9, 7, 5]",5.8847576438172045
18,"[9, 7, 4]",rainbow,15,10,7,4.334376281595745,9,"[9, 7, 4]",4.334376281595745
19,"[9, 7, 3]",rainbow,16,11,8,4.578886013152804,9,"[9, 7, 3]",4.578886013152804
20,"[9, 7, 2]",rainbow,15,10,7,4.584185344680852,9,"[9, 7, 2]",4.584185344680852
21,"[9, 6, 6]",rainbow,16,11,8,5.235959587272727,9,"[9, 6, 6]",5.235959587272727
22,"[9, 6, 5]",rainbow,16,11,8,5.9245769168834554,9,"[9, 6, 5]",5.9245769168834554
23,"[9, 6, 4]",rainbow,16,11,8,4.789833480999999,9,"[9, 6, 4]",4.789833480999999
24,"[9, 6, 3]",rainbow,16,11,8,5.0253110945454535,9,"[9, 6, 3]",5.0253110945454535
25,"[9, 6, 2]",rainbow,16,11,8,5.031833758181818,9,"[9, 6, 2]",5.031833758181818
26,"[9, 5, 5]",rainbow,16,11,8,4.571927917647058,9,"[9, 5, 5]",4.571927917647058
27,"[9, 5, 4]",rainbow,16,11,8,4.5328501115966375,9,"[9, 5, 4]",4.5328501115966375
28,"[9, 5, 3]",rainbow,16,11,8,4.687048439999999,9,"[9, 5, 3]",4.687048439999999
29,"[9, 5, 2]",rainbow,16,11,8,4.691127277999999,9,"[9, 5, 2]",4.691127277999999
30,"[9, 4, 4]",rainbow,16,11,8,3.9486597493997606,9,"[9, 4, 4]",3.9486597493997606
31,"[9, 4, 3]",rainbow,16,11,8,4.08498570994898,9,"[9, 4, 3]",4.08498570994898
32,"[9, 4, 2]",rainbow,16,11,8,4.0893301375,9,"[9, 4, 2]",4.0893301375
33,"[9, 3, 3]",rainbow,16,11,8,4.271704329313544,9,"[9, 3, 3]",4.271704329313544
34,"[9, 3, 2]",rainbow,16,11,8,4.2571817374768095,9,"[9, 3, 2]",4.2571817374768095
35,"[9, 2, 2]",rainbow,16,11,8,4.2760150820964755,9,"[9, 2, 2]",4.2760150820964755
36,"[8, 8, 8]",rainbow,16,11,8,6.434718404440818,8,"[8, 8, 8]",6.434718404440818
37,"[8, 8, 7]",rainbow,16,11,8,6.653808388730437,8,"[8, 8, 7]",6.653808388730437
38,"[8, 8, 6]",rainbow,16,11,8,6.359762021756523,8,"[8, 8, 6]",6.359762021756523
39,"[8, 8, 5]",rainbow,16,11,8,5.786011852664798,8,"[8, 8, 5]",5.786011852664798
40,"[8, 8, 4]",rainbow,16,11,8,5.151172722597104,8,"[8, 8, 4]",5.151172722597104
41,"[8, 8, 3]",rainbow,16,11,8,5.311019991673469,8,"[8, 8, 3]",5.311019991673469
42,"[8, 8, 2]",rainbow,16,11,8,5.322347042612244,8,"[8, 8, 2]",5.322347042612244
43,"[8, 7, 7]",rainbow,16,11,8,6.554146145874416,8,"[8, 7, 7]",6.554146145874416
