,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,1.3187433498470702,"[9, 9, 8]",1.3187433498470702
1,"[9, 9, 7]",two-tone,15,10,7,0.7370978626630964,"[9, 9, 7]",0.7370978626630964
2,"[9, 9, 6]",two-tone,15,10,7,0.6495141098841167,"[9, 9, 6]",0.6495141098841167
3,"[9, 9, 5]",two-tone,10,7,5,0.4769197432700722,"[9, 9, 5]",0.4769197432700722
4,"[9, 9, 4]",two-tone,10,7,5,0.021859422954786045,"[9, 9, 4]",0.021859422954786045
5,"[9, 9, 3]",two-tone,1,1,1,-0.05521201446068341,"[9, 9, 3]",-0.05521201446068341
6,"[9, 9, 2]",two-tone,2,2,2,-0.08269580039520262,"[9, 9, 2]",-0.08269580039520262
7,"[9, 8, 8]",two-tone,16,11,8,1.1001294868893696,"[9, 8, 8]",1.1001294868893696
8,"[9, 8, 7]",two-tone,2,2,2,0.3690466661856409,"[9, 8, 7]",0.3690466661856409
9,"[9, 8, 6]",two-tone,2,2,2,0.2358925818882016,"[9, 8, 6]",0.2358925818882016
10,"[9, 8, 5]",two-tone,2,2,2,0.11173766099631542,"[9, 8, 5]",0.11173766099631542
11,"[9, 8, 4]",two-tone,1,1,1,0.15326899866798974,"[9, 8, 4]",0.15326899866798974
12,"[9, 8, 3]",two-tone,1,1,1,0.18134515717187671,"[9, 8, 3]",0.18134515717187671
13,"[9, 8, 2]",two-tone,1,1,1,0.21191861597455589,"[9, 8, 2]",0.21191861597455589
14,"[9, 7, 7]",two-tone,15,10,7,0.9332872661363398,"[9, 7, 7]",0.9332872661363398
15,"[9, 7, 6]",two-tone,8,6,4,0.3980269297034641,"[9, 7, 6]",0.3980269297034641
16,"[9, 7, 5]",two-tone,1,1,1,0.13295747027306334,"[9, 7, 5]",0.13295747027306334
17,"[9, 7, 4]",two-tone,1,1,1,-0.02037635400881982,"[9, 7, 4]",-0.02037635400881982
18,"[9, 7, 3]",two-tone,1,1,1,0.0015147939322156525,"[9, 7, 3]",0.0015147939322156525
19,"[9, 7, 2]",two-tone,1,1,1,0.015335436125268054,"[9, 7, 2]",0.015335436125268054
20,"[9, 6, 6]",two-tone,15,10,7,1.1820058742479989,"[9, 6, 6]",1.1820058742479989
21,"[9, 6, 5]",two-tone,1,1,1,-0.7402075115670184,"[9, 6, 5]",-0.7402075115670184
22,"[9, 6, 4]",two-tone,1,1,1,0.3665326764605922,"[9, 6, 4]",0.3665326764605922
23,"[9, 6, 3]",two-tone,1,1,1,0.3843414159784833,"[9, 6, 3]",0.3843414159784833
24,"[9, 6, 2]",two-tone,1,1,1,0.3943950127638314,"[9, 6, 2]",0.3943950127638314
25,"[9, 5, 5]",two-tone,10,7,5,1.0260546361874998,"[9, 5, 5]",1.0260546361874998
26,"[9, 5, 4]",two-tone,1,1,1,0.5447929910870897,"[9, 5, 4]",0.5447929910870897
27,"[9, 5, 3]",two-tone,1,1,1,0.5399173637505738,"[9, 5, 3]",0.5399173637505738
28,"[9, 5, 2]",two-tone,2,2,2,0.5462973414049329,"[9, 5, 2]",0.5462973414049329
29,"[9, 4, 4]",two-tone,10,7,5,0.3842062372894201,"[9, 4, 4]",0.3842062372894201
30,"[9, 4, 3]",two-tone,1,1,1,-0.06424599443897132,"[9, 4, 3]",-0.06424599443897132
31,"[9, 4, 2]",two-tone,2,2,2,-0.0792863543401085,"[9, 4, 2]",-0.0792863543401085
32,"[9, 3, 3]",two-tone,2,2,2,0.21111277688991728,"[9, 3, 3]",0.21111277688991728
33,"[9, 3, 2]",two-tone,1,1,1,-0.10666351684290436,"[9, 3, 2]",-0.10666351684290436
34,"[9, 2, 2]",two-tone,1,1,1,0.1655220506620932,"[9, 2, 2]",0.1655220506620932
35,"[8, 8, 7]",two-tone,16,11,8,0.1924268353759091,"[8, 8, 7]",0.1924268353759091
