,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,2.4789502476117606,9,"[9, 9, 9]",2.4789502476117606
1,"[9, 9, 8]",rainbow,16,11,8,2.2971597202869565,9,"[9, 9, 8]",2.2971597202869565
2,"[9, 9, 7]",rainbow,16,11,8,2.3453938811556707,9,"[9, 9, 7]",2.3453938811556707
3,"[9, 9, 6]",rainbow,16,11,8,2.1448696089885435,9,"[9, 9, 6]",2.1448696089885435
4,"[9, 9, 5]",rainbow,16,11,8,2.1107071612711024,9,"[9, 9, 5]",2.1107071612711024
5,"[9, 9, 4]",rainbow,16,11,8,2.2589636497516903,9,"[9, 9, 4]",2.2589636497516903
6,"[9, 9, 3]",rainbow,16,11,8,2.2618451605739316,9,"[9, 9, 3]",2.2618451605739316
7,"[9, 9, 2]",rainbow,16,11,8,2.2050447618504307,9,"[9, 9, 2]",2.2050447618504307
8,"[9, 8, 8]",rainbow,16,11,8,2.3158041214884344,9,"[9, 8, 8]",2.3158041214884344
9,"[9, 8, 7]",rainbow,16,11,8,2.1941055084174046,9,"[9, 8, 7]",2.1941055084174046
10,"[9, 8, 6]",rainbow,15,10,7,2.0486747124773963,9,"[9, 8, 6]",2.0486747124773963
11,"[9, 8, 5]",rainbow,15,10,7,2.0802003244582052,9,"[9, 8, 5]",2.0802003244582052
12,"[9, 8, 4]",rainbow,16,11,8,1.9671092260826117,9,"[9, 8, 4]",1.9671092260826117
13,"[9, 8, 3]",rainbow,16,11,8,1.9845778370911509,9,"[9, 8, 3]",1.9845778370911509
14,"[9, 8, 2]",rainbow,16,11,8,1.9277622394155736,9,"[9, 8, 2]",1.9277622394155736
15,"[9, 7, 7]",rainbow,16,11,8,2.219971293743793,9,"[9, 7, 7]",2.219971293743793
16,"[9, 7, 6]",rainbow,15,10,7,2.0560047520215634,9,"[9, 7, 6]",2.0560047520215634
17,"[9, 7, 5]",rainbow,15,10,7,2.1516689175087107,9,"[9, 7, 5]",2.1516689175087107
18,"[9, 7, 4]",rainbow,16,11,8,1.9626931101290963,9,"[9, 7, 4]",1.9626931101290963
19,"[9, 7, 3]",rainbow,16,11,8,1.981710063685861,9,"[9, 7, 3]",1.981710063685861
20,"[9, 7, 2]",rainbow,16,11,8,1.9155590994885328,9,"[9, 7, 2]",1.9155590994885328
21,"[9, 6, 6]",rainbow,16,11,8,2.1375628459990104,9,"[9, 6, 6]",2.1375628459990104
22,"[9, 6, 5]",rainbow,16,11,8,2.1225419439088515,9,"[9, 6, 5]",2.1225419439088515
23,"[9, 6, 4]",rainbow,16,11,8,1.902502065005775,9,"[9, 6, 4]",1.902502065005775
