,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,4.481372856495473,9,"[9, 9, 9]",4.481372856495473
1,"[9, 9, 8]",rainbow,16,11,8,4.369214113682069,9,"[9, 9, 8]",4.369214113682069
2,"[9, 9, 7]",rainbow,16,11,8,4.26626830680893,9,"[9, 9, 7]",4.26626830680893
3,"[9, 9, 6]",rainbow,16,11,8,3.655495470279308,9,"[9, 9, 6]",3.655495470279308
4,"[9, 9, 5]",rainbow,16,11,8,3.6098729873961264,9,"[9, 9, 5]",3.6098729873961264
5,"[9, 9, 4]",rainbow,16,11,8,3.6878630317569736,9,"[9, 9, 4]",3.6878630317569736
6,"[9, 9, 3]",rainbow,16,11,8,3.7320613764892503,9,"[9, 9, 3]",3.7320613764892503
7,"[9, 9, 2]",rainbow,16,11,8,3.4111594985363243,9,"[9, 9, 2]",3.4111594985363243
8,"[9, 8, 8]",rainbow,16,11,8,4.377195185576923,9,"[9, 8, 8]",4.377195185576923
9,"[9, 8, 7]",rainbow,16,11,8,5.200622812395901,9,"[9, 8, 7]",5.200622812395901
10,"[9, 8, 6]",rainbow,16,11,8,5.0296689981528315,9,"[9, 8, 6]",5.0296689981528315
11,"[9, 8, 5]",rainbow,16,11,8,4.39914679582008,9,"[9, 8, 5]",4.39914679582008
12,"[9, 8, 4]",rainbow,16,11,8,3.735314571826087,9,"[9, 8, 4]",3.735314571826087
13,"[9, 8, 3]",rainbow,16,11,8,3.7938645182692303,9,"[9, 8, 3]",3.7938645182692303
14,"[9, 8, 2]",rainbow,16,11,8,3.4479403490015788,9,"[9, 8, 2]",3.4479403490015788
15,"[9, 7, 7]",rainbow,16,11,8,3.967391969538463,9,"[9, 7, 7]",3.967391969538463
16,"[9, 7, 6]",rainbow,15,10,7,4.845209585211157,9,"[9, 7, 6]",4.845209585211157
17,"[9, 7, 5]",rainbow,15,10,7,4.811706684649973,9,"[9, 7, 5]",4.811706684649973
18,"[9, 7, 4]",rainbow,16,11,8,3.6975334268447466,9,"[9, 7, 4]",3.6975334268447466
19,"[9, 7, 3]",rainbow,15,10,7,3.760460781367835,9,"[9, 7, 3]",3.760460781367835
20,"[9, 7, 2]",rainbow,16,11,8,3.4157224919384808,9,"[9, 7, 2]",3.4157224919384808
21,"[9, 6, 6]",rainbow,16,11,8,3.9969820471197424,9,"[9, 6, 6]",3.9969820471197424
22,"[9, 6, 5]",rainbow,16,11,8,4.465205735663903,9,"[9, 6, 5]",4.465205735663903
23,"[9, 6, 4]",rainbow,16,11,8,3.7775235256774473,9,"[9, 6, 4]",3.7775235256774473
24,"[9, 6, 3]",rainbow,16,11,8,3.8475597560678567,9,"[9, 6, 3]",3.8475597560678567
25,"[9, 6, 2]",rainbow,16,11,8,3.544442251114924,9,"[9, 6, 2]",3.544442251114924
26,"[9, 5, 5]",rainbow,16,11,8,4.127548011155669,9,"[9, 5, 5]",4.127548011155669
27,"[9, 5, 4]",rainbow,16,11,8,4.241407359679792,9,"[9, 5, 4]",4.241407359679792
28,"[9, 5, 3]",rainbow,16,11,8,4.007428199771061,9,"[9, 5, 3]",4.007428199771061
29,"[9, 5, 2]",rainbow,16,11,8,3.7899088553178037,9,"[9, 5, 2]",3.7899088553178037
30,"[9, 4, 4]",rainbow,16,11,8,4.1057685899512455,9,"[9, 4, 4]",4.1057685899512455
31,"[9, 4, 3]",rainbow,16,11,8,4.273886051549398,9,"[9, 4, 3]",4.273886051549398
32,"[9, 4, 2]",rainbow,16,11,8,4.0340835480230055,9,"[9, 4, 2]",4.0340835480230055
33,"[9, 3, 3]",rainbow,16,11,8,4.009533716833632,9,"[9, 3, 3]",4.009533716833632
34,"[9, 3, 2]",rainbow,16,11,8,4.194613198989266,9,"[9, 3, 2]",4.194613198989266
35,"[9, 2, 2]",rainbow,16,11,8,3.743138217404727,9,"[9, 2, 2]",3.743138217404727
36,"[8, 8, 8]",rainbow,16,11,8,4.153616240245777,8,"[8, 8, 8]",4.153616240245777
37,"[8, 8, 7]",rainbow,16,11,8,3.7824680240871222,8,"[8, 8, 7]",3.7824680240871222
38,"[8, 8, 6]",rainbow,16,11,8,3.5656812802107374,8,"[8, 8, 6]",3.5656812802107374
39,"[8, 8, 5]",rainbow,16,11,8,3.385162420571888,8,"[8, 8, 5]",3.385162420571888
40,"[8, 8, 4]",rainbow,16,11,8,3.4884117896778823,8,"[8, 8, 4]",3.4884117896778823
41,"[8, 8, 3]",rainbow,16,11,8,3.5481028291026027,8,"[8, 8, 3]",3.5481028291026027
42,"[8, 8, 2]",rainbow,16,11,8,3.202646556395756,8,"[8, 8, 2]",3.202646556395756
43,"[8, 7, 7]",rainbow,16,11,8,4.1353312456325915,8,"[8, 7, 7]",4.1353312456325915
44,"[8, 7, 6]",rainbow,16,11,8,4.8713561675686785,8,"[8, 7, 6]",4.8713561675686785
45,"[8, 7, 5]",rainbow,16,11,8,4.812374159783978,8,"[8, 7, 5]",4.812374159783978
46,"[8, 7, 4]",rainbow,16,11,8,4.411978056932723,8,"[8, 7, 4]",4.411978056932723
47,"[8, 7, 3]",rainbow,16,11,8,3.7457742771427687,8,"[8, 7, 3]",3.7457742771427687
48,"[8, 7, 2]",rainbow,16,11,8,3.4547401336662382,8,"[8, 7, 2]",3.4547401336662382
49,"[8, 6, 6]",rainbow,16,11,8,4.089154887518621,8,"[8, 6, 6]",4.089154887518621
50,"[8, 6, 5]",rainbow,16,11,8,4.957139498507284,8,"[8, 6, 5]",4.957139498507284
51,"[8, 6, 4]",rainbow,16,11,8,4.700141406305397,8,"[8, 6, 4]",4.700141406305397
52,"[8, 6, 3]",rainbow,16,11,8,3.9126819958343537,8,"[8, 6, 3]",3.9126819958343537
53,"[8, 6, 2]",rainbow,16,11,8,3.6350225828873457,8,"[8, 6, 2]",3.6350225828873457
54,"[8, 5, 5]",rainbow,16,11,8,4.073430151329978,8,"[8, 5, 5]",4.073430151329978
55,"[8, 5, 4]",rainbow,16,11,8,4.452015748807339,8,"[8, 5, 4]",4.452015748807339
56,"[8, 5, 3]",rainbow,16,11,8,4.022087482827735,8,"[8, 5, 3]",4.022087482827735
57,"[8, 5, 2]",rainbow,16,11,8,3.765600037749287,8,"[8, 5, 2]",3.765600037749287
58,"[8, 4, 4]",rainbow,16,11,8,4.045844064084758,8,"[8, 4, 4]",4.045844064084758
59,"[8, 4, 3]",rainbow,16,11,8,4.239493399712436,8,"[8, 4, 3]",4.239493399712436
60,"[8, 4, 2]",rainbow,16,11,8,3.9789961143566113,8,"[8, 4, 2]",3.9789961143566113
61,"[8, 3, 3]",rainbow,16,11,8,3.9849976831157368,8,"[8, 3, 3]",3.9849976831157368
62,"[8, 3, 2]",rainbow,16,11,8,4.188448551711362,8,"[8, 3, 2]",4.188448551711362
63,"[8, 2, 2]",rainbow,16,11,8,3.680050443699965,8,"[8, 2, 2]",3.680050443699965
64,"[7, 7, 7]",rainbow,16,11,8,4.385152387633012,7,"[7, 7, 7]",4.385152387633012
65,"[7, 7, 6]",rainbow,16,11,8,4.327689360865748,7,"[7, 7, 6]",4.327689360865748
66,"[7, 7, 5]",rainbow,16,11,8,3.8309398723423342,7,"[7, 7, 5]",3.8309398723423342
67,"[7, 7, 4]",rainbow,16,11,8,3.891498106145967,7,"[7, 7, 4]",3.891498106145967
68,"[7, 7, 3]",rainbow,16,11,8,3.961509812015356,7,"[7, 7, 3]",3.961509812015356
69,"[7, 7, 2]",rainbow,16,11,8,3.578104448556956,7,"[7, 7, 2]",3.578104448556956
70,"[7, 6, 6]",rainbow,16,11,8,4.6328718147104855,7,"[7, 6, 6]",4.6328718147104855
71,"[7, 6, 5]",rainbow,16,11,8,5.37933853317988,7,"[7, 6, 5]",5.37933853317988
72,"[7, 6, 4]",rainbow,16,11,8,5.074879770816242,7,"[7, 6, 4]",5.074879770816242
73,"[7, 6, 3]",rainbow,16,11,8,4.777033547857572,7,"[7, 6, 3]",4.777033547857572
74,"[7, 6, 2]",rainbow,16,11,8,4.135148115642126,7,"[7, 6, 2]",4.135148115642126
75,"[7, 5, 5]",rainbow,16,11,8,4.395607818656321,7,"[7, 5, 5]",4.395607818656321
76,"[7, 5, 4]",rainbow,16,11,8,5.282004521227568,7,"[7, 5, 4]",5.282004521227568
77,"[7, 5, 3]",rainbow,16,11,8,4.907592170600432,7,"[7, 5, 3]",4.907592170600432
78,"[7, 5, 2]",rainbow,16,11,8,4.084237408508036,7,"[7, 5, 2]",4.084237408508036
79,"[7, 4, 4]",rainbow,16,11,8,4.365366996034242,7,"[7, 4, 4]",4.365366996034242
80,"[7, 4, 3]",rainbow,16,11,8,4.9223838601028165,7,"[7, 4, 3]",4.9223838601028165
81,"[7, 4, 2]",rainbow,16,11,8,4.297504780471264,7,"[7, 4, 2]",4.297504780471264
82,"[7, 3, 3]",rainbow,16,11,8,4.3063397370607595,7,"[7, 3, 3]",4.3063397370607595
83,"[7, 3, 2]",rainbow,16,11,8,4.448126891699845,7,"[7, 3, 2]",4.448126891699845
84,"[7, 2, 2]",rainbow,16,11,8,3.9732363436865015,7,"[7, 2, 2]",3.9732363436865015
85,"[6, 6, 6]",rainbow,16,11,8,5.009807124445932,6,"[6, 6, 6]",5.009807124445932
86,"[6, 6, 5]",rainbow,16,11,8,4.7393696578794495,6,"[6, 6, 5]",4.7393696578794495
87,"[6, 6, 4]",rainbow,16,11,8,4.663934685787933,6,"[6, 6, 4]",4.663934685787933
88,"[6, 6, 3]",rainbow,16,11,8,4.713168486251872,6,"[6, 6, 3]",4.713168486251872
89,"[6, 6, 2]",rainbow,16,11,8,4.411730383494822,6,"[6, 6, 2]",4.411730383494822
90,"[6, 5, 5]",rainbow,16,11,8,5.106540583611112,6,"[6, 5, 5]",5.106540583611112
91,"[6, 5, 4]",rainbow,16,11,8,5.513199763597418,6,"[6, 5, 4]",5.513199763597418
92,"[6, 5, 3]",rainbow,16,11,8,5.392586594781623,6,"[6, 5, 3]",5.392586594781623
93,"[6, 5, 2]",rainbow,16,11,8,5.1828365525,6,"[6, 5, 2]",5.1828365525
94,"[6, 4, 4]",rainbow,16,11,8,4.901370403847926,6,"[6, 4, 4]",4.901370403847926
95,"[6, 4, 3]",rainbow,16,11,8,5.428719785168249,6,"[6, 4, 3]",5.428719785168249
96,"[6, 4, 2]",rainbow,16,11,8,5.137635509840909,6,"[6, 4, 2]",5.137635509840909
97,"[6, 3, 3]",rainbow,16,11,8,4.867838274086758,6,"[6, 3, 3]",4.867838274086758
98,"[6, 3, 2]",rainbow,16,11,8,5.170628581386364,6,"[6, 3, 2]",5.170628581386364
99,"[6, 2, 2]",rainbow,16,11,8,4.582637133333333,6,"[6, 2, 2]",4.582637133333333
100,"[5, 5, 5]",rainbow,16,11,8,5.425901445449974,5,"[5, 5, 5]",5.425901445449974
101,"[5, 5, 4]",rainbow,16,11,8,5.487474428372408,5,"[5, 5, 4]",5.487474428372408
102,"[5, 5, 3]",rainbow,16,11,8,5.405151846007474,5,"[5, 5, 3]",5.405151846007474
103,"[5, 5, 2]",rainbow,16,11,8,5.139841433752307,5,"[5, 5, 2]",5.139841433752307
104,"[5, 4, 4]",rainbow,16,11,8,5.383773138296973,5,"[5, 4, 4]",5.383773138296973
105,"[5, 4, 3]",rainbow,16,11,8,5.84038280366941,5,"[5, 4, 3]",5.84038280366941
106,"[5, 4, 2]",rainbow,16,11,8,6.0023417380471376,5,"[5, 4, 2]",6.0023417380471376
107,"[5, 3, 3]",rainbow,16,11,8,5.179638897037036,5,"[5, 3, 3]",5.179638897037036
