,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,2.0413173432645157,"[9, 9, 8]",2.0413173432645157
1,"[9, 9, 7]",two-tone,16,11,8,2.00535957042622,"[9, 9, 7]",2.00535957042622
2,"[9, 9, 6]",two-tone,16,11,8,1.9456337665850336,"[9, 9, 6]",1.9456337665850336
3,"[9, 9, 5]",two-tone,16,11,8,1.9074884649331458,"[9, 9, 5]",1.9074884649331458
4,"[9, 9, 4]",two-tone,16,11,8,1.8877452534366264,"[9, 9, 4]",1.8877452534366264
5,"[9, 9, 3]",two-tone,16,11,8,1.8898331164229785,"[9, 9, 3]",1.8898331164229785
6,"[9, 9, 2]",two-tone,16,11,8,1.9266505029704053,"[9, 9, 2]",1.9266505029704053
7,"[9, 8, 8]",two-tone,16,11,8,2.0618116613528947,"[9, 8, 8]",2.0618116613528947
8,"[9, 8, 7]",two-tone,16,11,8,2.069670451224145,"[9, 8, 7]",2.069670451224145
9,"[9, 8, 6]",two-tone,16,11,8,2.0346512578907285,"[9, 8, 6]",2.0346512578907285
10,"[9, 8, 5]",two-tone,16,11,8,2.0159862237961472,"[9, 8, 5]",2.0159862237961472
11,"[9, 8, 4]",two-tone,16,11,8,1.852460889115272,"[9, 8, 4]",1.852460889115272
12,"[9, 8, 3]",two-tone,16,11,8,1.868615486696744,"[9, 8, 3]",1.868615486696744
13,"[9, 8, 2]",two-tone,16,11,8,1.907598813917265,"[9, 8, 2]",1.907598813917265
14,"[9, 7, 7]",two-tone,16,11,8,2.0934670200026932,"[9, 7, 7]",2.0934670200026932
15,"[9, 7, 6]",two-tone,16,11,8,2.00338736129022,"[9, 7, 6]",2.00338736129022
16,"[9, 7, 5]",two-tone,16,11,8,1.917070216375058,"[9, 7, 5]",1.917070216375058
17,"[9, 7, 4]",two-tone,16,11,8,1.8268239204321608,"[9, 7, 4]",1.8268239204321608
18,"[9, 7, 3]",two-tone,16,11,8,1.8457989357203757,"[9, 7, 3]",1.8457989357203757
19,"[9, 7, 2]",two-tone,16,11,8,1.8932306174981923,"[9, 7, 2]",1.8932306174981923
20,"[9, 6, 6]",two-tone,16,11,8,2.098314019882727,"[9, 6, 6]",2.098314019882727
21,"[9, 6, 5]",two-tone,16,11,8,1.918056608562258,"[9, 6, 5]",1.918056608562258
22,"[9, 6, 4]",two-tone,16,11,8,1.8479562035688128,"[9, 6, 4]",1.8479562035688128
23,"[9, 6, 3]",two-tone,16,11,8,1.832456128068544,"[9, 6, 3]",1.832456128068544
24,"[9, 6, 2]",two-tone,16,11,8,1.8847717912834658,"[9, 6, 2]",1.8847717912834658
25,"[9, 5, 5]",two-tone,16,11,8,2.0481008798582887,"[9, 5, 5]",2.0481008798582887
26,"[9, 5, 4]",two-tone,16,11,8,1.8482252771929828,"[9, 5, 4]",1.8482252771929828
27,"[9, 5, 3]",two-tone,16,11,8,1.8752318021382093,"[9, 5, 3]",1.8752318021382093
28,"[9, 5, 2]",two-tone,16,11,8,1.8801437551575184,"[9, 5, 2]",1.8801437551575184
29,"[9, 4, 4]",two-tone,16,11,8,2.040171284959065,"[9, 4, 4]",2.040171284959065
30,"[9, 4, 3]",two-tone,16,11,8,1.9560478091904367,"[9, 4, 3]",1.9560478091904367
31,"[9, 4, 2]",two-tone,16,11,8,1.9451854314043104,"[9, 4, 2]",1.9451854314043104
32,"[9, 3, 3]",two-tone,16,11,8,1.9893669614110971,"[9, 3, 3]",1.9893669614110971
33,"[9, 3, 2]",two-tone,16,11,8,2.0049277970312787,"[9, 3, 2]",2.0049277970312787
34,"[9, 2, 2]",two-tone,16,11,8,2.00577086596328,"[9, 2, 2]",2.00577086596328
35,"[8, 8, 7]",two-tone,16,11,8,2.009535479330521,"[8, 8, 7]",2.009535479330521
36,"[8, 8, 6]",two-tone,16,11,8,1.9629203797189012,"[8, 8, 6]",1.9629203797189012
37,"[8, 8, 5]",two-tone,16,11,8,1.8660774804008988,"[8, 8, 5]",1.8660774804008988
38,"[8, 8, 4]",two-tone,16,11,8,1.872369010031176,"[8, 8, 4]",1.872369010031176
39,"[8, 8, 3]",two-tone,16,11,8,1.8522533525867357,"[8, 8, 3]",1.8522533525867357
40,"[8, 8, 2]",two-tone,16,11,8,1.8829882181199318,"[8, 8, 2]",1.8829882181199318
41,"[8, 7, 7]",two-tone,16,11,8,2.31681619339983,"[8, 7, 7]",2.31681619339983
42,"[8, 7, 6]",two-tone,16,11,8,2.1490189611264507,"[8, 7, 6]",2.1490189611264507
43,"[8, 7, 5]",two-tone,16,11,8,2.137579588412017,"[8, 7, 5]",2.137579588412017
44,"[8, 7, 4]",two-tone,16,11,8,2.157043690284817,"[8, 7, 4]",2.157043690284817
45,"[8, 7, 3]",two-tone,16,11,8,2.012919704408958,"[8, 7, 3]",2.012919704408958
46,"[8, 7, 2]",two-tone,16,11,8,2.058706349055611,"[8, 7, 2]",2.058706349055611
47,"[8, 6, 6]",two-tone,16,11,8,2.2533646271642698,"[8, 6, 6]",2.2533646271642698
48,"[8, 6, 5]",two-tone,16,11,8,2.1283311245802805,"[8, 6, 5]",2.1283311245802805
49,"[8, 6, 4]",two-tone,16,11,8,2.143989438035316,"[8, 6, 4]",2.143989438035316
50,"[8, 6, 3]",two-tone,16,11,8,1.9819468541756675,"[8, 6, 3]",1.9819468541756675
51,"[8, 6, 2]",two-tone,16,11,8,2.0187201572510824,"[8, 6, 2]",2.0187201572510824
52,"[8, 5, 5]",two-tone,16,11,8,2.191311632059292,"[8, 5, 5]",2.191311632059292
53,"[8, 5, 4]",two-tone,16,11,8,2.1935275721213285,"[8, 5, 4]",2.1935275721213285
54,"[8, 5, 3]",two-tone,16,11,8,2.019848824430557,"[8, 5, 3]",2.019848824430557
55,"[8, 5, 2]",two-tone,16,11,8,2.010752404199917,"[8, 5, 2]",2.010752404199917
56,"[8, 4, 4]",two-tone,16,11,8,2.1855454372124696,"[8, 4, 4]",2.1855454372124696
57,"[8, 4, 3]",two-tone,16,11,8,2.072216836298157,"[8, 4, 3]",2.072216836298157
58,"[8, 4, 2]",two-tone,16,11,8,2.0571910761554624,"[8, 4, 2]",2.0571910761554624
59,"[8, 3, 3]",two-tone,16,11,8,2.119534393307456,"[8, 3, 3]",2.119534393307456
60,"[8, 3, 2]",two-tone,16,11,8,2.1239520426052048,"[8, 3, 2]",2.1239520426052048
61,"[8, 2, 2]",two-tone,16,11,8,2.1263041433419323,"[8, 2, 2]",2.1263041433419323
62,"[7, 7, 6]",two-tone,16,11,8,2.102741589298815,"[7, 7, 6]",2.102741589298815
63,"[7, 7, 5]",two-tone,16,11,8,2.067578540543913,"[7, 7, 5]",2.067578540543913
64,"[7, 7, 4]",two-tone,16,11,8,2.0444676433384568,"[7, 7, 4]",2.0444676433384568
65,"[7, 7, 3]",two-tone,16,11,8,2.0472265006480868,"[7, 7, 3]",2.0472265006480868
66,"[7, 7, 2]",two-tone,16,11,8,2.08372791860267,"[7, 7, 2]",2.08372791860267
67,"[7, 6, 6]",two-tone,16,11,8,2.343620040762677,"[7, 6, 6]",2.343620040762677
68,"[7, 6, 5]",two-tone,16,11,8,2.1347505994945477,"[7, 6, 5]",2.1347505994945477
69,"[7, 6, 4]",two-tone,16,11,8,2.133078648075947,"[7, 6, 4]",2.133078648075947
70,"[7, 6, 3]",two-tone,16,11,8,2.1956753859087197,"[7, 6, 3]",2.1956753859087197
71,"[7, 6, 2]",two-tone,16,11,8,2.1052632413864614,"[7, 6, 2]",2.1052632413864614
72,"[7, 5, 5]",two-tone,16,11,8,2.2619185210277,"[7, 5, 5]",2.2619185210277
