,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,4.78126717020752,9,"[9, 9, 9]",4.78126717020752
1,"[9, 9, 8]",rainbow,16,11,8,4.820926618478727,9,"[9, 9, 8]",4.820926618478727
2,"[9, 9, 7]",rainbow,16,11,8,4.645440536086209,9,"[9, 9, 7]",4.645440536086209
3,"[9, 9, 6]",rainbow,16,11,8,4.017287424734726,9,"[9, 9, 6]",4.017287424734726
4,"[9, 9, 5]",rainbow,16,11,8,3.757641542977632,9,"[9, 9, 5]",3.757641542977632
5,"[9, 9, 4]",rainbow,16,11,8,3.942149996188823,9,"[9, 9, 4]",3.942149996188823
6,"[9, 9, 3]",rainbow,16,11,8,3.9836192307425433,9,"[9, 9, 3]",3.9836192307425433
7,"[9, 9, 2]",rainbow,16,11,8,3.658582996480489,9,"[9, 9, 2]",3.658582996480489
8,"[9, 8, 8]",rainbow,16,11,8,5.230104075229832,9,"[9, 8, 8]",5.230104075229832
9,"[9, 8, 7]",rainbow,16,11,8,6.049368023464041,9,"[9, 8, 7]",6.049368023464041
10,"[9, 8, 6]",rainbow,16,11,8,5.970343191568048,9,"[9, 8, 6]",5.970343191568048
11,"[9, 8, 5]",rainbow,15,10,7,5.048044550576184,9,"[9, 8, 5]",5.048044550576184
12,"[9, 8, 4]",rainbow,16,11,8,4.499712842035986,9,"[9, 8, 4]",4.499712842035986
13,"[9, 8, 3]",rainbow,16,11,8,4.549571549122074,9,"[9, 8, 3]",4.549571549122074
14,"[9, 8, 2]",rainbow,16,11,8,4.213889700572381,9,"[9, 8, 2]",4.213889700572381
15,"[9, 7, 7]",rainbow,16,11,8,4.773588352501866,9,"[9, 7, 7]",4.773588352501866
16,"[9, 7, 6]",rainbow,16,11,8,5.305552608718877,9,"[9, 7, 6]",5.305552608718877
17,"[9, 7, 5]",rainbow,15,10,7,5.208733520286131,9,"[9, 7, 5]",5.208733520286131
18,"[9, 7, 4]",rainbow,16,11,8,4.27232977045708,9,"[9, 7, 4]",4.27232977045708
19,"[9, 7, 3]",rainbow,16,11,8,4.341567692677515,9,"[9, 7, 3]",4.341567692677515
20,"[9, 7, 2]",rainbow,16,11,8,4.006061798414144,9,"[9, 7, 2]",4.006061798414144
21,"[9, 6, 6]",rainbow,16,11,8,4.791618418181818,9,"[9, 6, 6]",4.791618418181818
