,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,15,10,7,-0.5049081986301196,9,"[9, 9, 9]",-0.5049081986301196
1,"[9, 9, 8]",rainbow,15,10,7,-0.3715441083174177,9,"[9, 9, 8]",-0.3715441083174177
2,"[9, 9, 7]",rainbow,15,10,7,-0.4677868898728583,9,"[9, 9, 7]",-0.4677868898728583
3,"[9, 9, 6]",rainbow,1,1,1,-0.9122279309530306,9,"[9, 9, 6]",-0.9122279309530306
4,"[9, 9, 5]",rainbow,1,1,1,-1.10698775790065,9,"[9, 9, 5]",-1.10698775790065
5,"[9, 9, 4]",rainbow,1,1,1,-1.492078604823201,9,"[9, 9, 4]",-1.492078604823201
6,"[9, 9, 3]",rainbow,15,10,7,-1.0781837532598275,9,"[9, 9, 3]",-1.0781837532598275
7,"[9, 9, 2]",rainbow,15,10,7,-0.7542235917410579,9,"[9, 9, 2]",-0.7542235917410579
8,"[9, 8, 8]",rainbow,15,10,7,-0.7656324301025719,9,"[9, 8, 8]",-0.7656324301025719
9,"[9, 8, 7]",rainbow,8,6,4,0.9850970109895998,9,"[9, 8, 7]",0.9850970109895998
10,"[9, 8, 6]",rainbow,8,6,4,-1.7298796987805871,9,"[9, 8, 6]",-1.7298796987805871
11,"[9, 8, 5]",rainbow,8,6,4,-0.9503803643830292,9,"[9, 8, 5]",-0.9503803643830292
12,"[9, 8, 4]",rainbow,8,6,4,-1.3497492806715448,9,"[9, 8, 4]",-1.3497492806715448
13,"[9, 8, 3]",rainbow,1,1,1,-1.3978278020568558,9,"[9, 8, 3]",-1.3978278020568558
14,"[9, 8, 2]",rainbow,8,6,4,-1.1036369027415245,9,"[9, 8, 2]",-1.1036369027415245
15,"[9, 7, 7]",rainbow,15,10,7,-0.7438906983055154,9,"[9, 7, 7]",-0.7438906983055154
16,"[9, 7, 6]",rainbow,1,1,1,-1.47474695239579,9,"[9, 7, 6]",-1.47474695239579
17,"[9, 7, 5]",rainbow,1,1,1,-2.4650497599731453,9,"[9, 7, 5]",-2.4650497599731453
18,"[9, 7, 4]",rainbow,8,6,4,-1.6509804013536094,9,"[9, 7, 4]",-1.6509804013536094
19,"[9, 7, 3]",rainbow,2,2,2,-1.090225956294378,9,"[9, 7, 3]",-1.090225956294378
20,"[9, 7, 2]",rainbow,8,6,4,-1.2987442139731054,9,"[9, 7, 2]",-1.2987442139731054
21,"[9, 6, 6]",rainbow,10,7,5,-1.4358305050727522,9,"[9, 6, 6]",-1.4358305050727522
22,"[9, 6, 5]",rainbow,1,1,1,-1.5565462665148486,9,"[9, 6, 5]",-1.5565462665148486
23,"[9, 6, 4]",rainbow,1,1,1,-1.7163814875104204,9,"[9, 6, 4]",-1.7163814875104204
24,"[9, 6, 3]",rainbow,1,1,1,-1.368057554836215,9,"[9, 6, 3]",-1.368057554836215
25,"[9, 6, 2]",rainbow,1,1,1,-1.3183305995016712,9,"[9, 6, 2]",-1.3183305995016712
26,"[9, 5, 5]",rainbow,10,7,5,-1.7530519548767916,9,"[9, 5, 5]",-1.7530519548767916
27,"[9, 5, 4]",rainbow,1,1,1,-1.8801225394357368,9,"[9, 5, 4]",-1.8801225394357368
28,"[9, 5, 3]",rainbow,1,1,1,-1.6085269512719786,9,"[9, 5, 3]",-1.6085269512719786
29,"[9, 5, 2]",rainbow,2,2,2,-1.6183995770415796,9,"[9, 5, 2]",-1.6183995770415796
30,"[9, 4, 4]",rainbow,10,7,5,-2.09698184006938,9,"[9, 4, 4]",-2.09698184006938
31,"[9, 4, 3]",rainbow,1,1,1,-1.6642088025642294,9,"[9, 4, 3]",-1.6642088025642294
32,"[9, 4, 2]",rainbow,10,7,5,-1.9138556344750013,9,"[9, 4, 2]",-1.9138556344750013
33,"[9, 3, 3]",rainbow,10,7,5,-1.3896932993003672,9,"[9, 3, 3]",-1.3896932993003672
34,"[9, 3, 2]",rainbow,10,7,5,-1.394026195836514,9,"[9, 3, 2]",-1.394026195836514
35,"[9, 2, 2]",rainbow,10,7,5,-0.8962691217006631,9,"[9, 2, 2]",-0.8962691217006631
36,"[8, 8, 8]",rainbow,16,11,8,-1.2472973898917237,8,"[8, 8, 8]",-1.2472973898917237
37,"[8, 8, 7]",rainbow,15,10,7,-1.2999788107080108,8,"[8, 8, 7]",-1.2999788107080108
38,"[8, 8, 6]",rainbow,1,1,1,-1.5925658261241398,8,"[8, 8, 6]",-1.5925658261241398
39,"[8, 8, 5]",rainbow,1,1,1,-1.9057956562631369,8,"[8, 8, 5]",-1.9057956562631369
40,"[8, 8, 4]",rainbow,1,1,1,-2.0064465703916947,8,"[8, 8, 4]",-2.0064465703916947
41,"[8, 8, 3]",rainbow,16,11,8,-1.886285284308996,8,"[8, 8, 3]",-1.886285284308996
42,"[8, 8, 2]",rainbow,15,10,7,-1.650059052104893,8,"[8, 8, 2]",-1.650059052104893
43,"[8, 7, 7]",rainbow,16,11,8,-1.1220805023699365,8,"[8, 7, 7]",-1.1220805023699365
44,"[8, 7, 6]",rainbow,1,1,1,-1.3655342125499017,8,"[8, 7, 6]",-1.3655342125499017
45,"[8, 7, 5]",rainbow,2,2,2,-2.5130317473307056,8,"[8, 7, 5]",-2.5130317473307056
46,"[8, 7, 4]",rainbow,1,1,1,-1.6132295491023159,8,"[8, 7, 4]",-1.6132295491023159
47,"[8, 7, 3]",rainbow,1,1,1,-1.4122549764928918,8,"[8, 7, 3]",-1.4122549764928918
48,"[8, 7, 2]",rainbow,1,1,1,-1.6052733003756043,8,"[8, 7, 2]",-1.6052733003756043
49,"[8, 6, 6]",rainbow,8,6,4,-1.4364183410121192,8,"[8, 6, 6]",-1.4364183410121192
50,"[8, 6, 5]",rainbow,1,1,1,-1.5197716617098316,8,"[8, 6, 5]",-1.5197716617098316
51,"[8, 6, 4]",rainbow,1,1,1,-2.8331205397433195,8,"[8, 6, 4]",-2.8331205397433195
52,"[8, 6, 3]",rainbow,1,1,1,-1.5944751304582208,8,"[8, 6, 3]",-1.5944751304582208
