,_flop,_board_type,_0b,_1b,_2b,_profit,flop,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,0.6823186269567731,"[9, 9, 8]",0.6823186269567731
1,"[9, 9, 7]",two-tone,1,1,1,0.7796601452905635,"[9, 9, 7]",0.7796601452905635
2,"[9, 9, 6]",two-tone,1,1,1,0.7372115435051607,"[9, 9, 6]",0.7372115435051607
3,"[9, 9, 5]",two-tone,1,1,1,0.7124045316008843,"[9, 9, 5]",0.7124045316008843
4,"[9, 9, 4]",two-tone,15,10,7,1.0751068197081826,"[9, 9, 4]",1.0751068197081826
5,"[9, 9, 3]",two-tone,15,10,7,1.0807695940440194,"[9, 9, 3]",1.0807695940440194
6,"[9, 9, 2]",two-tone,15,10,7,1.056012027324668,"[9, 9, 2]",1.056012027324668
7,"[9, 8, 8]",two-tone,1,1,1,0.5011073283363275,"[9, 8, 8]",0.5011073283363275
8,"[9, 8, 7]",two-tone,2,2,2,0.8273352643547339,"[9, 8, 7]",0.8273352643547339
9,"[9, 8, 6]",two-tone,2,2,2,0.9649182451614589,"[9, 8, 6]",0.9649182451614589
10,"[9, 8, 5]",two-tone,1,1,1,0.7478648334367504,"[9, 8, 5]",0.7478648334367504
11,"[9, 8, 4]",two-tone,1,1,1,0.7285455213324052,"[9, 8, 4]",0.7285455213324052
12,"[9, 8, 3]",two-tone,1,1,1,0.7645663980229419,"[9, 8, 3]",0.7645663980229419
13,"[9, 8, 2]",two-tone,1,1,1,0.7738498974752772,"[9, 8, 2]",0.7738498974752772
14,"[9, 7, 7]",two-tone,15,10,7,0.5655089607330598,"[9, 7, 7]",0.5655089607330598
15,"[9, 7, 6]",two-tone,1,1,1,0.6550714687409551,"[9, 7, 6]",0.6550714687409551
16,"[9, 7, 5]",two-tone,1,1,1,0.8881435956689959,"[9, 7, 5]",0.8881435956689959
17,"[9, 7, 4]",two-tone,1,1,1,0.7968722037550767,"[9, 7, 4]",0.7968722037550767
18,"[9, 7, 3]",two-tone,1,1,1,0.7374311511052309,"[9, 7, 3]",0.7374311511052309
19,"[9, 7, 2]",two-tone,1,1,1,0.7982702611747601,"[9, 7, 2]",0.7982702611747601
20,"[9, 6, 6]",two-tone,15,10,7,0.7968134723937238,"[9, 6, 6]",0.7968134723937238
21,"[9, 6, 5]",two-tone,1,1,1,0.7485453523979694,"[9, 6, 5]",0.7485453523979694
22,"[9, 6, 4]",two-tone,1,1,1,0.9544074345239542,"[9, 6, 4]",0.9544074345239542
23,"[9, 6, 3]",two-tone,1,1,1,0.9205577898685616,"[9, 6, 3]",0.9205577898685616
24,"[9, 6, 2]",two-tone,1,1,1,0.911130002911544,"[9, 6, 2]",0.911130002911544
25,"[9, 5, 5]",two-tone,15,10,7,0.9372513686298918,"[9, 5, 5]",0.9372513686298918
26,"[9, 5, 4]",two-tone,1,1,1,0.9294627908999772,"[9, 5, 4]",0.9294627908999772
27,"[9, 5, 3]",two-tone,1,1,1,0.9118290695966704,"[9, 5, 3]",0.9118290695966704
28,"[9, 5, 2]",two-tone,1,1,1,0.8998235990628554,"[9, 5, 2]",0.8998235990628554
29,"[9, 4, 4]",two-tone,15,10,7,1.1362169936037476,"[9, 4, 4]",1.1362169936037476
30,"[9, 4, 3]",two-tone,10,7,5,0.9085025120746996,"[9, 4, 3]",0.9085025120746996
31,"[9, 4, 2]",two-tone,10,7,5,0.9641809754272264,"[9, 4, 2]",0.9641809754272264
32,"[9, 3, 3]",two-tone,15,10,7,1.1054830697169968,"[9, 3, 3]",1.1054830697169968
33,"[9, 3, 2]",two-tone,10,7,5,0.8863798159409357,"[9, 3, 2]",0.8863798159409357
34,"[9, 2, 2]",two-tone,15,10,7,0.955835686657308,"[9, 2, 2]",0.955835686657308
35,"[8, 8, 7]",two-tone,15,10,7,0.5725481936998212,"[8, 8, 7]",0.5725481936998212
36,"[8, 8, 6]",two-tone,15,10,7,0.816808435038602,"[8, 8, 6]",0.816808435038602
37,"[8, 8, 5]",two-tone,15,10,7,0.8757528107218637,"[8, 8, 5]",0.8757528107218637
38,"[8, 8, 4]",two-tone,16,11,8,0.9358903805550571,"[8, 8, 4]",0.9358903805550571
39,"[8, 8, 3]",two-tone,16,11,8,0.9849352273756408,"[8, 8, 3]",0.9849352273756408
40,"[8, 8, 2]",two-tone,16,11,8,0.9760981518260451,"[8, 8, 2]",0.9760981518260451
41,"[8, 7, 7]",two-tone,15,10,7,0.4956905907861458,"[8, 7, 7]",0.4956905907861458
42,"[8, 7, 6]",two-tone,2,2,2,0.7626107606187981,"[8, 7, 6]",0.7626107606187981
43,"[8, 7, 5]",two-tone,8,6,4,0.8982205030104891,"[8, 7, 5]",0.8982205030104891
44,"[8, 7, 4]",two-tone,8,6,4,0.6446243850872928,"[8, 7, 4]",0.6446243850872928
45,"[8, 7, 3]",two-tone,1,1,1,0.5916400918309902,"[8, 7, 3]",0.5916400918309902
46,"[8, 7, 2]",two-tone,1,1,1,0.6103113701628685,"[8, 7, 2]",0.6103113701628685
47,"[8, 6, 6]",two-tone,15,10,7,0.9607619378149374,"[8, 6, 6]",0.9607619378149374
48,"[8, 6, 5]",two-tone,8,6,4,0.5615470829482418,"[8, 6, 5]",0.5615470829482418
49,"[8, 6, 4]",two-tone,1,1,1,0.7313847899224019,"[8, 6, 4]",0.7313847899224019
50,"[8, 6, 3]",two-tone,1,1,1,0.7492769704431514,"[8, 6, 3]",0.7492769704431514
51,"[8, 6, 2]",two-tone,1,1,1,0.7599485788820245,"[8, 6, 2]",0.7599485788820245
52,"[8, 5, 5]",two-tone,15,10,7,0.8984460956309459,"[8, 5, 5]",0.8984460956309459
53,"[8, 5, 4]",two-tone,1,1,1,0.6191668232863574,"[8, 5, 4]",0.6191668232863574
54,"[8, 5, 3]",two-tone,10,7,5,0.8411911154383929,"[8, 5, 3]",0.8411911154383929
55,"[8, 5, 2]",two-tone,10,7,5,0.792395288608842,"[8, 5, 2]",0.792395288608842
56,"[8, 4, 4]",two-tone,15,10,7,0.9486762922719952,"[8, 4, 4]",0.9486762922719952
57,"[8, 4, 3]",two-tone,10,7,5,0.8450555319632495,"[8, 4, 3]",0.8450555319632495
58,"[8, 4, 2]",two-tone,10,7,5,0.7999875527198416,"[8, 4, 2]",0.7999875527198416
59,"[8, 3, 3]",two-tone,15,10,7,1.0476838135913291,"[8, 3, 3]",1.0476838135913291
60,"[8, 3, 2]",two-tone,10,7,5,0.838742051193391,"[8, 3, 2]",0.838742051193391
61,"[8, 2, 2]",two-tone,15,10,7,0.9078280096601109,"[8, 2, 2]",0.9078280096601109
62,"[7, 7, 6]",two-tone,15,10,7,0.7629375493532136,"[7, 7, 6]",0.7629375493532136
63,"[7, 7, 5]",two-tone,15,10,7,0.7926514676984934,"[7, 7, 5]",0.7926514676984934
64,"[7, 7, 4]",two-tone,16,11,8,0.951434942064005,"[7, 7, 4]",0.951434942064005
65,"[7, 7, 3]",two-tone,16,11,8,0.8359265374707537,"[7, 7, 3]",0.8359265374707537
66,"[7, 7, 2]",two-tone,16,11,8,0.7796421154928002,"[7, 7, 2]",0.7796421154928002
67,"[7, 6, 6]",two-tone,15,10,7,0.8782589722897207,"[7, 6, 6]",0.8782589722897207
68,"[7, 6, 5]",two-tone,8,6,4,0.5076158077494693,"[7, 6, 5]",0.5076158077494693
69,"[7, 6, 4]",two-tone,8,6,4,0.4995557868412202,"[7, 6, 4]",0.4995557868412202
70,"[7, 6, 3]",two-tone,8,6,4,0.8485955649517881,"[7, 6, 3]",0.8485955649517881
71,"[7, 6, 2]",two-tone,1,1,1,0.6155262134430135,"[7, 6, 2]",0.6155262134430135
72,"[7, 5, 5]",two-tone,16,11,8,0.9298388164116076,"[7, 5, 5]",0.9298388164116076
73,"[7, 5, 4]",two-tone,8,6,4,0.3944469186327759,"[7, 5, 4]",0.3944469186327759
74,"[7, 5, 3]",two-tone,8,6,4,0.8352454509414621,"[7, 5, 3]",0.8352454509414621
75,"[7, 5, 2]",two-tone,8,6,4,0.7650897949232099,"[7, 5, 2]",0.7650897949232099
76,"[7, 4, 4]",two-tone,16,11,8,0.9699070034184004,"[7, 4, 4]",0.9699070034184004
77,"[7, 4, 3]",two-tone,2,2,2,0.7064825713702148,"[7, 4, 3]",0.7064825713702148
78,"[7, 4, 2]",two-tone,10,7,5,0.7732363681119064,"[7, 4, 2]",0.7732363681119064
79,"[7, 3, 3]",two-tone,16,11,8,0.8722193587558876,"[7, 3, 3]",0.8722193587558876
80,"[7, 3, 2]",two-tone,10,7,5,0.6489205203555971,"[7, 3, 2]",0.6489205203555971
81,"[7, 2, 2]",two-tone,16,11,8,0.7856594726530348,"[7, 2, 2]",0.7856594726530348
82,"[6, 6, 5]",two-tone,16,11,8,1.130005381804482,"[6, 6, 5]",1.130005381804482
83,"[6, 6, 4]",two-tone,16,11,8,1.279075376130102,"[6, 6, 4]",1.279075376130102
84,"[6, 6, 3]",two-tone,16,11,8,1.4657518364624806,"[6, 6, 3]",1.4657518364624806
85,"[6, 6, 2]",two-tone,16,11,8,1.4274723245546412,"[6, 6, 2]",1.4274723245546412
86,"[6, 5, 5]",two-tone,16,11,8,1.1284594877644083,"[6, 5, 5]",1.1284594877644083
87,"[6, 5, 4]",two-tone,1,1,1,0.17617452325304905,"[6, 5, 4]",0.17617452325304905
88,"[6, 5, 3]",two-tone,2,2,2,0.3369443212094158,"[6, 5, 3]",0.3369443212094158
89,"[6, 5, 2]",two-tone,8,6,4,0.9265317480978796,"[6, 5, 2]",0.9265317480978796
90,"[6, 4, 4]",two-tone,16,11,8,1.3224555133522786,"[6, 4, 4]",1.3224555133522786
