,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,3,2,2,5.278431740808078,9,"[9, 9, 9]",5.278431740808078
1,"[9, 9, 8]",rainbow,2,2,2,5.072806506425396,9,"[9, 9, 8]",5.072806506425396
2,"[9, 9, 7]",rainbow,10,7,5,6.5711196240063465,9,"[9, 9, 7]",6.5711196240063465
3,"[9, 9, 6]",rainbow,10,7,5,2.391473972790566,9,"[9, 9, 6]",2.391473972790566
4,"[9, 9, 5]",rainbow,15,10,7,4.205428121614362,9,"[9, 9, 5]",4.205428121614362
5,"[9, 9, 4]",rainbow,16,11,8,4.2446525520039735,9,"[9, 9, 4]",4.2446525520039735
6,"[9, 9, 3]",rainbow,3,2,2,4.246537802913062,9,"[9, 9, 3]",4.246537802913062
7,"[9, 9, 2]",rainbow,10,7,5,4.241078537804839,9,"[9, 9, 2]",4.241078537804839
8,"[9, 8, 8]",rainbow,8,6,4,7.075053283409835,9,"[9, 8, 8]",7.075053283409835
9,"[9, 8, 7]",rainbow,4,3,2,-0.4620441782068979,9,"[9, 8, 7]",-0.4620441782068979
10,"[9, 8, 6]",rainbow,1,1,1,5.809865283750683,9,"[9, 8, 6]",5.809865283750683
11,"[9, 8, 5]",rainbow,8,6,4,7.488245722295082,9,"[9, 8, 5]",7.488245722295082
12,"[9, 8, 4]",rainbow,4,3,2,7.885423585836063,9,"[9, 8, 4]",7.885423585836063
13,"[9, 8, 3]",rainbow,8,6,4,7.870130976327866,9,"[9, 8, 3]",7.870130976327866
14,"[9, 8, 2]",rainbow,1,1,1,7.879442342950817,9,"[9, 8, 2]",7.879442342950817
15,"[9, 7, 7]",rainbow,16,11,8,7.1280155427819905,9,"[9, 7, 7]",7.1280155427819905
16,"[9, 7, 6]",rainbow,15,10,7,5.664776001692728,9,"[9, 7, 6]",5.664776001692728
17,"[9, 7, 5]",rainbow,15,10,7,7.525395202295082,9,"[9, 7, 5]",7.525395202295082
18,"[9, 7, 4]",rainbow,16,11,8,7.839587626754099,9,"[9, 7, 4]",7.839587626754099
19,"[9, 7, 3]",rainbow,8,6,4,7.850043448262294,9,"[9, 7, 3]",7.850043448262294
20,"[9, 7, 2]",rainbow,10,7,5,7.865320901114755,9,"[9, 7, 2]",7.865320901114755
21,"[9, 6, 6]",rainbow,10,7,5,5.545434544785321,9,"[9, 6, 6]",5.545434544785321
22,"[9, 6, 5]",rainbow,8,6,4,5.427009095081966,9,"[9, 6, 5]",5.427009095081966
23,"[9, 6, 4]",rainbow,16,11,8,5.7375174946448055,9,"[9, 6, 4]",5.7375174946448055
24,"[9, 6, 3]",rainbow,10,7,5,5.752584185792347,9,"[9, 6, 3]",5.752584185792347
25,"[9, 6, 2]",rainbow,10,7,5,5.75692842251366,9,"[9, 6, 2]",5.75692842251366
26,"[9, 5, 5]",rainbow,3,2,2,6.74975733064236,9,"[9, 5, 5]",6.74975733064236
27,"[9, 5, 4]",rainbow,16,11,8,8.224961698662748,9,"[9, 5, 4]",8.224961698662748
28,"[9, 5, 3]",rainbow,16,11,8,8.219991442412747,9,"[9, 5, 3]",8.219991442412747
29,"[9, 5, 2]",rainbow,15,10,7,8.256803921787748,9,"[9, 5, 2]",8.256803921787748
30,"[9, 4, 4]",rainbow,2,2,2,6.783593183142358,9,"[9, 4, 4]",6.783593183142358
31,"[9, 4, 3]",rainbow,15,10,7,7.733675956150732,9,"[9, 4, 3]",7.733675956150732
32,"[9, 4, 2]",rainbow,1,1,1,7.7726776966194775,9,"[9, 4, 2]",7.7726776966194775
33,"[9, 3, 3]",rainbow,16,11,8,6.786166585173607,9,"[9, 3, 3]",6.786166585173607
34,"[9, 3, 2]",rainbow,8,6,4,7.777410534275728,9,"[9, 3, 2]",7.777410534275728
35,"[9, 2, 2]",rainbow,16,11,8,6.787554333767358,9,"[9, 2, 2]",6.787554333767358
36,"[8, 8, 8]",rainbow,10,7,5,9.072357906871794,8,"[8, 8, 8]",9.072357906871794
37,"[8, 8, 7]",rainbow,1,1,1,8.076668953935481,8,"[8, 8, 7]",8.076668953935481
38,"[8, 8, 6]",rainbow,16,11,8,8.382043472064513,8,"[8, 8, 6]",8.382043472064513
39,"[8, 8, 5]",rainbow,1,1,1,8.567875511838055,8,"[8, 8, 5]",8.567875511838055
40,"[8, 8, 4]",rainbow,16,11,8,8.676300108254344,8,"[8, 8, 4]",8.676300108254344
41,"[8, 8, 3]",rainbow,3,2,2,8.702199766715884,8,"[8, 8, 3]",8.702199766715884
42,"[8, 8, 2]",rainbow,1,1,1,8.696188598715882,8,"[8, 8, 2]",8.696188598715882
43,"[8, 7, 7]",rainbow,8,6,4,7.960812472387094,8,"[8, 7, 7]",7.960812472387094
44,"[8, 7, 6]",rainbow,3,2,2,-1.148298384406778,8,"[8, 7, 6]",-1.148298384406778
