,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,2,2,2,0.4750219527619288,9,"[9, 9, 9]",0.4750219527619288
1,"[9, 9, 8]",rainbow,10,7,5,0.7627358585576632,9,"[9, 9, 8]",0.7627358585576632
2,"[9, 9, 7]",rainbow,1,1,1,0.4611411832988167,9,"[9, 9, 7]",0.4611411832988167
3,"[9, 9, 6]",rainbow,8,6,4,0.48893750774583006,9,"[9, 9, 6]",0.48893750774583006
4,"[9, 9, 5]",rainbow,1,1,1,0.4102838228740432,9,"[9, 9, 5]",0.4102838228740432
5,"[9, 9, 4]",rainbow,10,7,5,0.3961203434526172,9,"[9, 9, 4]",0.3961203434526172
6,"[9, 9, 3]",rainbow,10,7,5,0.3793186498242821,9,"[9, 9, 3]",0.3793186498242821
7,"[9, 9, 2]",rainbow,10,7,5,0.4741808764794842,9,"[9, 9, 2]",0.4741808764794842
8,"[9, 8, 8]",rainbow,10,7,5,0.9884561835021841,9,"[9, 8, 8]",0.9884561835021841
9,"[9, 8, 7]",rainbow,2,2,2,1.0756125995285633,9,"[9, 8, 7]",1.0756125995285633
10,"[9, 8, 6]",rainbow,2,2,2,0.7299716001856003,9,"[9, 8, 6]",0.7299716001856003
11,"[9, 8, 5]",rainbow,8,6,4,0.6254903927911699,9,"[9, 8, 5]",0.6254903927911699
12,"[9, 8, 4]",rainbow,8,6,4,0.6655184600033793,9,"[9, 8, 4]",0.6655184600033793
13,"[9, 8, 3]",rainbow,2,2,2,0.5758081003172529,9,"[9, 8, 3]",0.5758081003172529
14,"[9, 8, 2]",rainbow,8,6,4,0.6338752265660643,9,"[9, 8, 2]",0.6338752265660643
15,"[9, 7, 7]",rainbow,10,7,5,0.493166889541549,9,"[9, 7, 7]",0.493166889541549
16,"[9, 7, 6]",rainbow,8,6,4,0.7978123977758693,9,"[9, 7, 6]",0.7978123977758693
17,"[9, 7, 5]",rainbow,1,1,1,0.5279272420702538,9,"[9, 7, 5]",0.5279272420702538
18,"[9, 7, 4]",rainbow,8,6,4,0.4050781495538519,9,"[9, 7, 4]",0.4050781495538519
19,"[9, 7, 3]",rainbow,1,1,1,0.34936731677827343,9,"[9, 7, 3]",0.34936731677827343
20,"[9, 7, 2]",rainbow,8,6,4,0.3301526238447682,9,"[9, 7, 2]",0.3301526238447682
21,"[9, 6, 6]",rainbow,10,7,5,0.6047470858278998,9,"[9, 6, 6]",0.6047470858278998
22,"[9, 6, 5]",rainbow,1,1,1,0.3776891524230532,9,"[9, 6, 5]",0.3776891524230532
23,"[9, 6, 4]",rainbow,8,6,4,0.4709473802522236,9,"[9, 6, 4]",0.4709473802522236
24,"[9, 6, 3]",rainbow,8,6,4,0.4264100744185593,9,"[9, 6, 3]",0.4264100744185593
25,"[9, 6, 2]",rainbow,8,6,4,0.38182449302466026,9,"[9, 6, 2]",0.38182449302466026
26,"[9, 5, 5]",rainbow,10,7,5,0.4844921760052585,9,"[9, 5, 5]",0.4844921760052585
27,"[9, 5, 4]",rainbow,1,1,1,0.3170435612355688,9,"[9, 5, 4]",0.3170435612355688
28,"[9, 5, 3]",rainbow,1,1,1,0.3002058926265577,9,"[9, 5, 3]",0.3002058926265577
29,"[9, 5, 2]",rainbow,1,1,1,0.3147927516175569,9,"[9, 5, 2]",0.3147927516175569
30,"[9, 4, 4]",rainbow,10,7,5,0.3711882801553499,9,"[9, 4, 4]",0.3711882801553499
31,"[9, 4, 3]",rainbow,8,6,4,0.2867452712352577,9,"[9, 4, 3]",0.2867452712352577
32,"[9, 4, 2]",rainbow,1,1,1,0.2176188205453551,9,"[9, 4, 2]",0.2176188205453551
33,"[9, 3, 3]",rainbow,10,7,5,0.27296444946563525,9,"[9, 3, 3]",0.27296444946563525
34,"[9, 3, 2]",rainbow,1,1,1,0.20215136652397075,9,"[9, 3, 2]",0.20215136652397075
35,"[9, 2, 2]",rainbow,10,7,5,0.3394010700854403,9,"[9, 2, 2]",0.3394010700854403
36,"[8, 8, 8]",rainbow,16,11,8,0.5934235741386787,8,"[8, 8, 8]",0.5934235741386787
37,"[8, 8, 7]",rainbow,15,10,7,0.8295134635630411,8,"[8, 8, 7]",0.8295134635630411
38,"[8, 8, 6]",rainbow,2,2,2,0.8023050383382317,8,"[8, 8, 6]",0.8023050383382317
39,"[8, 8, 5]",rainbow,10,7,5,0.7148889510397046,8,"[8, 8, 5]",0.7148889510397046
40,"[8, 8, 4]",rainbow,2,2,2,0.6771938698032628,8,"[8, 8, 4]",0.6771938698032628
41,"[8, 8, 3]",rainbow,10,7,5,0.6090690659362855,8,"[8, 8, 3]",0.6090690659362855
42,"[8, 8, 2]",rainbow,10,7,5,0.6962158531430334,8,"[8, 8, 2]",0.6962158531430334
43,"[8, 7, 7]",rainbow,15,10,7,0.6621240761105498,8,"[8, 7, 7]",0.6621240761105498
44,"[8, 7, 6]",rainbow,8,6,4,1.0109055040772428,8,"[8, 7, 6]",1.0109055040772428
45,"[8, 7, 5]",rainbow,8,6,4,0.6438455177368659,8,"[8, 7, 5]",0.6438455177368659
46,"[8, 7, 4]",rainbow,8,6,4,0.8008716842020559,8,"[8, 7, 4]",0.8008716842020559
47,"[8, 7, 3]",rainbow,8,6,4,0.472472098404838,8,"[8, 7, 3]",0.472472098404838
48,"[8, 7, 2]",rainbow,8,6,4,0.4778684515535559,8,"[8, 7, 2]",0.4778684515535559
49,"[8, 6, 6]",rainbow,15,10,7,0.627203151461621,8,"[8, 6, 6]",0.627203151461621
50,"[8, 6, 5]",rainbow,2,2,2,0.7392500180216768,8,"[8, 6, 5]",0.7392500180216768
51,"[8, 6, 4]",rainbow,8,6,4,0.5518176274887264,8,"[8, 6, 4]",0.5518176274887264
52,"[8, 6, 3]",rainbow,8,6,4,0.5395861971757795,8,"[8, 6, 3]",0.5395861971757795
53,"[8, 6, 2]",rainbow,8,6,4,0.5643415234799768,8,"[8, 6, 2]",0.5643415234799768
54,"[8, 5, 5]",rainbow,10,7,5,0.6339002958734055,8,"[8, 5, 5]",0.6339002958734055
55,"[8, 5, 4]",rainbow,2,2,2,0.4406640723233647,8,"[8, 5, 4]",0.4406640723233647
56,"[8, 5, 3]",rainbow,1,1,1,0.4471330458480198,8,"[8, 5, 3]",0.4471330458480198
57,"[8, 5, 2]",rainbow,1,1,1,0.4505266973874028,8,"[8, 5, 2]",0.4505266973874028
58,"[8, 4, 4]",rainbow,10,7,5,0.5766900862495289,8,"[8, 4, 4]",0.5766900862495289
59,"[8, 4, 3]",rainbow,1,1,1,0.5039046881470151,8,"[8, 4, 3]",0.5039046881470151
60,"[8, 4, 2]",rainbow,1,1,1,0.503380915767164,8,"[8, 4, 2]",0.503380915767164
61,"[8, 3, 3]",rainbow,10,7,5,0.4414443560694871,8,"[8, 3, 3]",0.4414443560694871
62,"[8, 3, 2]",rainbow,1,1,1,0.3973110331754646,8,"[8, 3, 2]",0.3973110331754646
63,"[8, 2, 2]",rainbow,10,7,5,0.5074650863853372,8,"[8, 2, 2]",0.5074650863853372
64,"[7, 7, 7]",rainbow,1,1,1,0.25303033154126764,7,"[7, 7, 7]",0.25303033154126764
65,"[7, 7, 6]",rainbow,1,1,1,0.4612033886918469,7,"[7, 7, 6]",0.4612033886918469
66,"[7, 7, 5]",rainbow,1,1,1,0.4306647539013878,7,"[7, 7, 5]",0.4306647539013878
67,"[7, 7, 4]",rainbow,1,1,1,0.3852472141817195,7,"[7, 7, 4]",0.3852472141817195
68,"[7, 7, 3]",rainbow,2,2,2,0.3351647505043686,7,"[7, 7, 3]",0.3351647505043686
69,"[7, 7, 2]",rainbow,1,1,1,0.31813173370323866,7,"[7, 7, 2]",0.31813173370323866
70,"[7, 6, 6]",rainbow,16,11,8,0.4499523402256076,7,"[7, 6, 6]",0.4499523402256076
71,"[7, 6, 5]",rainbow,1,1,1,0.5427832450823775,7,"[7, 6, 5]",0.5427832450823775
72,"[7, 6, 4]",rainbow,2,2,2,0.4032640925986825,7,"[7, 6, 4]",0.4032640925986825
73,"[7, 6, 3]",rainbow,1,1,1,0.5121545592923078,7,"[7, 6, 3]",0.5121545592923078
74,"[7, 6, 2]",rainbow,1,1,1,0.3535227948279012,7,"[7, 6, 2]",0.3535227948279012
75,"[7, 5, 5]",rainbow,8,6,4,0.4033579196521169,7,"[7, 5, 5]",0.4033579196521169
76,"[7, 5, 4]",rainbow,1,1,1,0.5306244987532708,7,"[7, 5, 4]",0.5306244987532708
77,"[7, 5, 3]",rainbow,8,6,4,0.2558278122662566,7,"[7, 5, 3]",0.2558278122662566
78,"[7, 5, 2]",rainbow,1,1,1,0.279685090852416,7,"[7, 5, 2]",0.279685090852416
79,"[7, 4, 4]",rainbow,10,7,5,0.3349765631123265,7,"[7, 4, 4]",0.3349765631123265
80,"[7, 4, 3]",rainbow,1,1,1,0.4261690046125116,7,"[7, 4, 3]",0.4261690046125116
81,"[7, 4, 2]",rainbow,1,1,1,0.26993484800000017,7,"[7, 4, 2]",0.26993484800000017
82,"[7, 3, 3]",rainbow,10,7,5,0.1882075612619467,7,"[7, 3, 3]",0.1882075612619467
83,"[7, 3, 2]",rainbow,1,1,1,0.2297801537297794,7,"[7, 3, 2]",0.2297801537297794
84,"[7, 2, 2]",rainbow,10,7,5,0.20551684395515227,7,"[7, 2, 2]",0.20551684395515227
85,"[6, 6, 6]",rainbow,8,6,4,0.2823574387778621,6,"[6, 6, 6]",0.2823574387778621
86,"[6, 6, 5]",rainbow,1,1,1,0.4336264234752274,6,"[6, 6, 5]",0.4336264234752274
87,"[6, 6, 4]",rainbow,8,6,4,0.4461846418157649,6,"[6, 6, 4]",0.4461846418157649
88,"[6, 6, 3]",rainbow,10,7,5,0.4315449921719366,6,"[6, 6, 3]",0.4315449921719366
89,"[6, 6, 2]",rainbow,10,7,5,0.4089481403953724,6,"[6, 6, 2]",0.4089481403953724
90,"[6, 5, 5]",rainbow,8,6,4,0.2862676919526148,6,"[6, 5, 5]",0.2862676919526148
91,"[6, 5, 4]",rainbow,1,1,1,0.35080855744855943,6,"[6, 5, 4]",0.35080855744855943
92,"[6, 5, 3]",rainbow,8,6,4,0.2913789114493498,6,"[6, 5, 3]",0.2913789114493498
93,"[6, 5, 2]",rainbow,1,1,1,0.2853596019232322,6,"[6, 5, 2]",0.2853596019232322
94,"[6, 4, 4]",rainbow,8,6,4,0.3765307005644463,6,"[6, 4, 4]",0.3765307005644463
95,"[6, 4, 3]",rainbow,1,1,1,0.3075710048365876,6,"[6, 4, 3]",0.3075710048365876
96,"[6, 4, 2]",rainbow,8,6,4,0.30165114506941243,6,"[6, 4, 2]",0.30165114506941243
97,"[6, 3, 3]",rainbow,10,7,5,0.25047500508116505,6,"[6, 3, 3]",0.25047500508116505
98,"[6, 3, 2]",rainbow,2,2,2,0.3962852945907823,6,"[6, 3, 2]",0.3962852945907823
99,"[6, 2, 2]",rainbow,10,7,5,0.2428210231326444,6,"[6, 2, 2]",0.2428210231326444
100,"[5, 5, 5]",rainbow,2,2,2,0.09153475258597417,5,"[5, 5, 5]",0.09153475258597417
101,"[5, 5, 4]",rainbow,1,1,1,0.28215623040694976,5,"[5, 5, 4]",0.28215623040694976
102,"[5, 5, 3]",rainbow,1,1,1,0.2468714831819241,5,"[5, 5, 3]",0.2468714831819241
103,"[5, 5, 2]",rainbow,10,7,5,0.2137844440677747,5,"[5, 5, 2]",0.2137844440677747
104,"[5, 4, 4]",rainbow,8,6,4,0.1268790370942861,5,"[5, 4, 4]",0.1268790370942861
105,"[5, 4, 3]",rainbow,1,1,1,0.35952496553253005,5,"[5, 4, 3]",0.35952496553253005
106,"[5, 4, 2]",rainbow,2,2,2,0.27055299158247104,5,"[5, 4, 2]",0.27055299158247104
107,"[5, 3, 3]",rainbow,8,6,4,0.13851935897304096,5,"[5, 3, 3]",0.13851935897304096
108,"[5, 3, 2]",rainbow,1,1,1,0.2862137039753225,5,"[5, 3, 2]",0.2862137039753225
109,"[5, 2, 2]",rainbow,10,7,5,0.11612999829105253,5,"[5, 2, 2]",0.11612999829105253
110,"[4, 4, 4]",rainbow,3,2,2,0.010475665706348593,4,"[4, 4, 4]",0.010475665706348593
111,"[4, 4, 3]",rainbow,1,1,1,0.21025428674960034,4,"[4, 4, 3]",0.21025428674960034
112,"[4, 4, 2]",rainbow,1,1,1,0.14461217749753147,4,"[4, 4, 2]",0.14461217749753147
113,"[4, 3, 3]",rainbow,8,6,4,0.09292078865678201,4,"[4, 3, 3]",0.09292078865678201
114,"[4, 3, 2]",rainbow,1,1,1,0.4949229466926828,4,"[4, 3, 2]",0.4949229466926828
115,"[4, 2, 2]",rainbow,10,7,5,0.1003050665322345,4,"[4, 2, 2]",0.1003050665322345
116,"[3, 3, 3]",rainbow,1,1,1,-0.10132388977927533,3,"[3, 3, 3]",-0.10132388977927533
117,"[3, 3, 2]",rainbow,10,7,5,0.06825444666334382,3,"[3, 3, 2]",0.06825444666334382
118,"[3, 2, 2]",rainbow,10,7,5,0.05047298241349718,3,"[3, 2, 2]",0.05047298241349718
119,"[2, 2, 2]",rainbow,8,6,4,0.003936849905485318,2,"[2, 2, 2]",0.003936849905485318
120,"[14, 9, 9]",rainbow,8,6,4,0.5425924531207633,14,"[14, 9, 9]",0.5425924531207633
