,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,1,1,1,6.444092156028369,9,"[9, 9, 9]",6.444092156028369
1,"[9, 9, 8]",rainbow,3,2,2,5.296271270454547,9,"[9, 9, 8]",5.296271270454547
2,"[9, 9, 7]",rainbow,8,6,4,5.572044225000001,9,"[9, 9, 7]",5.572044225000001
3,"[9, 9, 6]",rainbow,3,2,2,6.100095075987843,9,"[9, 9, 6]",6.100095075987843
4,"[9, 9, 5]",rainbow,4,3,2,6.100395331306991,9,"[9, 9, 5]",6.100395331306991
5,"[9, 9, 4]",rainbow,16,11,8,6.101485544072949,9,"[9, 9, 4]",6.101485544072949
6,"[9, 9, 3]",rainbow,15,10,7,6.097571501519758,9,"[9, 9, 3]",6.097571501519758
7,"[9, 9, 2]",rainbow,1,1,1,6.1018108206686925,9,"[9, 9, 2]",6.1018108206686925
8,"[9, 8, 8]",rainbow,10,7,5,5.270717897727273,9,"[9, 8, 8]",5.270717897727273
9,"[9, 8, 7]",rainbow,8,6,4,3.839361841463414,9,"[9, 8, 7]",3.839361841463414
10,"[9, 8, 6]",rainbow,16,11,8,5.152050143181818,9,"[9, 8, 6]",5.152050143181818
11,"[9, 8, 5]",rainbow,15,10,7,5.2095024204545455,9,"[9, 8, 5]",5.2095024204545455
12,"[9, 8, 4]",rainbow,10,7,5,5.184280036363637,9,"[9, 8, 4]",5.184280036363637
13,"[9, 8, 3]",rainbow,1,1,1,5.178999968181818,9,"[9, 8, 3]",5.178999968181818
14,"[9, 8, 2]",rainbow,1,1,1,5.181560822727274,9,"[9, 8, 2]",5.181560822727274
15,"[9, 7, 7]",rainbow,4,3,2,5.545920559090911,9,"[9, 7, 7]",5.545920559090911
16,"[9, 7, 6]",rainbow,15,10,7,5.431792527272728,9,"[9, 7, 6]",5.431792527272728
17,"[9, 7, 5]",rainbow,15,10,7,5.484163568181819,9,"[9, 7, 5]",5.484163568181819
18,"[9, 7, 4]",rainbow,10,7,5,5.4621742295454565,9,"[9, 7, 4]",5.4621742295454565
19,"[9, 7, 3]",rainbow,2,2,2,5.4584138931818185,9,"[9, 7, 3]",5.4584138931818185
20,"[9, 7, 2]",rainbow,16,11,8,5.461448202272726,9,"[9, 7, 2]",5.461448202272726
21,"[9, 6, 6]",rainbow,4,3,2,5.860117709966407,9,"[9, 6, 6]",5.860117709966407
22,"[9, 6, 5]",rainbow,1,1,1,5.933195244680852,9,"[9, 6, 5]",5.933195244680852
23,"[9, 6, 4]",rainbow,1,1,1,5.936097544232923,9,"[9, 6, 4]",5.936097544232923
24,"[9, 6, 3]",rainbow,1,1,1,5.936926820828668,9,"[9, 6, 3]",5.936926820828668
25,"[9, 6, 2]",rainbow,1,1,1,5.9331378846584535,9,"[9, 6, 2]",5.9331378846584535
26,"[9, 5, 5]",rainbow,3,2,2,5.861704773796192,9,"[9, 5, 5]",5.861704773796192
27,"[9, 5, 4]",rainbow,2,2,2,6.029643427771558,9,"[9, 5, 4]",6.029643427771558
28,"[9, 5, 3]",rainbow,2,2,2,6.025214661814108,9,"[9, 5, 3]",6.025214661814108
29,"[9, 5, 2]",rainbow,8,6,4,6.027398661814108,9,"[9, 5, 2]",6.027398661814108
30,"[9, 4, 4]",rainbow,16,11,8,5.865036178051512,9,"[9, 4, 4]",5.865036178051512
31,"[9, 4, 3]",rainbow,16,11,8,6.031616534154537,9,"[9, 4, 3]",6.031616534154537
32,"[9, 4, 2]",rainbow,4,3,2,6.030372619260919,9,"[9, 4, 2]",6.030372619260919
33,"[9, 3, 3]",rainbow,3,2,2,5.860707497200449,9,"[9, 3, 3]",5.860707497200449
34,"[9, 3, 2]",rainbow,16,11,8,6.035369725643897,9,"[9, 3, 2]",6.035369725643897
35,"[9, 2, 2]",rainbow,15,10,7,5.857243837625981,9,"[9, 2, 2]",5.857243837625981
36,"[8, 8, 8]",rainbow,10,7,5,6.567310184042554,8,"[8, 8, 8]",6.567310184042554
37,"[8, 8, 7]",rainbow,2,2,2,5.585906154545455,8,"[8, 8, 7]",5.585906154545455
38,"[8, 8, 6]",rainbow,8,6,4,6.132899023404256,8,"[8, 8, 6]",6.132899023404256
39,"[8, 8, 5]",rainbow,15,10,7,6.138465497872343,8,"[8, 8, 5]",6.138465497872343
40,"[8, 8, 4]",rainbow,1,1,1,6.135379927659574,8,"[8, 8, 4]",6.135379927659574
41,"[8, 8, 3]",rainbow,4,3,2,6.1410691404255315,8,"[8, 8, 3]",6.1410691404255315
42,"[8, 8, 2]",rainbow,15,10,7,6.137025523404256,8,"[8, 8, 2]",6.137025523404256
43,"[8, 7, 7]",rainbow,15,10,7,5.562839277272729,8,"[8, 7, 7]",5.562839277272729
44,"[8, 7, 6]",rainbow,16,11,8,5.358648449999999,8,"[8, 7, 6]",5.358648449999999
45,"[8, 7, 5]",rainbow,16,11,8,5.4622794409090885,8,"[8, 7, 5]",5.4622794409090885
46,"[8, 7, 4]",rainbow,15,10,7,5.484379936363636,8,"[8, 7, 4]",5.484379936363636
47,"[8, 7, 3]",rainbow,1,1,1,5.4393832363636365,8,"[8, 7, 3]",5.4393832363636365
48,"[8, 7, 2]",rainbow,16,11,8,5.431877072727271,8,"[8, 7, 2]",5.431877072727271
49,"[8, 6, 6]",rainbow,1,1,1,5.907769640425532,8,"[8, 6, 6]",5.907769640425532
50,"[8, 6, 5]",rainbow,10,7,5,5.933362184042553,8,"[8, 6, 5]",5.933362184042553
51,"[8, 6, 4]",rainbow,1,1,1,5.981042080851062,8,"[8, 6, 4]",5.981042080851062
52,"[8, 6, 3]",rainbow,2,2,2,5.960287423404255,8,"[8, 6, 3]",5.960287423404255
53,"[8, 6, 2]",rainbow,2,2,2,5.955375344680849,8,"[8, 6, 2]",5.955375344680849
54,"[8, 5, 5]",rainbow,15,10,7,5.913806514893618,8,"[8, 5, 5]",5.913806514893618
55,"[8, 5, 4]",rainbow,10,7,5,6.107949392553191,8,"[8, 5, 4]",6.107949392553191
56,"[8, 5, 3]",rainbow,16,11,8,6.077393878723403,8,"[8, 5, 3]",6.077393878723403
57,"[8, 5, 2]",rainbow,2,2,2,6.081768357446808,8,"[8, 5, 2]",6.081768357446808
58,"[8, 4, 4]",rainbow,15,10,7,5.9066717425531925,8,"[8, 4, 4]",5.9066717425531925
59,"[8, 4, 3]",rainbow,15,10,7,6.0828977106382975,8,"[8, 4, 3]",6.0828977106382975
