,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,10,7,5,3.5987950512129387,9,"[9, 9, 8]",3.5987950512129387
1,"[9, 9, 7]",two-tone,10,7,5,3.7926737433962265,9,"[9, 9, 7]",3.7926737433962265
2,"[9, 9, 6]",two-tone,10,7,5,4.272544469387757,9,"[9, 9, 6]",4.272544469387757
3,"[9, 9, 5]",two-tone,16,11,8,4.7339446762987025,9,"[9, 9, 5]",4.7339446762987025
4,"[9, 9, 4]",two-tone,8,6,4,4.735512058441558,9,"[9, 9, 4]",4.735512058441558
5,"[9, 9, 3]",two-tone,16,11,8,4.737495525,9,"[9, 9, 3]",4.737495525
6,"[9, 9, 2]",two-tone,16,11,8,4.734000023376622,9,"[9, 9, 2]",4.734000023376622
7,"[9, 8, 8]",two-tone,1,1,1,4.236042463865546,9,"[9, 8, 8]",4.236042463865546
8,"[9, 8, 7]",two-tone,1,1,1,2.9884898714285724,9,"[9, 8, 7]",2.9884898714285724
9,"[9, 8, 6]",two-tone,10,7,5,4.031834805194805,9,"[9, 8, 6]",4.031834805194805
10,"[9, 8, 5]",two-tone,10,7,5,4.6108301456149725,9,"[9, 8, 5]",4.6108301456149725
11,"[9, 8, 4]",two-tone,1,1,1,4.628345581604278,9,"[9, 8, 4]",4.628345581604278
12,"[9, 8, 3]",two-tone,3,2,2,4.628132228663102,9,"[9, 8, 3]",4.628132228663102
13,"[9, 8, 2]",two-tone,2,2,2,4.6261062808556135,9,"[9, 8, 2]",4.6261062808556135
14,"[9, 7, 7]",two-tone,16,11,8,4.426924326050422,9,"[9, 7, 7]",4.426924326050422
15,"[9, 7, 6]",two-tone,15,10,7,4.357447831168832,9,"[9, 7, 6]",4.357447831168832
16,"[9, 7, 5]",two-tone,15,10,7,4.917283327860963,9,"[9, 7, 5]",4.917283327860963
17,"[9, 7, 4]",two-tone,10,7,5,4.936100475401068,9,"[9, 7, 4]",4.936100475401068
18,"[9, 7, 3]",two-tone,1,1,1,4.938825574331551,9,"[9, 7, 3]",4.938825574331551
19,"[9, 7, 2]",two-tone,15,10,7,4.857384618930482,9,"[9, 7, 2]",4.857384618930482
20,"[9, 6, 6]",two-tone,4,3,2,4.742334171428572,9,"[9, 6, 6]",4.742334171428572
21,"[9, 6, 5]",two-tone,1,1,1,5.271474076363637,9,"[9, 6, 5]",5.271474076363637
22,"[9, 6, 4]",two-tone,8,6,4,5.293463954545455,9,"[9, 6, 4]",5.293463954545455
23,"[9, 6, 3]",two-tone,8,6,4,5.297292454545456,9,"[9, 6, 3]",5.297292454545456
24,"[9, 6, 2]",two-tone,16,11,8,5.23167452909091,9,"[9, 6, 2]",5.23167452909091
25,"[9, 5, 5]",two-tone,10,7,5,5.835471637037037,9,"[9, 5, 5]",5.835471637037037
26,"[9, 5, 4]",two-tone,15,10,7,6.465844333333332,9,"[9, 5, 4]",6.465844333333332
27,"[9, 5, 3]",two-tone,8,6,4,6.462431111111113,9,"[9, 5, 3]",6.462431111111113
28,"[9, 5, 2]",two-tone,10,7,5,6.435929166666668,9,"[9, 5, 2]",6.435929166666668
29,"[9, 4, 4]",two-tone,15,10,7,5.835365807407408,9,"[9, 4, 4]",5.835365807407408
30,"[9, 4, 3]",two-tone,1,1,1,6.478101166666666,9,"[9, 4, 3]",6.478101166666666
31,"[9, 4, 2]",two-tone,8,6,4,6.4350328888888875,9,"[9, 4, 2]",6.4350328888888875
32,"[9, 3, 3]",two-tone,16,11,8,5.8422555185185185,9,"[9, 3, 3]",5.8422555185185185
33,"[9, 3, 2]",two-tone,1,1,1,6.428467888888888,9,"[9, 3, 2]",6.428467888888888
34,"[9, 2, 2]",two-tone,16,11,8,5.8475004888888895,9,"[9, 2, 2]",5.8475004888888895
35,"[8, 8, 7]",two-tone,15,10,7,4.325022685714285,8,"[8, 8, 7]",4.325022685714285
36,"[8, 8, 6]",two-tone,16,11,8,4.929857962597404,8,"[8, 8, 6]",4.929857962597404
37,"[8, 8, 5]",two-tone,16,11,8,5.475511646280992,8,"[8, 8, 5]",5.475511646280992
38,"[8, 8, 4]",two-tone,16,11,8,5.485230967140497,8,"[8, 8, 4]",5.485230967140497
39,"[8, 8, 3]",two-tone,16,11,8,5.451407503537191,8,"[8, 8, 3]",5.451407503537191
40,"[8, 8, 2]",two-tone,1,1,1,5.453088872826448,8,"[8, 8, 2]",5.453088872826448
41,"[8, 7, 7]",two-tone,16,11,8,4.3062096,8,"[8, 7, 7]",4.3062096
42,"[8, 7, 6]",two-tone,1,1,1,3.9624849428571434,8,"[8, 7, 6]",3.9624849428571434
43,"[8, 7, 5]",two-tone,1,1,1,4.983305078181821,8,"[8, 7, 5]",4.983305078181821
44,"[8, 7, 4]",two-tone,16,11,8,5.0898165409090925,8,"[8, 7, 4]",5.0898165409090925
45,"[8, 7, 3]",two-tone,1,1,1,4.7932714145454565,8,"[8, 7, 3]",4.7932714145454565
46,"[8, 7, 2]",two-tone,1,1,1,4.785879943636365,8,"[8, 7, 2]",4.785879943636365
47,"[8, 6, 6]",two-tone,2,2,2,4.772529085714289,8,"[8, 6, 6]",4.772529085714289
48,"[8, 6, 5]",two-tone,1,1,1,5.470531805256199,8,"[8, 6, 5]",5.470531805256199
49,"[8, 6, 4]",two-tone,10,7,5,5.571424853603307,8,"[8, 6, 4]",5.571424853603307
50,"[8, 6, 3]",two-tone,8,6,4,5.328340495933885,8,"[8, 6, 3]",5.328340495933885
51,"[8, 6, 2]",two-tone,8,6,4,5.334360956231406,8,"[8, 6, 2]",5.334360956231406
52,"[8, 5, 5]",two-tone,3,2,2,5.9798129971717175,8,"[8, 5, 5]",5.9798129971717175
53,"[8, 5, 4]",two-tone,1,1,1,6.581052283333333,8,"[8, 5, 4]",6.581052283333333
54,"[8, 5, 3]",two-tone,10,7,5,6.602190303030303,8,"[8, 5, 3]",6.602190303030303
55,"[8, 5, 2]",two-tone,16,11,8,6.591403178787881,8,"[8, 5, 2]",6.591403178787881
56,"[8, 4, 4]",two-tone,10,7,5,5.993636724444445,8,"[8, 4, 4]",5.993636724444445
57,"[8, 4, 3]",two-tone,2,2,2,6.601302481818182,8,"[8, 4, 3]",6.601302481818182
58,"[8, 4, 2]",two-tone,10,7,5,6.5954040272727275,8,"[8, 4, 2]",6.5954040272727275
59,"[8, 3, 3]",two-tone,15,10,7,5.962272646060606,8,"[8, 3, 3]",5.962272646060606
60,"[8, 3, 2]",two-tone,15,10,7,6.5651160363636345,8,"[8, 3, 2]",6.5651160363636345
61,"[8, 2, 2]",two-tone,16,11,8,5.9716689935353555,8,"[8, 2, 2]",5.9716689935353555
62,"[7, 7, 6]",two-tone,16,11,8,4.8152266503896115,7,"[7, 7, 6]",4.8152266503896115
63,"[7, 7, 5]",two-tone,16,11,8,5.3492477577520665,7,"[7, 7, 5]",5.3492477577520665
64,"[7, 7, 4]",two-tone,16,11,8,5.364115500198348,7,"[7, 7, 4]",5.364115500198348
65,"[7, 7, 3]",two-tone,3,2,2,5.3369272683966935,7,"[7, 7, 3]",5.3369272683966935
66,"[7, 7, 2]",two-tone,8,6,4,5.2551107812561995,7,"[7, 7, 2]",5.2551107812561995
67,"[7, 6, 6]",two-tone,1,1,1,4.6580273548051965,7,"[7, 6, 6]",4.6580273548051965
68,"[7, 6, 5]",two-tone,10,7,5,5.833467245355372,7,"[7, 6, 5]",5.833467245355372
69,"[7, 6, 4]",two-tone,10,7,5,5.984208562710744,7,"[7, 6, 4]",5.984208562710744
70,"[7, 6, 3]",two-tone,1,1,1,5.804745841685951,7,"[7, 6, 3]",5.804745841685951
71,"[7, 6, 2]",two-tone,16,11,8,5.157587805421488,7,"[7, 6, 2]",5.157587805421488
72,"[7, 5, 5]",two-tone,8,6,4,5.983720177373737,7,"[7, 5, 5]",5.983720177373737
73,"[7, 5, 4]",two-tone,15,10,7,6.772957377272728,7,"[7, 5, 4]",6.772957377272728
74,"[7, 5, 3]",two-tone,8,6,4,6.887752439393939,7,"[7, 5, 3]",6.887752439393939
75,"[7, 5, 2]",two-tone,10,7,5,6.5600373696969685,7,"[7, 5, 2]",6.5600373696969685
76,"[7, 4, 4]",two-tone,10,7,5,5.998869600000001,7,"[7, 4, 4]",5.998869600000001
77,"[7, 4, 3]",two-tone,10,7,5,6.9008155484848475,7,"[7, 4, 3]",6.9008155484848475
78,"[7, 4, 2]",two-tone,1,1,1,6.5642323909090905,7,"[7, 4, 2]",6.5642323909090905
79,"[7, 3, 3]",two-tone,2,2,2,5.975763468282827,7,"[7, 3, 3]",5.975763468282827
80,"[7, 3, 2]",two-tone,1,1,1,6.535565066666668,7,"[7, 3, 2]",6.535565066666668
81,"[7, 2, 2]",two-tone,10,7,5,5.899363397979799,7,"[7, 2, 2]",5.899363397979799
82,"[6, 6, 5]",two-tone,15,10,7,5.352136720062696,6,"[6, 6, 5]",5.352136720062696
83,"[6, 6, 4]",two-tone,2,2,2,5.3578175040752365,6,"[6, 6, 4]",5.3578175040752365
84,"[6, 6, 3]",two-tone,10,7,5,5.33776515893417,6,"[6, 6, 3]",5.33776515893417
85,"[6, 6, 2]",two-tone,8,6,4,5.276203561128527,6,"[6, 6, 2]",5.276203561128527
86,"[6, 5, 5]",two-tone,8,6,4,6.158197490421458,6,"[6, 5, 5]",6.158197490421458
