,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 9]",rainbow,8,6,4,3.9949069397111616,9,"[9, 9, 9]",3.9949069397111616
1,"[9, 9, 8]",rainbow,8,6,4,3.1020937366167805,9,"[9, 9, 8]",3.1020937366167805
2,"[9, 9, 7]",rainbow,8,6,4,4.358509349870747,9,"[9, 9, 7]",4.358509349870747
3,"[9, 9, 6]",rainbow,1,1,1,1.0268474647095769,9,"[9, 9, 6]",1.0268474647095769
4,"[9, 9, 5]",rainbow,10,7,5,2.606464359655715,9,"[9, 9, 5]",2.606464359655715
5,"[9, 9, 4]",rainbow,10,7,5,2.6330879804040133,9,"[9, 9, 4]",2.6330879804040133
6,"[9, 9, 3]",rainbow,10,7,5,2.648064399930914,9,"[9, 9, 3]",2.648064399930914
7,"[9, 9, 2]",rainbow,10,7,5,2.64097662442071,9,"[9, 9, 2]",2.64097662442071
8,"[9, 8, 8]",rainbow,8,6,4,4.764324225503513,9,"[9, 8, 8]",4.764324225503513
9,"[9, 8, 7]",rainbow,1,1,1,-2.5422882810837457,9,"[9, 8, 7]",-2.5422882810837457
10,"[9, 8, 6]",rainbow,2,2,2,3.2392088699336106,9,"[9, 8, 6]",3.2392088699336106
11,"[9, 8, 5]",rainbow,2,2,2,4.962267430023418,9,"[9, 8, 5]",4.962267430023418
12,"[9, 8, 4]",rainbow,1,1,1,5.2573381366276335,9,"[9, 8, 4]",5.2573381366276335
13,"[9, 8, 3]",rainbow,2,2,2,5.265630161124122,9,"[9, 8, 3]",5.265630161124122
14,"[9, 8, 2]",rainbow,1,1,1,5.25204944880562,9,"[9, 8, 2]",5.25204944880562
15,"[9, 7, 7]",rainbow,8,6,4,5.001794780814072,9,"[9, 7, 7]",5.001794780814072
16,"[9, 7, 6]",rainbow,2,2,2,3.311661465606498,9,"[9, 7, 6]",3.311661465606498
17,"[9, 7, 5]",rainbow,1,1,1,5.265853350113289,9,"[9, 7, 5]",5.265853350113289
18,"[9, 7, 4]",rainbow,8,6,4,5.50154547770225,9,"[9, 7, 4]",5.50154547770225
19,"[9, 7, 3]",rainbow,1,1,1,5.4957213058052945,9,"[9, 7, 3]",5.4957213058052945
20,"[9, 7, 2]",rainbow,8,6,4,5.506635751238552,9,"[9, 7, 2]",5.506635751238552
21,"[9, 6, 6]",rainbow,8,6,4,3.868446251861133,9,"[9, 6, 6]",3.868446251861133
22,"[9, 6, 5]",rainbow,2,2,2,3.892870445880665,9,"[9, 6, 5]",3.892870445880665
23,"[9, 6, 4]",rainbow,3,2,2,4.127860507693383,9,"[9, 6, 4]",4.127860507693383
24,"[9, 6, 3]",rainbow,2,2,2,4.128204483337411,9,"[9, 6, 3]",4.128204483337411
25,"[9, 6, 2]",rainbow,8,6,4,4.143252465538817,9,"[9, 6, 2]",4.143252465538817
26,"[9, 5, 5]",rainbow,10,7,5,4.897937862180399,9,"[9, 5, 5]",4.897937862180399
27,"[9, 5, 4]",rainbow,8,6,4,6.140377328084412,9,"[9, 5, 4]",6.140377328084412
28,"[9, 5, 3]",rainbow,2,2,2,6.146420108441557,9,"[9, 5, 3]",6.146420108441557
29,"[9, 5, 2]",rainbow,8,6,4,6.175148753084412,9,"[9, 5, 2]",6.175148753084412
30,"[9, 4, 4]",rainbow,10,7,5,4.931469049457183,9,"[9, 4, 4]",4.931469049457183
31,"[9, 4, 3]",rainbow,1,1,1,5.701378058482143,9,"[9, 4, 3]",5.701378058482143
32,"[9, 4, 2]",rainbow,1,1,1,5.735697631249999,9,"[9, 4, 2]",5.735697631249999
33,"[9, 3, 3]",rainbow,10,7,5,4.931312400182629,9,"[9, 3, 3]",4.931312400182629
34,"[9, 3, 2]",rainbow,8,6,4,5.718644690178569,9,"[9, 3, 2]",5.718644690178569
35,"[9, 2, 2]",rainbow,10,7,5,4.932158156767453,9,"[9, 2, 2]",4.932158156767453
36,"[8, 8, 8]",rainbow,8,6,4,6.902166265917666,8,"[8, 8, 8]",6.902166265917666
37,"[8, 8, 7]",rainbow,3,2,2,5.5275089843317975,8,"[8, 8, 7]",5.5275089843317975
38,"[8, 8, 6]",rainbow,2,2,2,5.830707133048057,8,"[8, 8, 6]",5.830707133048057
39,"[8, 8, 5]",rainbow,10,7,5,6.203534906985503,8,"[8, 8, 5]",6.203534906985503
40,"[8, 8, 4]",rainbow,10,7,5,6.287321444286232,8,"[8, 8, 4]",6.287321444286232
41,"[8, 8, 3]",rainbow,10,7,5,6.300737761868647,8,"[8, 8, 3]",6.300737761868647
42,"[8, 8, 2]",rainbow,10,7,5,6.302552867363154,8,"[8, 8, 2]",6.302552867363154
43,"[8, 7, 7]",rainbow,4,3,2,5.442450884055301,8,"[8, 7, 7]",5.442450884055301
44,"[8, 7, 6]",rainbow,2,2,2,-2.2857220268765115,8,"[8, 7, 6]",-2.2857220268765115
45,"[8, 7, 5]",rainbow,1,1,1,5.521662034654376,8,"[8, 7, 5]",5.521662034654376
46,"[8, 7, 4]",rainbow,2,2,2,5.982681733087556,8,"[8, 7, 4]",5.982681733087556
47,"[8, 7, 3]",rainbow,3,2,2,6.201166231889402,8,"[8, 7, 3]",6.201166231889402
48,"[8, 7, 2]",rainbow,1,1,1,6.194429535852535,8,"[8, 7, 2]",6.194429535852535
