,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,3.141351944827587,9,"[9, 9, 8]",3.141351944827587
1,"[9, 9, 7]",two-tone,15,10,7,2.7238689229268296,9,"[9, 9, 7]",2.7238689229268296
2,"[9, 9, 6]",two-tone,16,11,8,2.2012609572815545,9,"[9, 9, 6]",2.2012609572815545
3,"[9, 9, 5]",two-tone,15,10,7,1.8063904572068517,9,"[9, 9, 5]",1.8063904572068517
4,"[9, 9, 4]",two-tone,15,10,7,1.8715999363636369,9,"[9, 9, 4]",1.8715999363636369
5,"[9, 9, 3]",two-tone,16,11,8,1.871828932545455,9,"[9, 9, 3]",1.871828932545455
6,"[9, 9, 2]",two-tone,16,11,8,1.8748129950909092,9,"[9, 9, 2]",1.8748129950909092
7,"[9, 8, 8]",two-tone,15,10,7,3.29926090052356,9,"[9, 8, 8]",3.29926090052356
8,"[9, 8, 7]",two-tone,8,6,4,3.6866564764611582,9,"[9, 8, 7]",3.6866564764611582
9,"[9, 8, 6]",two-tone,16,11,8,3.0638944910714283,9,"[9, 8, 6]",3.0638944910714283
10,"[9, 8, 5]",two-tone,15,10,7,2.5040659412371133,9,"[9, 8, 5]",2.5040659412371133
11,"[9, 8, 4]",two-tone,16,11,8,2.4796399192708334,9,"[9, 8, 4]",2.4796399192708334
12,"[9, 8, 3]",two-tone,16,11,8,2.481618609635416,9,"[9, 8, 3]",2.481618609635416
13,"[9, 8, 2]",two-tone,16,11,8,2.47806518359375,9,"[9, 8, 2]",2.47806518359375
14,"[9, 7, 7]",two-tone,16,11,8,2.83474842368421,9,"[9, 7, 7]",2.83474842368421
15,"[9, 7, 6]",two-tone,15,10,7,2.9791895574298466,9,"[9, 7, 6]",2.9791895574298466
16,"[9, 7, 5]",two-tone,16,11,8,2.4889904138461536,9,"[9, 7, 5]",2.4889904138461536
17,"[9, 7, 4]",two-tone,16,11,8,2.4068036421875,9,"[9, 7, 4]",2.4068036421875
18,"[9, 7, 3]",two-tone,16,11,8,2.4062700234375,9,"[9, 7, 3]",2.4062700234375
19,"[9, 7, 2]",two-tone,16,11,8,2.408067459375,9,"[9, 7, 2]",2.408067459375
20,"[9, 6, 6]",two-tone,15,10,7,2.4835053765625004,9,"[9, 6, 6]",2.4835053765625004
21,"[9, 6, 5]",two-tone,16,11,8,2.459093166153845,9,"[9, 6, 5]",2.459093166153845
22,"[9, 6, 4]",two-tone,16,11,8,2.457291576683937,9,"[9, 6, 4]",2.457291576683937
23,"[9, 6, 3]",two-tone,15,10,7,2.456200599481865,9,"[9, 6, 3]",2.456200599481865
24,"[9, 6, 2]",two-tone,15,10,7,2.457922276683937,9,"[9, 6, 2]",2.457922276683937
25,"[9, 5, 5]",two-tone,16,11,8,2.136946063673852,9,"[9, 5, 5]",2.136946063673852
26,"[9, 5, 4]",two-tone,16,11,8,2.096574732783505,9,"[9, 5, 4]",2.096574732783505
27,"[9, 5, 3]",two-tone,16,11,8,2.0979571903092777,9,"[9, 5, 3]",2.0979571903092777
28,"[9, 5, 2]",two-tone,15,10,7,2.110466701649484,9,"[9, 5, 2]",2.110466701649484
29,"[9, 4, 4]",two-tone,15,10,7,2.1948283869496996,9,"[9, 4, 4]",2.1948283869496996
30,"[9, 4, 3]",two-tone,15,10,7,2.1606850663682517,9,"[9, 4, 3]",2.1606850663682517
