,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,2.791118680770792,9,"[9, 9, 8]",2.791118680770792
1,"[9, 9, 7]",two-tone,16,11,8,2.5216956247804885,9,"[9, 9, 7]",2.5216956247804885
2,"[9, 9, 6]",two-tone,16,11,8,2.393783878753669,9,"[9, 9, 6]",2.393783878753669
3,"[9, 9, 5]",two-tone,16,11,8,2.1601876365520734,9,"[9, 9, 5]",2.1601876365520734
4,"[9, 9, 4]",two-tone,16,11,8,1.9546299696629217,9,"[9, 9, 4]",1.9546299696629217
5,"[9, 9, 3]",two-tone,16,11,8,1.954334960224719,9,"[9, 9, 3]",1.954334960224719
6,"[9, 9, 2]",two-tone,16,11,8,1.9560929400000004,9,"[9, 9, 2]",1.9560929400000004
7,"[9, 8, 8]",two-tone,15,10,7,3.00336833526948,9,"[9, 8, 8]",3.00336833526948
8,"[9, 8, 7]",two-tone,10,7,5,3.3734690060784054,9,"[9, 8, 7]",3.3734690060784054
9,"[9, 8, 6]",two-tone,15,10,7,3.026023191406249,9,"[9, 8, 6]",3.026023191406249
10,"[9, 8, 5]",two-tone,15,10,7,2.7036449829018263,9,"[9, 8, 5]",2.7036449829018263
11,"[9, 8, 4]",two-tone,15,10,7,2.171406806952519,9,"[9, 8, 4]",2.171406806952519
12,"[9, 8, 3]",two-tone,16,11,8,2.168739972214147,9,"[9, 8, 3]",2.168739972214147
13,"[9, 8, 2]",two-tone,15,10,7,2.17330797711967,9,"[9, 8, 2]",2.17330797711967
14,"[9, 7, 7]",two-tone,15,10,7,2.6306661787025707,9,"[9, 7, 7]",2.6306661787025707
15,"[9, 7, 6]",two-tone,16,11,8,2.9433976713235293,9,"[9, 7, 6]",2.9433976713235293
16,"[9, 7, 5]",two-tone,15,10,7,2.6921382596511627,9,"[9, 7, 5]",2.6921382596511627
17,"[9, 7, 4]",two-tone,15,10,7,2.0766073951149417,9,"[9, 7, 4]",2.0766073951149417
18,"[9, 7, 3]",two-tone,15,10,7,2.0778054310344825,9,"[9, 7, 3]",2.0778054310344825
19,"[9, 7, 2]",two-tone,15,10,7,2.0794876200610632,9,"[9, 7, 2]",2.0794876200610632
20,"[9, 6, 6]",two-tone,16,11,8,2.490184152213542,9,"[9, 6, 6]",2.490184152213542
21,"[9, 6, 5]",two-tone,16,11,8,2.6297025296511634,9,"[9, 6, 5]",2.6297025296511634
22,"[9, 6, 4]",two-tone,16,11,8,2.2608189861634482,9,"[9, 6, 4]",2.2608189861634482
23,"[9, 6, 3]",two-tone,16,11,8,2.261069067157324,9,"[9, 6, 3]",2.261069067157324
24,"[9, 6, 2]",two-tone,16,11,8,2.2658603544748,9,"[9, 6, 2]",2.2658603544748
25,"[9, 5, 5]",two-tone,16,11,8,2.3083632265932525,9,"[9, 5, 5]",2.3083632265932525
26,"[9, 5, 4]",two-tone,16,11,8,2.270101141377694,9,"[9, 5, 4]",2.270101141377694
27,"[9, 5, 3]",two-tone,16,11,8,2.2739709166822863,9,"[9, 5, 3]",2.2739709166822863
28,"[9, 5, 2]",two-tone,16,11,8,2.287065122211808,9,"[9, 5, 2]",2.287065122211808
29,"[9, 4, 4]",two-tone,16,11,8,2.1506478791878183,9,"[9, 4, 4]",2.1506478791878183
30,"[9, 4, 3]",two-tone,16,11,8,2.124505670558376,9,"[9, 4, 3]",2.124505670558376
31,"[9, 4, 2]",two-tone,16,11,8,2.1434572294416245,9,"[9, 4, 2]",2.1434572294416245
32,"[9, 3, 3]",two-tone,16,11,8,2.1527978390862943,9,"[9, 3, 3]",2.1527978390862943
33,"[9, 3, 2]",two-tone,16,11,8,2.141932010297317,9,"[9, 3, 2]",2.141932010297317
34,"[9, 2, 2]",two-tone,16,11,8,2.1514292283538796,9,"[9, 2, 2]",2.1514292283538796
35,"[8, 8, 7]",two-tone,16,11,8,3.055353191790698,8,"[8, 8, 7]",3.055353191790698
36,"[8, 8, 6]",two-tone,16,11,8,2.8296571050063006,8,"[8, 8, 6]",2.8296571050063006
37,"[8, 8, 5]",two-tone,16,11,8,2.540123167920657,8,"[8, 8, 5]",2.540123167920657
38,"[8, 8, 4]",two-tone,16,11,8,2.3454513619931605,8,"[8, 8, 4]",2.3454513619931605
39,"[8, 8, 3]",two-tone,16,11,8,2.3507077148021494,8,"[8, 8, 3]",2.3507077148021494
40,"[8, 8, 2]",two-tone,16,11,8,2.3489402114313633,8,"[8, 8, 2]",2.3489402114313633
41,"[8, 7, 7]",two-tone,16,11,8,3.0276700630524944,8,"[8, 7, 7]",3.0276700630524944
42,"[8, 7, 6]",two-tone,16,11,8,3.1506704427761143,8,"[8, 7, 6]",3.1506704427761143
43,"[8, 7, 5]",two-tone,16,11,8,2.9404859790396154,8,"[8, 7, 5]",2.9404859790396154
44,"[8, 7, 4]",two-tone,16,11,8,2.742971578214285,8,"[8, 7, 4]",2.742971578214285
45,"[8, 7, 3]",two-tone,16,11,8,2.5869387193486593,8,"[8, 7, 3]",2.5869387193486593
46,"[8, 7, 2]",two-tone,16,11,8,2.586192521072797,8,"[8, 7, 2]",2.586192521072797
47,"[8, 6, 6]",two-tone,16,11,8,2.705780992424242,8,"[8, 6, 6]",2.705780992424242
48,"[8, 6, 5]",two-tone,16,11,8,2.8854986935987474,8,"[8, 6, 5]",2.8854986935987474
49,"[8, 6, 4]",two-tone,16,11,8,2.6953569530214097,8,"[8, 6, 4]",2.6953569530214097
50,"[8, 6, 3]",two-tone,16,11,8,2.532078154110621,8,"[8, 6, 3]",2.532078154110621
51,"[8, 6, 2]",two-tone,16,11,8,2.5315224852852505,8,"[8, 6, 2]",2.5315224852852505
52,"[8, 5, 5]",two-tone,16,11,8,2.5243552714409314,8,"[8, 5, 5]",2.5243552714409314
53,"[8, 5, 4]",two-tone,16,11,8,2.612472450609313,8,"[8, 5, 4]",2.612472450609313
54,"[8, 5, 3]",two-tone,16,11,8,2.5468468760440697,8,"[8, 5, 3]",2.5468468760440697
55,"[8, 5, 2]",two-tone,16,11,8,2.5474394207083524,8,"[8, 5, 2]",2.5474394207083524
56,"[8, 4, 4]",two-tone,16,11,8,2.3554290714285715,8,"[8, 4, 4]",2.3554290714285715
57,"[8, 4, 3]",two-tone,16,11,8,2.390737873142857,8,"[8, 4, 3]",2.390737873142857
58,"[8, 4, 2]",two-tone,16,11,8,2.3920910022857136,8,"[8, 4, 2]",2.3920910022857136
59,"[8, 3, 3]",two-tone,16,11,8,2.3652958857142856,8,"[8, 3, 3]",2.3652958857142856
60,"[8, 3, 2]",two-tone,16,11,8,2.398713291428572,8,"[8, 3, 2]",2.398713291428572
61,"[8, 2, 2]",two-tone,16,11,8,2.368025978571429,8,"[8, 2, 2]",2.368025978571429
62,"[7, 7, 6]",two-tone,16,11,8,3.1082914674355493,7,"[7, 7, 6]",3.1082914674355493
63,"[7, 7, 5]",two-tone,16,11,8,2.87829862865976,7,"[7, 7, 5]",2.87829862865976
64,"[7, 7, 4]",two-tone,16,11,8,2.6538836645962736,7,"[7, 7, 4]",2.6538836645962736
65,"[7, 7, 3]",two-tone,16,11,8,2.652960372670808,7,"[7, 7, 3]",2.652960372670808
66,"[7, 7, 2]",two-tone,16,11,8,2.6499448447204967,7,"[7, 7, 2]",2.6499448447204967
67,"[7, 6, 6]",two-tone,16,11,8,3.0693091704884203,7,"[7, 6, 6]",3.0693091704884203
68,"[7, 6, 5]",two-tone,16,11,8,3.0685166641402573,7,"[7, 6, 5]",3.0685166641402573
69,"[7, 6, 4]",two-tone,16,11,8,3.01084501211111,7,"[7, 6, 4]",3.01084501211111
70,"[7, 6, 3]",two-tone,16,11,8,2.8618776323033703,7,"[7, 6, 3]",2.8618776323033703
71,"[7, 6, 2]",two-tone,16,11,8,2.8662755860353117,7,"[7, 6, 2]",2.8662755860353117
72,"[7, 5, 5]",two-tone,16,11,8,2.9096712855386984,7,"[7, 5, 5]",2.9096712855386984
73,"[7, 5, 4]",two-tone,16,11,8,3.0522117970480918,7,"[7, 5, 4]",3.0522117970480918
74,"[7, 5, 3]",two-tone,16,11,8,2.9148496167197715,7,"[7, 5, 3]",2.9148496167197715
75,"[7, 5, 2]",two-tone,16,11,8,2.9263031698996174,7,"[7, 5, 2]",2.9263031698996174
76,"[7, 4, 4]",two-tone,16,11,8,2.706137005804348,7,"[7, 4, 4]",2.706137005804348
77,"[7, 4, 3]",two-tone,16,11,8,2.730315157507459,7,"[7, 4, 3]",2.730315157507459
78,"[7, 4, 2]",two-tone,16,11,8,2.7315258011249988,7,"[7, 4, 2]",2.7315258011249988
79,"[7, 3, 3]",two-tone,16,11,8,2.6997669577608696,7,"[7, 3, 3]",2.6997669577608696
80,"[7, 3, 2]",two-tone,16,11,8,2.7272201400815215,7,"[7, 3, 2]",2.7272201400815215
81,"[7, 2, 2]",two-tone,16,11,8,2.6964073556086956,7,"[7, 2, 2]",2.6964073556086956
82,"[6, 6, 5]",two-tone,16,11,8,3.2307622542857146,6,"[6, 6, 5]",3.2307622542857146
83,"[6, 6, 4]",two-tone,16,11,8,3.00329931218812,6,"[6, 6, 4]",3.00329931218812
84,"[6, 6, 3]",two-tone,16,11,8,3.0118750904113165,6,"[6, 6, 3]",3.0118750904113165
85,"[6, 6, 2]",two-tone,16,11,8,3.009837445725024,6,"[6, 6, 2]",3.009837445725024
86,"[6, 5, 5]",two-tone,16,11,8,3.2967564237934903,6,"[6, 5, 5]",3.2967564237934903
87,"[6, 5, 4]",two-tone,16,11,8,3.230941356184062,6,"[6, 5, 4]",3.230941356184062
88,"[6, 5, 3]",two-tone,16,11,8,3.2782818517051697,6,"[6, 5, 3]",3.2782818517051697
89,"[6, 5, 2]",two-tone,16,11,8,3.2887650232323224,6,"[6, 5, 2]",3.2887650232323224
90,"[6, 4, 4]",two-tone,16,11,8,3.0695243382121653,6,"[6, 4, 4]",3.0695243382121653
91,"[6, 4, 3]",two-tone,16,11,8,3.0884490046052964,6,"[6, 4, 3]",3.0884490046052964
92,"[6, 4, 2]",two-tone,16,11,8,3.089334814973519,6,"[6, 4, 2]",3.089334814973519
93,"[6, 3, 3]",two-tone,16,11,8,3.0775872819718617,6,"[6, 3, 3]",3.0775872819718617
94,"[6, 3, 2]",two-tone,16,11,8,3.0978301280372325,6,"[6, 3, 2]",3.0978301280372325
95,"[6, 2, 2]",two-tone,16,11,8,3.07763008808645,6,"[6, 2, 2]",3.07763008808645
96,"[5, 5, 4]",two-tone,16,11,8,3.2883277974822978,5,"[5, 5, 4]",3.2883277974822978
97,"[5, 5, 3]",two-tone,16,11,8,3.3025995530133767,5,"[5, 5, 3]",3.3025995530133767
98,"[5, 5, 2]",two-tone,16,11,8,3.310988095777604,5,"[5, 5, 2]",3.310988095777604
99,"[5, 4, 4]",two-tone,16,11,8,3.2954786969871184,5,"[5, 4, 4]",3.2954786969871184
100,"[5, 4, 3]",two-tone,16,11,8,3.3512599892473114,5,"[5, 4, 3]",3.3512599892473114
101,"[5, 4, 2]",two-tone,16,11,8,3.393357076344085,5,"[5, 4, 2]",3.393357076344085
102,"[5, 3, 3]",two-tone,16,11,8,3.3110125936548496,5,"[5, 3, 3]",3.3110125936548496
103,"[5, 3, 2]",two-tone,16,11,8,3.40928415376344,5,"[5, 3, 2]",3.40928415376344
104,"[5, 2, 2]",two-tone,16,11,8,3.3193956923027788,5,"[5, 2, 2]",3.3193956923027788
105,"[4, 4, 3]",two-tone,16,11,8,3.307747985677084,4,"[4, 4, 3]",3.307747985677084
106,"[4, 4, 2]",two-tone,16,11,8,3.31512058528646,4,"[4, 4, 2]",3.31512058528646
107,"[4, 3, 3]",two-tone,16,11,8,3.318958272357724,4,"[4, 3, 3]",3.318958272357724
108,"[4, 3, 2]",two-tone,16,11,8,3.3691115186483733,4,"[4, 3, 2]",3.3691115186483733
109,"[4, 2, 2]",two-tone,16,11,8,3.3281384568597567,4,"[4, 2, 2]",3.3281384568597567
110,"[3, 3, 2]",two-tone,16,11,8,3.3179880332031257,3,"[3, 3, 2]",3.3179880332031257
111,"[3, 2, 2]",two-tone,16,11,8,3.329263546087399,3,"[3, 2, 2]",3.329263546087399
112,"[14, 9, 9]",two-tone,16,11,8,3.1563310732246634,14,"[14, 9, 9]",3.1563310732246634
113,"[14, 9, 8]",two-tone,16,11,8,3.371798580769232,14,"[14, 9, 8]",3.371798580769232
114,"[14, 9, 7]",two-tone,16,11,8,2.9693188409306748,14,"[14, 9, 7]",2.9693188409306748
115,"[14, 9, 6]",two-tone,16,11,8,3.2619167934002884,14,"[14, 9, 6]",3.2619167934002884
116,"[14, 9, 5]",two-tone,16,11,8,3.2487994443553,14,"[14, 9, 5]",3.2487994443553
117,"[14, 9, 4]",two-tone,16,11,8,3.2431675713826915,14,"[14, 9, 4]",3.2431675713826915
118,"[14, 9, 3]",two-tone,16,11,8,3.243702153532793,14,"[14, 9, 3]",3.243702153532793
119,"[14, 9, 2]",two-tone,16,11,8,3.2434310824374584,14,"[14, 9, 2]",3.2434310824374584
120,"[14, 8, 8]",two-tone,16,11,8,2.9610086754107345,14,"[14, 8, 8]",2.9610086754107345
121,"[14, 8, 7]",two-tone,16,11,8,3.2675131423772616,14,"[14, 8, 7]",3.2675131423772616
122,"[14, 8, 6]",two-tone,16,11,8,2.9716864022804184,14,"[14, 8, 6]",2.9716864022804184
123,"[14, 8, 5]",two-tone,16,11,8,2.9497359241659664,14,"[14, 8, 5]",2.9497359241659664
124,"[14, 8, 4]",two-tone,16,11,8,2.960538560664674,14,"[14, 8, 4]",2.960538560664674
125,"[14, 8, 3]",two-tone,16,11,8,2.9672568403855117,14,"[14, 8, 3]",2.9672568403855117
126,"[14, 8, 2]",two-tone,16,11,8,2.965531690096378,14,"[14, 8, 2]",2.965531690096378
127,"[14, 7, 7]",two-tone,16,11,8,2.662738331149733,14,"[14, 7, 7]",2.662738331149733
128,"[14, 7, 6]",two-tone,16,11,8,2.975254330190125,14,"[14, 7, 6]",2.975254330190125
129,"[14, 7, 5]",two-tone,16,11,8,2.8973434268799343,14,"[14, 7, 5]",2.8973434268799343
130,"[14, 7, 4]",two-tone,16,11,8,2.911177371403233,14,"[14, 7, 4]",2.911177371403233
131,"[14, 7, 3]",two-tone,16,11,8,2.9068041445013817,14,"[14, 7, 3]",2.9068041445013817
