,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,1.4616593785061431,9,"[9, 9, 8]",1.4616593785061431
1,"[9, 9, 7]",two-tone,1,1,1,1.265441216437406,9,"[9, 9, 7]",1.265441216437406
2,"[9, 9, 6]",two-tone,1,1,1,0.5336572624342271,9,"[9, 9, 6]",0.5336572624342271
3,"[9, 9, 5]",two-tone,2,2,2,0.7013436629115541,9,"[9, 9, 5]",0.7013436629115541
4,"[9, 9, 4]",two-tone,2,2,2,0.5406628336408148,9,"[9, 9, 4]",0.5406628336408148
5,"[9, 9, 3]",two-tone,1,1,1,0.5400319973712157,9,"[9, 9, 3]",0.5400319973712157
6,"[9, 9, 2]",two-tone,1,1,1,0.5425594996345307,9,"[9, 9, 2]",0.5425594996345307
7,"[9, 8, 8]",two-tone,1,1,1,1.7230194904277498,9,"[9, 8, 8]",1.7230194904277498
8,"[9, 8, 7]",two-tone,2,2,2,3.9566570200022566,9,"[9, 8, 7]",3.9566570200022566
9,"[9, 8, 6]",two-tone,1,1,1,2.056556268043151,9,"[9, 8, 6]",2.056556268043151
10,"[9, 8, 5]",two-tone,1,1,1,1.7808714091597568,9,"[9, 8, 5]",1.7808714091597568
11,"[9, 8, 4]",two-tone,1,1,1,2.2713216775160308,9,"[9, 8, 4]",2.2713216775160308
12,"[9, 8, 3]",two-tone,1,1,1,2.2721637849502407,9,"[9, 8, 3]",2.2721637849502407
13,"[9, 8, 2]",two-tone,1,1,1,2.2801790967799063,9,"[9, 8, 2]",2.2801790967799063
14,"[9, 7, 7]",two-tone,2,2,2,1.4119885526546403,9,"[9, 7, 7]",1.4119885526546403
15,"[9, 7, 6]",two-tone,1,1,1,2.128621735375381,9,"[9, 7, 6]",2.128621735375381
16,"[9, 7, 5]",two-tone,2,2,2,2.086068062991337,9,"[9, 7, 5]",2.086068062991337
17,"[9, 7, 4]",two-tone,2,2,2,2.0565135519164093,9,"[9, 7, 4]",2.0565135519164093
18,"[9, 7, 3]",two-tone,1,1,1,2.055240132344041,9,"[9, 7, 3]",2.055240132344041
19,"[9, 7, 2]",two-tone,2,2,2,2.074142593363778,9,"[9, 7, 2]",2.074142593363778
20,"[9, 6, 6]",two-tone,1,1,1,1.1259630822432305,9,"[9, 6, 6]",1.1259630822432305
21,"[9, 6, 5]",two-tone,2,2,2,0.9510559497609464,9,"[9, 6, 5]",0.9510559497609464
22,"[9, 6, 4]",two-tone,1,1,1,1.372335749649752,9,"[9, 6, 4]",1.372335749649752
23,"[9, 6, 3]",two-tone,2,2,2,1.373074126000633,9,"[9, 6, 3]",1.373074126000633
24,"[9, 6, 2]",two-tone,1,1,1,1.38434579166473,9,"[9, 6, 2]",1.38434579166473
25,"[9, 5, 5]",two-tone,2,2,2,1.3942507356055678,9,"[9, 5, 5]",1.3942507356055678
26,"[9, 5, 4]",two-tone,2,2,2,1.451056937455675,9,"[9, 5, 4]",1.451056937455675
27,"[9, 5, 3]",two-tone,2,2,2,1.454038093847982,9,"[9, 5, 3]",1.454038093847982
28,"[9, 5, 2]",two-tone,1,1,1,1.5588077416997244,9,"[9, 5, 2]",1.5588077416997244
29,"[9, 4, 4]",two-tone,1,1,1,1.2462340856488052,9,"[9, 4, 4]",1.2462340856488052
30,"[9, 4, 3]",two-tone,1,1,1,1.4661293362202066,9,"[9, 4, 3]",1.4661293362202066
31,"[9, 4, 2]",two-tone,3,2,2,1.3098738639207497,9,"[9, 4, 2]",1.3098738639207497
32,"[9, 3, 3]",two-tone,3,2,2,1.2464529136790146,9,"[9, 3, 3]",1.2464529136790146
33,"[9, 3, 2]",two-tone,2,2,2,1.305603656863674,9,"[9, 3, 2]",1.305603656863674
34,"[9, 2, 2]",two-tone,2,2,2,1.2467691686096145,9,"[9, 2, 2]",1.2467691686096145
