,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,1.0892761962769608,9,"[9, 9, 8]",1.0892761962769608
1,"[9, 9, 7]",two-tone,1,1,1,1.0407314367584448,9,"[9, 9, 7]",1.0407314367584448
2,"[9, 9, 6]",two-tone,1,1,1,0.9364182490049768,9,"[9, 9, 6]",0.9364182490049768
3,"[9, 9, 5]",two-tone,1,1,1,0.9722236248774028,9,"[9, 9, 5]",0.9722236248774028
4,"[9, 9, 4]",two-tone,10,7,5,0.8358376423765662,9,"[9, 9, 4]",0.8358376423765662
5,"[9, 9, 3]",two-tone,10,7,5,0.7877154043869441,9,"[9, 9, 3]",0.7877154043869441
6,"[9, 9, 2]",two-tone,2,2,2,0.7674751569883521,9,"[9, 9, 2]",0.7674751569883521
7,"[9, 8, 8]",two-tone,10,7,5,1.1782553331047303,9,"[9, 8, 8]",1.1782553331047303
8,"[9, 8, 7]",two-tone,2,2,2,0.9933587868404898,9,"[9, 8, 7]",0.9933587868404898
9,"[9, 8, 6]",two-tone,2,2,2,1.3048494182505277,9,"[9, 8, 6]",1.3048494182505277
10,"[9, 8, 5]",two-tone,1,1,1,0.8735507105283736,9,"[9, 8, 5]",0.8735507105283736
11,"[9, 8, 4]",two-tone,1,1,1,1.018680878675535,9,"[9, 8, 4]",1.018680878675535
12,"[9, 8, 3]",two-tone,1,1,1,1.0191095988257666,9,"[9, 8, 3]",1.0191095988257666
13,"[9, 8, 2]",two-tone,1,1,1,1.0196822134809198,9,"[9, 8, 2]",1.0196822134809198
14,"[9, 7, 7]",two-tone,10,7,5,1.3688745752941125,9,"[9, 7, 7]",1.3688745752941125
15,"[9, 7, 6]",two-tone,1,1,1,1.1900054618545115,9,"[9, 7, 6]",1.1900054618545115
16,"[9, 7, 5]",two-tone,1,1,1,1.2288036532108784,9,"[9, 7, 5]",1.2288036532108784
17,"[9, 7, 4]",two-tone,1,1,1,1.0634447013351616,9,"[9, 7, 4]",1.0634447013351616
18,"[9, 7, 3]",two-tone,1,1,1,1.0649586712560728,9,"[9, 7, 3]",1.0649586712560728
19,"[9, 7, 2]",two-tone,1,1,1,1.0959826332636478,9,"[9, 7, 2]",1.0959826332636478
20,"[9, 6, 6]",two-tone,10,7,5,0.943033994853934,9,"[9, 6, 6]",0.943033994853934
21,"[9, 6, 5]",two-tone,1,1,1,0.8353203812876231,9,"[9, 6, 5]",0.8353203812876231
22,"[9, 6, 4]",two-tone,1,1,1,0.9363211499397022,9,"[9, 6, 4]",0.9363211499397022
23,"[9, 6, 3]",two-tone,1,1,1,0.9393869279515312,9,"[9, 6, 3]",0.9393869279515312
24,"[9, 6, 2]",two-tone,1,1,1,0.9265626160919768,9,"[9, 6, 2]",0.9265626160919768
25,"[9, 5, 5]",two-tone,10,7,5,0.9978584474353616,9,"[9, 5, 5]",0.9978584474353616
26,"[9, 5, 4]",two-tone,1,1,1,0.9704844663843608,9,"[9, 5, 4]",0.9704844663843608
27,"[9, 5, 3]",two-tone,1,1,1,0.9340451139588539,9,"[9, 5, 3]",0.9340451139588539
28,"[9, 5, 2]",two-tone,1,1,1,0.9729456091617148,9,"[9, 5, 2]",0.9729456091617148
29,"[9, 4, 4]",two-tone,10,7,5,0.8562371217170949,9,"[9, 4, 4]",0.8562371217170949
30,"[9, 4, 3]",two-tone,1,1,1,0.9360625498717946,9,"[9, 4, 3]",0.9360625498717946
31,"[9, 4, 2]",two-tone,2,2,2,0.8611017428062072,9,"[9, 4, 2]",0.8611017428062072
32,"[9, 3, 3]",two-tone,1,1,1,0.7468897318682761,9,"[9, 3, 3]",0.7468897318682761
33,"[9, 3, 2]",two-tone,1,1,1,0.8528627175514559,9,"[9, 3, 2]",0.8528627175514559
34,"[9, 2, 2]",two-tone,2,2,2,0.6917522098029729,9,"[9, 2, 2]",0.6917522098029729
35,"[8, 8, 7]",two-tone,15,10,7,1.3278213078258096,8,"[8, 8, 7]",1.3278213078258096
36,"[8, 8, 6]",two-tone,1,1,1,1.220238143473612,8,"[8, 8, 6]",1.220238143473612
37,"[8, 8, 5]",two-tone,1,1,1,1.1115538637007474,8,"[8, 8, 5]",1.1115538637007474
38,"[8, 8, 4]",two-tone,2,2,2,1.1311203572534227,8,"[8, 8, 4]",1.1311203572534227
39,"[8, 8, 3]",two-tone,1,1,1,0.9747116555774524,8,"[8, 8, 3]",0.9747116555774524
40,"[8, 8, 2]",two-tone,3,2,2,0.9501388659389224,8,"[8, 8, 2]",0.9501388659389224
41,"[8, 7, 7]",two-tone,15,10,7,1.4103803699252757,8,"[8, 7, 7]",1.4103803699252757
42,"[8, 7, 6]",two-tone,1,1,1,1.2002671764235249,8,"[8, 7, 6]",1.2002671764235249
43,"[8, 7, 5]",two-tone,1,1,1,1.2302680750513428,8,"[8, 7, 5]",1.2302680750513428
44,"[8, 7, 4]",two-tone,1,1,1,1.0910130330305885,8,"[8, 7, 4]",1.0910130330305885
45,"[8, 7, 3]",two-tone,1,1,1,1.1859575129781428,8,"[8, 7, 3]",1.1859575129781428
46,"[8, 7, 2]",two-tone,1,1,1,1.1786391077615657,8,"[8, 7, 2]",1.1786391077615657
47,"[8, 6, 6]",two-tone,8,6,4,1.0070050754090758,8,"[8, 6, 6]",1.0070050754090758
48,"[8, 6, 5]",two-tone,1,1,1,1.2430469313606802,8,"[8, 6, 5]",1.2430469313606802
49,"[8, 6, 4]",two-tone,1,1,1,1.1820378571690042,8,"[8, 6, 4]",1.1820378571690042
50,"[8, 6, 3]",two-tone,1,1,1,1.0467802839273497,8,"[8, 6, 3]",1.0467802839273497
51,"[8, 6, 2]",two-tone,1,1,1,1.0367301853811264,8,"[8, 6, 2]",1.0367301853811264
52,"[8, 5, 5]",two-tone,10,7,5,1.01172416541115,8,"[8, 5, 5]",1.01172416541115
53,"[8, 5, 4]",two-tone,2,2,2,0.8833350260626708,8,"[8, 5, 4]",0.8833350260626708
54,"[8, 5, 3]",two-tone,1,1,1,0.9581712434209638,8,"[8, 5, 3]",0.9581712434209638
55,"[8, 5, 2]",two-tone,1,1,1,0.956075511123506,8,"[8, 5, 2]",0.956075511123506
56,"[8, 4, 4]",two-tone,2,2,2,1.0086938429307974,8,"[8, 4, 4]",1.0086938429307974
57,"[8, 4, 3]",two-tone,1,1,1,1.0637532890857753,8,"[8, 4, 3]",1.0637532890857753
58,"[8, 4, 2]",two-tone,1,1,1,1.0278399669602072,8,"[8, 4, 2]",1.0278399669602072
59,"[8, 3, 3]",two-tone,3,2,2,0.8142522267969192,8,"[8, 3, 3]",0.8142522267969192
60,"[8, 3, 2]",two-tone,1,1,1,0.9550587612686012,8,"[8, 3, 2]",0.9550587612686012
61,"[8, 2, 2]",two-tone,2,2,2,0.7654536010812152,8,"[8, 2, 2]",0.7654536010812152
