,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,10,7,5,3.7903552266760268,9,"[9, 9, 8]",3.7903552266760268
1,"[9, 9, 7]",two-tone,15,10,7,4.0977425547209565,9,"[9, 9, 7]",4.0977425547209565
2,"[9, 9, 6]",two-tone,8,6,4,4.195524559354158,9,"[9, 9, 6]",4.195524559354158
3,"[9, 9, 5]",two-tone,10,7,5,4.875842055462329,9,"[9, 9, 5]",4.875842055462329
4,"[9, 9, 4]",two-tone,1,1,1,4.872037670239727,9,"[9, 9, 4]",4.872037670239727
5,"[9, 9, 3]",two-tone,2,2,2,4.589535158918919,9,"[9, 9, 3]",4.589535158918919
6,"[9, 9, 2]",two-tone,3,2,2,4.589103492162163,9,"[9, 9, 2]",4.589103492162163
7,"[9, 8, 8]",two-tone,2,2,2,4.3424162507999995,9,"[9, 8, 8]",4.3424162507999995
8,"[9, 8, 7]",two-tone,8,6,4,2.8243104525,9,"[9, 8, 7]",2.8243104525
9,"[9, 8, 6]",two-tone,15,10,7,3.9258277221606654,9,"[9, 8, 6]",3.9258277221606654
10,"[9, 8, 5]",two-tone,4,3,2,4.577712445945947,9,"[9, 8, 5]",4.577712445945947
11,"[9, 8, 4]",two-tone,16,11,8,4.611778418918919,9,"[9, 8, 4]",4.611778418918919
12,"[9, 8, 3]",two-tone,8,6,4,4.271385348000002,9,"[9, 8, 3]",4.271385348000002
13,"[9, 8, 2]",two-tone,16,11,8,4.2700773816,9,"[9, 8, 2]",4.2700773816
14,"[9, 7, 7]",two-tone,15,10,7,4.6497933936,9,"[9, 7, 7]",4.6497933936
15,"[9, 7, 6]",two-tone,1,1,1,4.280956590581718,9,"[9, 7, 6]",4.280956590581718
16,"[9, 7, 5]",two-tone,16,11,8,4.93755516891892,9,"[9, 7, 5]",4.93755516891892
17,"[9, 7, 4]",two-tone,15,10,7,4.982292912162163,9,"[9, 7, 4]",4.982292912162163
18,"[9, 7, 3]",two-tone,16,11,8,4.6552846248,9,"[9, 7, 3]",4.6552846248
19,"[9, 7, 2]",two-tone,10,7,5,4.611152162400002,9,"[9, 7, 2]",4.611152162400002
20,"[9, 6, 6]",two-tone,2,2,2,4.751841292800002,9,"[9, 6, 6]",4.751841292800002
21,"[9, 6, 5]",two-tone,15,10,7,5.085448175675676,9,"[9, 6, 5]",5.085448175675676
22,"[9, 6, 4]",two-tone,1,1,1,5.12782193918919,9,"[9, 6, 4]",5.12782193918919
23,"[9, 6, 3]",two-tone,16,11,8,4.797998557200001,9,"[9, 6, 3]",4.797998557200001
24,"[9, 6, 2]",two-tone,1,1,1,4.7605573560000005,9,"[9, 6, 2]",4.7605573560000005
25,"[9, 5, 5]",two-tone,8,6,4,5.613005852054794,9,"[9, 5, 5]",5.613005852054794
26,"[9, 5, 4]",two-tone,15,10,7,5.846816593150685,9,"[9, 5, 4]",5.846816593150685
27,"[9, 5, 3]",two-tone,10,7,5,5.6832814864864885,9,"[9, 5, 3]",5.6832814864864885
28,"[9, 5, 2]",two-tone,1,1,1,5.668249763513515,9,"[9, 5, 2]",5.668249763513515
29,"[9, 4, 4]",two-tone,10,7,5,5.626738576027398,9,"[9, 4, 4]",5.626738576027398
30,"[9, 4, 3]",two-tone,16,11,8,5.691387668918918,9,"[9, 4, 3]",5.691387668918918
31,"[9, 4, 2]",two-tone,3,2,2,5.6743235472972975,9,"[9, 4, 2]",5.6743235472972975
32,"[9, 3, 3]",two-tone,4,3,2,5.024843166000002,9,"[9, 3, 3]",5.024843166000002
33,"[9, 3, 2]",two-tone,15,10,7,5.474114406000002,9,"[9, 3, 2]",5.474114406000002
34,"[9, 2, 2]",two-tone,3,2,2,5.023665066,9,"[9, 2, 2]",5.023665066
35,"[8, 8, 7]",two-tone,3,2,2,4.825901818836566,8,"[8, 8, 7]",4.825901818836566
36,"[8, 8, 6]",two-tone,8,6,4,5.032274780609419,8,"[8, 8, 6]",5.032274780609419
37,"[8, 8, 5]",two-tone,10,7,5,5.801217438734177,8,"[8, 8, 5]",5.801217438734177
38,"[8, 8, 4]",two-tone,16,11,8,5.808309060506329,8,"[8, 8, 4]",5.808309060506329
39,"[8, 8, 3]",two-tone,15,10,7,5.494926295802799,8,"[8, 8, 3]",5.494926295802799
40,"[8, 8, 2]",two-tone,15,10,7,5.496188742171888,8,"[8, 8, 2]",5.496188742171888
41,"[8, 7, 7]",two-tone,2,2,2,4.812441276731302,8,"[8, 7, 7]",4.812441276731302
42,"[8, 7, 6]",two-tone,4,3,2,3.884832147080029,8,"[8, 7, 6]",3.884832147080029
43,"[8, 7, 5]",two-tone,16,11,8,5.2171433648947385,8,"[8, 7, 5]",5.2171433648947385
44,"[8, 7, 4]",two-tone,8,6,4,5.319419941210526,8,"[8, 7, 4]",5.319419941210526
45,"[8, 7, 3]",two-tone,4,3,2,4.839745090304709,8,"[8, 7, 3]",4.839745090304709
46,"[8, 7, 2]",two-tone,16,11,8,4.841709782825483,8,"[8, 7, 2]",4.841709782825483
47,"[8, 6, 6]",two-tone,4,3,2,5.009857256509696,8,"[8, 6, 6]",5.009857256509696
48,"[8, 6, 5]",two-tone,10,7,5,5.445450010789473,8,"[8, 6, 5]",5.445450010789473
49,"[8, 6, 4]",two-tone,10,7,5,5.542182212315789,8,"[8, 6, 4]",5.542182212315789
50,"[8, 6, 3]",two-tone,15,10,7,5.062654624653738,8,"[8, 6, 3]",5.062654624653738
51,"[8, 6, 2]",two-tone,10,7,5,5.060872043767313,8,"[8, 6, 2]",5.060872043767313
52,"[8, 5, 5]",two-tone,16,11,8,5.947894889497093,8,"[8, 5, 5]",5.947894889497093
53,"[8, 5, 4]",two-tone,8,6,4,6.170283783612728,8,"[8, 5, 4]",6.170283783612728
54,"[8, 5, 3]",two-tone,10,7,5,6.065387542531648,8,"[8, 5, 3]",6.065387542531648
55,"[8, 5, 2]",two-tone,8,6,4,6.060932811139241,8,"[8, 5, 2]",6.060932811139241
56,"[8, 4, 4]",two-tone,16,11,8,5.960988268901813,8,"[8, 4, 4]",5.960988268901813
57,"[8, 4, 3]",two-tone,15,10,7,6.057301305569621,8,"[8, 4, 3]",6.057301305569621
58,"[8, 4, 2]",two-tone,8,6,4,6.066456869873417,8,"[8, 4, 2]",6.066456869873417
59,"[8, 3, 3]",two-tone,10,7,5,5.3464889180546304,8,"[8, 3, 3]",5.3464889180546304
60,"[8, 3, 2]",two-tone,16,11,8,5.86429584143904,8,"[8, 3, 2]",5.86429584143904
61,"[8, 2, 2]",two-tone,16,11,8,5.342166543637575,8,"[8, 2, 2]",5.342166543637575
62,"[7, 7, 6]",two-tone,10,7,5,4.929684513573407,7,"[7, 7, 6]",4.929684513573407
63,"[7, 7, 5]",two-tone,15,10,7,5.701576494734177,7,"[7, 7, 5]",5.701576494734177
64,"[7, 7, 4]",two-tone,15,10,7,5.712229272000003,7,"[7, 7, 4]",5.712229272000003
65,"[7, 7, 3]",two-tone,15,10,7,5.414645120586276,7,"[7, 7, 3]",5.414645120586276
66,"[7, 7, 2]",two-tone,16,11,8,5.363651391605597,7,"[7, 7, 2]",5.363651391605597
67,"[7, 6, 6]",two-tone,8,6,4,4.910514014958449,7,"[7, 6, 6]",4.910514014958449
68,"[7, 6, 5]",two-tone,15,10,7,5.487343812842107,7,"[7, 6, 5]",5.487343812842107
69,"[7, 6, 4]",two-tone,16,11,8,5.623534297894738,7,"[7, 6, 4]",5.623534297894738
70,"[7, 6, 3]",two-tone,8,6,4,5.3597076099723,7,"[7, 6, 3]",5.3597076099723
71,"[7, 6, 2]",two-tone,15,10,7,4.927328049307478,7,"[7, 6, 2]",4.927328049307478
72,"[7, 5, 5]",two-tone,15,10,7,5.918690373930894,7,"[7, 5, 5]",5.918690373930894
73,"[7, 5, 4]",two-tone,15,10,7,6.0317406219124186,7,"[7, 5, 4]",6.0317406219124186
74,"[7, 5, 3]",two-tone,16,11,8,6.1866095018481015,7,"[7, 5, 3]",6.1866095018481015
75,"[7, 5, 2]",two-tone,16,11,8,5.9985800370126565,7,"[7, 5, 2]",5.9985800370126565
76,"[7, 4, 4]",two-tone,16,11,8,5.92878688819706,7,"[7, 4, 4]",5.92878688819706
77,"[7, 4, 3]",two-tone,16,11,8,6.187806969037975,7,"[7, 4, 3]",6.187806969037975
78,"[7, 4, 2]",two-tone,16,11,8,6.007571451139243,7,"[7, 4, 2]",6.007571451139243
79,"[7, 3, 3]",two-tone,15,10,7,5.261246225716189,7,"[7, 3, 3]",5.261246225716189
80,"[7, 3, 2]",two-tone,16,11,8,5.820987913391073,7,"[7, 3, 2]",5.820987913391073
81,"[7, 2, 2]",two-tone,16,11,8,5.216886342171885,7,"[7, 2, 2]",5.216886342171885
82,"[6, 6, 5]",two-tone,16,11,8,5.236586527240505,6,"[6, 6, 5]",5.236586527240505
83,"[6, 6, 4]",two-tone,16,11,8,5.249404007898733,6,"[6, 6, 4]",5.249404007898733
84,"[6, 6, 3]",two-tone,16,11,8,4.948989142704863,6,"[6, 6, 3]",4.948989142704863
85,"[6, 6, 2]",two-tone,16,11,8,4.901547225049967,6,"[6, 6, 2]",4.901547225049967
86,"[6, 5, 5]",two-tone,16,11,8,5.528300211152927,6,"[6, 5, 5]",5.528300211152927
87,"[6, 5, 4]",two-tone,16,11,8,5.4690156780533705,6,"[6, 5, 4]",5.4690156780533705
88,"[6, 5, 3]",two-tone,16,11,8,5.683271998759492,6,"[6, 5, 3]",5.683271998759492
89,"[6, 5, 2]",two-tone,16,11,8,5.5203532417721535,6,"[6, 5, 2]",5.5203532417721535
90,"[6, 4, 4]",two-tone,16,11,8,5.544154865275403,6,"[6, 4, 4]",5.544154865275403
91,"[6, 4, 3]",two-tone,16,11,8,5.708867917949368,6,"[6, 4, 3]",5.708867917949368
92,"[6, 4, 2]",two-tone,16,11,8,5.526106139341771,6,"[6, 4, 2]",5.526106139341771
93,"[6, 3, 3]",two-tone,16,11,8,4.8058831610926065,6,"[6, 3, 3]",4.8058831610926065
94,"[6, 3, 2]",two-tone,16,11,8,5.360817372551632,6,"[6, 3, 2]",5.360817372551632
95,"[6, 2, 2]",two-tone,16,11,8,4.758106721652234,6,"[6, 2, 2]",4.758106721652234
96,"[5, 5, 4]",two-tone,16,11,8,6.1498944463067335,5,"[5, 5, 4]",6.1498944463067335
97,"[5, 5, 3]",two-tone,16,11,8,6.091564826443168,5,"[5, 5, 3]",6.091564826443168
98,"[5, 5, 2]",two-tone,16,11,8,6.061720740276862,5,"[5, 5, 2]",6.061720740276862
99,"[5, 4, 4]",two-tone,16,11,8,6.167701138155697,5,"[5, 4, 4]",6.167701138155697
100,"[5, 4, 3]",two-tone,16,11,8,7.615530306868593,5,"[5, 4, 3]",7.615530306868593
101,"[5, 4, 2]",two-tone,16,11,8,7.685451953169434,5,"[5, 4, 2]",7.685451953169434
102,"[5, 3, 3]",two-tone,16,11,8,5.624902595121952,5,"[5, 3, 3]",5.624902595121952
103,"[5, 3, 2]",two-tone,16,11,8,7.679274454185016,5,"[5, 3, 2]",7.679274454185016
