,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,4.708184939680802,9,"[9, 9, 8]",4.708184939680802
1,"[9, 9, 7]",two-tone,16,11,8,4.196241624690972,9,"[9, 9, 7]",4.196241624690972
2,"[9, 9, 6]",two-tone,15,10,7,3.8445547742793806,9,"[9, 9, 6]",3.8445547742793806
3,"[9, 9, 5]",two-tone,15,10,7,4.398538848981481,9,"[9, 9, 5]",4.398538848981481
4,"[9, 9, 4]",two-tone,16,11,8,4.799241823170734,9,"[9, 9, 4]",4.799241823170734
5,"[9, 9, 3]",two-tone,16,11,8,5.216075990060243,9,"[9, 9, 3]",5.216075990060243
6,"[9, 9, 2]",two-tone,16,11,8,5.07258015243976,9,"[9, 9, 2]",5.07258015243976
7,"[9, 8, 8]",two-tone,16,11,8,5.537631324878049,9,"[9, 8, 8]",5.537631324878049
8,"[9, 8, 7]",two-tone,8,6,4,3.6509676702235776,9,"[9, 8, 7]",3.6509676702235776
9,"[9, 8, 6]",two-tone,15,10,7,4.2843703377727875,9,"[9, 8, 6]",4.2843703377727875
10,"[9, 8, 5]",two-tone,15,10,7,5.0338797251851854,9,"[9, 8, 5]",5.0338797251851854
11,"[9, 8, 4]",two-tone,15,10,7,5.069325708148149,9,"[9, 8, 4]",5.069325708148149
12,"[9, 8, 3]",two-tone,10,7,5,5.6053563278048815,9,"[9, 8, 3]",5.6053563278048815
13,"[9, 8, 2]",two-tone,16,11,8,5.4526378829268305,9,"[9, 8, 2]",5.4526378829268305
14,"[9, 7, 7]",two-tone,16,11,8,5.1349314029268305,9,"[9, 7, 7]",5.1349314029268305
15,"[9, 7, 6]",two-tone,10,7,5,4.904675657252888,9,"[9, 7, 6]",4.904675657252888
16,"[9, 7, 5]",two-tone,15,10,7,5.243588798780491,9,"[9, 7, 5]",5.243588798780491
17,"[9, 7, 4]",two-tone,15,10,7,4.711461765925926,9,"[9, 7, 4]",4.711461765925926
18,"[9, 7, 3]",two-tone,15,10,7,5.227410219512196,9,"[9, 7, 3]",5.227410219512196
19,"[9, 7, 2]",two-tone,16,11,8,5.031947213414637,9,"[9, 7, 2]",5.031947213414637
20,"[9, 6, 6]",two-tone,10,7,5,5.179442316000001,9,"[9, 6, 6]",5.179442316000001
21,"[9, 6, 5]",two-tone,4,3,2,5.5557882321428576,9,"[9, 6, 5]",5.5557882321428576
22,"[9, 6, 4]",two-tone,8,6,4,4.358031141000001,9,"[9, 6, 4]",4.358031141000001
23,"[9, 6, 3]",two-tone,2,2,2,4.867909423333334,9,"[9, 6, 3]",4.867909423333334
24,"[9, 6, 2]",two-tone,16,11,8,4.825901603703704,9,"[9, 6, 2]",4.825901603703704
25,"[9, 5, 5]",two-tone,10,7,5,5.8328757692307684,9,"[9, 5, 5]",5.8328757692307684
26,"[9, 5, 4]",two-tone,4,3,2,5.868749906962027,9,"[9, 5, 4]",5.868749906962027
27,"[9, 5, 3]",two-tone,3,2,2,5.608344315000001,9,"[9, 5, 3]",5.608344315000001
28,"[9, 5, 2]",two-tone,10,7,5,5.5887036225000015,9,"[9, 5, 2]",5.5887036225000015
29,"[9, 4, 4]",two-tone,16,11,8,5.8640504700000005,9,"[9, 4, 4]",5.8640504700000005
30,"[9, 4, 3]",two-tone,10,7,5,6.019692775925924,9,"[9, 4, 3]",6.019692775925924
31,"[9, 4, 2]",two-tone,16,11,8,5.8689670111111125,9,"[9, 4, 2]",5.8689670111111125
32,"[9, 3, 3]",two-tone,16,11,8,5.90705665609756,9,"[9, 3, 3]",5.90705665609756
33,"[9, 3, 2]",two-tone,16,11,8,6.283112458536585,9,"[9, 3, 2]",6.283112458536585
34,"[9, 2, 2]",two-tone,16,11,8,5.7952434439024385,9,"[9, 2, 2]",5.7952434439024385
35,"[8, 8, 7]",two-tone,8,6,4,5.4205056601503765,8,"[8, 8, 7]",5.4205056601503765
36,"[8, 8, 6]",two-tone,16,11,8,5.005559155179932,8,"[8, 8, 6]",5.005559155179932
37,"[8, 8, 5]",two-tone,2,2,2,5.639341474933661,8,"[8, 8, 5]",5.639341474933661
38,"[8, 8, 4]",two-tone,10,7,5,6.175364168846271,8,"[8, 8, 4]",6.175364168846271
39,"[8, 8, 3]",two-tone,16,11,8,6.54551878400643,8,"[8, 8, 3]",6.54551878400643
40,"[8, 8, 2]",two-tone,16,11,8,6.3936801331123165,8,"[8, 8, 2]",6.3936801331123165
