,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,4.020758797601198,9,"[9, 9, 8]",4.020758797601198
1,"[9, 9, 7]",two-tone,15,10,7,3.6034825341378736,9,"[9, 9, 7]",3.6034825341378736
2,"[9, 9, 6]",two-tone,16,11,8,3.064236593552653,9,"[9, 9, 6]",3.064236593552653
3,"[9, 9, 5]",two-tone,16,11,8,2.641931105434783,9,"[9, 9, 5]",2.641931105434783
4,"[9, 9, 4]",two-tone,15,10,7,2.2554286568656146,9,"[9, 9, 4]",2.2554286568656146
5,"[9, 9, 3]",two-tone,15,10,7,2.254849191852138,9,"[9, 9, 3]",2.254849191852138
6,"[9, 9, 2]",two-tone,15,10,7,2.25378435239122,9,"[9, 9, 2]",2.25378435239122
7,"[9, 8, 8]",two-tone,15,10,7,4.042890902042955,9,"[9, 8, 8]",4.042890902042955
8,"[9, 8, 7]",two-tone,15,10,7,4.713383797795832,9,"[9, 8, 7]",4.713383797795832
9,"[9, 8, 6]",two-tone,16,11,8,4.0613679886511616,9,"[9, 8, 6]",4.0613679886511616
10,"[9, 8, 5]",two-tone,15,10,7,3.3873219720930225,9,"[9, 8, 5]",3.3873219720930225
11,"[9, 8, 4]",two-tone,16,11,8,2.767757990617848,9,"[9, 8, 4]",2.767757990617848
12,"[9, 8, 3]",two-tone,15,10,7,2.7680134184210514,9,"[9, 8, 3]",2.7680134184210514
13,"[9, 8, 2]",two-tone,15,10,7,2.769440436842104,9,"[9, 8, 2]",2.769440436842104
14,"[9, 7, 7]",two-tone,16,11,8,3.575481399018233,9,"[9, 7, 7]",3.575481399018233
15,"[9, 7, 6]",two-tone,16,11,8,3.986162969906976,9,"[9, 7, 6]",3.986162969906976
16,"[9, 7, 5]",two-tone,15,10,7,3.338133131574593,9,"[9, 7, 5]",3.338133131574593
17,"[9, 7, 4]",two-tone,15,10,7,2.6951504260869563,9,"[9, 7, 4]",2.6951504260869563
18,"[9, 7, 3]",two-tone,15,10,7,2.6943889152173908,9,"[9, 7, 3]",2.6943889152173908
19,"[9, 7, 2]",two-tone,16,11,8,2.6987694021739124,9,"[9, 7, 2]",2.6987694021739124
20,"[9, 6, 6]",two-tone,15,10,7,3.1806820743338013,9,"[9, 6, 6]",3.1806820743338013
21,"[9, 6, 5]",two-tone,16,11,8,3.2949455868673043,9,"[9, 6, 5]",3.2949455868673043
22,"[9, 6, 4]",two-tone,15,10,7,2.7312579260869567,9,"[9, 6, 4]",2.7312579260869567
23,"[9, 6, 3]",two-tone,15,10,7,2.7301491978260866,9,"[9, 6, 3]",2.7301491978260866
24,"[9, 6, 2]",two-tone,15,10,7,2.722915860869565,9,"[9, 6, 2]",2.722915860869565
25,"[9, 5, 5]",two-tone,15,10,7,2.8011568181565223,9,"[9, 5, 5]",2.8011568181565223
26,"[9, 5, 4]",two-tone,15,10,7,2.738666322887447,9,"[9, 5, 4]",2.738666322887447
27,"[9, 5, 3]",two-tone,15,10,7,2.737235520643408,9,"[9, 5, 3]",2.737235520643408
28,"[9, 5, 2]",two-tone,16,11,8,2.7439758083450205,9,"[9, 5, 2]",2.7439758083450205
29,"[9, 4, 4]",two-tone,15,10,7,2.4655768897959183,9,"[9, 4, 4]",2.4655768897959183
