,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,3.2045358664832997,9,"[9, 9, 8]",3.2045358664832997
1,"[9, 9, 7]",two-tone,1,1,1,3.02819859914618,9,"[9, 9, 7]",3.02819859914618
2,"[9, 9, 6]",two-tone,3,2,2,1.75255281628585,9,"[9, 9, 6]",1.75255281628585
3,"[9, 9, 5]",two-tone,1,1,1,2.2240952351861947,9,"[9, 9, 5]",2.2240952351861947
4,"[9, 9, 4]",two-tone,1,1,1,1.7156425330059646,9,"[9, 9, 4]",1.7156425330059646
5,"[9, 9, 3]",two-tone,2,2,2,1.7231271336715297,9,"[9, 9, 3]",1.7231271336715297
6,"[9, 9, 2]",two-tone,3,2,2,1.7188415932699743,9,"[9, 9, 2]",1.7188415932699743
7,"[9, 8, 8]",two-tone,1,1,1,2.542869919999999,9,"[9, 8, 8]",2.542869919999999
8,"[9, 8, 7]",two-tone,1,1,1,1.7509348284504898,9,"[9, 8, 7]",1.7509348284504898
9,"[9, 8, 6]",two-tone,1,1,1,2.329891565994169,9,"[9, 8, 6]",2.329891565994169
10,"[9, 8, 5]",two-tone,1,1,1,3.429815881316493,9,"[9, 8, 5]",3.429815881316493
11,"[9, 8, 4]",two-tone,1,1,1,4.026159846152229,9,"[9, 8, 4]",4.026159846152229
12,"[9, 8, 3]",two-tone,1,1,1,4.0297166593839835,9,"[9, 8, 3]",4.0297166593839835
13,"[9, 8, 2]",two-tone,1,1,1,4.029563456258983,9,"[9, 8, 2]",4.029563456258983
14,"[9, 7, 7]",two-tone,1,1,1,2.411740845719596,9,"[9, 7, 7]",2.411740845719596
15,"[9, 7, 6]",two-tone,1,1,1,3.0740038626384028,9,"[9, 7, 6]",3.0740038626384028
16,"[9, 7, 5]",two-tone,2,2,2,2.8934219482714387,9,"[9, 7, 5]",2.8934219482714387
17,"[9, 7, 4]",two-tone,1,1,1,3.94553683380869,9,"[9, 7, 4]",3.94553683380869
18,"[9, 7, 3]",two-tone,1,1,1,3.95497531524766,9,"[9, 7, 3]",3.95497531524766
19,"[9, 7, 2]",two-tone,2,2,2,3.971655709732544,9,"[9, 7, 2]",3.971655709732544
20,"[9, 6, 6]",two-tone,1,1,1,3.2059413782506563,9,"[9, 6, 6]",3.2059413782506563
21,"[9, 6, 5]",two-tone,1,1,1,-0.5812676186172211,9,"[9, 6, 5]",-0.5812676186172211
22,"[9, 6, 4]",two-tone,3,2,2,3.812694930434355,9,"[9, 6, 4]",3.812694930434355
23,"[9, 6, 3]",two-tone,1,1,1,3.8226644927002815,9,"[9, 6, 3]",3.8226644927002815
24,"[9, 6, 2]",two-tone,2,2,2,3.828000752822165,9,"[9, 6, 2]",3.828000752822165
25,"[9, 5, 5]",two-tone,1,1,1,3.702660675722013,9,"[9, 5, 5]",3.702660675722013
26,"[9, 5, 4]",two-tone,1,1,1,4.5127235230016085,9,"[9, 5, 4]",4.5127235230016085
27,"[9, 5, 3]",two-tone,1,1,1,4.500764420104099,9,"[9, 5, 3]",4.500764420104099
