,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,1.2440092398889138,9,"[9, 9, 8]",1.2440092398889138
1,"[9, 9, 7]",two-tone,1,1,1,1.3144951702135064,9,"[9, 9, 7]",1.3144951702135064
2,"[9, 9, 6]",two-tone,1,1,1,1.343804797036944,9,"[9, 9, 6]",1.343804797036944
3,"[9, 9, 5]",two-tone,1,1,1,1.346161071164668,9,"[9, 9, 5]",1.346161071164668
4,"[9, 9, 4]",two-tone,2,2,2,1.1225439298417783,9,"[9, 9, 4]",1.1225439298417783
5,"[9, 9, 3]",two-tone,15,10,7,1.1021599809876124,9,"[9, 9, 3]",1.1021599809876124
6,"[9, 9, 2]",two-tone,15,10,7,1.0316678600338411,9,"[9, 9, 2]",1.0316678600338411
7,"[9, 8, 8]",two-tone,1,1,1,0.8068668184311328,9,"[9, 8, 8]",0.8068668184311328
8,"[9, 8, 7]",two-tone,1,1,1,1.1122854517464602,9,"[9, 8, 7]",1.1122854517464602
9,"[9, 8, 6]",two-tone,1,1,1,0.9867965362183018,9,"[9, 8, 6]",0.9867965362183018
10,"[9, 8, 5]",two-tone,1,1,1,0.8887577356533191,9,"[9, 8, 5]",0.8887577356533191
11,"[9, 8, 4]",two-tone,1,1,1,0.923624252785362,9,"[9, 8, 4]",0.923624252785362
12,"[9, 8, 3]",two-tone,1,1,1,0.9172063481053406,9,"[9, 8, 3]",0.9172063481053406
13,"[9, 8, 2]",two-tone,1,1,1,0.9028894928505384,9,"[9, 8, 2]",0.9028894928505384
14,"[9, 7, 7]",two-tone,15,10,7,1.1843065541592648,9,"[9, 7, 7]",1.1843065541592648
15,"[9, 7, 6]",two-tone,1,1,1,1.141577132164554,9,"[9, 7, 6]",1.141577132164554
16,"[9, 7, 5]",two-tone,1,1,1,1.1128437818698174,9,"[9, 7, 5]",1.1128437818698174
17,"[9, 7, 4]",two-tone,1,1,1,1.1176699304787987,9,"[9, 7, 4]",1.1176699304787987
18,"[9, 7, 3]",two-tone,1,1,1,1.1273498438423644,9,"[9, 7, 3]",1.1273498438423644
19,"[9, 7, 2]",two-tone,1,1,1,1.091205923742129,9,"[9, 7, 2]",1.091205923742129
20,"[9, 6, 6]",two-tone,15,10,7,1.3596334800579395,9,"[9, 6, 6]",1.3596334800579395
21,"[9, 6, 5]",two-tone,1,1,1,1.2520924283401036,9,"[9, 6, 5]",1.2520924283401036
22,"[9, 6, 4]",two-tone,1,1,1,1.1786924037499995,9,"[9, 6, 4]",1.1786924037499995
23,"[9, 6, 3]",two-tone,1,1,1,1.1562329267408775,9,"[9, 6, 3]",1.1562329267408775
24,"[9, 6, 2]",two-tone,1,1,1,1.2067324788607217,9,"[9, 6, 2]",1.2067324788607217
25,"[9, 5, 5]",two-tone,10,7,5,1.2978775696920557,9,"[9, 5, 5]",1.2978775696920557
26,"[9, 5, 4]",two-tone,1,1,1,1.1733337549245624,9,"[9, 5, 4]",1.1733337549245624
27,"[9, 5, 3]",two-tone,1,1,1,1.204071813626439,9,"[9, 5, 3]",1.204071813626439
28,"[9, 5, 2]",two-tone,1,1,1,1.177409591442628,9,"[9, 5, 2]",1.177409591442628
29,"[9, 4, 4]",two-tone,15,10,7,1.192311432938749,9,"[9, 4, 4]",1.192311432938749
30,"[9, 4, 3]",two-tone,1,1,1,1.1526158603250771,9,"[9, 4, 3]",1.1526158603250771
31,"[9, 4, 2]",two-tone,1,1,1,1.0141931339193109,9,"[9, 4, 2]",1.0141931339193109
32,"[9, 3, 3]",two-tone,15,10,7,1.1634984489918347,9,"[9, 3, 3]",1.1634984489918347
33,"[9, 3, 2]",two-tone,1,1,1,1.0443036589587258,9,"[9, 3, 2]",1.0443036589587258
34,"[9, 2, 2]",two-tone,10,7,5,0.9906723794885924,9,"[9, 2, 2]",0.9906723794885924
35,"[8, 8, 7]",two-tone,15,10,7,1.025888723977021,8,"[8, 8, 7]",1.025888723977021
36,"[8, 8, 6]",two-tone,15,10,7,0.9297519489927952,8,"[8, 8, 6]",0.9297519489927952
37,"[8, 8, 5]",two-tone,15,10,7,0.9628781307585688,8,"[8, 8, 5]",0.9628781307585688
38,"[8, 8, 4]",two-tone,15,10,7,0.9719305267919698,8,"[8, 8, 4]",0.9719305267919698
39,"[8, 8, 3]",two-tone,15,10,7,0.9369631677653476,8,"[8, 8, 3]",0.9369631677653476
40,"[8, 8, 2]",two-tone,15,10,7,0.8684115467629406,8,"[8, 8, 2]",0.8684115467629406
41,"[8, 7, 7]",two-tone,15,10,7,1.203366369464142,8,"[8, 7, 7]",1.203366369464142
42,"[8, 7, 6]",two-tone,2,2,2,0.6911099010871019,8,"[8, 7, 6]",0.6911099010871019
43,"[8, 7, 5]",two-tone,8,6,4,1.0019453101899811,8,"[8, 7, 5]",1.0019453101899811
44,"[8, 7, 4]",two-tone,1,1,1,0.6826159192809202,8,"[8, 7, 4]",0.6826159192809202
45,"[8, 7, 3]",two-tone,1,1,1,0.6994993119000001,8,"[8, 7, 3]",0.6994993119000001
46,"[8, 7, 2]",two-tone,1,1,1,0.6951590320174919,8,"[8, 7, 2]",0.6951590320174919
47,"[8, 6, 6]",two-tone,15,10,7,1.347789225521068,8,"[8, 6, 6]",1.347789225521068
48,"[8, 6, 5]",two-tone,8,6,4,1.0465694294277297,8,"[8, 6, 5]",1.0465694294277297
49,"[8, 6, 4]",two-tone,1,1,1,0.7526243050475719,8,"[8, 6, 4]",0.7526243050475719
50,"[8, 6, 3]",two-tone,1,1,1,0.7286040617778649,8,"[8, 6, 3]",0.7286040617778649
51,"[8, 6, 2]",two-tone,1,1,1,0.7230960361835841,8,"[8, 6, 2]",0.7230960361835841
52,"[8, 5, 5]",two-tone,15,10,7,1.1080359011721543,8,"[8, 5, 5]",1.1080359011721543
53,"[8, 5, 4]",two-tone,1,1,1,0.7393576083664408,8,"[8, 5, 4]",0.7393576083664408
54,"[8, 5, 3]",two-tone,1,1,1,0.743332679578125,8,"[8, 5, 3]",0.743332679578125
55,"[8, 5, 2]",two-tone,1,1,1,0.7177627975160663,8,"[8, 5, 2]",0.7177627975160663
56,"[8, 4, 4]",two-tone,15,10,7,1.1783045124964189,8,"[8, 4, 4]",1.1783045124964189
57,"[8, 4, 3]",two-tone,1,1,1,0.7494497160282373,8,"[8, 4, 3]",0.7494497160282373
58,"[8, 4, 2]",two-tone,1,1,1,0.7159492466877453,8,"[8, 4, 2]",0.7159492466877453
59,"[8, 3, 3]",two-tone,15,10,7,1.0283378588513408,8,"[8, 3, 3]",1.0283378588513408
60,"[8, 3, 2]",two-tone,1,1,1,0.6516239210788742,8,"[8, 3, 2]",0.6516239210788742
61,"[8, 2, 2]",two-tone,15,10,7,0.8608212998841136,8,"[8, 2, 2]",0.8608212998841136
62,"[7, 7, 6]",two-tone,15,10,7,1.3010825104312531,7,"[7, 7, 6]",1.3010825104312531
63,"[7, 7, 5]",two-tone,15,10,7,1.2988726704158675,7,"[7, 7, 5]",1.2988726704158675
64,"[7, 7, 4]",two-tone,15,10,7,1.2428953246608547,7,"[7, 7, 4]",1.2428953246608547
65,"[7, 7, 3]",two-tone,15,10,7,1.2099790590573898,7,"[7, 7, 3]",1.2099790590573898
66,"[7, 7, 2]",two-tone,15,10,7,1.0325224405275333,7,"[7, 7, 2]",1.0325224405275333
67,"[7, 6, 6]",two-tone,15,10,7,1.3403524668131723,7,"[7, 6, 6]",1.3403524668131723
68,"[7, 6, 5]",two-tone,8,6,4,0.9373321696704658,7,"[7, 6, 5]",0.9373321696704658
69,"[7, 6, 4]",two-tone,8,6,4,1.0950132551053589,7,"[7, 6, 4]",1.0950132551053589
70,"[7, 6, 3]",two-tone,8,6,4,0.7190468867284578,7,"[7, 6, 3]",0.7190468867284578
71,"[7, 6, 2]",two-tone,1,1,1,0.7884655563084109,7,"[7, 6, 2]",0.7884655563084109
72,"[7, 5, 5]",two-tone,15,10,7,1.2479800448567309,7,"[7, 5, 5]",1.2479800448567309
73,"[7, 5, 4]",two-tone,1,1,1,0.8248860962250687,7,"[7, 5, 4]",0.8248860962250687
74,"[7, 5, 3]",two-tone,1,1,1,0.9245340853205268,7,"[7, 5, 3]",0.9245340853205268
75,"[7, 5, 2]",two-tone,1,1,1,0.7615560832722833,7,"[7, 5, 2]",0.7615560832722833
