,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,3.02840295475303,9,"[9, 9, 8]",3.02840295475303
1,"[9, 9, 7]",two-tone,16,11,8,3.009534596477495,9,"[9, 9, 7]",3.009534596477495
2,"[9, 9, 6]",two-tone,16,11,8,2.6785161480295567,9,"[9, 9, 6]",2.6785161480295567
3,"[9, 9, 5]",two-tone,15,10,7,3.052861501760824,9,"[9, 9, 5]",3.052861501760824
4,"[9, 9, 4]",two-tone,16,11,8,3.296255385791315,9,"[9, 9, 4]",3.296255385791315
5,"[9, 9, 3]",two-tone,16,11,8,3.5680366864090316,9,"[9, 9, 3]",3.5680366864090316
6,"[9, 9, 2]",two-tone,16,11,8,3.4520918678462857,9,"[9, 9, 2]",3.4520918678462857
7,"[9, 8, 8]",two-tone,16,11,8,3.607151175233263,9,"[9, 8, 8]",3.607151175233263
8,"[9, 8, 7]",two-tone,8,6,4,2.9689706445280617,9,"[9, 8, 7]",2.9689706445280617
9,"[9, 8, 6]",two-tone,16,11,8,3.6746106173745177,9,"[9, 8, 6]",3.6746106173745177
10,"[9, 8, 5]",two-tone,16,11,8,3.5445612490851524,9,"[9, 8, 5]",3.5445612490851524
11,"[9, 8, 4]",two-tone,15,10,7,3.545716465576592,9,"[9, 8, 4]",3.545716465576592
12,"[9, 8, 3]",two-tone,16,11,8,3.884890421605341,9,"[9, 8, 3]",3.884890421605341
13,"[9, 8, 2]",two-tone,16,11,8,3.7661945597525253,9,"[9, 8, 2]",3.7661945597525253
14,"[9, 7, 7]",two-tone,16,11,8,4.43738445373631,9,"[9, 7, 7]",4.43738445373631
15,"[9, 7, 6]",two-tone,15,10,7,4.052561786158011,9,"[9, 7, 6]",4.052561786158011
16,"[9, 7, 5]",two-tone,15,10,7,4.155428832384177,9,"[9, 7, 5]",4.155428832384177
17,"[9, 7, 4]",two-tone,16,11,8,4.133235274296148,9,"[9, 7, 4]",4.133235274296148
18,"[9, 7, 3]",two-tone,15,10,7,4.434923355616438,9,"[9, 7, 3]",4.434923355616438
19,"[9, 7, 2]",two-tone,16,11,8,4.289588365382756,9,"[9, 7, 2]",4.289588365382756
20,"[9, 6, 6]",two-tone,15,10,7,4.498497194919787,9,"[9, 6, 6]",4.498497194919787
21,"[9, 6, 5]",two-tone,15,10,7,4.40287086850896,9,"[9, 6, 5]",4.40287086850896
22,"[9, 6, 4]",two-tone,15,10,7,3.975500616764705,9,"[9, 6, 4]",3.975500616764705
23,"[9, 6, 3]",two-tone,16,11,8,4.275117156425964,9,"[9, 6, 3]",4.275117156425964
24,"[9, 6, 2]",two-tone,15,10,7,4.225997342129817,9,"[9, 6, 2]",4.225997342129817
25,"[9, 5, 5]",two-tone,15,10,7,4.7150710199380175,9,"[9, 5, 5]",4.7150710199380175
26,"[9, 5, 4]",two-tone,16,11,8,4.938071490909092,9,"[9, 5, 4]",4.938071490909092
27,"[9, 5, 3]",two-tone,15,10,7,4.7974651009326035,9,"[9, 5, 3]",4.7974651009326035
28,"[9, 5, 2]",two-tone,16,11,8,4.756556111449844,9,"[9, 5, 2]",4.756556111449844
29,"[9, 4, 4]",two-tone,16,11,8,4.7299306292868355,9,"[9, 4, 4]",4.7299306292868355
30,"[9, 4, 3]",two-tone,15,10,7,5.042794352428394,9,"[9, 4, 3]",5.042794352428394
31,"[9, 4, 2]",two-tone,16,11,8,4.903737827148193,9,"[9, 4, 2]",4.903737827148193
32,"[9, 3, 3]",two-tone,16,11,8,4.753324541465677,9,"[9, 3, 3]",4.753324541465677
33,"[9, 3, 2]",two-tone,16,11,8,5.151673305473097,9,"[9, 3, 2]",5.151673305473097
34,"[9, 2, 2]",two-tone,16,11,8,4.669938812105753,9,"[9, 2, 2]",4.669938812105753
35,"[8, 8, 7]",two-tone,16,11,8,3.3247436626576583,8,"[8, 8, 7]",3.3247436626576583
36,"[8, 8, 6]",two-tone,16,11,8,3.07465959378685,8,"[8, 8, 6]",3.07465959378685
37,"[8, 8, 5]",two-tone,16,11,8,3.5483816731402245,8,"[8, 8, 5]",3.5483816731402245
38,"[8, 8, 4]",two-tone,16,11,8,3.900476950087184,8,"[8, 8, 4]",3.900476950087184
39,"[8, 8, 3]",two-tone,16,11,8,4.124152338817927,8,"[8, 8, 3]",4.124152338817927
40,"[8, 8, 2]",two-tone,16,11,8,4.0126264315328,8,"[8, 8, 2]",4.0126264315328
41,"[8, 7, 7]",two-tone,16,11,8,4.468393653583945,8,"[8, 7, 7]",4.468393653583945
42,"[8, 7, 6]",two-tone,16,11,8,3.3078311380930625,8,"[8, 7, 6]",3.3078311380930625
43,"[8, 7, 5]",two-tone,16,11,8,4.23439749844749,8,"[8, 7, 5]",4.23439749844749
44,"[8, 7, 4]",two-tone,16,11,8,4.820664952938404,8,"[8, 7, 4]",4.820664952938404
45,"[8, 7, 3]",two-tone,16,11,8,4.355480396013291,8,"[8, 7, 3]",4.355480396013291
46,"[8, 7, 2]",two-tone,16,11,8,4.354324931703845,8,"[8, 7, 2]",4.354324931703845
47,"[8, 6, 6]",two-tone,16,11,8,4.491241432751939,8,"[8, 6, 6]",4.491241432751939
48,"[8, 6, 5]",two-tone,16,11,8,4.498913779747126,8,"[8, 6, 5]",4.498913779747126
49,"[8, 6, 4]",two-tone,16,11,8,4.9997998491514775,8,"[8, 6, 4]",4.9997998491514775
50,"[8, 6, 3]",two-tone,16,11,8,4.246904249761071,8,"[8, 6, 3]",4.246904249761071
51,"[8, 6, 2]",two-tone,16,11,8,4.253613482255496,8,"[8, 6, 2]",4.253613482255496
52,"[8, 5, 5]",two-tone,16,11,8,4.808166111610487,8,"[8, 5, 5]",4.808166111610487
53,"[8, 5, 4]",two-tone,16,11,8,5.685807660674157,8,"[8, 5, 4]",5.685807660674157
54,"[8, 5, 3]",two-tone,16,11,8,4.906162929844544,8,"[8, 5, 3]",4.906162929844544
55,"[8, 5, 2]",two-tone,16,11,8,4.902562679390488,8,"[8, 5, 2]",4.902562679390488
56,"[8, 4, 4]",two-tone,16,11,8,4.916091182114823,8,"[8, 4, 4]",4.916091182114823
57,"[8, 4, 3]",two-tone,16,11,8,5.1454455175762455,8,"[8, 4, 3]",5.1454455175762455
58,"[8, 4, 2]",two-tone,16,11,8,5.138970228903922,8,"[8, 4, 2]",5.138970228903922
59,"[8, 3, 3]",two-tone,16,11,8,4.894912433313088,8,"[8, 3, 3]",4.894912433313088
60,"[8, 3, 2]",two-tone,16,11,8,5.348831331422714,8,"[8, 3, 2]",5.348831331422714
61,"[8, 2, 2]",two-tone,16,11,8,4.805304473549954,8,"[8, 2, 2]",4.805304473549954
62,"[7, 7, 6]",two-tone,16,11,8,4.481669182687846,7,"[7, 7, 6]",4.481669182687846
63,"[7, 7, 5]",two-tone,16,11,8,4.714585554804102,7,"[7, 7, 5]",4.714585554804102
64,"[7, 7, 4]",two-tone,16,11,8,5.125362409438775,7,"[7, 7, 4]",5.125362409438775
65,"[7, 7, 3]",two-tone,16,11,8,5.4357199030848085,7,"[7, 7, 3]",5.4357199030848085
66,"[7, 7, 2]",two-tone,16,11,8,5.300598325959926,7,"[7, 7, 2]",5.300598325959926
67,"[7, 6, 6]",two-tone,16,11,8,4.677713357851241,7,"[7, 6, 6]",4.677713357851241
68,"[7, 6, 5]",two-tone,16,11,8,3.75749448409091,7,"[7, 6, 5]",3.75749448409091
69,"[7, 6, 4]",two-tone,16,11,8,4.700504497933883,7,"[7, 6, 4]",4.700504497933883
70,"[7, 6, 3]",two-tone,16,11,8,5.313930385570472,7,"[7, 6, 3]",5.313930385570472
71,"[7, 6, 2]",two-tone,16,11,8,4.571876977651517,7,"[7, 6, 2]",4.571876977651517
72,"[7, 5, 5]",two-tone,16,11,8,4.82840322887324,7,"[7, 5, 5]",4.82840322887324
73,"[7, 5, 4]",two-tone,16,11,8,5.505694201048951,7,"[7, 5, 4]",5.505694201048951
74,"[7, 5, 3]",two-tone,16,11,8,5.946855411224492,7,"[7, 5, 3]",5.946855411224492
75,"[7, 5, 2]",two-tone,16,11,8,4.97054445,7,"[7, 5, 2]",4.97054445
76,"[7, 4, 4]",two-tone,16,11,8,5.0348752500000025,7,"[7, 4, 4]",5.0348752500000025
77,"[7, 4, 3]",two-tone,16,11,8,6.038346536734696,7,"[7, 4, 3]",6.038346536734696
78,"[7, 4, 2]",two-tone,16,11,8,5.321670155172415,7,"[7, 4, 2]",5.321670155172415
79,"[7, 3, 3]",two-tone,16,11,8,5.132721904109591,7,"[7, 3, 3]",5.132721904109591
80,"[7, 3, 2]",two-tone,16,11,8,5.555068767123289,7,"[7, 3, 2]",5.555068767123289
81,"[7, 2, 2]",two-tone,16,11,8,4.990281585616438,7,"[7, 2, 2]",4.990281585616438
82,"[6, 6, 5]",two-tone,16,11,8,4.517212157444668,6,"[6, 6, 5]",4.517212157444668
83,"[6, 6, 4]",two-tone,16,11,8,4.606272552886284,6,"[6, 6, 4]",4.606272552886284
84,"[6, 6, 3]",two-tone,16,11,8,4.9822099673128255,6,"[6, 6, 3]",4.9822099673128255
85,"[6, 6, 2]",two-tone,16,11,8,4.933490710538778,6,"[6, 6, 2]",4.933490710538778
86,"[6, 5, 5]",two-tone,16,11,8,4.427632658450705,6,"[6, 5, 5]",4.427632658450705
87,"[6, 5, 4]",two-tone,16,11,8,5.083131644668009,6,"[6, 5, 4]",5.083131644668009
88,"[6, 5, 3]",two-tone,16,11,8,5.268237758333333,6,"[6, 5, 3]",5.268237758333333
89,"[6, 5, 2]",two-tone,16,11,8,5.192597755598456,6,"[6, 5, 2]",5.192597755598456
