,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,15,10,7,3.78143013887316,9,"[9, 9, 8]",3.78143013887316
1,"[9, 9, 7]",two-tone,16,11,8,3.40465544031575,9,"[9, 9, 7]",3.40465544031575
2,"[9, 9, 6]",two-tone,16,11,8,3.3295530517274297,9,"[9, 9, 6]",3.3295530517274297
3,"[9, 9, 5]",two-tone,16,11,8,3.0539950251213246,9,"[9, 9, 5]",3.0539950251213246
4,"[9, 9, 4]",two-tone,16,11,8,2.7920045382745253,9,"[9, 9, 4]",2.7920045382745253
5,"[9, 9, 3]",two-tone,16,11,8,2.5119243991794,9,"[9, 9, 3]",2.5119243991794
6,"[9, 9, 2]",two-tone,16,11,8,2.2165231273344648,9,"[9, 9, 2]",2.2165231273344648
7,"[9, 8, 8]",two-tone,16,11,8,4.064906361545936,9,"[9, 8, 8]",4.064906361545936
8,"[9, 8, 7]",two-tone,15,10,7,4.3047183342270765,9,"[9, 8, 7]",4.3047183342270765
9,"[9, 8, 6]",two-tone,16,11,8,3.770137072235433,9,"[9, 8, 6]",3.770137072235433
10,"[9, 8, 5]",two-tone,15,10,7,3.684832814614373,9,"[9, 8, 5]",3.684832814614373
11,"[9, 8, 4]",two-tone,16,11,8,2.9789064674023344,9,"[9, 8, 4]",2.9789064674023344
12,"[9, 8, 3]",two-tone,16,11,8,2.6602146981480472,9,"[9, 8, 3]",2.6602146981480472
13,"[9, 8, 2]",two-tone,16,11,8,2.3128332375067986,9,"[9, 8, 2]",2.3128332375067986
14,"[9, 7, 7]",two-tone,16,11,8,3.4170733421485093,9,"[9, 7, 7]",3.4170733421485093
15,"[9, 7, 6]",two-tone,16,11,8,3.619870505072689,9,"[9, 7, 6]",3.619870505072689
16,"[9, 7, 5]",two-tone,16,11,8,3.4993580475635904,9,"[9, 7, 5]",3.4993580475635904
17,"[9, 7, 4]",two-tone,16,11,8,2.7554559769261004,9,"[9, 7, 4]",2.7554559769261004
18,"[9, 7, 3]",two-tone,16,11,8,2.4610862395219435,9,"[9, 7, 3]",2.4610862395219435
19,"[9, 7, 2]",two-tone,16,11,8,2.1662981100992686,9,"[9, 7, 2]",2.1662981100992686
20,"[9, 6, 6]",two-tone,16,11,8,3.2370807064312306,9,"[9, 6, 6]",3.2370807064312306
21,"[9, 6, 5]",two-tone,16,11,8,3.540131141274776,9,"[9, 6, 5]",3.540131141274776
22,"[9, 6, 4]",two-tone,16,11,8,2.9927305410606917,9,"[9, 6, 4]",2.9927305410606917
23,"[9, 6, 3]",two-tone,16,11,8,2.6992226233094243,9,"[9, 6, 3]",2.6992226233094243
24,"[9, 6, 2]",two-tone,16,11,8,2.408251922131148,9,"[9, 6, 2]",2.408251922131148
25,"[9, 5, 5]",two-tone,16,11,8,3.007099740994938,9,"[9, 5, 5]",3.007099740994938
26,"[9, 5, 4]",two-tone,16,11,8,3.0267698637551224,9,"[9, 5, 4]",3.0267698637551224
27,"[9, 5, 3]",two-tone,16,11,8,2.7489528563658654,9,"[9, 5, 3]",2.7489528563658654
28,"[9, 5, 2]",two-tone,16,11,8,2.462292578558296,9,"[9, 5, 2]",2.462292578558296
29,"[9, 4, 4]",two-tone,16,11,8,2.8329042422500006,9,"[9, 4, 4]",2.8329042422500006
30,"[9, 4, 3]",two-tone,16,11,8,2.791117800005076,9,"[9, 4, 3]",2.791117800005076
31,"[9, 4, 2]",two-tone,16,11,8,2.547146131794651,9,"[9, 4, 2]",2.547146131794651
32,"[9, 3, 3]",two-tone,16,11,8,2.626627981985856,9,"[9, 3, 3]",2.626627981985856
33,"[9, 3, 2]",two-tone,16,11,8,2.5572307874924114,9,"[9, 3, 2]",2.5572307874924114
34,"[9, 2, 2]",two-tone,16,11,8,2.3748742489153285,9,"[9, 2, 2]",2.3748742489153285
35,"[8, 8, 7]",two-tone,16,11,8,3.9853123480267385,8,"[8, 8, 7]",3.9853123480267385
36,"[8, 8, 6]",two-tone,16,11,8,3.6716940638123514,8,"[8, 8, 6]",3.6716940638123514
37,"[8, 8, 5]",two-tone,16,11,8,3.2793845731652667,8,"[8, 8, 5]",3.2793845731652667
38,"[8, 8, 4]",two-tone,16,11,8,2.978466944103314,8,"[8, 8, 4]",2.978466944103314
39,"[8, 8, 3]",two-tone,16,11,8,2.680597682176871,8,"[8, 8, 3]",2.680597682176871
40,"[8, 8, 2]",two-tone,16,11,8,2.3559593566513954,8,"[8, 8, 2]",2.3559593566513954
41,"[8, 7, 7]",two-tone,15,10,7,3.785223233082324,8,"[8, 7, 7]",3.785223233082324
42,"[8, 7, 6]",two-tone,16,11,8,4.182706643748,8,"[8, 7, 6]",4.182706643748
43,"[8, 7, 5]",two-tone,15,10,7,3.9841469917185868,8,"[8, 7, 5]",3.9841469917185868
44,"[8, 7, 4]",two-tone,15,10,7,3.4471780545973667,8,"[8, 7, 4]",3.4471780545973667
45,"[8, 7, 3]",two-tone,16,11,8,2.957345675908752,8,"[8, 7, 3]",2.957345675908752
46,"[8, 7, 2]",two-tone,16,11,8,2.6230591764204245,8,"[8, 7, 2]",2.6230591764204245
47,"[8, 6, 6]",two-tone,16,11,8,3.3286220230208494,8,"[8, 6, 6]",3.3286220230208494
48,"[8, 6, 5]",two-tone,16,11,8,3.7853503765793364,8,"[8, 6, 5]",3.7853503765793364
49,"[8, 6, 4]",two-tone,16,11,8,3.3395174819348243,8,"[8, 6, 4]",3.3395174819348243
50,"[8, 6, 3]",two-tone,16,11,8,2.8166084478787874,8,"[8, 6, 3]",2.8166084478787874
51,"[8, 6, 2]",two-tone,16,11,8,2.507843817241379,8,"[8, 6, 2]",2.507843817241379
52,"[8, 5, 5]",two-tone,16,11,8,3.101541342286706,8,"[8, 5, 5]",3.101541342286706
53,"[8, 5, 4]",two-tone,16,11,8,3.346078261335105,8,"[8, 5, 4]",3.346078261335105
54,"[8, 5, 3]",two-tone,16,11,8,2.874655531578125,8,"[8, 5, 3]",2.874655531578125
55,"[8, 5, 2]",two-tone,16,11,8,2.5766007259973955,8,"[8, 5, 2]",2.5766007259973955
56,"[8, 4, 4]",two-tone,16,11,8,2.9059860543552816,8,"[8, 4, 4]",2.9059860543552816
57,"[8, 4, 3]",two-tone,16,11,8,2.9040612391071425,8,"[8, 4, 3]",2.9040612391071425
58,"[8, 4, 2]",two-tone,16,11,8,2.6223842916071427,8,"[8, 4, 2]",2.6223842916071427
59,"[8, 3, 3]",two-tone,16,11,8,2.7171253963774467,8,"[8, 3, 3]",2.7171253963774467
60,"[8, 3, 2]",two-tone,16,11,8,2.6616292699303408,8,"[8, 3, 2]",2.6616292699303408
61,"[8, 2, 2]",two-tone,16,11,8,2.4606874520790725,8,"[8, 2, 2]",2.4606874520790725
62,"[7, 7, 6]",two-tone,16,11,8,3.781028297108209,7,"[7, 7, 6]",3.781028297108209
