,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,1.02954874183255,9,"[9, 9, 8]",1.02954874183255
1,"[9, 9, 7]",two-tone,8,6,4,1.3775307691357228,9,"[9, 9, 7]",1.3775307691357228
2,"[9, 9, 6]",two-tone,8,6,4,1.7784970910460165,9,"[9, 9, 6]",1.7784970910460165
3,"[9, 9, 5]",two-tone,8,6,4,1.8885836348055165,9,"[9, 9, 5]",1.8885836348055165
4,"[9, 9, 4]",two-tone,8,6,4,1.182641820500211,9,"[9, 9, 4]",1.182641820500211
5,"[9, 9, 3]",two-tone,8,6,4,1.1458574649308246,9,"[9, 9, 3]",1.1458574649308246
6,"[9, 9, 2]",two-tone,8,6,4,1.1512452630193075,9,"[9, 9, 2]",1.1512452630193075
7,"[9, 8, 8]",two-tone,1,1,1,1.186802801309176,9,"[9, 8, 8]",1.186802801309176
8,"[9, 8, 7]",two-tone,1,1,1,2.475545220181769,9,"[9, 8, 7]",2.475545220181769
9,"[9, 8, 6]",two-tone,1,1,1,2.5077331271893217,9,"[9, 8, 6]",2.5077331271893217
10,"[9, 8, 5]",two-tone,1,1,1,2.388626222291332,9,"[9, 8, 5]",2.388626222291332
11,"[9, 8, 4]",two-tone,1,1,1,1.7555953115424758,9,"[9, 8, 4]",1.7555953115424758
12,"[9, 8, 3]",two-tone,1,1,1,1.7366137627199438,9,"[9, 8, 3]",1.7366137627199438
13,"[9, 8, 2]",two-tone,1,1,1,1.7514778894637222,9,"[9, 8, 2]",1.7514778894637222
14,"[9, 7, 7]",two-tone,8,6,4,1.62174085504967,9,"[9, 7, 7]",1.62174085504967
15,"[9, 7, 6]",two-tone,1,1,1,2.8216951102474197,9,"[9, 7, 6]",2.8216951102474197
16,"[9, 7, 5]",two-tone,8,6,4,2.9311719162743253,9,"[9, 7, 5]",2.9311719162743253
17,"[9, 7, 4]",two-tone,8,6,4,1.9353656237176144,9,"[9, 7, 4]",1.9353656237176144
18,"[9, 7, 3]",two-tone,2,2,2,2.154346881483507,9,"[9, 7, 3]",2.154346881483507
19,"[9, 7, 2]",two-tone,2,2,2,2.0220818790613144,9,"[9, 7, 2]",2.0220818790613144
20,"[9, 6, 6]",two-tone,8,6,4,1.78634217793244,9,"[9, 6, 6]",1.78634217793244
21,"[9, 6, 5]",two-tone,1,1,1,2.964852326975828,9,"[9, 6, 5]",2.964852326975828
22,"[9, 6, 4]",two-tone,8,6,4,2.1577142067458235,9,"[9, 6, 4]",2.1577142067458235
23,"[9, 6, 3]",two-tone,8,6,4,2.18725950571906,9,"[9, 6, 3]",2.18725950571906
24,"[9, 6, 2]",two-tone,8,6,4,2.310431838248994,9,"[9, 6, 2]",2.310431838248994
25,"[9, 5, 5]",two-tone,8,6,4,1.9216088942951812,9,"[9, 5, 5]",1.9216088942951812
26,"[9, 5, 4]",two-tone,8,6,4,2.233675139501096,9,"[9, 5, 4]",2.233675139501096
27,"[9, 5, 3]",two-tone,2,2,2,2.2941217428483727,9,"[9, 5, 3]",2.2941217428483727
28,"[9, 5, 2]",two-tone,3,2,2,2.3789719173904333,9,"[9, 5, 2]",2.3789719173904333
29,"[9, 4, 4]",two-tone,8,6,4,1.6254647026727365,9,"[9, 4, 4]",1.6254647026727365
30,"[9, 4, 3]",two-tone,8,6,4,1.8130215768969309,9,"[9, 4, 3]",1.8130215768969309
31,"[9, 4, 2]",two-tone,8,6,4,1.7650107542211173,9,"[9, 4, 2]",1.7650107542211173
32,"[9, 3, 3]",two-tone,8,6,4,1.7592450146554541,9,"[9, 3, 3]",1.7592450146554541
33,"[9, 3, 2]",two-tone,8,6,4,1.816412821364296,9,"[9, 3, 2]",1.816412821364296
34,"[9, 2, 2]",two-tone,8,6,4,1.768280327252456,9,"[9, 2, 2]",1.768280327252456
35,"[8, 8, 7]",two-tone,8,6,4,1.568348689886428,8,"[8, 8, 7]",1.568348689886428
36,"[8, 8, 6]",two-tone,1,1,1,1.5217503595058992,8,"[8, 8, 6]",1.5217503595058992
37,"[8, 8, 5]",two-tone,10,7,5,1.812465063086099,8,"[8, 8, 5]",1.812465063086099
38,"[8, 8, 4]",two-tone,10,7,5,1.4001466638535485,8,"[8, 8, 4]",1.4001466638535485
39,"[8, 8, 3]",two-tone,10,7,5,1.1203610301341898,8,"[8, 8, 3]",1.1203610301341898
