,_flop,_board_type,_0b,_1b,_2b,_profit,rank1,flop,max_profit
0,"[9, 9, 8]",two-tone,1,1,1,1.0503588737914065,9,"[9, 9, 8]",1.0503588737914065
1,"[9, 9, 7]",two-tone,1,1,1,0.9388758988021804,9,"[9, 9, 7]",0.9388758988021804
2,"[9, 9, 6]",two-tone,15,10,7,1.0108120345796254,9,"[9, 9, 6]",1.0108120345796254
3,"[9, 9, 5]",two-tone,1,1,1,0.937522620282889,9,"[9, 9, 5]",0.937522620282889
4,"[9, 9, 4]",two-tone,3,2,2,0.723468740947109,9,"[9, 9, 4]",0.723468740947109
5,"[9, 9, 3]",two-tone,15,10,7,0.7464257756430678,9,"[9, 9, 3]",0.7464257756430678
6,"[9, 9, 2]",two-tone,15,10,7,0.7971446236819093,9,"[9, 9, 2]",0.7971446236819093
7,"[9, 8, 8]",two-tone,15,10,7,0.8848208425398955,9,"[9, 8, 8]",0.8848208425398955
8,"[9, 8, 7]",two-tone,1,1,1,1.2372530356910405,9,"[9, 8, 7]",1.2372530356910405
9,"[9, 8, 6]",two-tone,2,2,2,0.9401615040513333,9,"[9, 8, 6]",0.9401615040513333
10,"[9, 8, 5]",two-tone,1,1,1,0.8779762465900838,9,"[9, 8, 5]",0.8779762465900838
11,"[9, 8, 4]",two-tone,1,1,1,0.9254684442951541,9,"[9, 8, 4]",0.9254684442951541
12,"[9, 8, 3]",two-tone,1,1,1,0.9059491057970384,9,"[9, 8, 3]",0.9059491057970384
13,"[9, 8, 2]",two-tone,1,1,1,0.9036535109095812,9,"[9, 8, 2]",0.9036535109095812
14,"[9, 7, 7]",two-tone,15,10,7,0.9734724657099464,9,"[9, 7, 7]",0.9734724657099464
15,"[9, 7, 6]",two-tone,1,1,1,0.933154657719519,9,"[9, 7, 6]",0.933154657719519
16,"[9, 7, 5]",two-tone,1,1,1,1.0274314506793931,9,"[9, 7, 5]",1.0274314506793931
17,"[9, 7, 4]",two-tone,1,1,1,0.8786205206755094,9,"[9, 7, 4]",0.8786205206755094
18,"[9, 7, 3]",two-tone,1,1,1,0.8770896942123236,9,"[9, 7, 3]",0.8770896942123236
19,"[9, 7, 2]",two-tone,1,1,1,0.83786495908119,9,"[9, 7, 2]",0.83786495908119
20,"[9, 6, 6]",two-tone,15,10,7,1.1247319317230904,9,"[9, 6, 6]",1.1247319317230904
21,"[9, 6, 5]",two-tone,1,1,1,1.1149602385544006,9,"[9, 6, 5]",1.1149602385544006
