,flop,board_type,0b,1b,2b,profit,flop,max_profit
0,"[14, 9, 9]",two-tone,8,6,3,1.7016080315705908,"[14, 9, 9]",1.7016080315705908
1,"[14, 9, 8]",two-tone,8,6,7,1.2053865989853567,"[14, 9, 8]",1.2053865989853567
2,"[14, 9, 7]",two-tone,1,1,2,0.6954628723813862,"[14, 9, 7]",0.6954628723813862
3,"[14, 9, 6]",two-tone,1,1,1,0.8815678985554469,"[14, 9, 6]",0.8815678985554469
4,"[14, 9, 5]",two-tone,1,1,1,1.0541063670707942,"[14, 9, 5]",1.0541063670707942
5,"[14, 9, 4]",two-tone,1,0,1,0.7678773232258066,"[14, 9, 4]",0.7678773232258066
6,"[14, 9, 3]",two-tone,1,0,1,0.8176676373379055,"[14, 9, 3]",0.8176676373379055
7,"[14, 9, 2]",two-tone,1,0,1,0.8419239236952095,"[14, 9, 2]",0.8419239236952095
8,"[14, 8, 8]",two-tone,8,6,3,1.2741136899073249,"[14, 8, 8]",1.2741136899073249
9,"[14, 8, 7]",two-tone,1,1,1,0.5802323698305084,"[14, 8, 7]",0.5802323698305084
10,"[14, 8, 6]",two-tone,1,1,2,0.5702835554784179,"[14, 8, 6]",0.5702835554784179
11,"[14, 8, 5]",two-tone,1,0,1,0.5817894287133629,"[14, 8, 5]",0.5817894287133629
12,"[14, 8, 4]",two-tone,1,0,1,0.6538367213114754,"[14, 8, 4]",0.6538367213114754
13,"[14, 8, 3]",two-tone,1,0,1,0.7034394344262294,"[14, 8, 3]",0.7034394344262294
14,"[14, 8, 2]",two-tone,1,0,1,0.7298825852459018,"[14, 8, 2]",0.7298825852459018
15,"[14, 7, 7]",two-tone,1,0,1,1.0769721249169435,"[14, 7, 7]",1.0769721249169435
16,"[14, 7, 6]",two-tone,1,1,1,0.8655903870246084,"[14, 7, 6]",0.8655903870246084
17,"[14, 7, 5]",two-tone,1,1,1,1.045566815734989,"[14, 7, 5]",1.045566815734989
18,"[14, 7, 4]",two-tone,1,0,1,0.6833362303432999,"[14, 7, 4]",0.6833362303432999
19,"[14, 7, 3]",two-tone,1,0,1,0.7343027357300538,"[14, 7, 3]",0.7343027357300538
20,"[14, 7, 2]",two-tone,1,0,1,0.7530527861873219,"[14, 7, 2]",0.7530527861873219
21,"[14, 6, 6]",two-tone,1,1,1,1.2899036909511843,"[14, 6, 6]",1.2899036909511843
22,"[14, 6, 5]",two-tone,1,1,1,1.0992609899999994,"[14, 6, 5]",1.0992609899999994
23,"[14, 6, 4]",two-tone,1,1,1,1.0983242088162248,"[14, 6, 4]",1.0983242088162248
24,"[14, 6, 3]",two-tone,1,1,1,0.7314837417491753,"[14, 6, 3]",0.7314837417491753
25,"[14, 6, 2]",two-tone,1,0,1,0.7703992202970296,"[14, 6, 2]",0.7703992202970296
26,"[14, 5, 5]",two-tone,1,1,1,1.2276089263029109,"[14, 5, 5]",1.2276089263029109
27,"[14, 5, 4]",two-tone,1,1,1,0.9869801282531538,"[14, 5, 4]",0.9869801282531538
28,"[14, 5, 3]",two-tone,1,1,1,0.4746013839285713,"[14, 5, 3]",0.4746013839285713
29,"[14, 5, 2]",two-tone,1,0,1,0.5405851666666666,"[14, 5, 2]",0.5405851666666666
30,"[14, 4, 4]",two-tone,1,1,1,1.0784132952712169,"[14, 4, 4]",1.0784132952712169
31,"[14, 4, 3]",two-tone,1,1,1,0.497803835694465,"[14, 4, 3]",0.497803835694465
32,"[14, 4, 2]",two-tone,1,0,1,0.5379627142479612,"[14, 4, 2]",0.5379627142479612
33,"[14, 3, 3]",two-tone,1,1,1,0.975246964054326,"[14, 3, 3]",0.975246964054326
34,"[14, 3, 2]",two-tone,1,1,1,0.7579333639101864,"[14, 3, 2]",0.7579333639101864
35,"[14, 2, 2]",two-tone,1,1,1,0.9370885719633341,"[14, 2, 2]",0.9370885719633341
36,"[14, 14, 9]",two-tone,8,6,3,1.8703848323637544,"[14, 14, 9]",1.8703848323637544
37,"[14, 14, 8]",two-tone,1,0,0,1.1251610756668593,"[14, 14, 8]",1.1251610756668593
38,"[14, 14, 7]",two-tone,1,0,0,1.0909136735676597,"[14, 14, 7]",1.0909136735676597
39,"[14, 14, 6]",two-tone,1,0,0,1.0596577329360781,"[14, 14, 6]",1.0596577329360781
40,"[14, 14, 5]",two-tone,1,0,0,1.0068715427866268,"[14, 14, 5]",1.0068715427866268
41,"[14, 14, 4]",two-tone,1,0,0,0.986970792799274,"[14, 14, 4]",0.986970792799274
42,"[14, 14, 3]",two-tone,1,0,0,0.989590254113038,"[14, 14, 3]",0.989590254113038
43,"[14, 14, 2]",two-tone,1,0,0,0.9790729420948978,"[14, 14, 2]",0.9790729420948978
44,"[14, 14, 13]",two-tone,8,6,4,2.471345995045854,"[14, 14, 13]",2.471345995045854
45,"[14, 14, 12]",two-tone,8,6,4,2.3588876842477475,"[14, 14, 12]",2.3588876842477475
46,"[14, 14, 11]",two-tone,8,6,4,2.601730810319565,"[14, 14, 11]",2.601730810319565
47,"[14, 14, 10]",two-tone,4,3,2,1.8007021816626436,"[14, 14, 10]",1.8007021816626436
48,"[14, 13, 9]",two-tone,3,2,2,1.9277140939618642,"[14, 13, 9]",1.9277140939618642
49,"[14, 13, 8]",two-tone,3,2,2,1.8924244859086483,"[14, 13, 8]",1.8924244859086483
50,"[14, 13, 7]",two-tone,3,2,3,1.9724975135135132,"[14, 13, 7]",1.9724975135135132
51,"[14, 13, 6]",two-tone,3,2,3,1.95891354423018,"[14, 13, 6]",1.95891354423018
52,"[14, 13, 5]",two-tone,3,2,3,1.8758024191580225,"[14, 13, 5]",1.8758024191580225
53,"[14, 13, 4]",two-tone,3,2,3,1.91279289060606,"[14, 13, 4]",1.91279289060606
54,"[14, 13, 3]",two-tone,8,6,4,2.015927404409543,"[14, 13, 3]",2.015927404409543
55,"[14, 13, 2]",two-tone,8,6,4,2.006774509211718,"[14, 13, 2]",2.006774509211718
