,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,15,10,7,4.511369168253969,"[9, 9, 9]",rainbow,4.511369168253969
1,"[9, 9, 8]",two-tone,15,10,7,7.8046695706666664,"[9, 9, 8]",two-tone,7.8046695706666664
2,"[9, 9, 7]",two-tone,16,11,8,6.283687051000001,"[9, 9, 7]",two-tone,6.283687051000001
3,"[9, 9, 6]",rainbow,16,11,8,4.192298298666668,"[9, 9, 6]",rainbow,4.192298298666668
4,"[9, 9, 5]",rainbow,16,11,8,2.3856318952380957,"[9, 9, 5]",rainbow,2.3856318952380957
5,"[9, 9, 4]",rainbow,15,10,7,2.3383552568253982,"[9, 9, 4]",rainbow,2.3383552568253982
6,"[9, 9, 3]",rainbow,16,11,8,2.3379197492063497,"[9, 9, 3]",rainbow,2.3379197492063497
7,"[9, 9, 2]",rainbow,16,11,8,2.3399245619047635,"[9, 9, 2]",rainbow,2.3399245619047635
8,"[9, 8, 8]",two-tone,15,10,7,6.874497135245901,"[9, 8, 8]",two-tone,6.874497135245901
9,"[9, 8, 7]",monotone,15,10,7,9.687236222586208,"[9, 8, 7]",monotone,9.687236222586208
10,"[9, 8, 6]",monotone,15,10,7,8.369893209152544,"[9, 8, 6]",monotone,8.369893209152544
11,"[9, 8, 5]",monotone,16,11,8,5.347075684918032,"[9, 8, 5]",monotone,5.347075684918032
12,"[9, 8, 4]",monotone,16,11,8,5.106691937704917,"[9, 8, 4]",monotone,5.106691937704917
13,"[9, 8, 3]",monotone,15,10,7,5.103419227049178,"[9, 8, 3]",monotone,5.103419227049178
14,"[9, 8, 2]",monotone,16,11,8,5.106836534918032,"[9, 8, 2]",monotone,5.106836534918032
15,"[9, 7, 7]",two-tone,16,11,8,4.8186773565573775,"[9, 7, 7]",two-tone,4.8186773565573775
16,"[9, 7, 6]",monotone,15,10,7,7.146080393898304,"[9, 7, 6]",monotone,7.146080393898304
17,"[9, 7, 5]",monotone,15,10,7,4.1487699260655715,"[9, 7, 5]",monotone,4.1487699260655715
18,"[9, 7, 4]",monotone,15,10,7,3.916402016557375,"[9, 7, 4]",monotone,3.916402016557375
19,"[9, 7, 3]",monotone,16,11,8,3.91662088672131,"[9, 7, 3]",monotone,3.91662088672131
20,"[9, 7, 2]",monotone,15,10,7,3.9107809644262277,"[9, 7, 2]",monotone,3.9107809644262277
21,"[9, 6, 6]",rainbow,16,11,8,3.3783046962295087,"[9, 6, 6]",rainbow,3.3783046962295087
22,"[9, 6, 5]",monotone,15,10,7,4.088828646229507,"[9, 6, 5]",monotone,4.088828646229507
23,"[9, 6, 4]",monotone,16,11,8,3.8608125675409823,"[9, 6, 4]",monotone,3.8608125675409823
24,"[9, 6, 3]",monotone,15,10,7,3.854808492622949,"[9, 6, 3]",monotone,3.854808492622949
25,"[9, 6, 2]",monotone,15,10,7,3.848472915901638,"[9, 6, 2]",monotone,3.848472915901638
26,"[9, 5, 5]",rainbow,16,11,8,1.6461171265625,"[9, 5, 5]",rainbow,1.6461171265625
27,"[9, 5, 4]",monotone,15,10,7,2.398015586562499,"[9, 5, 4]",monotone,2.398015586562499
28,"[9, 5, 3]",monotone,16,11,8,2.3960046539062487,"[9, 5, 3]",monotone,2.3960046539062487
29,"[9, 5, 2]",monotone,15,10,7,2.3769372646875,"[9, 5, 2]",monotone,2.3769372646875
30,"[9, 4, 4]",rainbow,15,10,7,1.601106545625,"[9, 4, 4]",rainbow,1.601106545625
31,"[9, 4, 3]",monotone,15,10,7,2.3680306362499985,"[9, 4, 3]",monotone,2.3680306362499985
32,"[9, 4, 2]",monotone,16,11,8,2.34532577125,"[9, 4, 2]",monotone,2.34532577125
33,"[9, 3, 3]",rainbow,16,11,8,1.5904356184375006,"[9, 3, 3]",rainbow,1.5904356184375006
34,"[9, 3, 2]",monotone,15,10,7,2.3422519384375,"[9, 3, 2]",monotone,2.3422519384375
35,"[9, 2, 2]",rainbow,16,11,8,1.59145873203125,"[9, 2, 2]",rainbow,1.59145873203125
36,"[8, 8, 8]",rainbow,16,11,8,6.231465811692308,"[8, 8, 8]",rainbow,6.231465811692308
37,"[8, 8, 7]",two-tone,16,11,8,7.7423735793548385,"[8, 8, 7]",two-tone,7.7423735793548385
38,"[8, 8, 6]",rainbow,16,11,8,6.610846478064516,"[8, 8, 6]",rainbow,6.610846478064516
39,"[8, 8, 5]",rainbow,16,11,8,4.771791289230769,"[8, 8, 5]",rainbow,4.771791289230769
40,"[8, 8, 4]",rainbow,16,11,8,4.736844459076922,"[8, 8, 4]",rainbow,4.736844459076922
41,"[8, 8, 3]",rainbow,16,11,8,4.709960418461538,"[8, 8, 3]",rainbow,4.709960418461538
42,"[8, 8, 2]",rainbow,16,11,8,4.712415738461537,"[8, 8, 2]",rainbow,4.712415738461537
43,"[8, 7, 7]",two-tone,16,11,8,7.742558913548387,"[8, 7, 7]",two-tone,7.742558913548387
44,"[8, 7, 6]",rainbow,16,11,8,8.935206814915253,"[8, 7, 6]",rainbow,8.935206814915253
45,"[8, 7, 5]",rainbow,16,11,8,6.928282451935482,"[8, 7, 5]",rainbow,6.928282451935482
46,"[8, 7, 4]",rainbow,16,11,8,6.774160085806449,"[8, 7, 4]",rainbow,6.774160085806449
47,"[8, 7, 3]",rainbow,16,11,8,6.582276128387093,"[8, 7, 3]",rainbow,6.582276128387093
48,"[8, 7, 2]",rainbow,16,11,8,6.58581322096774,"[8, 7, 2]",rainbow,6.58581322096774
49,"[8, 6, 6]",rainbow,16,11,8,6.626421842903228,"[8, 6, 6]",rainbow,6.626421842903228
50,"[8, 6, 5]",rainbow,16,11,8,6.869471477096772,"[8, 6, 5]",rainbow,6.869471477096772
51,"[8, 6, 4]",rainbow,16,11,8,6.706113887096772,"[8, 6, 4]",rainbow,6.706113887096772
52,"[8, 6, 3]",rainbow,16,11,8,6.518680934193545,"[8, 6, 3]",rainbow,6.518680934193545
53,"[8, 6, 2]",rainbow,16,11,8,6.527615897096772,"[8, 6, 2]",rainbow,6.527615897096772
54,"[8, 5, 5]",rainbow,16,11,8,4.7941352590769215,"[8, 5, 5]",rainbow,4.7941352590769215
55,"[8, 5, 4]",rainbow,16,11,8,5.131551374153842,"[8, 5, 4]",rainbow,5.131551374153842
56,"[8, 5, 3]",rainbow,16,11,8,4.800959151999996,"[8, 5, 3]",rainbow,4.800959151999996
57,"[8, 5, 2]",rainbow,16,11,8,4.7953419599999965,"[8, 5, 2]",rainbow,4.7953419599999965
58,"[8, 4, 4]",rainbow,16,11,8,4.763954347692307,"[8, 4, 4]",rainbow,4.763954347692307
59,"[8, 4, 3]",rainbow,16,11,8,4.766019494153843,"[8, 4, 3]",rainbow,4.766019494153843
60,"[8, 4, 2]",rainbow,16,11,8,4.769783521230766,"[8, 4, 2]",rainbow,4.769783521230766
61,"[8, 3, 3]",rainbow,16,11,8,4.735916362461539,"[8, 3, 3]",rainbow,4.735916362461539
62,"[8, 3, 2]",rainbow,16,11,8,4.741687679384615,"[8, 3, 2]",rainbow,4.741687679384615
63,"[8, 2, 2]",rainbow,16,11,8,4.7300564276923085,"[8, 2, 2]",rainbow,4.7300564276923085
