,flop,board_type,0b,1b,2b,profit,flop,max_profit
0,"[9, 9, 8]",two-tone,16,11,8,1.577042202682262,"[9, 9, 8]",1.577042202682262
1,"[9, 9, 7]",two-tone,16,11,8,1.555894474550055,"[9, 9, 7]",1.555894474550055
2,"[9, 9, 6]",two-tone,16,11,8,1.4901380996197933,"[9, 9, 6]",1.4901380996197933
3,"[9, 9, 5]",two-tone,16,11,8,1.5380552377328862,"[9, 9, 5]",1.5380552377328862
4,"[9, 9, 4]",two-tone,16,11,8,1.5202671564360115,"[9, 9, 4]",1.5202671564360115
5,"[9, 9, 3]",two-tone,16,11,8,1.5483463426567927,"[9, 9, 3]",1.5483463426567927
6,"[9, 9, 2]",two-tone,16,11,8,1.5497384899432145,"[9, 9, 2]",1.5497384899432145
7,"[9, 8, 8]",two-tone,16,11,8,1.7291735392267418,"[9, 8, 8]",1.7291735392267418
8,"[9, 8, 7]",two-tone,4,3,2,1.536962434748756,"[9, 8, 7]",1.536962434748756
9,"[9, 8, 6]",two-tone,16,11,8,1.5246754109234302,"[9, 8, 6]",1.5246754109234302
10,"[9, 8, 5]",two-tone,16,11,8,1.4925760706877278,"[9, 8, 5]",1.4925760706877278
11,"[9, 8, 4]",two-tone,15,10,7,1.376597104107029,"[9, 8, 4]",1.376597104107029
12,"[9, 8, 3]",two-tone,15,10,7,1.4148265903140842,"[9, 8, 3]",1.4148265903140842
13,"[9, 8, 2]",two-tone,15,10,7,1.4109502243841094,"[9, 8, 2]",1.4109502243841094
14,"[9, 7, 7]",two-tone,16,11,8,1.7203842664819942,"[9, 7, 7]",1.7203842664819942
15,"[9, 7, 6]",two-tone,16,11,8,1.5567582573073342,"[9, 7, 6]",1.5567582573073342
16,"[9, 7, 5]",two-tone,15,10,7,1.5670764880312498,"[9, 7, 5]",1.5670764880312498
17,"[9, 7, 4]",two-tone,16,11,8,1.4599218270990566,"[9, 7, 4]",1.4599218270990566
18,"[9, 7, 3]",two-tone,15,10,7,1.4803660571741857,"[9, 7, 3]",1.4803660571741857
19,"[9, 7, 2]",two-tone,15,10,7,1.505335441827225,"[9, 7, 2]",1.505335441827225
20,"[9, 6, 6]",two-tone,16,11,8,1.6846706990389153,"[9, 6, 6]",1.6846706990389153
21,"[9, 6, 5]",two-tone,16,11,8,1.5870115315928506,"[9, 6, 5]",1.5870115315928506
22,"[9, 6, 4]",two-tone,16,11,8,1.5296392419786884,"[9, 6, 4]",1.5296392419786884
23,"[9, 6, 3]",two-tone,16,11,8,1.5414483455335233,"[9, 6, 3]",1.5414483455335233
24,"[9, 6, 2]",two-tone,16,11,8,1.5492533770209205,"[9, 6, 2]",1.5492533770209205
25,"[9, 5, 5]",two-tone,16,11,8,1.7152689121986742,"[9, 5, 5]",1.7152689121986742
26,"[9, 5, 4]",two-tone,16,11,8,1.702489339559443,"[9, 5, 4]",1.702489339559443
27,"[9, 5, 3]",two-tone,16,11,8,1.69727912273042,"[9, 5, 3]",1.69727912273042
28,"[9, 5, 2]",two-tone,16,11,8,1.708014990075396,"[9, 5, 2]",1.708014990075396
29,"[9, 4, 4]",two-tone,16,11,8,1.7242751877460802,"[9, 4, 4]",1.7242751877460802
30,"[9, 4, 3]",two-tone,16,11,8,1.691978529220841,"[9, 4, 3]",1.691978529220841
31,"[9, 4, 2]",two-tone,16,11,8,1.7084892101787028,"[9, 4, 2]",1.7084892101787028
32,"[9, 3, 3]",two-tone,16,11,8,1.761479135756122,"[9, 3, 3]",1.761479135756122
33,"[9, 3, 2]",two-tone,16,11,8,1.7221085385222783,"[9, 3, 2]",1.7221085385222783
34,"[9, 2, 2]",two-tone,16,11,8,1.7611675717037616,"[9, 2, 2]",1.7611675717037616
35,"[8, 8, 7]",two-tone,16,11,8,1.6260411360986815,"[8, 8, 7]",1.6260411360986815
36,"[8, 8, 6]",two-tone,16,11,8,1.569908941286985,"[8, 8, 6]",1.569908941286985
