,flop,board_type,0b,1b,2b,profit,flop,max_profit
0,"[9, 9, 8]",two-tone,16,11,10,1.3337316083442556,"[9, 9, 8]",1.3337316083442556
1,"[9, 9, 7]",two-tone,16,10,6,0.7948363396161643,"[9, 9, 7]",0.7948363396161643
2,"[9, 9, 6]",two-tone,16,11,8,0.6263916457006744,"[9, 9, 6]",0.6263916457006744
3,"[9, 9, 5]",two-tone,1,1,1,0.4082620869700863,"[9, 9, 5]",0.4082620869700863
4,"[9, 9, 4]",two-tone,1,0,0,0.02468435067298058,"[9, 9, 4]",0.02468435067298058
5,"[9, 9, 3]",two-tone,1,0,0,-0.0039823380248134865,"[9, 9, 3]",-0.0039823380248134865
6,"[9, 9, 2]",two-tone,1,0,0,-0.028538397309904512,"[9, 9, 2]",-0.028538397309904512
7,"[9, 8, 8]",two-tone,16,11,10,1.0808692949564396,"[9, 8, 8]",1.0808692949564396
8,"[9, 8, 7]",two-tone,2,2,2,0.3958801530030507,"[9, 8, 7]",0.3958801530030507
9,"[9, 8, 6]",two-tone,2,2,2,0.2507199595384678,"[9, 8, 6]",0.2507199595384678
10,"[9, 8, 5]",two-tone,2,2,2,0.12823503196200958,"[9, 8, 5]",0.12823503196200958
11,"[9, 8, 4]",two-tone,1,1,1,0.17214275949367042,"[9, 8, 4]",0.17214275949367042
12,"[9, 8, 3]",two-tone,1,1,1,0.20583876253671213,"[9, 8, 3]",0.20583876253671213
13,"[9, 8, 2]",two-tone,1,1,1,0.23650315631458665,"[9, 8, 2]",0.23650315631458665
14,"[9, 7, 7]",two-tone,16,10,6,0.9808570011303368,"[9, 7, 7]",0.9808570011303368
15,"[9, 7, 6]",two-tone,1,1,1,0.31912447328734617,"[9, 7, 6]",0.31912447328734617
16,"[9, 7, 5]",two-tone,1,1,1,0.126122855919632,"[9, 7, 5]",0.126122855919632
17,"[9, 7, 4]",two-tone,1,1,2,0.006604367540181122,"[9, 7, 4]",0.006604367540181122
18,"[9, 7, 3]",two-tone,1,1,2,0.028804857007415918,"[9, 7, 3]",0.028804857007415918
19,"[9, 7, 2]",two-tone,1,1,2,0.03633968962607265,"[9, 7, 2]",0.03633968962607265
20,"[9, 6, 6]",two-tone,16,11,12,1.2673347837434197,"[9, 6, 6]",1.2673347837434197
21,"[9, 6, 5]",two-tone,1,1,1,-0.7611310965762917,"[9, 6, 5]",-0.7611310965762917
22,"[9, 6, 4]",two-tone,1,1,1,0.38147027863713423,"[9, 6, 4]",0.38147027863713423
23,"[9, 6, 3]",two-tone,1,1,1,0.3983504528688523,"[9, 6, 3]",0.3983504528688523
24,"[9, 6, 2]",two-tone,1,1,1,0.4084490952868852,"[9, 6, 2]",0.4084490952868852
