,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,15,10,7,4.511369168253969,"[9, 9, 9]",rainbow,4.511369168253969
1,"[9, 9, 8]",rainbow,15,10,7,5.871292882666667,"[9, 9, 8]",rainbow,5.871292882666667
2,"[9, 9, 7]",rainbow,15,10,7,5.189135772,"[9, 9, 7]",rainbow,5.189135772
3,"[9, 9, 6]",rainbow,16,11,8,4.192298298666668,"[9, 9, 6]",rainbow,4.192298298666668
4,"[9, 9, 5]",rainbow,16,11,8,2.3856318952380957,"[9, 9, 5]",rainbow,2.3856318952380957
5,"[9, 9, 4]",rainbow,15,10,7,2.3383552568253982,"[9, 9, 4]",rainbow,2.3383552568253982
6,"[9, 9, 3]",rainbow,16,11,8,2.3379197492063497,"[9, 9, 3]",rainbow,2.3379197492063497
7,"[9, 9, 2]",rainbow,16,11,8,2.3399245619047635,"[9, 9, 2]",rainbow,2.3399245619047635
8,"[9, 8, 8]",rainbow,16,11,8,4.9896981560655735,"[9, 8, 8]",rainbow,4.9896981560655735
9,"[9, 8, 7]",rainbow,8,6,4,9.088914619482756,"[9, 8, 7]",rainbow,9.088914619482756
10,"[9, 8, 6]",rainbow,15,10,7,7.347835498983048,"[9, 8, 6]",rainbow,7.347835498983048
11,"[9, 8, 5]",rainbow,15,10,7,4.180840306885243,"[9, 8, 5]",rainbow,4.180840306885243
12,"[9, 8, 4]",rainbow,15,10,7,3.879934258524588,"[9, 8, 4]",rainbow,3.879934258524588
13,"[9, 8, 3]",rainbow,16,11,8,3.878673122622948,"[9, 8, 3]",rainbow,3.878673122622948
14,"[9, 8, 2]",rainbow,16,11,8,3.8694570716393417,"[9, 8, 2]",rainbow,3.8694570716393417
15,"[9, 7, 7]",rainbow,15,10,7,4.056810204918032,"[9, 7, 7]",rainbow,4.056810204918032
16,"[9, 7, 6]",rainbow,15,10,7,7.007555880677963,"[9, 7, 6]",rainbow,7.007555880677963
17,"[9, 7, 5]",rainbow,15,10,7,3.854311388524588,"[9, 7, 5]",rainbow,3.854311388524588
18,"[9, 7, 4]",rainbow,16,11,8,3.551753472131145,"[9, 7, 4]",rainbow,3.551753472131145
19,"[9, 7, 3]",rainbow,15,10,7,3.547889210327866,"[9, 7, 3]",rainbow,3.547889210327866
20,"[9, 7, 2]",rainbow,15,10,7,3.539060506885244,"[9, 7, 2]",rainbow,3.539060506885244
21,"[9, 6, 6]",rainbow,16,11,8,3.3783046962295087,"[9, 6, 6]",rainbow,3.3783046962295087
22,"[9, 6, 5]",rainbow,16,11,8,3.7545795504918007,"[9, 6, 5]",rainbow,3.7545795504918007
23,"[9, 6, 4]",rainbow,15,10,7,3.4533369234426203,"[9, 6, 4]",rainbow,3.4533369234426203
24,"[9, 6, 3]",rainbow,16,11,8,3.4480896804917998,"[9, 6, 3]",rainbow,3.4480896804917998
25,"[9, 6, 2]",rainbow,15,10,7,3.4370942752458986,"[9, 6, 2]",rainbow,3.4370942752458986
26,"[9, 5, 5]",rainbow,16,11,8,1.6461171265625,"[9, 5, 5]",rainbow,1.6461171265625
27,"[9, 5, 4]",rainbow,16,11,8,1.8537965656249984,"[9, 5, 4]",rainbow,1.8537965656249984
28,"[9, 5, 3]",rainbow,16,11,8,1.8600454089062488,"[9, 5, 3]",rainbow,1.8600454089062488
29,"[9, 5, 2]",rainbow,16,11,8,1.8250456404687478,"[9, 5, 2]",rainbow,1.8250456404687478
30,"[9, 4, 4]",rainbow,15,10,7,1.601106545625,"[9, 4, 4]",rainbow,1.601106545625
31,"[9, 4, 3]",rainbow,16,11,8,1.8067463885937496,"[9, 4, 3]",rainbow,1.8067463885937496
32,"[9, 4, 2]",rainbow,15,10,7,1.78265070515625,"[9, 4, 2]",rainbow,1.78265070515625
33,"[9, 3, 3]",rainbow,16,11,8,1.5904356184375006,"[9, 3, 3]",rainbow,1.5904356184375006
34,"[9, 3, 2]",rainbow,15,10,7,1.7770735274999994,"[9, 3, 2]",rainbow,1.7770735274999994
35,"[9, 2, 2]",rainbow,16,11,8,1.59145873203125,"[9, 2, 2]",rainbow,1.59145873203125
36,"[8, 8, 8]",rainbow,16,11,8,6.231465811692308,"[8, 8, 8]",rainbow,6.231465811692308
37,"[8, 8, 7]",rainbow,16,11,8,7.3029879329032275,"[8, 8, 7]",rainbow,7.3029879329032275
