,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,1.7332725756866194,"[9, 9, 9]",rainbow,1.7332725756866194
1,"[9, 9, 8]",rainbow,15,10,7,1.506055489693625,"[9, 9, 8]",rainbow,1.506055489693625
2,"[9, 9, 7]",rainbow,15,10,7,1.5129563682370968,"[9, 9, 7]",rainbow,1.5129563682370968
3,"[9, 9, 6]",rainbow,16,11,8,1.4660118302245653,"[9, 9, 6]",rainbow,1.4660118302245653
4,"[9, 9, 5]",rainbow,16,11,8,1.535661489631209,"[9, 9, 5]",rainbow,1.535661489631209
5,"[9, 9, 4]",rainbow,16,11,8,1.5300163921875,"[9, 9, 4]",rainbow,1.5300163921875
6,"[9, 9, 3]",rainbow,16,11,8,1.5593056860830803,"[9, 9, 3]",rainbow,1.5593056860830803
7,"[9, 9, 2]",rainbow,16,11,8,1.5609165791793258,"[9, 9, 2]",rainbow,1.5609165791793258
8,"[9, 8, 8]",rainbow,15,10,7,1.655625930426903,"[9, 8, 8]",rainbow,1.655625930426903
9,"[9, 8, 7]",rainbow,8,6,4,1.509211692561894,"[9, 8, 7]",rainbow,1.509211692561894
10,"[9, 8, 6]",rainbow,16,11,8,1.5038397261675152,"[9, 8, 6]",rainbow,1.5038397261675152
11,"[9, 8, 5]",rainbow,15,10,7,1.4711471957720592,"[9, 8, 5]",rainbow,1.4711471957720592
12,"[9, 8, 4]",rainbow,16,11,8,1.3635702231234101,"[9, 8, 4]",rainbow,1.3635702231234101
13,"[9, 8, 3]",rainbow,16,11,8,1.4056408084897811,"[9, 8, 3]",rainbow,1.4056408084897811
14,"[9, 8, 2]",rainbow,15,10,7,1.4031304754336975,"[9, 8, 2]",rainbow,1.4031304754336975
15,"[9, 7, 7]",rainbow,15,10,7,1.6915342449703203,"[9, 7, 7]",rainbow,1.6915342449703203
16,"[9, 7, 6]",rainbow,15,10,7,1.5493588499692843,"[9, 7, 6]",rainbow,1.5493588499692843
