,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,1,1,1,-7.416646957461804,"[9, 9, 9]",rainbow,-7.416646957461804
1,"[9, 9, 8]",rainbow,1,1,1,-3.742581061479199,"[9, 9, 8]",rainbow,-3.742581061479199
2,"[9, 9, 7]",rainbow,1,1,1,-4.134855387814588,"[9, 9, 7]",rainbow,-4.134855387814588
3,"[9, 9, 6]",rainbow,2,2,2,-6.331210848198731,"[9, 9, 6]",rainbow,-6.331210848198731
4,"[9, 9, 5]",rainbow,3,2,2,-6.4312687821054775,"[9, 9, 5]",rainbow,-6.4312687821054775
5,"[9, 9, 4]",rainbow,3,2,2,-6.427354739552285,"[9, 9, 4]",rainbow,-6.427354739552285
6,"[9, 9, 3]",rainbow,2,2,2,-6.426228782105476,"[9, 9, 3]",rainbow,-6.426228782105476
7,"[9, 9, 2]",rainbow,3,2,2,-6.432266058701222,"[9, 9, 2]",rainbow,-6.432266058701222
8,"[9, 8, 8]",rainbow,1,1,1,-3.4933865066255785,"[9, 8, 8]",rainbow,-3.4933865066255785
9,"[9, 8, 7]",rainbow,2,2,2,9.512782680216802,"[9, 8, 7]",rainbow,9.512782680216802
10,"[9, 8, 6]",rainbow,1,1,1,-1.4684239375848045,"[9, 8, 6]",rainbow,-1.4684239375848045
11,"[9, 8, 5]",rainbow,1,1,1,-2.395950109317051,"[9, 8, 5]",rainbow,-2.395950109317051
12,"[9, 8, 4]",rainbow,1,1,1,-2.384247150802805,"[9, 8, 4]",rainbow,-2.384247150802805
13,"[9, 8, 3]",rainbow,1,1,1,-2.380040182620988,"[9, 8, 3]",rainbow,-2.380040182620988
14,"[9, 8, 2]",rainbow,1,1,1,-2.378771687166442,"[9, 8, 2]",rainbow,-2.378771687166442
15,"[9, 7, 7]",rainbow,2,2,2,-4.323646824627634,"[9, 7, 7]",rainbow,-4.323646824627634
16,"[9, 7, 6]",rainbow,1,1,1,-1.9484542193690635,"[9, 7, 6]",rainbow,-1.9484542193690635
17,"[9, 7, 5]",rainbow,2,2,2,-3.046992481252828,"[9, 7, 5]",rainbow,-3.046992481252828
18,"[9, 7, 4]",rainbow,2,2,2,-3.207172584102217,"[9, 7, 4]",rainbow,-3.207172584102217
19,"[9, 7, 3]",rainbow,1,1,1,-3.202550722738581,"[9, 7, 3]",rainbow,-3.202550722738581
20,"[9, 7, 2]",rainbow,1,1,1,-3.209409036374944,"[9, 7, 2]",rainbow,-3.209409036374944
21,"[9, 6, 6]",rainbow,2,2,2,-5.905868919372902,"[9, 6, 6]",rainbow,-5.905868919372902
22,"[9, 6, 5]",rainbow,2,2,2,-5.95046563636364,"[9, 6, 5]",rainbow,-5.95046563636364
23,"[9, 6, 4]",rainbow,1,1,1,-6.347092493128374,"[9, 6, 4]",rainbow,-6.347092493128374
24,"[9, 6, 3]",rainbow,1,1,1,-6.349746025043267,"[9, 6, 3]",rainbow,-6.349746025043267
25,"[9, 6, 2]",rainbow,3,2,2,-6.369456918660289,"[9, 6, 2]",rainbow,-6.369456918660289
26,"[9, 5, 5]",rainbow,1,1,1,-6.0342109155044295,"[9, 5, 5]",rainbow,-6.0342109155044295
27,"[9, 5, 4]",rainbow,1,1,1,-6.527869406698565,"[9, 5, 4]",rainbow,-6.527869406698565
28,"[9, 5, 3]",rainbow,1,1,1,-6.5250029386134605,"[9, 5, 3]",rainbow,-6.5250029386134605
29,"[9, 5, 2]",rainbow,2,2,2,-6.543141449251758,"[9, 5, 2]",rainbow,-6.543141449251758
30,"[9, 4, 4]",rainbow,1,1,1,-6.081228702738472,"[9, 4, 4]",rainbow,-6.081228702738472
31,"[9, 4, 3]",rainbow,1,1,1,-6.427123895856662,"[9, 4, 3]",rainbow,-6.427123895856662
32,"[9, 4, 2]",rainbow,1,1,1,-6.445073470324749,"[9, 4, 2]",rainbow,-6.445073470324749
33,"[9, 3, 3]",rainbow,3,2,2,-6.073241426142727,"[9, 3, 3]",rainbow,-6.073241426142727
34,"[9, 3, 2]",rainbow,1,1,1,-6.442730023516238,"[9, 3, 2]",rainbow,-6.442730023516238
35,"[9, 2, 2]",rainbow,2,2,2,-6.070154745291663,"[9, 2, 2]",rainbow,-6.070154745291663
36,"[8, 8, 8]",rainbow,1,1,1,-8.382491919646446,"[8, 8, 8]",rainbow,-8.382491919646446
37,"[8, 8, 7]",rainbow,1,1,1,-5.021880958616283,"[8, 8, 7]",rainbow,-5.021880958616283
38,"[8, 8, 6]",rainbow,3,2,2,-7.156973290001,"[8, 8, 6]",rainbow,-7.156973290001
39,"[8, 8, 5]",rainbow,1,1,1,-7.337350980741185,"[8, 8, 5]",rainbow,-7.337350980741185
40,"[8, 8, 4]",rainbow,2,2,2,-7.410769538877234,"[8, 8, 4]",rainbow,-7.410769538877234
41,"[8, 8, 3]",rainbow,1,1,1,-7.419719158026173,"[8, 8, 3]",rainbow,-7.419719158026173
42,"[8, 8, 2]",rainbow,3,2,2,-7.420076604834683,"[8, 8, 2]",rainbow,-7.420076604834683
43,"[8, 7, 7]",rainbow,2,2,2,-4.766646294706097,"[8, 7, 7]",rainbow,-4.766646294706097
44,"[8, 7, 6]",rainbow,1,1,1,-1.2252496262237749,"[8, 7, 6]",rainbow,-1.2252496262237749
45,"[8, 7, 5]",rainbow,2,2,2,-3.0760385574592077,"[8, 7, 5]",rainbow,-3.0760385574592077
46,"[8, 7, 4]",rainbow,2,2,2,-3.9977375847818846,"[8, 7, 4]",rainbow,-3.9977375847818846
47,"[8, 7, 3]",rainbow,2,2,2,-4.007431567848819,"[8, 7, 3]",rainbow,-4.007431567848819
48,"[8, 7, 2]",rainbow,1,1,1,-4.007652163303364,"[8, 7, 2]",rainbow,-4.007652163303364
49,"[8, 6, 6]",rainbow,2,2,2,-6.249461074961847,"[8, 6, 6]",rainbow,-6.249461074961847
50,"[8, 6, 5]",rainbow,2,2,2,-5.8466872721518985,"[8, 6, 5]",rainbow,-5.8466872721518985
51,"[8, 6, 4]",rainbow,1,1,1,-6.9305506563425805,"[8, 6, 4]",rainbow,-6.9305506563425805
52,"[8, 6, 3]",rainbow,1,1,1,-7.157043304874764,"[8, 6, 3]",rainbow,-7.157043304874764
53,"[8, 6, 2]",rainbow,1,1,1,-7.1532836793428505,"[8, 6, 2]",rainbow,-7.1532836793428505
54,"[8, 5, 5]",rainbow,1,1,1,-6.4267502910135565,"[8, 5, 5]",rainbow,-6.4267502910135565
55,"[8, 5, 4]",rainbow,2,2,2,-7.235603369153424,"[8, 5, 4]",rainbow,-7.235603369153424
56,"[8, 5, 3]",rainbow,1,1,1,-7.45202231768561,"[8, 5, 3]",rainbow,-7.45202231768561
57,"[8, 5, 2]",rainbow,1,1,1,-7.4549224623664605,"[8, 5, 2]",rainbow,-7.4549224623664605
58,"[8, 4, 4]",rainbow,1,1,1,-6.518953788401112,"[8, 4, 4]",rainbow,-6.518953788401112
59,"[8, 4, 3]",rainbow,1,1,1,-7.577251717039232,"[8, 4, 3]",rainbow,-7.577251717039232
