,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,1,1,1,-7.418094617036273,"[9, 9, 9]",rainbow,-7.418094617036273
1,"[9, 9, 8]",rainbow,1,1,1,-3.7480064114791993,"[9, 9, 8]",rainbow,-3.7480064114791993
2,"[9, 9, 7]",rainbow,1,1,1,-4.137402926450951,"[9, 9, 7]",rainbow,-4.137402926450951
3,"[9, 9, 6]",rainbow,2,2,2,-6.332733571602986,"[9, 9, 6]",rainbow,-6.332733571602986
4,"[9, 9, 5]",rainbow,1,1,1,-6.429746058701222,"[9, 9, 5]",rainbow,-6.429746058701222
5,"[9, 9, 4]",rainbow,2,2,2,-6.4287738033820725,"[9, 9, 4]",rainbow,-6.4287738033820725
6,"[9, 9, 3]",rainbow,2,2,2,-6.426067931041646,"[9, 9, 3]",rainbow,-6.426067931041646
7,"[9, 9, 2]",rainbow,3,2,2,-6.428019590616115,"[9, 9, 2]",rainbow,-6.428019590616115
8,"[9, 8, 8]",rainbow,1,1,1,-3.484166886171033,"[9, 8, 8]",rainbow,-3.484166886171033
9,"[9, 8, 7]",rainbow,2,2,2,9.512608021680217,"[9, 8, 7]",rainbow,9.512608021680217
10,"[9, 8, 6]",rainbow,1,1,1,-1.4617770557666228,"[9, 8, 6]",rainbow,-1.4617770557666228
11,"[9, 8, 5]",rainbow,1,1,1,-2.3972916752261435,"[9, 8, 5]",rainbow,-2.3972916752261435
12,"[9, 8, 4]",rainbow,1,1,1,-2.3796337371664413,"[9, 8, 4]",rainbow,-2.3796337371664413
13,"[9, 8, 3]",rainbow,1,1,1,-2.377912500802806,"[9, 8, 3]",rainbow,-2.377912500802806
14,"[9, 8, 2]",rainbow,1,1,1,-2.390049546257351,"[9, 8, 2]",rainbow,-2.390049546257351
15,"[9, 7, 7]",rainbow,1,1,1,-4.32449847008218,"[9, 7, 7]",rainbow,-4.32449847008218
16,"[9, 7, 6]",rainbow,1,1,1,-1.9397872330054275,"[9, 7, 6]",rainbow,-1.9397872330054275
17,"[9, 7, 5]",rainbow,2,2,2,-3.047455244889192,"[9, 7, 5]",rainbow,-3.047455244889192
18,"[9, 7, 4]",rainbow,1,1,1,-3.1992164477385807,"[9, 7, 4]",rainbow,-3.1992164477385807
19,"[9, 7, 3]",rainbow,2,2,2,-3.1998509818294902,"[9, 7, 3]",rainbow,-3.1998509818294902
20,"[9, 7, 2]",rainbow,2,2,2,-3.198942063647672,"[9, 7, 2]",rainbow,-3.198942063647672
21,"[9, 6, 6]",rainbow,3,2,2,-5.903801727883541,"[9, 6, 6]",rainbow,-5.903801727883541
22,"[9, 6, 5]",rainbow,3,2,2,-5.955697636363639,"[9, 6, 5]",rainbow,-5.955697636363639
23,"[9, 6, 4]",rainbow,1,1,1,-6.350953173979438,"[9, 6, 4]",rainbow,-6.350953173979438
24,"[9, 6, 3]",rainbow,1,1,1,-6.3449715569581615,"[9, 6, 3]",rainbow,-6.3449715569581615
25,"[9, 6, 2]",rainbow,2,2,2,-6.371302620787947,"[9, 6, 2]",rainbow,-6.371302620787947
26,"[9, 5, 5]",rainbow,1,1,1,-6.032341085717195,"[9, 5, 5]",rainbow,-6.032341085717195
27,"[9, 5, 4]",rainbow,2,2,2,-6.527000044996438,"[9, 5, 4]",rainbow,-6.527000044996438
28,"[9, 5, 3]",rainbow,2,2,2,-6.526075023719843,"[9, 5, 3]",rainbow,-6.526075023719843
29,"[9, 5, 2]",rainbow,3,2,2,-6.5491921301028215,"[9, 5, 2]",rainbow,-6.5491921301028215
30,"[9, 4, 4]",rainbow,2,2,2,-6.072126958057621,"[9, 4, 4]",rainbow,-6.072126958057621
31,"[9, 4, 3]",rainbow,2,2,2,-6.418642066069431,"[9, 4, 3]",rainbow,-6.418642066069431
32,"[9, 4, 2]",rainbow,2,2,2,-6.445430406494963,"[9, 4, 2]",rainbow,-6.445430406494963
33,"[9, 3, 3]",rainbow,3,2,2,-6.074804872951237,"[9, 3, 3]",rainbow,-6.074804872951237
34,"[9, 3, 2]",rainbow,1,1,1,-6.442035810750281,"[9, 3, 2]",rainbow,-6.442035810750281
35,"[9, 2, 2]",rainbow,3,2,2,-6.078518872951237,"[9, 2, 2]",rainbow,-6.078518872951237
36,"[8, 8, 8]",rainbow,1,1,1,-8.384701432412406,"[8, 8, 8]",rainbow,-8.384701432412406
37,"[8, 8, 7]",rainbow,2,2,2,-5.022805531343557,"[8, 8, 7]",rainbow,-5.022805531343557
38,"[8, 8, 6]",rainbow,4,3,2,-7.161605845320147,"[8, 8, 6]",rainbow,-7.161605845320147
39,"[8, 8, 5]",rainbow,2,2,2,-7.3249123679752275,"[8, 8, 5]",rainbow,-7.3249123679752275
40,"[8, 8, 4]",rainbow,1,1,1,-7.424683647387872,"[8, 8, 4]",rainbow,-7.424683647387872
41,"[8, 8, 3]",rainbow,1,1,1,-7.417128249515533,"[8, 8, 3]",rainbow,-7.417128249515533
42,"[8, 8, 2]",rainbow,1,1,1,-7.4203387473878735,"[8, 8, 2]",rainbow,-7.4203387473878735
43,"[8, 7, 7]",rainbow,1,1,1,-4.782622426524279,"[8, 7, 7]",rainbow,-4.782622426524279
44,"[8, 7, 6]",rainbow,1,1,1,-1.222563153496503,"[8, 7, 6]",rainbow,-1.222563153496503
45,"[8, 7, 5]",rainbow,2,2,2,-3.0893864438228444,"[8, 7, 5]",rainbow,-3.0893864438228444
46,"[8, 7, 4]",rainbow,2,2,2,-4.000266557509159,"[8, 7, 4]",rainbow,-4.000266557509159
47,"[8, 7, 3]",rainbow,1,1,1,-4.002577417848819,"[8, 7, 3]",rainbow,-4.002577417848819
48,"[8, 7, 2]",rainbow,1,1,1,-4.01374120875791,"[8, 7, 2]",rainbow,-4.01374120875791
49,"[8, 6, 6]",rainbow,1,1,1,-6.251958019642697,"[8, 6, 6]",rainbow,-6.251958019642697
50,"[8, 6, 5]",rainbow,1,1,1,-5.850855057258282,"[8, 6, 5]",rainbow,-5.850855057258282
51,"[8, 6, 4]",rainbow,1,1,1,-6.924011077619174,"[8, 6, 4]",rainbow,-6.924011077619174
52,"[8, 6, 3]",rainbow,4,3,2,-7.146723636789662,"[8, 6, 3]",rainbow,-7.146723636789662
53,"[8, 6, 2]",rainbow,3,2,2,-7.141992068704552,"[8, 6, 2]",rainbow,-7.141992068704552
54,"[8, 5, 5]",rainbow,3,2,2,-6.41974022292845,"[8, 5, 5]",rainbow,-6.41974022292845
55,"[8, 5, 4]",rainbow,1,1,1,-7.2351934223449135,"[8, 5, 4]",rainbow,-7.2351934223449135
56,"[8, 5, 3]",rainbow,2,2,2,-7.458679541089866,"[8, 5, 3]",rainbow,-7.458679541089866
57,"[8, 5, 2]",rainbow,1,1,1,-7.454569528323907,"[8, 5, 2]",rainbow,-7.454569528323907
58,"[8, 4, 4]",rainbow,2,2,2,-6.52763751180537,"[8, 4, 4]",rainbow,-6.52763751180537
59,"[8, 4, 3]",rainbow,2,2,2,-7.580091721294551,"[8, 4, 3]",rainbow,-7.580091721294551
60,"[8, 4, 2]",rainbow,4,3,2,-7.578239521294551,"[8, 4, 2]",rainbow,-7.578239521294551
61,"[8, 3, 3]",rainbow,1,1,1,-6.539852705422391,"[8, 3, 3]",rainbow,-6.539852705422391
62,"[8, 3, 2]",rainbow,2,2,2,-7.282194650489272,"[8, 3, 2]",rainbow,-7.282194650489272
63,"[8, 2, 2]",rainbow,1,1,1,-6.538446599039411,"[8, 2, 2]",rainbow,-6.538446599039411
64,"[7, 7, 7]",rainbow,1,1,1,-9.321779641107474,"[7, 7, 7]",rainbow,-9.321779641107474
65,"[7, 7, 6]",rainbow,2,2,2,-7.8142010497947005,"[7, 7, 6]",rainbow,-7.8142010497947005
66,"[7, 7, 5]",rainbow,1,1,1,-8.072501267823817,"[7, 7, 5]",rainbow,-8.072501267823817
67,"[7, 7, 4]",rainbow,1,1,1,-8.230171751474431,"[7, 7, 4]",rainbow,-8.230171751474431
68,"[7, 7, 3]",rainbow,2,2,2,-8.319252647555057,"[7, 7, 3]",rainbow,-8.319252647555057
69,"[7, 7, 2]",rainbow,2,2,2,-8.314680053938037,"[7, 7, 2]",rainbow,-8.314680053938037
70,"[7, 6, 6]",rainbow,3,2,2,-6.4977262463884875,"[7, 6, 6]",rainbow,-6.4977262463884875
71,"[7, 6, 5]",rainbow,1,1,1,-5.062278718942371,"[7, 6, 5]",rainbow,-5.062278718942371
72,"[7, 6, 4]",rainbow,3,2,2,-6.816259279818219,"[7, 6, 4]",rainbow,-6.816259279818219
73,"[7, 6, 3]",rainbow,1,1,1,-7.741851735633134,"[7, 6, 3]",rainbow,-7.741851735633134
74,"[7, 6, 2]",rainbow,2,2,2,-7.816651320429665,"[7, 6, 2]",rainbow,-7.816651320429665
75,"[7, 5, 5]",rainbow,2,2,2,-6.72212009257729,"[7, 5, 5]",rainbow,-6.72212009257729
76,"[7, 5, 4]",rainbow,2,2,2,-7.26150596193624,"[7, 5, 4]",rainbow,-7.26150596193624
77,"[7, 5, 3]",rainbow,1,1,1,-8.180109617751153,"[7, 5, 3]",rainbow,-8.180109617751153
