,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,2,2,2,-3.165127733184094,"[9, 9, 9]",rainbow,-3.165127733184094
1,"[9, 9, 8]",rainbow,1,1,1,0.4974159661224492,"[9, 9, 8]",rainbow,0.4974159661224492
2,"[9, 9, 7]",rainbow,1,1,1,0.20957599850340144,"[9, 9, 7]",rainbow,0.20957599850340144
3,"[9, 9, 6]",rainbow,2,2,2,-1.429666075326123,"[9, 9, 6]",rainbow,-1.429666075326123
4,"[9, 9, 5]",rainbow,3,2,2,-1.91606508130172,"[9, 9, 5]",rainbow,-1.91606508130172
5,"[9, 9, 4]",rainbow,2,2,2,-1.9199482731713595,"[9, 9, 4]",rainbow,-1.9199482731713595
6,"[9, 9, 3]",rainbow,3,2,2,-1.9185107866876543,"[9, 9, 3]",rainbow,-1.9185107866876543
7,"[9, 9, 2]",rainbow,1,1,1,-1.921803828951805,"[9, 9, 2]",rainbow,-1.921803828951805
8,"[9, 8, 8]",rainbow,1,1,1,-2.460102668473152,"[9, 8, 8]",rainbow,-2.460102668473152
9,"[9, 8, 7]",rainbow,2,2,2,8.688652801074735,"[9, 8, 7]",rainbow,8.688652801074735
10,"[9, 8, 6]",rainbow,1,1,1,-0.9514256804347836,"[9, 8, 6]",rainbow,-0.9514256804347836
11,"[9, 8, 5]",rainbow,1,1,1,-1.6733743959182692,"[9, 8, 5]",rainbow,-1.6733743959182692
12,"[9, 8, 4]",rainbow,1,1,1,-1.6880422030018365,"[9, 8, 4]",rainbow,-1.6880422030018365
13,"[9, 8, 3]",rainbow,1,1,1,-1.6900626386702844,"[9, 8, 3]",rainbow,-1.6900626386702844
14,"[9, 8, 2]",rainbow,1,1,1,-1.6886254615579859,"[9, 8, 2]",rainbow,-1.6886254615579859
15,"[9, 7, 7]",rainbow,2,2,2,-3.1337056164150408,"[9, 7, 7]",rainbow,-3.1337056164150408
16,"[9, 7, 6]",rainbow,2,2,2,-1.5286499040372674,"[9, 7, 6]",rainbow,-1.5286499040372674
17,"[9, 7, 5]",rainbow,1,1,1,-2.3015909032524564,"[9, 7, 5]",rainbow,-2.3015909032524564
18,"[9, 7, 4]",rainbow,2,2,2,-2.42153305375848,"[9, 7, 4]",rainbow,-2.42153305375848
19,"[9, 7, 3]",rainbow,2,2,2,-2.4333430754697103,"[9, 7, 3]",rainbow,-2.4333430754697103
20,"[9, 7, 2]",rainbow,1,1,1,-2.3413632501755925,"[9, 7, 2]",rainbow,-2.3413632501755925
21,"[9, 6, 6]",rainbow,2,2,2,-4.480931364285713,"[9, 6, 6]",rainbow,-4.480931364285713
22,"[9, 6, 5]",rainbow,1,1,1,-4.723484422975206,"[9, 6, 5]",rainbow,-4.723484422975206
23,"[9, 6, 4]",rainbow,2,2,2,-5.031508919655648,"[9, 6, 4]",rainbow,-5.031508919655648
24,"[9, 6, 3]",rainbow,3,2,2,-5.031029981928374,"[9, 6, 3]",rainbow,-5.031029981928374
25,"[9, 6, 2]",rainbow,2,2,2,-4.973589757685952,"[9, 6, 2]",rainbow,-4.973589757685952
26,"[9, 5, 5]",rainbow,2,2,2,-5.92194711580621,"[9, 5, 5]",rainbow,-5.92194711580621
27,"[9, 5, 4]",rainbow,1,1,1,-6.348416311503928,"[9, 5, 4]",rainbow,-6.348416311503928
28,"[9, 5, 3]",rainbow,1,1,1,-6.358415377861951,"[9, 5, 3]",rainbow,-6.358415377861951
