,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,5.754739196371883,"[9, 9, 9]",rainbow,5.754739196371883
1,"[9, 9, 8]",rainbow,16,11,8,6.779504849523809,"[9, 9, 8]",rainbow,6.779504849523809
2,"[9, 9, 7]",rainbow,16,11,8,6.096989292380951,"[9, 9, 7]",rainbow,6.096989292380951
3,"[9, 9, 6]",rainbow,15,10,7,5.1838437552380965,"[9, 9, 6]",rainbow,5.1838437552380965
4,"[9, 9, 5]",rainbow,15,10,7,3.73746307936508,"[9, 9, 5]",rainbow,3.73746307936508
5,"[9, 9, 4]",rainbow,16,11,8,3.6910751523809515,"[9, 9, 4]",rainbow,3.6910751523809515
6,"[9, 9, 3]",rainbow,16,11,8,3.701379218594104,"[9, 9, 3]",rainbow,3.701379218594104
7,"[9, 9, 2]",rainbow,15,10,7,3.6954141922902495,"[9, 9, 2]",rainbow,3.6954141922902495
8,"[9, 8, 8]",rainbow,16,11,8,6.0931071079625285,"[9, 8, 8]",rainbow,6.0931071079625285
9,"[9, 8, 7]",rainbow,15,10,7,9.148078893842364,"[9, 8, 7]",rainbow,9.148078893842364
10,"[9, 8, 6]",rainbow,15,10,7,7.7561863510895845,"[9, 8, 6]",rainbow,7.7561863510895845
11,"[9, 8, 5]",rainbow,16,11,8,5.247326286182666,"[9, 8, 5]",rainbow,5.247326286182666
12,"[9, 8, 4]",rainbow,15,10,7,5.013606396252925,"[9, 8, 4]",rainbow,5.013606396252925
13,"[9, 8, 3]",rainbow,16,11,8,5.020887650117094,"[9, 8, 3]",rainbow,5.020887650117094
14,"[9, 8, 2]",rainbow,15,10,7,5.021293742857141,"[9, 8, 2]",rainbow,5.021293742857141
15,"[9, 7, 7]",rainbow,16,11,8,5.235268214285714,"[9, 7, 7]",rainbow,5.235268214285714
16,"[9, 7, 6]",rainbow,16,11,8,7.493610776755446,"[9, 7, 6]",rainbow,7.493610776755446
17,"[9, 7, 5]",rainbow,15,10,7,5.007602859016392,"[9, 7, 5]",rainbow,5.007602859016392
18,"[9, 7, 4]",rainbow,16,11,8,4.76439951733021,"[9, 7, 4]",rainbow,4.76439951733021
19,"[9, 7, 3]",rainbow,16,11,8,4.763402493442621,"[9, 7, 3]",rainbow,4.763402493442621
20,"[9, 7, 2]",rainbow,15,10,7,4.756260144262293,"[9, 7, 2]",rainbow,4.756260144262293
21,"[9, 6, 6]",rainbow,16,11,8,4.570887774473068,"[9, 6, 6]",rainbow,4.570887774473068
