,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,8,6,4,1.6313347797888351,"[9, 9, 9]",rainbow,1.6313347797888351
1,"[9, 9, 8]",rainbow,1,1,1,1.2951033419565212,"[9, 9, 8]",rainbow,1.2951033419565212
2,"[9, 9, 7]",rainbow,1,1,1,1.6831049636224598,"[9, 9, 7]",rainbow,1.6831049636224598
3,"[9, 9, 6]",rainbow,1,1,1,1.6645906422714525,"[9, 9, 6]",rainbow,1.6645906422714525
4,"[9, 9, 5]",rainbow,1,1,1,1.6434790166010853,"[9, 9, 5]",rainbow,1.6434790166010853
5,"[9, 9, 4]",rainbow,1,1,1,1.5119124274824212,"[9, 9, 4]",rainbow,1.5119124274824212
6,"[9, 9, 3]",rainbow,1,1,1,1.5150894690790595,"[9, 9, 3]",rainbow,1.5150894690790595
7,"[9, 9, 2]",rainbow,1,1,1,1.511461529583262,"[9, 9, 2]",rainbow,1.511461529583262
8,"[9, 8, 8]",rainbow,1,1,1,0.6775350801047122,"[9, 8, 8]",rainbow,0.6775350801047122
9,"[9, 8, 7]",rainbow,1,1,1,-0.5143610677072934,"[9, 8, 7]",rainbow,-0.5143610677072934
10,"[9, 8, 6]",rainbow,1,1,1,0.5482756840579706,"[9, 8, 6]",rainbow,0.5482756840579706
11,"[9, 8, 5]",rainbow,1,1,1,0.9600276154190944,"[9, 8, 5]",rainbow,0.9600276154190944
12,"[9, 8, 4]",rainbow,1,1,1,0.5598513727355069,"[9, 8, 4]",rainbow,0.5598513727355069
13,"[9, 8, 3]",rainbow,1,1,1,0.5606847769474632,"[9, 8, 3]",rainbow,0.5606847769474632
14,"[9, 8, 2]",rainbow,1,1,1,0.5628356543251813,"[9, 8, 2]",rainbow,0.5628356543251813
15,"[9, 7, 7]",rainbow,8,6,4,1.0373316691358436,"[9, 7, 7]",rainbow,1.0373316691358436
16,"[9, 7, 6]",rainbow,1,1,1,0.7846033716494126,"[9, 7, 6]",rainbow,0.7846033716494126
17,"[9, 7, 5]",rainbow,2,2,2,0.8188918852445647,"[9, 7, 5]",rainbow,0.8188918852445647
18,"[9, 7, 4]",rainbow,2,2,2,0.7561740278260864,"[9, 7, 4]",rainbow,0.7561740278260864
19,"[9, 7, 3]",rainbow,2,2,2,0.825717570923913,"[9, 7, 3]",rainbow,0.825717570923913
20,"[9, 7, 2]",rainbow,1,1,1,0.7549938199999996,"[9, 7, 2]",rainbow,0.7549938199999996
21,"[9, 6, 6]",rainbow,1,1,1,0.8182407397589259,"[9, 6, 6]",rainbow,0.8182407397589259
22,"[9, 6, 5]",rainbow,1,1,1,1.072601207808534,"[9, 6, 5]",rainbow,1.072601207808534
