,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,10,7,5,1.672069669280959,"[9, 9, 9]",rainbow,1.672069669280959
1,"[9, 9, 8]",rainbow,1,1,1,1.2984104399999996,"[9, 9, 8]",rainbow,1.2984104399999996
2,"[9, 9, 7]",rainbow,1,1,1,1.6421938718592957,"[9, 9, 7]",rainbow,1.6421938718592957
3,"[9, 9, 6]",rainbow,1,1,1,1.186427194552058,"[9, 9, 6]",rainbow,1.186427194552058
4,"[9, 9, 5]",rainbow,2,2,2,1.6271581097697052,"[9, 9, 5]",rainbow,1.6271581097697052
5,"[9, 9, 4]",rainbow,1,1,1,1.5027648926928951,"[9, 9, 4]",rainbow,1.5027648926928951
6,"[9, 9, 3]",rainbow,2,2,2,1.5023788434415586,"[9, 9, 3]",rainbow,1.5023788434415586
7,"[9, 9, 2]",rainbow,1,1,1,1.4996645550190983,"[9, 9, 2]",rainbow,1.4996645550190983
8,"[9, 8, 8]",rainbow,15,10,7,0.8851096842680909,"[9, 8, 8]",rainbow,0.8851096842680909
9,"[9, 8, 7]",rainbow,1,1,1,-0.5622502147280694,"[9, 8, 7]",rainbow,-0.5622502147280694
10,"[9, 8, 6]",rainbow,1,1,1,0.3023173062520246,"[9, 8, 6]",rainbow,0.3023173062520246
11,"[9, 8, 5]",rainbow,1,1,1,1.032159327319587,"[9, 8, 5]",rainbow,1.032159327319587
12,"[9, 8, 4]",rainbow,1,1,1,0.6818329739583331,"[9, 8, 4]",rainbow,0.6818329739583331
13,"[9, 8, 3]",rainbow,1,1,1,0.6823097083333333,"[9, 8, 3]",rainbow,0.6823097083333333
14,"[9, 8, 2]",rainbow,1,1,1,0.6838144166666665,"[9, 8, 2]",rainbow,0.6838144166666665
15,"[9, 7, 7]",rainbow,8,6,4,1.1409745503205742,"[9, 7, 7]",rainbow,1.1409745503205742
16,"[9, 7, 6]",rainbow,1,1,1,0.4745200775510198,"[9, 7, 6]",rainbow,0.4745200775510198
17,"[9, 7, 5]",rainbow,2,2,2,0.9005566109374996,"[9, 7, 5]",rainbow,0.9005566109374996
18,"[9, 7, 4]",rainbow,2,2,2,0.8672847274999999,"[9, 7, 4]",rainbow,0.8672847274999999
19,"[9, 7, 3]",rainbow,2,2,2,0.9374804046874996,"[9, 7, 3]",rainbow,0.9374804046874996
20,"[9, 7, 2]",rainbow,1,1,1,0.8675109499999998,"[9, 7, 2]",rainbow,0.8675109499999998
21,"[9, 6, 6]",rainbow,1,1,1,0.5019987373928857,"[9, 6, 6]",rainbow,0.5019987373928857
22,"[9, 6, 5]",rainbow,2,2,2,0.6226919306249995,"[9, 6, 5]",rainbow,0.6226919306249995
23,"[9, 6, 4]",rainbow,1,1,1,0.3821281385146804,"[9, 6, 4]",rainbow,0.3821281385146804
24,"[9, 6, 3]",rainbow,1,1,1,0.3813348623488773,"[9, 6, 3]",rainbow,0.3813348623488773
25,"[9, 6, 2]",rainbow,1,1,1,0.3802374797063903,"[9, 6, 2]",rainbow,0.3802374797063903
26,"[9, 5, 5]",rainbow,1,1,1,0.7579758088213651,"[9, 5, 5]",rainbow,0.7579758088213651
27,"[9, 5, 4]",rainbow,1,1,1,0.9030569280594374,"[9, 5, 4]",rainbow,0.9030569280594374
28,"[9, 5, 3]",rainbow,1,1,1,0.9086211456601871,"[9, 5, 3]",rainbow,0.9086211456601871
29,"[9, 5, 2]",rainbow,1,1,1,0.8870632897651547,"[9, 5, 2]",rainbow,0.8870632897651547
30,"[9, 4, 4]",rainbow,10,7,5,0.7080187055796133,"[9, 4, 4]",rainbow,0.7080187055796133
31,"[9, 4, 3]",rainbow,1,1,1,0.735292734256268,"[9, 4, 3]",rainbow,0.735292734256268
32,"[9, 4, 2]",rainbow,1,1,1,0.7185225328072603,"[9, 4, 2]",rainbow,0.7185225328072603
33,"[9, 3, 3]",rainbow,10,7,5,0.7077880844531171,"[9, 3, 3]",rainbow,0.7077880844531171
34,"[9, 3, 2]",rainbow,2,2,2,0.7147845105276108,"[9, 3, 2]",rainbow,0.7147845105276108
35,"[9, 2, 2]",rainbow,10,7,5,0.7079176374578082,"[9, 2, 2]",rainbow,0.7079176374578082
36,"[8, 8, 8]",rainbow,8,6,4,1.1247632361094069,"[8, 8, 8]",rainbow,1.1247632361094069
37,"[8, 8, 7]",rainbow,1,1,1,0.9837076211167508,"[8, 8, 7]",rainbow,0.9837076211167508
38,"[8, 8, 6]",rainbow,1,1,1,0.6660531854060912,"[8, 8, 6]",rainbow,0.6660531854060912
39,"[8, 8, 5]",rainbow,1,1,1,1.103948166844072,"[8, 8, 5]",rainbow,1.103948166844072
40,"[8, 8, 4]",rainbow,1,1,1,0.9926174361265442,"[8, 8, 4]",rainbow,0.9926174361265442
41,"[8, 8, 3]",rainbow,2,2,2,0.9770187357737624,"[8, 8, 3]",rainbow,0.9770187357737624
42,"[8, 8, 2]",rainbow,2,2,2,0.9810381297493392,"[8, 8, 2]",rainbow,0.9810381297493392
43,"[8, 7, 7]",rainbow,1,1,1,0.7613591082731961,"[8, 7, 7]",rainbow,0.7613591082731961
44,"[8, 7, 6]",rainbow,1,1,1,0.6674528037023181,"[8, 7, 6]",rainbow,0.6674528037023181
45,"[8, 7, 5]",rainbow,1,1,1,0.6915473066062174,"[8, 7, 5]",rainbow,0.6915473066062174
46,"[8, 7, 4]",rainbow,1,1,1,0.647213609,"[8, 7, 4]",rainbow,0.647213609
47,"[8, 7, 3]",rainbow,1,1,1,0.6757116923076921,"[8, 7, 3]",rainbow,0.6757116923076921
48,"[8, 7, 2]",rainbow,1,1,1,0.6753407193846156,"[8, 7, 2]",rainbow,0.6753407193846156
49,"[8, 6, 6]",rainbow,1,1,1,0.3059330262307692,"[8, 6, 6]",rainbow,0.3059330262307692
50,"[8, 6, 5]",rainbow,1,1,1,0.16613274685566998,"[8, 6, 5]",rainbow,0.16613274685566998
51,"[8, 6, 4]",rainbow,1,1,1,-0.0055380855050504154,"[8, 6, 4]",rainbow,-0.0055380855050504154
52,"[8, 6, 3]",rainbow,1,1,1,0.17675743087614335,"[8, 6, 3]",rainbow,0.17675743087614335
53,"[8, 6, 2]",rainbow,1,1,1,0.17917948317206142,"[8, 6, 2]",rainbow,0.17917948317206142
54,"[8, 5, 5]",rainbow,1,1,1,0.5172782117365758,"[8, 5, 5]",rainbow,0.5172782117365758
55,"[8, 5, 4]",rainbow,2,2,2,0.8653297615518822,"[8, 5, 4]",rainbow,0.8653297615518822
56,"[8, 5, 3]",rainbow,1,1,1,0.6623797874268458,"[8, 5, 3]",rainbow,0.6623797874268458
57,"[8, 5, 2]",rainbow,1,1,1,0.6591359568776993,"[8, 5, 2]",rainbow,0.6591359568776993
58,"[8, 4, 4]",rainbow,1,1,1,0.3951826313090909,"[8, 4, 4]",rainbow,0.3951826313090909
59,"[8, 4, 3]",rainbow,2,2,2,0.520445141054545,"[8, 4, 3]",rainbow,0.520445141054545
60,"[8, 4, 2]",rainbow,1,1,1,0.5226043443818177,"[8, 4, 2]",rainbow,0.5226043443818177
61,"[8, 3, 3]",rainbow,2,2,2,0.3755742453454546,"[8, 3, 3]",rainbow,0.3755742453454546
62,"[8, 3, 2]",rainbow,1,1,1,0.4498102800242421,"[8, 3, 2]",rainbow,0.4498102800242421
63,"[8, 2, 2]",rainbow,1,1,1,0.3776557476727269,"[8, 2, 2]",rainbow,0.3776557476727269
64,"[7, 7, 7]",rainbow,1,1,1,1.0316848223582356,"[7, 7, 7]",rainbow,1.0316848223582356
65,"[7, 7, 6]",rainbow,1,1,1,0.6185464168181815,"[7, 7, 6]",rainbow,0.6185464168181815
66,"[7, 7, 5]",rainbow,1,1,1,1.031608223,"[7, 7, 5]",rainbow,1.031608223
67,"[7, 7, 4]",rainbow,2,2,2,0.9139945600108544,"[7, 7, 4]",rainbow,0.9139945600108544
68,"[7, 7, 3]",rainbow,2,2,2,0.9224095897639076,"[7, 7, 3]",rainbow,0.9224095897639076
69,"[7, 7, 2]",rainbow,2,2,2,0.9243471767218452,"[7, 7, 2]",rainbow,0.9243471767218452
70,"[7, 6, 6]",rainbow,1,1,1,0.16574314744897922,"[7, 6, 6]",rainbow,0.16574314744897922
71,"[7, 6, 5]",rainbow,1,1,1,0.3996623018134715,"[7, 6, 5]",rainbow,0.3996623018134715
72,"[7, 6, 4]",rainbow,1,1,1,-0.1501888069035532,"[7, 6, 4]",rainbow,-0.1501888069035532
73,"[7, 6, 3]",rainbow,1,1,1,0.07395688454999924,"[7, 6, 3]",rainbow,0.07395688454999924
74,"[7, 6, 2]",rainbow,1,1,1,0.004809371632652798,"[7, 6, 2]",rainbow,0.004809371632652798
75,"[7, 5, 5]",rainbow,2,2,2,0.3164368615652976,"[7, 5, 5]",rainbow,0.3164368615652976
76,"[7, 5, 4]",rainbow,1,1,1,0.27648547902662984,"[7, 5, 4]",rainbow,0.27648547902662984
77,"[7, 5, 3]",rainbow,1,1,1,0.3142747962488521,"[7, 5, 3]",rainbow,0.3142747962488521
78,"[7, 5, 2]",rainbow,2,2,2,0.4359186226598982,"[7, 5, 2]",rainbow,0.4359186226598982
79,"[7, 4, 4]",rainbow,1,1,1,0.18639177370909066,"[7, 4, 4]",rainbow,0.18639177370909066
80,"[7, 4, 3]",rainbow,1,1,1,0.19060396297874252,"[7, 4, 3]",rainbow,0.19060396297874252
81,"[7, 4, 2]",rainbow,1,1,1,0.28501918277818195,"[7, 4, 2]",rainbow,0.28501918277818195
82,"[7, 3, 3]",rainbow,2,2,2,0.1872391366363632,"[7, 3, 3]",rainbow,0.1872391366363632
83,"[7, 3, 2]",rainbow,1,1,1,0.2850094497018182,"[7, 3, 2]",rainbow,0.2850094497018182
84,"[7, 2, 2]",rainbow,1,1,1,0.18240877497272692,"[7, 2, 2]",rainbow,0.18240877497272692
85,"[6, 6, 6]",rainbow,1,1,1,0.7976123560730832,"[6, 6, 6]",rainbow,0.7976123560730832
86,"[6, 6, 5]",rainbow,1,1,1,0.8192726280763629,"[6, 6, 5]",rainbow,0.8192726280763629
87,"[6, 6, 4]",rainbow,1,1,1,0.6895350934420061,"[6, 6, 4]",rainbow,0.6895350934420061
88,"[6, 6, 3]",rainbow,3,2,2,0.6898023396291979,"[6, 6, 3]",rainbow,0.6898023396291979
89,"[6, 6, 2]",rainbow,3,2,2,0.6961538151240483,"[6, 6, 2]",rainbow,0.6961538151240483
90,"[6, 5, 5]",rainbow,1,1,1,0.16441860158494032,"[6, 5, 5]",rainbow,0.16441860158494032
91,"[6, 5, 4]",rainbow,1,1,1,0.5559619306069784,"[6, 5, 4]",rainbow,0.5559619306069784
92,"[6, 5, 3]",rainbow,1,1,1,0.0061422557405202355,"[6, 5, 3]",rainbow,0.0061422557405202355
93,"[6, 5, 2]",rainbow,1,1,1,0.20170665001652893,"[6, 5, 2]",rainbow,0.20170665001652893
94,"[6, 4, 4]",rainbow,1,1,1,0.01566852116960626,"[6, 4, 4]",rainbow,0.01566852116960626
95,"[6, 4, 3]",rainbow,1,1,1,-0.1212761186894697,"[6, 4, 3]",rainbow,-0.1212761186894697
96,"[6, 4, 2]",rainbow,2,2,2,0.044280337411126136,"[6, 4, 2]",rainbow,0.044280337411126136
97,"[6, 3, 3]",rainbow,1,1,1,0.009054677553142987,"[6, 3, 3]",rainbow,0.009054677553142987
98,"[6, 3, 2]",rainbow,1,1,1,0.03766159918588868,"[6, 3, 2]",rainbow,0.03766159918588868
99,"[6, 2, 2]",rainbow,1,1,1,0.005832456442333822,"[6, 2, 2]",rainbow,0.005832456442333822
100,"[5, 5, 5]",rainbow,2,2,2,0.634592978958821,"[5, 5, 5]",rainbow,0.634592978958821
101,"[5, 5, 4]",rainbow,1,1,1,0.6540536325147184,"[5, 5, 4]",rainbow,0.6540536325147184
102,"[5, 5, 3]",rainbow,1,1,1,0.6487159659041207,"[5, 5, 3]",rainbow,0.6487159659041207
103,"[5, 5, 2]",rainbow,1,1,1,0.6517049821026075,"[5, 5, 2]",rainbow,0.6517049821026075
104,"[5, 4, 4]",rainbow,1,1,1,0.3798695548480708,"[5, 4, 4]",rainbow,0.3798695548480708
105,"[5, 4, 3]",rainbow,1,1,1,0.9388893189655164,"[5, 4, 3]",rainbow,0.9388893189655164
106,"[5, 4, 2]",rainbow,1,1,1,0.6554854086206894,"[5, 4, 2]",rainbow,0.6554854086206894
107,"[5, 3, 3]",rainbow,2,2,2,0.37213187296005457,"[5, 3, 3]",rainbow,0.37213187296005457
108,"[5, 3, 2]",rainbow,2,2,2,0.6605407267241379,"[5, 3, 2]",rainbow,0.6605407267241379
109,"[5, 2, 2]",rainbow,2,2,2,0.3675543557016044,"[5, 2, 2]",rainbow,0.3675543557016044
110,"[4, 4, 4]",rainbow,8,6,4,0.4564496578039929,"[4, 4, 4]",rainbow,0.4564496578039929
111,"[4, 4, 3]",rainbow,2,2,2,0.4534113776939653,"[4, 4, 3]",rainbow,0.4534113776939653
