,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,1.2246163178548837,"[9, 9, 9]",rainbow,1.2246163178548837
1,"[9, 9, 8]",rainbow,1,1,1,1.1424239037588233,"[9, 9, 8]",rainbow,1.1424239037588233
2,"[9, 9, 7]",rainbow,1,1,1,1.2932859032920905,"[9, 9, 7]",rainbow,1.2932859032920905
3,"[9, 9, 6]",rainbow,1,1,1,1.1014224551605154,"[9, 9, 6]",rainbow,1.1014224551605154
4,"[9, 9, 5]",rainbow,1,1,1,1.1822612068228118,"[9, 9, 5]",rainbow,1.1822612068228118
5,"[9, 9, 4]",rainbow,1,1,1,1.1011810443109715,"[9, 9, 4]",rainbow,1.1011810443109715
6,"[9, 9, 3]",rainbow,2,2,2,1.1045710797224058,"[9, 9, 3]",rainbow,1.1045710797224058
7,"[9, 9, 2]",rainbow,1,1,1,1.0996667443159285,"[9, 9, 2]",rainbow,1.0996667443159285
8,"[9, 8, 8]",rainbow,16,11,8,0.7490740291585067,"[9, 8, 8]",rainbow,0.7490740291585067
9,"[9, 8, 7]",rainbow,1,1,1,-0.09409590994508987,"[9, 8, 7]",rainbow,-0.09409590994508987
10,"[9, 8, 6]",rainbow,1,1,1,0.39677421414340414,"[9, 8, 6]",rainbow,0.39677421414340414
11,"[9, 8, 5]",rainbow,1,1,1,0.9626422067947517,"[9, 8, 5]",rainbow,0.9626422067947517
12,"[9, 8, 4]",rainbow,1,1,1,0.8136560486312986,"[9, 8, 4]",rainbow,0.8136560486312986
13,"[9, 8, 3]",rainbow,1,1,1,0.8122919237221414,"[9, 8, 3]",rainbow,0.8122919237221414
14,"[9, 8, 2]",rainbow,1,1,1,0.8046958340600775,"[9, 8, 2]",rainbow,0.8046958340600775
15,"[9, 7, 7]",rainbow,8,6,4,1.1099556313813144,"[9, 7, 7]",rainbow,1.1099556313813144
16,"[9, 7, 6]",rainbow,2,2,2,0.7842584421442151,"[9, 7, 6]",rainbow,0.7842584421442151
17,"[9, 7, 5]",rainbow,2,2,2,0.8455553238876731,"[9, 7, 5]",rainbow,0.8455553238876731
18,"[9, 7, 4]",rainbow,2,2,2,1.054238089252873,"[9, 7, 4]",rainbow,1.054238089252873
19,"[9, 7, 3]",rainbow,2,2,2,1.1175525629525864,"[9, 7, 3]",rainbow,1.1175525629525864
20,"[9, 7, 2]",rainbow,1,1,1,1.0518045352011491,"[9, 7, 2]",rainbow,1.0518045352011491
21,"[9, 6, 6]",rainbow,10,7,5,1.2284372785965905,"[9, 6, 6]",rainbow,1.2284372785965905
22,"[9, 6, 5]",rainbow,2,2,2,0.2560448403516953,"[9, 6, 5]",rainbow,0.2560448403516953
23,"[9, 6, 4]",rainbow,1,1,1,1.0899684534938765,"[9, 6, 4]",rainbow,1.0899684534938765
24,"[9, 6, 3]",rainbow,1,1,1,1.0921781134915212,"[9, 6, 3]",rainbow,1.0921781134915212
25,"[9, 6, 2]",rainbow,1,1,1,1.0917734997432875,"[9, 6, 2]",rainbow,1.0917734997432875
26,"[9, 5, 5]",rainbow,2,2,2,1.116177050421743,"[9, 5, 5]",rainbow,1.116177050421743
27,"[9, 5, 4]",rainbow,1,1,1,1.229171250128866,"[9, 5, 4]",rainbow,1.229171250128866
28,"[9, 5, 3]",rainbow,1,1,1,1.2247121542432051,"[9, 5, 3]",rainbow,1.2247121542432051
29,"[9, 5, 2]",rainbow,2,2,2,1.212452347164948,"[9, 5, 2]",rainbow,1.212452347164948
30,"[9, 4, 4]",rainbow,10,7,5,1.0969618223838131,"[9, 4, 4]",rainbow,1.0969618223838131
31,"[9, 4, 3]",rainbow,1,1,1,1.085756090403674,"[9, 4, 3]",rainbow,1.085756090403674
32,"[9, 4, 2]",rainbow,1,1,1,1.059212464587865,"[9, 4, 2]",rainbow,1.059212464587865
