,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,3,2,2,-3.841075775465863,"[9, 9, 9]",rainbow,-3.841075775465863
1,"[9, 9, 8]",rainbow,1,1,1,-2.015671598615921,"[9, 9, 8]",rainbow,-2.015671598615921
2,"[9, 9, 7]",rainbow,1,1,1,-2.3601500648477884,"[9, 9, 7]",rainbow,-2.3601500648477884
3,"[9, 9, 6]",rainbow,1,1,1,-2.5287278306859684,"[9, 9, 6]",rainbow,-2.5287278306859684
4,"[9, 9, 5]",rainbow,2,2,2,-3.7408063839160484,"[9, 9, 5]",rainbow,-3.7408063839160484
5,"[9, 9, 4]",rainbow,1,1,1,-3.7333661571084473,"[9, 9, 4]",rainbow,-3.7333661571084473
6,"[9, 9, 3]",rainbow,3,2,2,-3.4342327397400783,"[9, 9, 3]",rainbow,-3.4342327397400783
7,"[9, 9, 2]",rainbow,2,2,2,-3.423821328447896,"[9, 9, 2]",rainbow,-3.423821328447896
8,"[9, 8, 8]",rainbow,1,1,1,-2.55429684,"[9, 8, 8]",rainbow,-2.55429684
9,"[9, 8, 7]",rainbow,1,1,1,3.40522055536111,"[9, 8, 7]",rainbow,3.40522055536111
10,"[9, 8, 6]",rainbow,1,1,1,-0.7038864999595398,"[9, 8, 6]",rainbow,-0.7038864999595398
11,"[9, 8, 5]",rainbow,1,1,1,-2.0858270755135138,"[9, 8, 5]",rainbow,-2.0858270755135138
12,"[9, 8, 4]",rainbow,1,1,1,-2.0903593656486485,"[9, 8, 4]",rainbow,-2.0903593656486485
13,"[9, 8, 3]",rainbow,1,1,1,-1.7399131472799998,"[9, 8, 3]",rainbow,-1.7399131472799998
14,"[9, 8, 2]",rainbow,1,1,1,-1.74774582928,"[9, 8, 2]",rainbow,-1.74774582928
15,"[9, 7, 7]",rainbow,1,1,1,-3.089735855279999,"[9, 7, 7]",rainbow,-3.089735855279999
16,"[9, 7, 6]",rainbow,2,2,2,-1.076685475082365,"[9, 7, 6]",rainbow,-1.076685475082365
17,"[9, 7, 5]",rainbow,1,1,1,-2.5476113524864865,"[9, 7, 5]",rainbow,-2.5476113524864865
18,"[9, 7, 4]",rainbow,2,2,2,-2.6737250495675684,"[9, 7, 4]",rainbow,-2.6737250495675684
19,"[9, 7, 3]",rainbow,1,1,1,-2.32556922712,"[9, 7, 3]",rainbow,-2.32556922712
20,"[9, 7, 2]",rainbow,2,2,2,-2.27311268896,"[9, 7, 2]",rainbow,-2.27311268896
21,"[9, 6, 6]",rainbow,2,2,2,-3.4726961087999992,"[9, 6, 6]",rainbow,-3.4726961087999992
22,"[9, 6, 5]",rainbow,1,1,1,-2.8248438348648643,"[9, 6, 5]",rainbow,-2.8248438348648643
23,"[9, 6, 4]",rainbow,3,2,2,-3.0677020893243254,"[9, 6, 4]",rainbow,-3.0677020893243254
24,"[9, 6, 3]",rainbow,1,1,1,-2.7131184317600012,"[9, 6, 3]",rainbow,-2.7131184317600012
25,"[9, 6, 2]",rainbow,3,2,2,-2.67049723184,"[9, 6, 2]",rainbow,-2.67049723184
26,"[9, 5, 5]",rainbow,3,2,2,-5.144617976727894,"[9, 5, 5]",rainbow,-5.144617976727894
27,"[9, 5, 4]",rainbow,2,2,2,-4.94052476609589,"[9, 5, 4]",rainbow,-4.94052476609589
28,"[9, 5, 3]",rainbow,2,2,2,-4.733369777593738,"[9, 5, 3]",rainbow,-4.733369777593738
29,"[9, 5, 2]",rainbow,1,1,1,-4.758818550774966,"[9, 5, 2]",rainbow,-4.758818550774966
30,"[9, 4, 4]",rainbow,2,2,2,-5.187734356522417,"[9, 4, 4]",rainbow,-5.187734356522417
31,"[9, 4, 3]",rainbow,2,2,2,-4.817853688948537,"[9, 4, 3]",rainbow,-4.817853688948537
32,"[9, 4, 2]",rainbow,1,1,1,-4.81248944209552,"[9, 4, 2]",rainbow,-4.81248944209552
33,"[9, 3, 3]",rainbow,1,1,1,-4.406027552311005,"[9, 3, 3]",rainbow,-4.406027552311005
34,"[9, 3, 2]",rainbow,3,2,2,-4.602430806754386,"[9, 3, 2]",rainbow,-4.602430806754386
35,"[9, 2, 2]",rainbow,1,1,1,-4.402866608311005,"[9, 2, 2]",rainbow,-4.402866608311005
36,"[8, 8, 8]",rainbow,3,2,2,-4.394126970019986,"[8, 8, 8]",rainbow,-4.394126970019986
37,"[8, 8, 7]",rainbow,1,1,1,-2.435072301352452,"[8, 8, 7]",rainbow,-2.435072301352452
38,"[8, 8, 6]",rainbow,1,1,1,-2.38227730930422,"[8, 8, 6]",rainbow,-2.38227730930422
39,"[8, 8, 5]",rainbow,1,1,1,-4.336412950126583,"[8, 8, 5]",rainbow,-4.336412950126583
40,"[8, 8, 4]",rainbow,3,2,2,-4.383037539493672,"[8, 8, 4]",rainbow,-4.383037539493672
41,"[8, 8, 3]",rainbow,2,2,2,-4.0530595922718184,"[8, 8, 3]",rainbow,-4.0530595922718184
42,"[8, 8, 2]",rainbow,3,2,2,-4.0508278880746165,"[8, 8, 2]",rainbow,-4.0508278880746165
43,"[8, 7, 7]",rainbow,1,1,1,-2.337585633607627,"[8, 7, 7]",rainbow,-2.337585633607627
44,"[8, 7, 6]",rainbow,1,1,1,0.7273057397260254,"[8, 7, 6]",rainbow,0.7273057397260254
45,"[8, 7, 5]",rainbow,1,1,1,-1.9246451665263156,"[8, 7, 5]",rainbow,-1.9246451665263156
46,"[8, 7, 4]",rainbow,1,1,1,-2.310059804105264,"[8, 7, 4]",rainbow,-2.310059804105264
47,"[8, 7, 3]",rainbow,1,1,1,-1.7987763369806098,"[8, 7, 3]",rainbow,-1.7987763369806098
48,"[8, 7, 2]",rainbow,1,1,1,-1.7990872728531864,"[8, 7, 2]",rainbow,-1.7990872728531864
49,"[8, 6, 6]",rainbow,1,1,1,-2.2109706545054597,"[8, 6, 6]",rainbow,-2.2109706545054597
50,"[8, 6, 5]",rainbow,2,2,2,-1.4624128015789464,"[8, 6, 5]",rainbow,-1.4624128015789464
