,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,2.1816480640791625,"[9, 9, 9]",rainbow,2.1816480640791625
1,"[9, 9, 8]",rainbow,16,11,8,1.1523871902184906,"[9, 9, 8]",rainbow,1.1523871902184906
2,"[9, 9, 7]",rainbow,2,2,2,1.2590331206753835,"[9, 9, 7]",rainbow,1.2590331206753835
3,"[9, 9, 6]",rainbow,1,1,1,0.826408908486476,"[9, 9, 6]",rainbow,0.826408908486476
4,"[9, 9, 5]",rainbow,2,2,2,0.8104281751897995,"[9, 9, 5]",rainbow,0.8104281751897995
5,"[9, 9, 4]",rainbow,1,1,1,1.1927494875505555,"[9, 9, 4]",rainbow,1.1927494875505555
6,"[9, 9, 3]",rainbow,2,2,2,1.197140019108352,"[9, 9, 3]",rainbow,1.197140019108352
7,"[9, 9, 2]",rainbow,2,2,2,1.196941297652202,"[9, 9, 2]",rainbow,1.196941297652202
8,"[9, 8, 8]",rainbow,16,11,8,0.9693032441299724,"[9, 8, 8]",rainbow,0.9693032441299724
9,"[9, 8, 7]",rainbow,1,1,1,-1.2281269958195573,"[9, 8, 7]",rainbow,-1.2281269958195573
10,"[9, 8, 6]",rainbow,8,6,4,-0.1721490684119185,"[9, 8, 6]",rainbow,-0.1721490684119185
11,"[9, 8, 5]",rainbow,8,6,4,0.19372644055437774,"[9, 8, 5]",rainbow,0.19372644055437774
12,"[9, 8, 4]",rainbow,1,1,1,0.32556214576659026,"[9, 8, 4]",rainbow,0.32556214576659026
13,"[9, 8, 3]",rainbow,1,1,1,0.326499484439359,"[9, 8, 3]",rainbow,0.326499484439359
14,"[9, 8, 2]",rainbow,1,1,1,0.3292146702517161,"[9, 8, 2]",rainbow,0.3292146702517161
15,"[9, 7, 7]",rainbow,15,10,7,0.9685174779247618,"[9, 7, 7]",rainbow,0.9685174779247618
16,"[9, 7, 6]",rainbow,2,2,2,-0.1840728947728424,"[9, 7, 6]",rainbow,-0.1840728947728424
17,"[9, 7, 5]",rainbow,1,1,1,0.0329580173934885,"[9, 7, 5]",rainbow,0.0329580173934885
18,"[9, 7, 4]",rainbow,1,1,1,0.5847587039816929,"[9, 7, 4]",rainbow,0.5847587039816929
19,"[9, 7, 3]",rainbow,1,1,1,0.5842623485583522,"[9, 7, 3]",rainbow,0.5842623485583522
20,"[9, 7, 2]",rainbow,2,2,2,0.5719049278718538,"[9, 7, 2]",rainbow,0.5719049278718538
21,"[9, 6, 6]",rainbow,10,7,5,0.401397583697548,"[9, 6, 6]",rainbow,0.401397583697548
22,"[9, 6, 5]",rainbow,2,2,2,-0.21064982583056466,"[9, 6, 5]",rainbow,-0.21064982583056466
23,"[9, 6, 4]",rainbow,1,1,1,0.2130790605949655,"[9, 6, 4]",rainbow,0.2130790605949655
24,"[9, 6, 3]",rainbow,1,1,1,0.2145596162013727,"[9, 6, 3]",rainbow,0.2145596162013727
25,"[9, 6, 2]",rainbow,1,1,1,0.2132819887414185,"[9, 6, 2]",rainbow,0.2132819887414185
26,"[9, 5, 5]",rainbow,1,1,1,0.2470518957729341,"[9, 5, 5]",rainbow,0.2470518957729341
27,"[9, 5, 4]",rainbow,1,1,1,0.1833185820389201,"[9, 5, 4]",rainbow,0.1833185820389201
28,"[9, 5, 3]",rainbow,1,1,1,0.18994451912868165,"[9, 5, 3]",rainbow,0.18994451912868165
29,"[9, 5, 2]",rainbow,1,1,1,0.17341508704593278,"[9, 5, 2]",rainbow,0.17341508704593278
30,"[9, 4, 4]",rainbow,2,2,2,0.4814034183673469,"[9, 4, 4]",rainbow,0.4814034183673469
31,"[9, 4, 3]",rainbow,1,1,1,0.6654952538419739,"[9, 4, 3]",rainbow,0.6654952538419739
32,"[9, 4, 2]",rainbow,1,1,1,0.6367081618822983,"[9, 4, 2]",rainbow,0.6367081618822983
33,"[9, 3, 3]",rainbow,10,7,5,0.5844205835179188,"[9, 3, 3]",rainbow,0.5844205835179188
34,"[9, 3, 2]",rainbow,1,1,1,0.6239976281227704,"[9, 3, 2]",rainbow,0.6239976281227704
35,"[9, 2, 2]",rainbow,10,7,5,0.5772444294414714,"[9, 2, 2]",rainbow,0.5772444294414714
36,"[8, 8, 8]",rainbow,16,11,8,1.2184222355401613,"[8, 8, 8]",rainbow,1.2184222355401613
37,"[8, 8, 7]",rainbow,16,11,8,0.5390604700151949,"[8, 8, 7]",rainbow,0.5390604700151949
38,"[8, 8, 6]",rainbow,1,1,1,0.3193248658849707,"[8, 8, 6]",rainbow,0.3193248658849707
39,"[8, 8, 5]",rainbow,1,1,1,0.3268134795754471,"[8, 8, 5]",rainbow,0.3268134795754471
40,"[8, 8, 4]",rainbow,1,1,1,0.7449574516049066,"[8, 8, 4]",rainbow,0.7449574516049066
41,"[8, 8, 3]",rainbow,2,2,2,0.7264897356530571,"[8, 8, 3]",rainbow,0.7264897356530571
42,"[8, 8, 2]",rainbow,1,1,1,0.7301725498431083,"[8, 8, 2]",rainbow,0.7301725498431083
43,"[8, 7, 7]",rainbow,16,11,8,0.4994575385441983,"[8, 7, 7]",rainbow,0.4994575385441983
44,"[8, 7, 6]",rainbow,1,1,1,-0.1897465048162048,"[8, 7, 6]",rainbow,-0.1897465048162048
45,"[8, 7, 5]",rainbow,1,1,1,-0.15551583079069833,"[8, 7, 5]",rainbow,-0.15551583079069833
46,"[8, 7, 4]",rainbow,1,1,1,0.547604900925831,"[8, 7, 4]",rainbow,0.547604900925831
47,"[8, 7, 3]",rainbow,1,1,1,0.3461830415652178,"[8, 7, 3]",rainbow,0.3461830415652178
48,"[8, 7, 2]",rainbow,1,1,1,0.3391457052173916,"[8, 7, 2]",rainbow,0.3391457052173916
49,"[8, 6, 6]",rainbow,8,6,4,0.19551564906584828,"[8, 6, 6]",rainbow,0.19551564906584828
50,"[8, 6, 5]",rainbow,1,1,1,-0.6329394491144185,"[8, 6, 5]",rainbow,-0.6329394491144185
51,"[8, 6, 4]",rainbow,1,1,1,-0.2769998735521569,"[8, 6, 4]",rainbow,-0.2769998735521569
