,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,1.0184797006672932,"[9, 9, 9]",rainbow,1.0184797006672932
1,"[9, 9, 8]",rainbow,15,10,7,1.0498535069532735,"[9, 9, 8]",rainbow,1.0498535069532735
2,"[9, 9, 7]",rainbow,15,10,7,0.7863585691639309,"[9, 9, 7]",rainbow,0.7863585691639309
3,"[9, 9, 6]",rainbow,16,11,8,0.2928891229254351,"[9, 9, 6]",rainbow,0.2928891229254351
4,"[9, 9, 5]",rainbow,16,11,8,0.6645183323879754,"[9, 9, 5]",rainbow,0.6645183323879754
5,"[9, 9, 4]",rainbow,16,11,8,0.6702097217589846,"[9, 9, 4]",rainbow,0.6702097217589846
6,"[9, 9, 3]",rainbow,16,11,8,0.5650855646536435,"[9, 9, 3]",rainbow,0.5650855646536435
7,"[9, 9, 2]",rainbow,16,11,8,0.4778284970602839,"[9, 9, 2]",rainbow,0.4778284970602839
8,"[9, 8, 8]",rainbow,16,11,8,1.3520434016064264,"[9, 8, 8]",rainbow,1.3520434016064264
9,"[9, 8, 7]",rainbow,16,11,8,1.4267779037540405,"[9, 8, 7]",rainbow,1.4267779037540405
10,"[9, 8, 6]",rainbow,16,11,8,1.1277537669172932,"[9, 8, 6]",rainbow,1.1277537669172932
11,"[9, 8, 5]",rainbow,16,11,8,1.3486510978835982,"[9, 8, 5]",rainbow,1.3486510978835982
12,"[9, 8, 4]",rainbow,15,10,7,1.0827898488529013,"[9, 8, 4]",rainbow,1.0827898488529013
13,"[9, 8, 3]",rainbow,15,10,7,1.0116259433198378,"[9, 8, 3]",rainbow,1.0116259433198378
14,"[9, 8, 2]",rainbow,16,11,8,0.9361173900134954,"[9, 8, 2]",rainbow,0.9361173900134954
15,"[9, 7, 7]",rainbow,16,11,8,0.9024545806451616,"[9, 7, 7]",rainbow,0.9024545806451616
16,"[9, 7, 6]",rainbow,15,10,7,0.7200356298438404,"[9, 7, 6]",rainbow,0.7200356298438404
17,"[9, 7, 5]",rainbow,15,10,7,1.0208307986666665,"[9, 7, 5]",rainbow,1.0208307986666665
18,"[9, 7, 4]",rainbow,16,11,8,0.6259274170040485,"[9, 7, 4]",rainbow,0.6259274170040485
19,"[9, 7, 3]",rainbow,16,11,8,0.5539350769230771,"[9, 7, 3]",rainbow,0.5539350769230771
20,"[9, 7, 2]",rainbow,16,11,8,0.4639901754385966,"[9, 7, 2]",rainbow,0.4639901754385966
21,"[9, 6, 6]",rainbow,16,11,8,0.7667742500000002,"[9, 6, 6]",rainbow,0.7667742500000002
22,"[9, 6, 5]",rainbow,16,11,8,1.0294864775132273,"[9, 6, 5]",rainbow,1.0294864775132273
23,"[9, 6, 4]",rainbow,16,11,8,0.5508369338731447,"[9, 6, 4]",rainbow,0.5508369338731447
24,"[9, 6, 3]",rainbow,16,11,8,0.4818848043184886,"[9, 6, 3]",rainbow,0.4818848043184886
25,"[9, 6, 2]",rainbow,16,11,8,0.3880345910931178,"[9, 6, 2]",rainbow,0.3880345910931178
26,"[9, 5, 5]",rainbow,16,11,8,0.9989781632,"[9, 5, 5]",rainbow,0.9989781632
27,"[9, 5, 4]",rainbow,16,11,8,1.0751359346774194,"[9, 5, 4]",rainbow,1.0751359346774194
28,"[9, 5, 3]",rainbow,16,11,8,1.0005854808064516,"[9, 5, 3]",rainbow,1.0005854808064516
29,"[9, 5, 2]",rainbow,16,11,8,0.9093695890322584,"[9, 5, 2]",rainbow,0.9093695890322584
30,"[9, 4, 4]",rainbow,16,11,8,0.9245634561904764,"[9, 4, 4]",rainbow,0.9245634561904764
31,"[9, 4, 3]",rainbow,16,11,8,1.0909720327710841,"[9, 4, 3]",rainbow,1.0909720327710841
32,"[9, 4, 2]",rainbow,16,11,8,0.9876643710843372,"[9, 4, 2]",rainbow,0.9876643710843372
33,"[9, 3, 3]",rainbow,16,11,8,0.8284533733333336,"[9, 3, 3]",rainbow,0.8284533733333336
34,"[9, 3, 2]",rainbow,16,11,8,0.9874464057831324,"[9, 3, 2]",rainbow,0.9874464057831324
35,"[9, 2, 2]",rainbow,16,11,8,0.7428205314285715,"[9, 2, 2]",rainbow,0.7428205314285715
36,"[8, 8, 8]",rainbow,16,11,8,1.4664285042415353,"[8, 8, 8]",rainbow,1.4664285042415353
37,"[8, 8, 7]",rainbow,16,11,8,0.91948518397359,"[8, 8, 7]",rainbow,0.91948518397359
38,"[8, 8, 6]",rainbow,16,11,8,0.7836015037884461,"[8, 8, 6]",rainbow,0.7836015037884461
39,"[8, 8, 5]",rainbow,16,11,8,1.2601854804011932,"[8, 8, 5]",rainbow,1.2601854804011932
40,"[8, 8, 4]",rainbow,16,11,8,1.3070687615548902,"[8, 8, 4]",rainbow,1.3070687615548902
41,"[8, 8, 3]",rainbow,16,11,8,1.214521101515683,"[8, 8, 3]",rainbow,1.214521101515683
42,"[8, 8, 2]",rainbow,16,11,8,1.1548521136762084,"[8, 8, 2]",rainbow,1.1548521136762084
43,"[8, 7, 7]",rainbow,16,11,8,0.9156323001700684,"[8, 7, 7]",rainbow,0.9156323001700684
