,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,4.642328108201934,"[9, 9, 9]",rainbow,4.642328108201934
1,"[9, 9, 8]",rainbow,16,11,8,4.5741575032443444,"[9, 9, 8]",rainbow,4.5741575032443444
2,"[9, 9, 7]",rainbow,15,10,7,4.0896726059866735,"[9, 9, 7]",rainbow,4.0896726059866735
3,"[9, 9, 6]",rainbow,16,11,8,4.206198871395881,"[9, 9, 6]",rainbow,4.206198871395881
4,"[9, 9, 5]",rainbow,16,11,8,3.77507989645309,"[9, 9, 5]",rainbow,3.77507989645309
5,"[9, 9, 4]",rainbow,16,11,8,2.9213474700150384,"[9, 9, 4]",rainbow,2.9213474700150384
6,"[9, 9, 3]",rainbow,16,11,8,2.924699162586466,"[9, 9, 3]",rainbow,2.924699162586466
7,"[9, 9, 2]",rainbow,16,11,8,2.9225931381654138,"[9, 9, 2]",rainbow,2.9225931381654138
8,"[9, 8, 8]",rainbow,16,11,8,5.145961815555554,"[9, 8, 8]",rainbow,5.145961815555554
9,"[9, 8, 7]",rainbow,16,11,8,7.019471430930397,"[9, 8, 7]",rainbow,7.019471430930397
10,"[9, 8, 6]",rainbow,16,11,8,6.2515050707854405,"[9, 8, 6]",rainbow,6.2515050707854405
11,"[9, 8, 5]",rainbow,16,11,8,5.270100048904071,"[9, 8, 5]",rainbow,5.270100048904071
12,"[9, 8, 4]",rainbow,15,10,7,3.4389352282560153,"[9, 8, 4]",rainbow,3.4389352282560153
13,"[9, 8, 3]",rainbow,16,11,8,3.442325170123252,"[9, 8, 3]",rainbow,3.442325170123252
14,"[9, 8, 2]",rainbow,16,11,8,3.4449941267371877,"[9, 8, 2]",rainbow,3.4449941267371877
15,"[9, 7, 7]",rainbow,15,10,7,4.297839102320317,"[9, 7, 7]",rainbow,4.297839102320317
16,"[9, 7, 6]",rainbow,16,11,8,6.251140970689019,"[9, 7, 6]",rainbow,6.251140970689019
17,"[9, 7, 5]",rainbow,16,11,8,5.298236981683979,"[9, 7, 5]",rainbow,5.298236981683979
18,"[9, 7, 4]",rainbow,15,10,7,3.4557697239641647,"[9, 7, 4]",rainbow,3.4557697239641647
19,"[9, 7, 3]",rainbow,16,11,8,3.4540391970884645,"[9, 7, 3]",rainbow,3.4540391970884645
20,"[9, 7, 2]",rainbow,15,10,7,3.444562198152295,"[9, 7, 2]",rainbow,3.444562198152295
21,"[9, 6, 6]",rainbow,16,11,8,4.213774035180055,"[9, 6, 6]",rainbow,4.213774035180055
22,"[9, 6, 5]",rainbow,16,11,8,5.329232792691816,"[9, 6, 5]",rainbow,5.329232792691816
23,"[9, 6, 4]",rainbow,16,11,8,4.000386545678669,"[9, 6, 4]",rainbow,4.000386545678669
24,"[9, 6, 3]",rainbow,16,11,8,4.011803983130194,"[9, 6, 3]",rainbow,4.011803983130194
25,"[9, 6, 2]",rainbow,16,11,8,3.9881329471745137,"[9, 6, 2]",rainbow,3.9881329471745137
26,"[9, 5, 5]",rainbow,16,11,8,3.860350640914127,"[9, 5, 5]",rainbow,3.860350640914127
27,"[9, 5, 4]",rainbow,16,11,8,4.012897637534625,"[9, 5, 4]",rainbow,4.012897637534625
28,"[9, 5, 3]",rainbow,16,11,8,4.018205595013849,"[9, 5, 3]",rainbow,4.018205595013849
29,"[9, 5, 2]",rainbow,16,11,8,3.997907664570636,"[9, 5, 2]",rainbow,3.997907664570636
30,"[9, 4, 4]",rainbow,16,11,8,3.1468180836466164,"[9, 4, 4]",rainbow,3.1468180836466164
31,"[9, 4, 3]",rainbow,16,11,8,3.3185508861439303,"[9, 4, 3]",rainbow,3.3185508861439303
32,"[9, 4, 2]",rainbow,16,11,8,3.3015923822502686,"[9, 4, 2]",rainbow,3.3015923822502686
33,"[9, 3, 3]",rainbow,16,11,8,3.1528229332706763,"[9, 3, 3]",rainbow,3.1528229332706763
34,"[9, 3, 2]",rainbow,16,11,8,3.295263772690655,"[9, 3, 2]",rainbow,3.295263772690655
35,"[9, 2, 2]",rainbow,16,11,8,3.147391255773362,"[9, 2, 2]",rainbow,3.147391255773362
