,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,3,2,2,0.5903949684125638,"[9, 9, 9]",rainbow,0.5903949684125638
1,"[9, 9, 8]",rainbow,1,1,1,2.550324184351364,"[9, 9, 8]",rainbow,2.550324184351364
2,"[9, 9, 7]",rainbow,1,1,1,1.8636445440967937,"[9, 9, 7]",rainbow,1.8636445440967937
3,"[9, 9, 6]",rainbow,8,6,4,1.378098028932433,"[9, 9, 6]",rainbow,1.378098028932433
4,"[9, 9, 5]",rainbow,1,1,1,0.6472723571105439,"[9, 9, 5]",rainbow,0.6472723571105439
5,"[9, 9, 4]",rainbow,2,2,2,0.5474995561887678,"[9, 9, 4]",rainbow,0.5474995561887678
6,"[9, 9, 3]",rainbow,3,2,2,0.5539100886224492,"[9, 9, 3]",rainbow,0.5539100886224492
7,"[9, 9, 2]",rainbow,1,1,1,0.5738208737894249,"[9, 9, 2]",rainbow,0.5738208737894249
8,"[9, 8, 8]",rainbow,8,6,4,2.03788984118357,"[9, 8, 8]",rainbow,2.03788984118357
9,"[9, 8, 7]",rainbow,2,2,2,2.754168005688774,"[9, 8, 7]",rainbow,2.754168005688774
10,"[9, 8, 6]",rainbow,2,2,2,2.731786083917457,"[9, 8, 6]",rainbow,2.731786083917457
11,"[9, 8, 5]",rainbow,1,1,1,0.4694526999343187,"[9, 8, 5]",rainbow,0.4694526999343187
12,"[9, 8, 4]",rainbow,1,1,1,1.4445460441455618,"[9, 8, 4]",rainbow,1.4445460441455618
13,"[9, 8, 3]",rainbow,1,1,1,1.5296270204965812,"[9, 8, 3]",rainbow,1.5296270204965812
14,"[9, 8, 2]",rainbow,1,1,1,1.5427058554005202,"[9, 8, 2]",rainbow,1.5427058554005202
15,"[9, 7, 7]",rainbow,8,6,4,0.2052756009882351,"[9, 7, 7]",rainbow,0.2052756009882351
16,"[9, 7, 6]",rainbow,1,1,1,1.6201546689309918,"[9, 7, 6]",rainbow,1.6201546689309918
17,"[9, 7, 5]",rainbow,2,2,2,0.24029958322076905,"[9, 7, 5]",rainbow,0.24029958322076905
18,"[9, 7, 4]",rainbow,1,1,1,0.10376561934279918,"[9, 7, 4]",rainbow,0.10376561934279918
19,"[9, 7, 3]",rainbow,2,2,2,0.4803057559629335,"[9, 7, 3]",rainbow,0.4803057559629335
20,"[9, 7, 2]",rainbow,1,1,1,0.6625599836905716,"[9, 7, 2]",rainbow,0.6625599836905716
21,"[9, 6, 6]",rainbow,8,6,4,-1.2100331787593597,"[9, 6, 6]",rainbow,-1.2100331787593597
22,"[9, 6, 5]",rainbow,2,2,2,-0.4321718658351658,"[9, 6, 5]",rainbow,-0.4321718658351658
23,"[9, 6, 4]",rainbow,2,2,2,-0.3659973982472108,"[9, 6, 4]",rainbow,-0.3659973982472108
24,"[9, 6, 3]",rainbow,2,2,2,0.03060107033671441,"[9, 6, 3]",rainbow,0.03060107033671441
25,"[9, 6, 2]",rainbow,1,1,1,0.3967090950669363,"[9, 6, 2]",rainbow,0.3967090950669363
26,"[9, 5, 5]",rainbow,3,2,2,-1.493814336570248,"[9, 5, 5]",rainbow,-1.493814336570248
27,"[9, 5, 4]",rainbow,3,2,2,-1.1640963349526512,"[9, 5, 4]",rainbow,-1.1640963349526512
28,"[9, 5, 3]",rainbow,2,2,2,-0.8747217856008376,"[9, 5, 3]",rainbow,-0.8747217856008376
29,"[9, 5, 2]",rainbow,1,1,1,-0.5390936726854749,"[9, 5, 2]",rainbow,-0.5390936726854749
30,"[9, 4, 4]",rainbow,10,7,5,-0.963950300167712,"[9, 4, 4]",rainbow,-0.963950300167712
31,"[9, 4, 3]",rainbow,1,1,1,-0.5360769356880454,"[9, 4, 3]",rainbow,-0.5360769356880454
32,"[9, 4, 2]",rainbow,2,2,2,-0.3133299298740828,"[9, 4, 2]",rainbow,-0.3133299298740828
33,"[9, 3, 3]",rainbow,10,7,5,-0.13847587181122445,"[9, 3, 3]",rainbow,-0.13847587181122445
34,"[9, 3, 2]",rainbow,2,2,2,-0.15172931461966666,"[9, 3, 2]",rainbow,-0.15172931461966666
35,"[9, 2, 2]",rainbow,10,7,5,-0.09371061972170723,"[9, 2, 2]",rainbow,-0.09371061972170723
36,"[8, 8, 8]",rainbow,1,1,1,-0.11768975130895985,"[8, 8, 8]",rainbow,-0.11768975130895985
37,"[8, 8, 7]",rainbow,1,1,1,1.974494323508854,"[8, 8, 7]",rainbow,1.974494323508854
38,"[8, 8, 6]",rainbow,1,1,1,1.7757435833919757,"[8, 8, 6]",rainbow,1.7757435833919757
39,"[8, 8, 5]",rainbow,1,1,1,0.5651634094331058,"[8, 8, 5]",rainbow,0.5651634094331058
40,"[8, 8, 4]",rainbow,2,2,2,0.8558158655315308,"[8, 8, 4]",rainbow,0.8558158655315308
41,"[8, 8, 3]",rainbow,2,2,2,0.470251067381234,"[8, 8, 3]",rainbow,0.470251067381234
42,"[8, 8, 2]",rainbow,10,7,5,0.4751843519463092,"[8, 8, 2]",rainbow,0.4751843519463092
43,"[8, 7, 7]",rainbow,8,6,4,-0.2119506509397892,"[8, 7, 7]",rainbow,-0.2119506509397892
44,"[8, 7, 6]",rainbow,1,1,1,1.768435712652263,"[8, 7, 6]",rainbow,1.768435712652263
45,"[8, 7, 5]",rainbow,2,2,2,0.3426020732068711,"[8, 7, 5]",rainbow,0.3426020732068711
46,"[8, 7, 4]",rainbow,1,1,1,-0.8638588562932115,"[8, 7, 4]",rainbow,-0.8638588562932115
47,"[8, 7, 3]",rainbow,1,1,1,0.7260646696250582,"[8, 7, 3]",rainbow,0.7260646696250582
48,"[8, 7, 2]",rainbow,1,1,1,0.7463684472235395,"[8, 7, 2]",rainbow,0.7463684472235395
49,"[8, 6, 6]",rainbow,8,6,4,-0.5231116780038755,"[8, 6, 6]",rainbow,-0.5231116780038755
50,"[8, 6, 5]",rainbow,1,1,1,0.04422126634958312,"[8, 6, 5]",rainbow,0.04422126634958312
51,"[8, 6, 4]",rainbow,1,1,1,0.31249913010527863,"[8, 6, 4]",rainbow,0.31249913010527863
52,"[8, 6, 3]",rainbow,2,2,2,0.4712400850923854,"[8, 6, 3]",rainbow,0.4712400850923854
53,"[8, 6, 2]",rainbow,1,1,1,0.4590173072379723,"[8, 6, 2]",rainbow,0.4590173072379723
54,"[8, 5, 5]",rainbow,1,1,1,-1.5300118852528088,"[8, 5, 5]",rainbow,-1.5300118852528088
55,"[8, 5, 4]",rainbow,1,1,1,-2.438733927366292,"[8, 5, 4]",rainbow,-2.438733927366292
56,"[8, 5, 3]",rainbow,3,2,2,-0.7052718583746341,"[8, 5, 3]",rainbow,-0.7052718583746341
57,"[8, 5, 2]",rainbow,1,1,1,-0.7138179091057407,"[8, 5, 2]",rainbow,-0.7138179091057407
58,"[8, 4, 4]",rainbow,2,2,2,-0.5986029623964905,"[8, 4, 4]",rainbow,-0.5986029623964905
59,"[8, 4, 3]",rainbow,1,1,1,-0.2324003498922273,"[8, 4, 3]",rainbow,-0.2324003498922273
60,"[8, 4, 2]",rainbow,1,1,1,-0.22819247483604715,"[8, 4, 2]",rainbow,-0.22819247483604715
61,"[8, 3, 3]",rainbow,10,7,5,-0.06708856345581604,"[8, 3, 3]",rainbow,-0.06708856345581604
62,"[8, 3, 2]",rainbow,2,2,2,-0.06466958780443452,"[8, 3, 2]",rainbow,-0.06466958780443452
63,"[8, 2, 2]",rainbow,10,7,5,-0.06074962117825744,"[8, 2, 2]",rainbow,-0.06074962117825744
64,"[7, 7, 7]",rainbow,8,6,4,-2.9315764150530423,"[7, 7, 7]",rainbow,-2.9315764150530423
65,"[7, 7, 6]",rainbow,1,1,1,-0.9869716883650286,"[7, 7, 6]",rainbow,-0.9869716883650286
66,"[7, 7, 5]",rainbow,2,2,2,-2.86579628138363,"[7, 7, 5]",rainbow,-2.86579628138363
67,"[7, 7, 4]",rainbow,1,1,1,-2.524066334642858,"[7, 7, 4]",rainbow,-2.524066334642858
68,"[7, 7, 3]",rainbow,1,1,1,-2.0213855182306464,"[7, 7, 3]",rainbow,-2.0213855182306464
69,"[7, 7, 2]",rainbow,1,1,1,-2.8322226989983528,"[7, 7, 2]",rainbow,-2.8322226989983528
70,"[7, 6, 6]",rainbow,1,1,1,-1.3120296497107442,"[7, 6, 6]",rainbow,-1.3120296497107442
71,"[7, 6, 5]",rainbow,1,1,1,2.202083445931497,"[7, 6, 5]",rainbow,2.202083445931497
72,"[7, 6, 4]",rainbow,1,1,1,-0.9258898419421502,"[7, 6, 4]",rainbow,-0.9258898419421502
73,"[7, 6, 3]",rainbow,1,1,1,-1.8896313815253207,"[7, 6, 3]",rainbow,-1.8896313815253207
74,"[7, 6, 2]",rainbow,1,1,1,-0.3059862255681817,"[7, 6, 2]",rainbow,-0.3059862255681817
75,"[7, 5, 5]",rainbow,1,1,1,-2.7173470803621735,"[7, 5, 5]",rainbow,-2.7173470803621735
76,"[7, 5, 4]",rainbow,1,1,1,-2.602489449062344,"[7, 5, 4]",rainbow,-2.602489449062344
77,"[7, 5, 3]",rainbow,1,1,1,-1.897627422857144,"[7, 5, 3]",rainbow,-1.897627422857144
78,"[7, 5, 2]",rainbow,1,1,1,-2.4213458428571424,"[7, 5, 2]",rainbow,-2.4213458428571424
79,"[7, 4, 4]",rainbow,1,1,1,-2.138006958630952,"[7, 4, 4]",rainbow,-2.138006958630952
80,"[7, 4, 3]",rainbow,2,2,2,-3.072676528163265,"[7, 4, 3]",rainbow,-3.072676528163265
81,"[7, 4, 2]",rainbow,2,2,2,-1.9149213235215363,"[7, 4, 2]",rainbow,-1.9149213235215363
82,"[7, 3, 3]",rainbow,2,2,2,-1.2330882766144813,"[7, 3, 3]",rainbow,-1.2330882766144813
83,"[7, 3, 2]",rainbow,2,2,2,-1.3884466648532292,"[7, 3, 2]",rainbow,-1.3884466648532292
84,"[7, 2, 2]",rainbow,1,1,1,-2.0280693780821912,"[7, 2, 2]",rainbow,-2.0280693780821912
85,"[6, 6, 6]",rainbow,8,6,4,-2.9532359445843563,"[6, 6, 6]",rainbow,-2.9532359445843563
86,"[6, 6, 5]",rainbow,1,1,1,-2.9481190972570537,"[6, 6, 5]",rainbow,-2.9481190972570537
87,"[6, 6, 4]",rainbow,8,6,4,-3.1357668160691308,"[6, 6, 4]",rainbow,-3.1357668160691308
88,"[6, 6, 3]",rainbow,8,6,4,-2.632429648113071,"[6, 6, 3]",rainbow,-2.632429648113071
89,"[6, 6, 2]",rainbow,8,6,4,-2.436681145353659,"[6, 6, 2]",rainbow,-2.436681145353659
90,"[6, 5, 5]",rainbow,2,2,2,-2.6039216221327965,"[6, 5, 5]",rainbow,-2.6039216221327965
91,"[6, 5, 4]",rainbow,2,2,2,-2.1273287181488927,"[6, 5, 4]",rainbow,-2.1273287181488927
92,"[6, 5, 3]",rainbow,1,1,1,-2.0695298443731778,"[6, 5, 3]",rainbow,-2.0695298443731778
93,"[6, 5, 2]",rainbow,2,2,2,-2.188855489575289,"[6, 5, 2]",rainbow,-2.188855489575289
94,"[6, 4, 4]",rainbow,8,6,4,-2.3276124965034963,"[6, 4, 4]",rainbow,-2.3276124965034963
95,"[6, 4, 3]",rainbow,2,2,2,-2.1609528653585413,"[6, 4, 3]",rainbow,-2.1609528653585413
96,"[6, 4, 2]",rainbow,1,1,1,-1.60226544378098,"[6, 4, 2]",rainbow,-1.60226544378098
97,"[6, 3, 3]",rainbow,8,6,4,-1.4456435262266003,"[6, 3, 3]",rainbow,-1.4456435262266003
98,"[6, 3, 2]",rainbow,1,1,1,-2.9444802334220315,"[6, 3, 2]",rainbow,-2.9444802334220315
99,"[6, 2, 2]",rainbow,8,6,4,-1.2338682131822662,"[6, 2, 2]",rainbow,-1.2338682131822662
100,"[5, 5, 5]",rainbow,8,6,4,-3.063041372288277,"[5, 5, 5]",rainbow,-3.063041372288277
101,"[5, 5, 4]",rainbow,8,6,4,-2.955567209851622,"[5, 5, 4]",rainbow,-2.955567209851622
102,"[5, 5, 3]",rainbow,10,7,5,-2.771902218262616,"[5, 5, 3]",rainbow,-2.771902218262616
103,"[5, 5, 2]",rainbow,10,7,5,-3.0141167248074265,"[5, 5, 2]",rainbow,-3.0141167248074265
104,"[5, 4, 4]",rainbow,10,7,5,-2.48960963615864,"[5, 4, 4]",rainbow,-2.48960963615864
105,"[5, 4, 3]",rainbow,2,2,2,-4.203633471428572,"[5, 4, 3]",rainbow,-4.203633471428572
106,"[5, 4, 2]",rainbow,1,1,1,-2.9916139944288034,"[5, 4, 2]",rainbow,-2.9916139944288034
107,"[5, 3, 3]",rainbow,10,7,5,-1.8556190868387643,"[5, 3, 3]",rainbow,-1.8556190868387643
108,"[5, 3, 2]",rainbow,1,1,1,-2.665439533546451,"[5, 3, 2]",rainbow,-2.665439533546451
109,"[5, 2, 2]",rainbow,10,7,5,-2.2975752588159613,"[5, 2, 2]",rainbow,-2.2975752588159613
110,"[4, 4, 4]",rainbow,10,7,5,-2.329132440039653,"[4, 4, 4]",rainbow,-2.329132440039653
111,"[4, 4, 3]",rainbow,10,7,5,-1.9183395394705955,"[4, 4, 3]",rainbow,-1.9183395394705955
112,"[4, 4, 2]",rainbow,10,7,5,-1.8025678303890957,"[4, 4, 2]",rainbow,-1.8025678303890957
113,"[4, 3, 3]",rainbow,10,7,5,-1.4767330905353604,"[4, 3, 3]",rainbow,-1.4767330905353604
114,"[4, 3, 2]",rainbow,1,1,1,-4.395254395453222,"[4, 3, 2]",rainbow,-4.395254395453222
115,"[4, 2, 2]",rainbow,10,7,5,-1.3901415185617363,"[4, 2, 2]",rainbow,-1.3901415185617363
116,"[3, 3, 3]",rainbow,10,7,5,-1.5148028000538043,"[3, 3, 3]",rainbow,-1.5148028000538043
117,"[3, 3, 2]",rainbow,10,7,5,-0.9448060162049172,"[3, 3, 2]",rainbow,-0.9448060162049172
118,"[3, 2, 2]",rainbow,10,7,5,-1.0214282119759683,"[3, 2, 2]",rainbow,-1.0214282119759683
119,"[2, 2, 2]",rainbow,10,7,5,-1.4014721716936651,"[2, 2, 2]",rainbow,-1.4014721716936651
120,"[14, 9, 9]",rainbow,8,6,4,0.5295354671959913,"[14, 9, 9]",rainbow,0.5295354671959913
121,"[14, 9, 8]",rainbow,1,1,1,1.4526273372944896,"[14, 9, 8]",rainbow,1.4526273372944896
122,"[14, 9, 7]",rainbow,8,6,4,1.0407536357953244,"[14, 9, 7]",rainbow,1.0407536357953244
123,"[14, 9, 6]",rainbow,10,7,5,0.4407417387487042,"[14, 9, 6]",rainbow,0.4407417387487042
124,"[14, 9, 5]",rainbow,10,7,5,-0.3839572084566552,"[14, 9, 5]",rainbow,-0.3839572084566552
125,"[14, 9, 4]",rainbow,10,7,5,-0.2975660844960349,"[14, 9, 4]",rainbow,-0.2975660844960349
126,"[14, 9, 3]",rainbow,10,7,5,-0.32480956053869203,"[14, 9, 3]",rainbow,-0.32480956053869203
127,"[14, 9, 2]",rainbow,10,7,5,-0.2659492243333346,"[14, 9, 2]",rainbow,-0.2659492243333346
128,"[14, 8, 8]",rainbow,8,6,4,0.527582230288991,"[14, 8, 8]",rainbow,0.527582230288991
129,"[14, 8, 7]",rainbow,1,1,1,1.0279913328571415,"[14, 8, 7]",rainbow,1.0279913328571415
130,"[14, 8, 6]",rainbow,2,2,2,1.0193630534399991,"[14, 8, 6]",rainbow,1.0193630534399991
131,"[14, 8, 5]",rainbow,1,1,1,-0.4189425536755865,"[14, 8, 5]",rainbow,-0.4189425536755865
132,"[14, 8, 4]",rainbow,1,1,1,-0.15591813966784385,"[14, 8, 4]",rainbow,-0.15591813966784385
133,"[14, 8, 3]",rainbow,2,2,2,-0.050953719041015484,"[14, 8, 3]",rainbow,-0.050953719041015484
134,"[14, 8, 2]",rainbow,2,2,2,-0.05186382959071184,"[14, 8, 2]",rainbow,-0.05186382959071184
135,"[14, 7, 7]",rainbow,2,2,2,-1.3711122753975922,"[14, 7, 7]",rainbow,-1.3711122753975922
136,"[14, 7, 6]",rainbow,1,1,1,-0.01714745646341452,"[14, 7, 6]",rainbow,-0.01714745646341452
137,"[14, 7, 5]",rainbow,2,2,2,-1.0809768999152995,"[14, 7, 5]",rainbow,-1.0809768999152995
138,"[14, 7, 4]",rainbow,1,1,1,-1.0530763282262137,"[14, 7, 4]",rainbow,-1.0530763282262137
139,"[14, 7, 3]",rainbow,2,2,2,-0.896856269985542,"[14, 7, 3]",rainbow,-0.896856269985542
140,"[14, 7, 2]",rainbow,2,2,2,-0.5670406390365833,"[14, 7, 2]",rainbow,-0.5670406390365833
141,"[14, 6, 6]",rainbow,10,7,5,-1.2172900192138156,"[14, 6, 6]",rainbow,-1.2172900192138156
142,"[14, 6, 5]",rainbow,1,1,1,-1.25957444292441,"[14, 6, 5]",rainbow,-1.25957444292441
143,"[14, 6, 4]",rainbow,10,7,5,-0.3600673645399388,"[14, 6, 4]",rainbow,-0.3600673645399388
144,"[14, 6, 3]",rainbow,10,7,5,-0.3879249338093452,"[14, 6, 3]",rainbow,-0.3879249338093452
145,"[14, 6, 2]",rainbow,10,7,5,-0.054233296312947835,"[14, 6, 2]",rainbow,-0.054233296312947835
146,"[14, 5, 5]",rainbow,10,7,5,-1.6674412468904458,"[14, 5, 5]",rainbow,-1.6674412468904458
147,"[14, 5, 4]",rainbow,8,6,4,-2.4596655412100104,"[14, 5, 4]",rainbow,-2.4596655412100104
148,"[14, 5, 3]",rainbow,8,6,4,-1.6022608667318163,"[14, 5, 3]",rainbow,-1.6022608667318163
149,"[14, 5, 2]",rainbow,10,7,5,-1.395261306925614,"[14, 5, 2]",rainbow,-1.395261306925614
150,"[14, 4, 4]",rainbow,10,7,5,-0.7656127971069773,"[14, 4, 4]",rainbow,-0.7656127971069773
151,"[14, 4, 3]",rainbow,8,6,4,-1.4860210373457243,"[14, 4, 3]",rainbow,-1.4860210373457243
152,"[14, 4, 2]",rainbow,8,6,4,-1.0166531246429231,"[14, 4, 2]",rainbow,-1.0166531246429231
153,"[14, 3, 3]",rainbow,10,7,5,0.012148584586155269,"[14, 3, 3]",rainbow,0.012148584586155269
154,"[14, 3, 2]",rainbow,8,6,4,-2.014654118432522,"[14, 3, 2]",rainbow,-2.014654118432522
155,"[14, 2, 2]",rainbow,10,7,5,-0.002918285760720465,"[14, 2, 2]",rainbow,-0.002918285760720465
156,"[14, 14, 9]",rainbow,1,1,1,0.4739988478443515,"[14, 14, 9]",rainbow,0.4739988478443515
157,"[14, 14, 8]",rainbow,2,2,2,0.2540610601092792,"[14, 14, 8]",rainbow,0.2540610601092792
158,"[14, 14, 7]",rainbow,2,2,2,-1.025435927456792,"[14, 14, 7]",rainbow,-1.025435927456792
159,"[14, 14, 6]",rainbow,10,7,5,0.33378472458190644,"[14, 14, 6]",rainbow,0.33378472458190644
160,"[14, 14, 5]",rainbow,10,7,5,-0.5713366651701455,"[14, 14, 5]",rainbow,-0.5713366651701455
161,"[14, 14, 4]",rainbow,10,7,5,-0.7511972910879642,"[14, 14, 4]",rainbow,-0.7511972910879642
162,"[14, 14, 3]",rainbow,10,7,5,-0.5554120422441826,"[14, 14, 3]",rainbow,-0.5554120422441826
163,"[14, 14, 2]",rainbow,10,7,5,-0.5159242116625129,"[14, 14, 2]",rainbow,-0.5159242116625129
164,"[14, 14, 14]",rainbow,8,6,4,-1.1593923405469655,"[14, 14, 14]",rainbow,-1.1593923405469655
165,"[14, 14, 13]",rainbow,1,1,1,-0.870482416094982,"[14, 14, 13]",rainbow,-0.870482416094982
166,"[14, 14, 12]",rainbow,1,1,1,-2.5153479002380315,"[14, 14, 12]",rainbow,-2.5153479002380315
167,"[14, 14, 11]",rainbow,1,1,1,-1.8130754830469649,"[14, 14, 11]",rainbow,-1.8130754830469649
168,"[14, 14, 10]",rainbow,1,1,1,1.2933926013982928,"[14, 14, 10]",rainbow,1.2933926013982928
169,"[14, 13, 9]",rainbow,1,1,1,-0.4698305749146332,"[14, 13, 9]",rainbow,-0.4698305749146332
170,"[14, 13, 8]",rainbow,1,1,1,-0.7924712045120268,"[14, 13, 8]",rainbow,-0.7924712045120268
171,"[14, 13, 7]",rainbow,1,1,1,-1.4287618150034236,"[14, 13, 7]",rainbow,-1.4287618150034236
172,"[14, 13, 6]",rainbow,1,1,1,-1.3317030817998117,"[14, 13, 6]",rainbow,-1.3317030817998117
173,"[14, 13, 5]",rainbow,1,1,1,-2.4013361311622443,"[14, 13, 5]",rainbow,-2.4013361311622443
174,"[14, 13, 4]",rainbow,1,1,1,-2.4821645683917457,"[14, 13, 4]",rainbow,-2.4821645683917457
175,"[14, 13, 3]",rainbow,1,1,1,-2.506728294761373,"[14, 13, 3]",rainbow,-2.506728294761373
176,"[14, 13, 2]",rainbow,1,1,1,-2.460597037316941,"[14, 13, 2]",rainbow,-2.460597037316941
177,"[14, 13, 13]",rainbow,16,11,8,-1.4596846655025104,"[14, 13, 13]",rainbow,-1.4596846655025104
178,"[14, 13, 12]",rainbow,2,2,2,-3.4911179746471785,"[14, 13, 12]",rainbow,-3.4911179746471785
179,"[14, 13, 11]",rainbow,2,2,2,-1.0524423844624653,"[14, 13, 11]",rainbow,-1.0524423844624653
180,"[14, 13, 10]",rainbow,2,2,2,-4.386630632418964,"[14, 13, 10]",rainbow,-4.386630632418964
181,"[14, 12, 9]",rainbow,1,1,1,-0.540681903858342,"[14, 12, 9]",rainbow,-0.540681903858342
182,"[14, 12, 8]",rainbow,1,1,1,-0.6552905952000013,"[14, 12, 8]",rainbow,-0.6552905952000013
183,"[14, 12, 7]",rainbow,1,1,1,-1.0825796909881438,"[14, 12, 7]",rainbow,-1.0825796909881438
184,"[14, 12, 6]",rainbow,1,1,1,-0.9643589277170213,"[14, 12, 6]",rainbow,-0.9643589277170213
185,"[14, 12, 5]",rainbow,1,1,1,-2.142580657302632,"[14, 12, 5]",rainbow,-2.142580657302632
186,"[14, 12, 4]",rainbow,1,1,1,-2.2764487805217413,"[14, 12, 4]",rainbow,-2.2764487805217413
187,"[14, 12, 3]",rainbow,1,1,1,-2.400454218801727,"[14, 12, 3]",rainbow,-2.400454218801727
188,"[14, 12, 2]",rainbow,1,1,1,-2.3626695294892266,"[14, 12, 2]",rainbow,-2.3626695294892266
189,"[14, 12, 12]",rainbow,16,11,8,-2.173102039289513,"[14, 12, 12]",rainbow,-2.173102039289513
190,"[14, 12, 11]",rainbow,1,1,1,-1.3453851414665228,"[14, 12, 11]",rainbow,-1.3453851414665228
191,"[14, 12, 10]",rainbow,1,1,1,-4.324972419816112,"[14, 12, 10]",rainbow,-4.324972419816112
192,"[14, 11, 9]",rainbow,1,1,1,-0.9656289241324716,"[14, 11, 9]",rainbow,-0.9656289241324716
193,"[14, 11, 8]",rainbow,1,1,1,-0.9566095159009074,"[14, 11, 8]",rainbow,-0.9566095159009074
194,"[14, 11, 7]",rainbow,1,1,1,-1.1326368259071735,"[14, 11, 7]",rainbow,-1.1326368259071735
195,"[14, 11, 6]",rainbow,1,1,1,-1.475069655078474,"[14, 11, 6]",rainbow,-1.475069655078474
196,"[14, 11, 5]",rainbow,1,1,1,-2.620318894123213,"[14, 11, 5]",rainbow,-2.620318894123213
197,"[14, 11, 4]",rainbow,1,1,1,-2.633477348683701,"[14, 11, 4]",rainbow,-2.633477348683701
198,"[14, 11, 3]",rainbow,1,1,1,-2.520042438435305,"[14, 11, 3]",rainbow,-2.520042438435305
199,"[14, 11, 2]",rainbow,1,1,1,-2.461852254580404,"[14, 11, 2]",rainbow,-2.461852254580404
200,"[14, 11, 11]",rainbow,1,1,1,-2.244361319058888,"[14, 11, 11]",rainbow,-2.244361319058888
201,"[14, 11, 10]",rainbow,1,1,1,-5.928970733044608,"[14, 11, 10]",rainbow,-5.928970733044608
202,"[14, 10, 9]",rainbow,1,1,1,1.1615538608677676,"[14, 10, 9]",rainbow,1.1615538608677676
203,"[14, 10, 8]",rainbow,1,1,1,1.266641128430271,"[14, 10, 8]",rainbow,1.266641128430271
204,"[14, 10, 7]",rainbow,1,1,1,0.5977683296733334,"[14, 10, 7]",rainbow,0.5977683296733334
205,"[14, 10, 6]",rainbow,1,1,1,0.5748300422520993,"[14, 10, 6]",rainbow,0.5748300422520993
206,"[14, 10, 5]",rainbow,2,2,2,-0.8089768600840341,"[14, 10, 5]",rainbow,-0.8089768600840341
207,"[14, 10, 4]",rainbow,1,1,1,-0.8194251220833334,"[14, 10, 4]",rainbow,-0.8194251220833334
208,"[14, 10, 3]",rainbow,2,2,2,-0.7303467793388451,"[14, 10, 3]",rainbow,-0.7303467793388451
209,"[14, 10, 2]",rainbow,2,2,2,-0.6681883574380187,"[14, 10, 2]",rainbow,-0.6681883574380187
210,"[14, 10, 10]",rainbow,1,1,1,0.5642773322972983,"[14, 10, 10]",rainbow,0.5642773322972983
211,"[13, 9, 9]",rainbow,16,11,8,2.218132156082113,"[13, 9, 9]",rainbow,2.218132156082113
212,"[13, 9, 8]",rainbow,10,7,5,2.4637135773561067,"[13, 9, 8]",rainbow,2.4637135773561067
213,"[13, 9, 7]",rainbow,8,6,4,1.4255744259403793,"[13, 9, 7]",rainbow,1.4255744259403793
214,"[13, 9, 6]",rainbow,10,7,5,1.0089113688314535,"[13, 9, 6]",rainbow,1.0089113688314535
215,"[13, 9, 5]",rainbow,10,7,5,0.4782559295662854,"[13, 9, 5]",rainbow,0.4782559295662854
216,"[13, 9, 4]",rainbow,10,7,5,0.913542254488888,"[13, 9, 4]",rainbow,0.913542254488888
217,"[13, 9, 3]",rainbow,10,7,5,1.1694724820449822,"[13, 9, 3]",rainbow,1.1694724820449822
218,"[13, 9, 2]",rainbow,10,7,5,1.2148722611314886,"[13, 9, 2]",rainbow,1.2148722611314886
219,"[13, 8, 8]",rainbow,8,6,4,1.9044918280437944,"[13, 8, 8]",rainbow,1.9044918280437944
220,"[13, 8, 7]",rainbow,15,10,7,1.2640392366799134,"[13, 8, 7]",rainbow,1.2640392366799134
221,"[13, 8, 6]",rainbow,10,7,5,1.1509946156652358,"[13, 8, 6]",rainbow,1.1509946156652358
222,"[13, 8, 5]",rainbow,10,7,5,0.30234230288630604,"[13, 8, 5]",rainbow,0.30234230288630604
223,"[13, 8, 4]",rainbow,10,7,5,0.8059976665347125,"[13, 8, 4]",rainbow,0.8059976665347125
224,"[13, 8, 3]",rainbow,10,7,5,1.2976039284857983,"[13, 8, 3]",rainbow,1.2976039284857983
