,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,1.9813033518935232,"[9, 9, 9]",rainbow,1.9813033518935232
1,"[9, 9, 8]",rainbow,16,11,8,1.3851181901563208,"[9, 9, 8]",rainbow,1.3851181901563208
2,"[9, 9, 7]",rainbow,16,11,8,1.0200091535416416,"[9, 9, 7]",rainbow,1.0200091535416416
3,"[9, 9, 6]",rainbow,15,10,7,0.8494663452504045,"[9, 9, 6]",rainbow,0.8494663452504045
4,"[9, 9, 5]",rainbow,15,10,7,0.597135239188604,"[9, 9, 5]",rainbow,0.597135239188604
5,"[9, 9, 4]",rainbow,10,7,5,0.3674451188523806,"[9, 9, 4]",rainbow,0.3674451188523806
6,"[9, 9, 3]",rainbow,10,7,5,0.20839403812695856,"[9, 9, 3]",rainbow,0.20839403812695856
7,"[9, 9, 2]",rainbow,8,6,4,0.1789806261607736,"[9, 9, 2]",rainbow,0.1789806261607736
8,"[9, 8, 8]",rainbow,16,11,8,1.1984182192071509,"[9, 8, 8]",rainbow,1.1984182192071509
9,"[9, 8, 7]",rainbow,2,2,2,0.17514264795313722,"[9, 8, 7]",rainbow,0.17514264795313722
10,"[9, 8, 6]",rainbow,10,7,5,0.1390881762991629,"[9, 8, 6]",rainbow,0.1390881762991629
11,"[9, 8, 5]",rainbow,8,6,4,0.13331195950624253,"[9, 8, 5]",rainbow,0.13331195950624253
12,"[9, 8, 4]",rainbow,8,6,4,-0.04846885096573533,"[9, 8, 4]",rainbow,-0.04846885096573533
13,"[9, 8, 3]",rainbow,2,2,2,-0.0797661886326553,"[9, 8, 3]",rainbow,-0.0797661886326553
14,"[9, 8, 2]",rainbow,2,2,2,-0.06790104111824208,"[9, 8, 2]",rainbow,-0.06790104111824208
15,"[9, 7, 7]",rainbow,16,11,8,1.2124666366663772,"[9, 7, 7]",rainbow,1.2124666366663772
16,"[9, 7, 6]",rainbow,10,7,5,0.2872977072894651,"[9, 7, 6]",rainbow,0.2872977072894651
17,"[9, 7, 5]",rainbow,10,7,5,0.14241259472265988,"[9, 7, 5]",rainbow,0.14241259472265988
18,"[9, 7, 4]",rainbow,10,7,5,0.13724366501310292,"[9, 7, 4]",rainbow,0.13724366501310292
19,"[9, 7, 3]",rainbow,1,1,1,-0.06656323671869058,"[9, 7, 3]",rainbow,-0.06656323671869058
20,"[9, 7, 2]",rainbow,1,1,1,-0.07137013057449026,"[9, 7, 2]",rainbow,-0.07137013057449026
21,"[9, 6, 6]",rainbow,15,10,7,1.300083497997293,"[9, 6, 6]",rainbow,1.300083497997293
22,"[9, 6, 5]",rainbow,2,2,2,-0.5825151235840096,"[9, 6, 5]",rainbow,-0.5825151235840096
23,"[9, 6, 4]",rainbow,10,7,5,0.33396886404830456,"[9, 6, 4]",rainbow,0.33396886404830456
24,"[9, 6, 3]",rainbow,8,6,4,0.1905919179856554,"[9, 6, 3]",rainbow,0.1905919179856554
25,"[9, 6, 2]",rainbow,1,1,1,0.1753461290522544,"[9, 6, 2]",rainbow,0.1753461290522544
26,"[9, 5, 5]",rainbow,10,7,5,1.0726826241387823,"[9, 5, 5]",rainbow,1.0726826241387823
27,"[9, 5, 4]",rainbow,10,7,5,0.3377049633009807,"[9, 5, 4]",rainbow,0.3377049633009807
28,"[9, 5, 3]",rainbow,1,1,1,0.25557625736172834,"[9, 5, 3]",rainbow,0.25557625736172834
29,"[9, 5, 2]",rainbow,1,1,1,0.2692646555415961,"[9, 5, 2]",rainbow,0.2692646555415961
30,"[9, 4, 4]",rainbow,10,7,5,0.6305815844144911,"[9, 4, 4]",rainbow,0.6305815844144911
31,"[9, 4, 3]",rainbow,1,1,1,0.002465467030401292,"[9, 4, 3]",rainbow,0.002465467030401292
32,"[9, 4, 2]",rainbow,1,1,1,-0.02329910833375648,"[9, 4, 2]",rainbow,-0.02329910833375648
33,"[9, 3, 3]",rainbow,10,7,5,0.3852697118269976,"[9, 3, 3]",rainbow,0.3852697118269976
34,"[9, 3, 2]",rainbow,1,1,1,-0.06372406323365748,"[9, 3, 2]",rainbow,-0.06372406323365748
35,"[9, 2, 2]",rainbow,8,6,4,0.3060796217436353,"[9, 2, 2]",rainbow,0.3060796217436353
36,"[8, 8, 8]",rainbow,16,11,8,1.02355377732446,"[8, 8, 8]",rainbow,1.02355377732446
37,"[8, 8, 7]",rainbow,16,11,8,0.5318780421421021,"[8, 8, 7]",rainbow,0.5318780421421021
38,"[8, 8, 6]",rainbow,16,11,8,0.3948037806157557,"[8, 8, 6]",rainbow,0.3948037806157557
39,"[8, 8, 5]",rainbow,16,11,8,-0.060337686152659165,"[8, 8, 5]",rainbow,-0.060337686152659165
40,"[8, 8, 4]",rainbow,1,1,1,-0.3062689009780412,"[8, 8, 4]",rainbow,-0.3062689009780412
41,"[8, 8, 3]",rainbow,1,1,1,-0.3510847206769123,"[8, 8, 3]",rainbow,-0.3510847206769123
42,"[8, 8, 2]",rainbow,1,1,1,-0.3422513591295593,"[8, 8, 2]",rainbow,-0.3422513591295593
43,"[8, 7, 7]",rainbow,16,11,8,0.8058592206046609,"[8, 7, 7]",rainbow,0.8058592206046609
44,"[8, 7, 6]",rainbow,8,6,4,-0.03463886955077035,"[8, 7, 6]",rainbow,-0.03463886955077035
45,"[8, 7, 5]",rainbow,1,1,1,-0.6805809146906254,"[8, 7, 5]",rainbow,-0.6805809146906254
46,"[8, 7, 4]",rainbow,1,1,1,-0.5866463105650798,"[8, 7, 4]",rainbow,-0.5866463105650798
47,"[8, 7, 3]",rainbow,1,1,1,-0.4187458591594713,"[8, 7, 3]",rainbow,-0.4187458591594713
48,"[8, 7, 2]",rainbow,1,1,1,-0.3885236106113423,"[8, 7, 2]",rainbow,-0.3885236106113423
