,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,2.073426401505972,"[9, 9, 9]",rainbow,2.073426401505972
1,"[9, 9, 8]",rainbow,16,11,8,2.0060370521441846,"[9, 9, 8]",rainbow,2.0060370521441846
2,"[9, 9, 7]",rainbow,16,11,8,1.9778446348880507,"[9, 9, 7]",rainbow,1.9778446348880507
3,"[9, 9, 6]",rainbow,16,11,8,1.9062413965745344,"[9, 9, 6]",rainbow,1.9062413965745344
4,"[9, 9, 5]",rainbow,16,11,8,1.8774919408254749,"[9, 9, 5]",rainbow,1.8774919408254749
5,"[9, 9, 4]",rainbow,16,11,8,1.8907887054218848,"[9, 9, 4]",rainbow,1.8907887054218848
6,"[9, 9, 3]",rainbow,16,11,8,1.9169898545189048,"[9, 9, 3]",rainbow,1.9169898545189048
7,"[9, 9, 2]",rainbow,16,11,8,1.975775425993169,"[9, 9, 2]",rainbow,1.975775425993169
8,"[9, 8, 8]",rainbow,16,11,8,2.009597333814336,"[9, 8, 8]",rainbow,2.009597333814336
9,"[9, 8, 7]",rainbow,16,11,8,2.0089471146571802,"[9, 8, 7]",rainbow,2.0089471146571802
10,"[9, 8, 6]",rainbow,16,11,8,1.9870415395475785,"[9, 8, 6]",rainbow,1.9870415395475785
11,"[9, 8, 5]",rainbow,16,11,8,1.9593210452829772,"[9, 8, 5]",rainbow,1.9593210452829772
12,"[9, 8, 4]",rainbow,16,11,8,1.8464719768722468,"[9, 8, 4]",rainbow,1.8464719768722468
13,"[9, 8, 3]",rainbow,16,11,8,1.8755093982686493,"[9, 8, 3]",rainbow,1.8755093982686493
14,"[9, 8, 2]",rainbow,16,11,8,1.9315010811585616,"[9, 8, 2]",rainbow,1.9315010811585616
15,"[9, 7, 7]",rainbow,16,11,8,2.0378771394109614,"[9, 7, 7]",rainbow,2.0378771394109614
16,"[9, 7, 6]",rainbow,16,11,8,1.9211349652637444,"[9, 7, 6]",rainbow,1.9211349652637444
17,"[9, 7, 5]",rainbow,16,11,8,1.830333457743095,"[9, 7, 5]",rainbow,1.830333457743095
18,"[9, 7, 4]",rainbow,16,11,8,1.7975160473642824,"[9, 7, 4]",rainbow,1.7975160473642824
19,"[9, 7, 3]",rainbow,16,11,8,1.8305416080231125,"[9, 7, 3]",rainbow,1.8305416080231125
20,"[9, 7, 2]",rainbow,16,11,8,1.900471679681851,"[9, 7, 2]",rainbow,1.900471679681851
21,"[9, 6, 6]",rainbow,16,11,8,2.062385755082448,"[9, 6, 6]",rainbow,2.062385755082448
22,"[9, 6, 5]",rainbow,16,11,8,1.8331884584098352,"[9, 6, 5]",rainbow,1.8331884584098352
23,"[9, 6, 4]",rainbow,16,11,8,1.8259036969440088,"[9, 6, 4]",rainbow,1.8259036969440088
24,"[9, 6, 3]",rainbow,16,11,8,1.825441932365771,"[9, 6, 3]",rainbow,1.825441932365771
25,"[9, 6, 2]",rainbow,16,11,8,1.8861171570406703,"[9, 6, 2]",rainbow,1.8861171570406703
26,"[9, 5, 5]",rainbow,16,11,8,2.0272954032770656,"[9, 5, 5]",rainbow,2.0272954032770656
27,"[9, 5, 4]",rainbow,16,11,8,1.8355639417181544,"[9, 5, 4]",rainbow,1.8355639417181544
28,"[9, 5, 3]",rainbow,16,11,8,1.8737890419842995,"[9, 5, 3]",rainbow,1.8737890419842995
29,"[9, 5, 2]",rainbow,16,11,8,1.8899835714884192,"[9, 5, 2]",rainbow,1.8899835714884192
30,"[9, 4, 4]",rainbow,16,11,8,2.050004978958785,"[9, 4, 4]",rainbow,2.050004978958785
31,"[9, 4, 3]",rainbow,16,11,8,1.9633179481641476,"[9, 4, 3]",rainbow,1.9633179481641476
32,"[9, 4, 2]",rainbow,16,11,8,1.9712996835479264,"[9, 4, 2]",rainbow,1.9712996835479264
33,"[9, 3, 3]",rainbow,16,11,8,2.024284519073196,"[9, 3, 3]",rainbow,2.024284519073196
34,"[9, 3, 2]",rainbow,16,11,8,2.0337877763002368,"[9, 3, 2]",rainbow,2.0337877763002368
35,"[9, 2, 2]",rainbow,16,11,8,2.0620851602741737,"[9, 2, 2]",rainbow,2.0620851602741737
36,"[8, 8, 8]",rainbow,16,11,8,1.9279088359476848,"[8, 8, 8]",rainbow,1.9279088359476848
37,"[8, 8, 7]",rainbow,16,11,8,1.9115985493724463,"[8, 8, 7]",rainbow,1.9115985493724463
38,"[8, 8, 6]",rainbow,16,11,8,1.8807644132924517,"[8, 8, 6]",rainbow,1.8807644132924517
39,"[8, 8, 5]",rainbow,16,11,8,1.747950056821883,"[8, 8, 5]",rainbow,1.747950056821883
40,"[8, 8, 4]",rainbow,16,11,8,1.7755194352014447,"[8, 8, 4]",rainbow,1.7755194352014447
41,"[8, 8, 3]",rainbow,16,11,8,1.7835588711807395,"[8, 8, 3]",rainbow,1.7835588711807395
42,"[8, 8, 2]",rainbow,16,11,8,1.8403224675384489,"[8, 8, 2]",rainbow,1.8403224675384489
43,"[8, 7, 7]",rainbow,16,11,8,2.228553090897944,"[8, 7, 7]",rainbow,2.228553090897944
44,"[8, 7, 6]",rainbow,16,11,8,2.0440023436361594,"[8, 7, 6]",rainbow,2.0440023436361594
45,"[8, 7, 5]",rainbow,16,11,8,2.041328495064378,"[8, 7, 5]",rainbow,2.041328495064378
46,"[8, 7, 4]",rainbow,16,11,8,2.060152477960797,"[8, 7, 4]",rainbow,2.060152477960797
47,"[8, 7, 3]",rainbow,16,11,8,1.9764085241156484,"[8, 7, 3]",rainbow,1.9764085241156484
48,"[8, 7, 2]",rainbow,16,11,8,2.0340931696438465,"[8, 7, 2]",rainbow,2.0340931696438465
49,"[8, 6, 6]",rainbow,16,11,8,2.1634517333129395,"[8, 6, 6]",rainbow,2.1634517333129395
50,"[8, 6, 5]",rainbow,16,11,8,2.0094760701896144,"[8, 6, 5]",rainbow,2.0094760701896144
51,"[8, 6, 4]",rainbow,16,11,8,2.0231196596993994,"[8, 6, 4]",rainbow,2.0231196596993994
52,"[8, 6, 3]",rainbow,16,11,8,1.9301425248924584,"[8, 6, 3]",rainbow,1.9301425248924584
53,"[8, 6, 2]",rainbow,16,11,8,1.9765849018196924,"[8, 6, 2]",rainbow,1.9765849018196924
54,"[8, 5, 5]",rainbow,16,11,8,2.0919782644519143,"[8, 5, 5]",rainbow,2.0919782644519143
55,"[8, 5, 4]",rainbow,16,11,8,2.0553580901861337,"[8, 5, 4]",rainbow,2.0553580901861337
56,"[8, 5, 3]",rainbow,16,11,8,1.9544371310924895,"[8, 5, 3]",rainbow,1.9544371310924895
57,"[8, 5, 2]",rainbow,16,11,8,1.957326461128692,"[8, 5, 2]",rainbow,1.957326461128692
58,"[8, 4, 4]",rainbow,16,11,8,2.111625333868039,"[8, 4, 4]",rainbow,2.111625333868039
59,"[8, 4, 3]",rainbow,16,11,8,2.0150687870294446,"[8, 4, 3]",rainbow,2.0150687870294446
60,"[8, 4, 2]",rainbow,16,11,8,2.0165236218487395,"[8, 4, 2]",rainbow,2.0165236218487395
61,"[8, 3, 3]",rainbow,16,11,8,2.078471126790702,"[8, 3, 3]",rainbow,2.078471126790702
62,"[8, 3, 2]",rainbow,16,11,8,2.0876842936742785,"[8, 3, 2]",rainbow,2.0876842936742785
63,"[8, 2, 2]",rainbow,16,11,8,2.109104739222757,"[8, 2, 2]",rainbow,2.109104739222757
64,"[7, 7, 7]",rainbow,16,11,8,2.1076959871555343,"[7, 7, 7]",rainbow,2.1076959871555343
65,"[7, 7, 6]",rainbow,16,11,8,2.0096267410415942,"[7, 7, 6]",rainbow,2.0096267410415942
