,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,1.4061227504222755,"[9, 9, 9]",rainbow,1.4061227504222755
1,"[9, 9, 8]",rainbow,1,1,1,0.6916206972384302,"[9, 9, 8]",rainbow,0.6916206972384302
2,"[9, 9, 7]",rainbow,1,1,1,0.7948418057076507,"[9, 9, 7]",rainbow,0.7948418057076507
3,"[9, 9, 6]",rainbow,15,10,7,0.9405952643001936,"[9, 9, 6]",rainbow,0.9405952643001936
4,"[9, 9, 5]",rainbow,15,10,7,0.935270745462808,"[9, 9, 5]",rainbow,0.935270745462808
5,"[9, 9, 4]",rainbow,15,10,7,1.369808701146596,"[9, 9, 4]",rainbow,1.369808701146596
6,"[9, 9, 3]",rainbow,15,10,7,1.3802824023154443,"[9, 9, 3]",rainbow,1.3802824023154443
7,"[9, 9, 2]",rainbow,15,10,7,1.3777093286795277,"[9, 9, 2]",rainbow,1.3777093286795277
8,"[9, 8, 8]",rainbow,8,6,4,0.5431946334504808,"[9, 8, 8]",rainbow,0.5431946334504808
9,"[9, 8, 7]",rainbow,2,2,2,0.7405651999298605,"[9, 8, 7]",rainbow,0.7405651999298605
10,"[9, 8, 6]",rainbow,2,2,2,0.839440034273379,"[9, 8, 6]",rainbow,0.839440034273379
11,"[9, 8, 5]",rainbow,8,6,4,0.527539649966282,"[9, 8, 5]",rainbow,0.527539649966282
12,"[9, 8, 4]",rainbow,1,1,1,0.5962678709697178,"[9, 8, 4]",rainbow,0.5962678709697178
13,"[9, 8, 3]",rainbow,1,1,1,0.5838135968982772,"[9, 8, 3]",rainbow,0.5838135968982772
14,"[9, 8, 2]",rainbow,1,1,1,0.5383020149911566,"[9, 8, 2]",rainbow,0.5383020149911566
15,"[9, 7, 7]",rainbow,15,10,7,0.6409942366577459,"[9, 7, 7]",rainbow,0.6409942366577459
16,"[9, 7, 6]",rainbow,8,6,4,0.5866727829056699,"[9, 7, 6]",rainbow,0.5866727829056699
17,"[9, 7, 5]",rainbow,1,1,1,0.6450177388554232,"[9, 7, 5]",rainbow,0.6450177388554232
18,"[9, 7, 4]",rainbow,1,1,1,0.6293785468329399,"[9, 7, 4]",rainbow,0.6293785468329399
19,"[9, 7, 3]",rainbow,1,1,1,0.6341646196625353,"[9, 7, 3]",rainbow,0.6341646196625353
20,"[9, 7, 2]",rainbow,1,1,1,0.5846294679358044,"[9, 7, 2]",rainbow,0.5846294679358044
21,"[9, 6, 6]",rainbow,15,10,7,1.0171664064537134,"[9, 6, 6]",rainbow,1.0171664064537134
22,"[9, 6, 5]",rainbow,1,1,1,0.4628826654325218,"[9, 6, 5]",rainbow,0.4628826654325218
23,"[9, 6, 4]",rainbow,10,7,5,0.7991499991673588,"[9, 6, 4]",rainbow,0.7991499991673588
24,"[9, 6, 3]",rainbow,10,7,5,0.8103781224542775,"[9, 6, 3]",rainbow,0.8103781224542775
25,"[9, 6, 2]",rainbow,10,7,5,0.7167563039889988,"[9, 6, 2]",rainbow,0.7167563039889988
26,"[9, 5, 5]",rainbow,15,10,7,1.2104870560976035,"[9, 5, 5]",rainbow,1.2104870560976035
27,"[9, 5, 4]",rainbow,10,7,5,0.9264436638777069,"[9, 5, 4]",rainbow,0.9264436638777069
28,"[9, 5, 3]",rainbow,10,7,5,0.9499237958261816,"[9, 5, 3]",rainbow,0.9499237958261816
29,"[9, 5, 2]",rainbow,10,7,5,0.9040962528132296,"[9, 5, 2]",rainbow,0.9040962528132296
30,"[9, 4, 4]",rainbow,15,10,7,1.4899624736044623,"[9, 4, 4]",rainbow,1.4899624736044623
31,"[9, 4, 3]",rainbow,15,10,7,1.024849381454512,"[9, 4, 3]",rainbow,1.024849381454512
32,"[9, 4, 2]",rainbow,15,10,7,1.086743638891887,"[9, 4, 2]",rainbow,1.086743638891887
33,"[9, 3, 3]",rainbow,15,10,7,1.4474622034184914,"[9, 3, 3]",rainbow,1.4474622034184914
34,"[9, 3, 2]",rainbow,15,10,7,1.0894442120783845,"[9, 3, 2]",rainbow,1.0894442120783845
35,"[9, 2, 2]",rainbow,15,10,7,1.3045555054114522,"[9, 2, 2]",rainbow,1.3045555054114522
36,"[8, 8, 8]",rainbow,16,11,8,1.3467518064952313,"[8, 8, 8]",rainbow,1.3467518064952313
37,"[8, 8, 7]",rainbow,15,10,7,0.6947327480924951,"[8, 8, 7]",rainbow,0.6947327480924951
38,"[8, 8, 6]",rainbow,15,10,7,0.9057158017563764,"[8, 8, 6]",rainbow,0.9057158017563764
39,"[8, 8, 5]",rainbow,15,10,7,1.06507121161947,"[8, 8, 5]",rainbow,1.06507121161947
40,"[8, 8, 4]",rainbow,16,11,8,1.1613623289971242,"[8, 8, 4]",rainbow,1.1613623289971242
41,"[8, 8, 3]",rainbow,16,11,8,1.2623309280695825,"[8, 8, 3]",rainbow,1.2623309280695825
42,"[8, 8, 2]",rainbow,16,11,8,1.260813517261049,"[8, 8, 2]",rainbow,1.260813517261049
43,"[8, 7, 7]",rainbow,15,10,7,0.6007194644319446,"[8, 7, 7]",rainbow,0.6007194644319446
44,"[8, 7, 6]",rainbow,8,6,4,0.7548871897061337,"[8, 7, 6]",rainbow,0.7548871897061337
45,"[8, 7, 5]",rainbow,8,6,4,0.8874572720093654,"[8, 7, 5]",rainbow,0.8874572720093654
46,"[8, 7, 4]",rainbow,8,6,4,0.5889620458306576,"[8, 7, 4]",rainbow,0.5889620458306576
47,"[8, 7, 3]",rainbow,8,6,4,0.5884263299629791,"[8, 7, 3]",rainbow,0.5884263299629791
48,"[8, 7, 2]",rainbow,8,6,4,0.4944296677909897,"[8, 7, 2]",rainbow,0.4944296677909897
49,"[8, 6, 6]",rainbow,15,10,7,1.029650095978065,"[8, 6, 6]",rainbow,1.029650095978065
50,"[8, 6, 5]",rainbow,8,6,4,0.5336117906719351,"[8, 6, 5]",rainbow,0.5336117906719351
51,"[8, 6, 4]",rainbow,8,6,4,0.5236493071464916,"[8, 6, 4]",rainbow,0.5236493071464916
