,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,10,7,5,6.445353943262413,"[9, 9, 9]",rainbow,6.445353943262413
1,"[9, 9, 8]",rainbow,16,11,8,5.295629672727274,"[9, 9, 8]",rainbow,5.295629672727274
2,"[9, 9, 7]",rainbow,10,7,5,5.570261181818184,"[9, 9, 7]",rainbow,5.570261181818184
3,"[9, 9, 6]",rainbow,16,11,8,6.100173714285715,"[9, 9, 6]",rainbow,6.100173714285715
4,"[9, 9, 5]",rainbow,2,2,2,6.097596522796353,"[9, 9, 5]",rainbow,6.097596522796353
5,"[9, 9, 4]",rainbow,15,10,7,6.097875331306993,"[9, 9, 4]",rainbow,6.097875331306993
6,"[9, 9, 3]",rainbow,4,3,2,6.1013818844984815,"[9, 9, 3]",rainbow,6.1013818844984815
7,"[9, 9, 2]",rainbow,1,1,1,6.095705629179332,"[9, 9, 2]",rainbow,6.095705629179332
8,"[9, 8, 8]",rainbow,10,7,5,5.269094740909093,"[9, 8, 8]",rainbow,5.269094740909093
9,"[9, 8, 7]",rainbow,10,7,5,3.8342411707317066,"[9, 8, 7]",rainbow,3.8342411707317066
10,"[9, 8, 6]",rainbow,10,7,5,5.153542097727274,"[9, 8, 6]",rainbow,5.153542097727274
11,"[9, 8, 5]",rainbow,1,1,1,5.208211350000001,"[9, 8, 5]",rainbow,5.208211350000001
12,"[9, 8, 4]",rainbow,2,2,2,5.181955193181818,"[9, 8, 4]",rainbow,5.181955193181818
13,"[9, 8, 3]",rainbow,15,10,7,5.184568261363637,"[9, 8, 3]",rainbow,5.184568261363637
14,"[9, 8, 2]",rainbow,15,10,7,5.182754147727274,"[9, 8, 2]",rainbow,5.182754147727274
15,"[9, 7, 7]",rainbow,8,6,4,5.544707713636365,"[9, 7, 7]",rainbow,5.544707713636365
16,"[9, 7, 6]",rainbow,2,2,2,5.429766695454546,"[9, 7, 6]",rainbow,5.429766695454546
17,"[9, 7, 5]",rainbow,1,1,1,5.479435275,"[9, 7, 5]",rainbow,5.479435275
18,"[9, 7, 4]",rainbow,15,10,7,5.455154120454546,"[9, 7, 4]",rainbow,5.455154120454546
19,"[9, 7, 3]",rainbow,8,6,4,5.4579369545454535,"[9, 7, 3]",rainbow,5.4579369545454535
20,"[9, 7, 2]",rainbow,1,1,1,5.452631018181819,"[9, 7, 2]",rainbow,5.452631018181819
21,"[9, 6, 6]",rainbow,15,10,7,5.862412518477045,"[9, 6, 6]",rainbow,5.862412518477045
22,"[9, 6, 5]",rainbow,1,1,1,5.932122904255318,"[9, 6, 5]",rainbow,5.932122904255318
23,"[9, 6, 4]",rainbow,1,1,1,5.938017033594623,"[9, 6, 4]",rainbow,5.938017033594623
24,"[9, 6, 3]",rainbow,10,7,5,5.934917969764839,"[9, 6, 3]",rainbow,5.934917969764839
25,"[9, 6, 2]",rainbow,16,11,8,5.929309629339304,"[9, 6, 2]",rainbow,5.929309629339304
