,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,15,10,7,4.63320612244898,"[9, 9, 9]",rainbow,4.63320612244898
1,"[9, 9, 8]",rainbow,1,1,1,3.418244435579515,"[9, 9, 8]",rainbow,3.418244435579515
2,"[9, 9, 7]",rainbow,15,10,7,3.62264606361186,"[9, 9, 7]",rainbow,3.62264606361186
3,"[9, 9, 6]",rainbow,10,7,5,4.119941448979594,"[9, 9, 6]",rainbow,4.119941448979594
4,"[9, 9, 5]",rainbow,2,2,2,4.6320271538961055,"[9, 9, 5]",rainbow,4.6320271538961055
5,"[9, 9, 4]",rainbow,10,7,5,4.629400326623378,"[9, 9, 4]",rainbow,4.629400326623378
6,"[9, 9, 3]",rainbow,1,1,1,4.6302065883116885,"[9, 9, 3]",rainbow,4.6302065883116885
7,"[9, 9, 2]",rainbow,8,6,4,4.632367087012988,"[9, 9, 2]",rainbow,4.632367087012988
8,"[9, 8, 8]",rainbow,16,11,8,4.056034063865549,"[9, 8, 8]",rainbow,4.056034063865549
9,"[9, 8, 7]",rainbow,15,10,7,2.6303289142857142,"[9, 8, 7]",rainbow,2.6303289142857142
10,"[9, 8, 6]",rainbow,10,7,5,3.761991779220778,"[9, 8, 6]",rainbow,3.761991779220778
11,"[9, 8, 5]",rainbow,2,2,2,4.424690695347592,"[9, 8, 5]",rainbow,4.424690695347592
12,"[9, 8, 4]",rainbow,1,1,1,4.437590078823528,"[9, 8, 4]",rainbow,4.437590078823528
13,"[9, 8, 3]",rainbow,15,10,7,4.443383322352941,"[9, 8, 3]",rainbow,4.443383322352941
14,"[9, 8, 2]",rainbow,1,1,1,4.437936357112298,"[9, 8, 2]",rainbow,4.437936357112298
15,"[9, 7, 7]",rainbow,3,2,2,4.2569207697479,"[9, 7, 7]",rainbow,4.2569207697479
16,"[9, 7, 6]",rainbow,8,6,4,4.119231779220779,"[9, 7, 6]",rainbow,4.119231779220779
17,"[9, 7, 5]",rainbow,15,10,7,4.7543163344919765,"[9, 7, 5]",rainbow,4.7543163344919765
18,"[9, 7, 4]",rainbow,8,6,4,4.766076413262031,"[9, 7, 4]",rainbow,4.766076413262031
19,"[9, 7, 3]",rainbow,3,2,2,4.772096457433153,"[9, 7, 3]",rainbow,4.772096457433153
20,"[9, 7, 2]",rainbow,3,2,2,4.688249656684491,"[9, 7, 2]",rainbow,4.688249656684491
21,"[9, 6, 6]",rainbow,1,1,1,4.599321542857143,"[9, 6, 6]",rainbow,4.599321542857143
22,"[9, 6, 5]",rainbow,8,6,4,5.1408016927272735,"[9, 6, 5]",rainbow,5.1408016927272735
23,"[9, 6, 4]",rainbow,2,2,2,5.171620934545453,"[9, 6, 4]",rainbow,5.171620934545453
24,"[9, 6, 3]",rainbow,16,11,8,5.173279829090908,"[9, 6, 3]",rainbow,5.173279829090908
25,"[9, 6, 2]",rainbow,2,2,2,5.10443717090909,"[9, 6, 2]",rainbow,5.10443717090909
26,"[9, 5, 5]",rainbow,10,7,5,5.7143533333333325,"[9, 5, 5]",rainbow,5.7143533333333325
27,"[9, 5, 4]",rainbow,2,2,2,6.391755888888887,"[9, 5, 4]",rainbow,6.391755888888887
28,"[9, 5, 3]",rainbow,10,7,5,6.400643555555553,"[9, 5, 3]",rainbow,6.400643555555553
29,"[9, 5, 2]",rainbow,16,11,8,6.358466499999999,"[9, 5, 2]",rainbow,6.358466499999999
30,"[9, 4, 4]",rainbow,1,1,1,5.717008511111112,"[9, 4, 4]",rainbow,5.717008511111112
31,"[9, 4, 3]",rainbow,10,7,5,6.392236888888887,"[9, 4, 3]",rainbow,6.392236888888887
32,"[9, 4, 2]",rainbow,8,6,4,6.357732722222222,"[9, 4, 2]",rainbow,6.357732722222222
33,"[9, 3, 3]",rainbow,8,6,4,5.728489340740743,"[9, 3, 3]",rainbow,5.728489340740743
34,"[9, 3, 2]",rainbow,15,10,7,6.357623666666666,"[9, 3, 2]",rainbow,6.357623666666666
35,"[9, 2, 2]",rainbow,1,1,1,5.732571533333335,"[9, 2, 2]",rainbow,5.732571533333335
36,"[8, 8, 8]",rainbow,8,6,4,5.30785512,"[8, 8, 8]",rainbow,5.30785512
37,"[8, 8, 7]",rainbow,10,7,5,4.172218285714286,"[8, 8, 7]",rainbow,4.172218285714286
38,"[8, 8, 6]",rainbow,16,11,8,4.797958747012989,"[8, 8, 6]",rainbow,4.797958747012989
39,"[8, 8, 5]",rainbow,10,7,5,5.394299779041322,"[8, 8, 5]",rainbow,5.394299779041322
40,"[8, 8, 4]",rainbow,3,2,2,5.407773514512397,"[8, 8, 4]",rainbow,5.407773514512397
41,"[8, 8, 3]",rainbow,15,10,7,5.377417902545455,"[8, 8, 3]",rainbow,5.377417902545455
42,"[8, 8, 2]",rainbow,16,11,8,5.378341138909091,"[8, 8, 2]",rainbow,5.378341138909091
43,"[8, 7, 7]",rainbow,8,6,4,4.158044828571429,"[8, 7, 7]",rainbow,4.158044828571429
44,"[8, 7, 6]",rainbow,15,10,7,3.6904098857142853,"[8, 7, 6]",rainbow,3.6904098857142853
45,"[8, 7, 5]",rainbow,8,6,4,4.836880551818182,"[8, 7, 5]",rainbow,4.836880551818182
46,"[8, 7, 4]",rainbow,10,7,5,4.935788841818182,"[8, 7, 4]",rainbow,4.935788841818182
47,"[8, 7, 3]",rainbow,8,6,4,4.622346629999999,"[8, 7, 3]",rainbow,4.622346629999999
48,"[8, 7, 2]",rainbow,10,7,5,4.625292869999999,"[8, 7, 2]",rainbow,4.625292869999999
49,"[8, 6, 6]",rainbow,1,1,1,4.6600470483116885,"[8, 6, 6]",rainbow,4.6600470483116885
50,"[8, 6, 5]",rainbow,2,2,2,5.3557074798842965,"[8, 6, 5]",rainbow,5.3557074798842965
51,"[8, 6, 4]",rainbow,1,1,1,5.476859871123967,"[8, 6, 4]",rainbow,5.476859871123967
52,"[8, 6, 3]",rainbow,3,2,2,5.213047538181818,"[8, 6, 3]",rainbow,5.213047538181818
53,"[8, 6, 2]",rainbow,10,7,5,5.209628086512397,"[8, 6, 2]",rainbow,5.209628086512397
54,"[8, 5, 5]",rainbow,8,6,4,5.887524731313134,"[8, 5, 5]",rainbow,5.887524731313134
55,"[8, 5, 4]",rainbow,2,2,2,6.5063407121212125,"[8, 5, 4]",rainbow,6.5063407121212125
56,"[8, 5, 3]",rainbow,1,1,1,6.525496724242423,"[8, 5, 3]",rainbow,6.525496724242423
57,"[8, 5, 2]",rainbow,8,6,4,6.5197342969696965,"[8, 5, 2]",rainbow,6.5197342969696965
58,"[8, 4, 4]",rainbow,10,7,5,5.903263760404041,"[8, 4, 4]",rainbow,5.903263760404041
59,"[8, 4, 3]",rainbow,8,6,4,6.534669366666666,"[8, 4, 3]",rainbow,6.534669366666666
60,"[8, 4, 2]",rainbow,3,2,2,6.5407180303030295,"[8, 4, 2]",rainbow,6.5407180303030295
61,"[8, 3, 3]",rainbow,1,1,1,5.872953480404041,"[8, 3, 3]",rainbow,5.872953480404041
62,"[8, 3, 2]",rainbow,15,10,7,6.498093590909091,"[8, 3, 2]",rainbow,6.498093590909091
63,"[8, 2, 2]",rainbow,2,2,2,5.876046450909091,"[8, 2, 2]",rainbow,5.876046450909091
