,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,15,10,7,2.6182380517264727,"[9, 9, 9]",rainbow,2.6182380517264727
1,"[9, 9, 8]",rainbow,15,10,7,2.846596684857572,"[9, 9, 8]",rainbow,2.846596684857572
2,"[9, 9, 7]",rainbow,15,10,7,2.5822135572110287,"[9, 9, 7]",rainbow,2.5822135572110287
3,"[9, 9, 6]",rainbow,15,10,7,2.055345870972856,"[9, 9, 6]",rainbow,2.055345870972856
4,"[9, 9, 5]",rainbow,16,11,8,2.068043232534753,"[9, 9, 5]",rainbow,2.068043232534753
5,"[9, 9, 4]",rainbow,15,10,7,2.1304032277551017,"[9, 9, 4]",rainbow,2.1304032277551017
6,"[9, 9, 3]",rainbow,15,10,7,2.12898028489796,"[9, 9, 3]",rainbow,2.12898028489796
7,"[9, 9, 2]",rainbow,16,11,8,2.132820373469388,"[9, 9, 2]",rainbow,2.132820373469388
8,"[9, 8, 8]",rainbow,16,11,8,3.036701857227408,"[9, 8, 8]",rainbow,3.036701857227408
9,"[9, 8, 7]",rainbow,15,10,7,3.4229467231949355,"[9, 8, 7]",rainbow,3.4229467231949355
10,"[9, 8, 6]",rainbow,15,10,7,2.8961406970108703,"[9, 8, 6]",rainbow,2.8961406970108703
11,"[9, 8, 5]",rainbow,16,11,8,2.760244631465711,"[9, 8, 5]",rainbow,2.760244631465711
12,"[9, 8, 4]",rainbow,16,11,8,2.7463272751358705,"[9, 8, 4]",rainbow,2.7463272751358705
13,"[9, 8, 3]",rainbow,16,11,8,2.7477018561594218,"[9, 8, 3]",rainbow,2.7477018561594218
14,"[9, 8, 2]",rainbow,16,11,8,2.746369582540762,"[9, 8, 2]",rainbow,2.746369582540762
15,"[9, 7, 7]",rainbow,15,10,7,2.78330439416476,"[9, 7, 7]",rainbow,2.78330439416476
16,"[9, 7, 6]",rainbow,16,11,8,2.8755797172894018,"[9, 7, 6]",rainbow,2.8755797172894018
17,"[9, 7, 5]",rainbow,15,10,7,2.80486974652174,"[9, 7, 5]",rainbow,2.80486974652174
18,"[9, 7, 4]",rainbow,15,10,7,2.7179362916440226,"[9, 7, 4]",rainbow,2.7179362916440226
19,"[9, 7, 3]",rainbow,16,11,8,2.7172721673913047,"[9, 7, 3]",rainbow,2.7172721673913047
20,"[9, 7, 2]",rainbow,15,10,7,2.7249461671875013,"[9, 7, 2]",rainbow,2.7249461671875013
21,"[9, 6, 6]",rainbow,16,11,8,2.357720997491497,"[9, 6, 6]",rainbow,2.357720997491497
22,"[9, 6, 5]",rainbow,16,11,8,2.318930393469389,"[9, 6, 5]",rainbow,2.318930393469389
23,"[9, 6, 4]",rainbow,15,10,7,2.3287010497197853,"[9, 6, 4]",rainbow,2.3287010497197853
24,"[9, 6, 3]",rainbow,15,10,7,2.32862354431638,"[9, 6, 3]",rainbow,2.32862354431638
25,"[9, 6, 2]",rainbow,16,11,8,2.327270447351169,"[9, 6, 2]",rainbow,2.327270447351169
26,"[9, 5, 5]",rainbow,16,11,8,2.384049784388808,"[9, 5, 5]",rainbow,2.384049784388808
27,"[9, 5, 4]",rainbow,16,11,8,2.3270030678729228,"[9, 5, 4]",rainbow,2.3270030678729228
28,"[9, 5, 3]",rainbow,16,11,8,2.330144771554808,"[9, 5, 3]",rainbow,2.330144771554808
29,"[9, 5, 2]",rainbow,15,10,7,2.3475199091100363,"[9, 5, 2]",rainbow,2.3475199091100363
30,"[9, 4, 4]",rainbow,16,11,8,2.4375855968507203,"[9, 4, 4]",rainbow,2.4375855968507203
31,"[9, 4, 3]",rainbow,16,11,8,2.3856912072723513,"[9, 4, 3]",rainbow,2.3856912072723513
32,"[9, 4, 2]",rainbow,16,11,8,2.4039985350461,"[9, 4, 2]",rainbow,2.4039985350461
33,"[9, 3, 3]",rainbow,15,10,7,2.4363825038848033,"[9, 3, 3]",rainbow,2.4363825038848033
34,"[9, 3, 2]",rainbow,15,10,7,2.4017148225007774,"[9, 3, 2]",rainbow,2.4017148225007774
35,"[9, 2, 2]",rainbow,16,11,8,2.4385359015642805,"[9, 2, 2]",rainbow,2.4385359015642805
36,"[8, 8, 8]",rainbow,16,11,8,3.0799583632653063,"[8, 8, 8]",rainbow,3.0799583632653063
37,"[8, 8, 7]",rainbow,16,11,8,3.22237063252174,"[8, 8, 7]",rainbow,3.22237063252174
