,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,16,11,8,2.551484474998669,"[9, 9, 9]",rainbow,2.551484474998669
1,"[9, 9, 8]",rainbow,15,10,7,2.4294398189046653,"[9, 9, 8]",rainbow,2.4294398189046653
2,"[9, 9, 7]",rainbow,15,10,7,2.2602444776413204,"[9, 9, 7]",rainbow,2.2602444776413204
3,"[9, 9, 6]",rainbow,16,11,8,2.2822311223752543,"[9, 9, 6]",rainbow,2.2822311223752543
4,"[9, 9, 5]",rainbow,16,11,8,2.1640679799123697,"[9, 9, 5]",rainbow,2.1640679799123697
5,"[9, 9, 4]",rainbow,16,11,8,1.9564658004494384,"[9, 9, 4]",rainbow,1.9564658004494384
6,"[9, 9, 3]",rainbow,16,11,8,1.9562619370786518,"[9, 9, 3]",rainbow,1.9562619370786518
7,"[9, 9, 2]",rainbow,16,11,8,1.9582535546067417,"[9, 9, 2]",rainbow,1.9582535546067417
8,"[9, 8, 8]",rainbow,16,11,8,2.6592778419556518,"[9, 8, 8]",rainbow,2.6592778419556518
9,"[9, 8, 7]",rainbow,16,11,8,3.344348151972929,"[9, 8, 7]",rainbow,3.344348151972929
10,"[9, 8, 6]",rainbow,15,10,7,2.9903246884300603,"[9, 8, 6]",rainbow,2.9903246884300603
11,"[9, 8, 5]",rainbow,15,10,7,2.6710458068826157,"[9, 8, 5]",rainbow,2.6710458068826157
12,"[9, 8, 4]",rainbow,16,11,8,2.143426418980136,"[9, 8, 4]",rainbow,2.143426418980136
13,"[9, 8, 3]",rainbow,15,10,7,2.143215697105136,"[9, 8, 3]",rainbow,2.143215697105136
14,"[9, 8, 2]",rainbow,16,11,8,2.1414847326187023,"[9, 8, 2]",rainbow,2.1414847326187023
15,"[9, 7, 7]",rainbow,16,11,8,2.4258743145654837,"[9, 7, 7]",rainbow,2.4258743145654837
16,"[9, 7, 6]",rainbow,16,11,8,2.957186197794118,"[9, 7, 6]",rainbow,2.957186197794118
17,"[9, 7, 5]",rainbow,16,11,8,2.708037812325582,"[9, 7, 5]",rainbow,2.708037812325582
18,"[9, 7, 4]",rainbow,16,11,8,2.0897105510955463,"[9, 7, 4]",rainbow,2.0897105510955463
