,flop,board_type,0b,1b,2b,profit,flop,board_type,max_profit
0,"[9, 9, 9]",rainbow,1,1,1,0.07104926213285412,"[9, 9, 9]",rainbow,0.07104926213285412
1,"[9, 9, 8]",rainbow,1,1,1,1.0856464189804669,"[9, 9, 8]",rainbow,1.0856464189804669
2,"[9, 9, 7]",rainbow,1,1,1,0.8765672480816623,"[9, 9, 7]",rainbow,0.8765672480816623
3,"[9, 9, 6]",rainbow,3,2,2,0.1165103598526997,"[9, 9, 6]",rainbow,0.1165103598526997
4,"[9, 9, 5]",rainbow,1,1,1,0.22355903462995425,"[9, 9, 5]",rainbow,0.22355903462995425
5,"[9, 9, 4]",rainbow,1,1,1,0.139841528915505,"[9, 9, 4]",rainbow,0.139841528915505
6,"[9, 9, 3]",rainbow,1,1,1,0.13663467004790947,"[9, 9, 3]",rainbow,0.13663467004790947
7,"[9, 9, 2]",rainbow,1,1,1,0.14131269443379785,"[9, 9, 2]",rainbow,0.14131269443379785
8,"[9, 8, 8]",rainbow,1,1,1,1.2899696913750345,"[9, 8, 8]",rainbow,1.2899696913750345
9,"[9, 8, 7]",rainbow,2,2,2,3.49829291609007,"[9, 8, 7]",rainbow,3.49829291609007
10,"[9, 8, 6]",rainbow,1,1,1,1.4797534800031331,"[9, 8, 6]",rainbow,1.4797534800031331
11,"[9, 8, 5]",rainbow,1,1,1,1.2080609705914267,"[9, 8, 5]",rainbow,1.2080609705914267
12,"[9, 8, 4]",rainbow,1,1,1,1.6664136054276308,"[9, 8, 4]",rainbow,1.6664136054276308
13,"[9, 8, 3]",rainbow,1,1,1,1.6690627044078945,"[9, 8, 3]",rainbow,1.6690627044078945
14,"[9, 8, 2]",rainbow,1,1,1,1.6679085087499996,"[9, 8, 2]",rainbow,1.6679085087499996
15,"[9, 7, 7]",rainbow,2,2,2,0.9334867127406176,"[9, 7, 7]",rainbow,0.9334867127406176
16,"[9, 7, 6]",rainbow,1,1,1,1.5353628731124684,"[9, 7, 6]",rainbow,1.5353628731124684
17,"[9, 7, 5]",rainbow,1,1,1,1.487371481781376,"[9, 7, 5]",rainbow,1.487371481781376
18,"[9, 7, 4]",rainbow,1,1,1,1.4707808301236038,"[9, 7, 4]",rainbow,1.4707808301236038
19,"[9, 7, 3]",rainbow,1,1,1,1.4691338656499198,"[9, 7, 3]",rainbow,1.4691338656499198
20,"[9, 7, 2]",rainbow,2,2,2,1.4869658429525514,"[9, 7, 2]",rainbow,1.4869658429525514
21,"[9, 6, 6]",rainbow,1,1,1,0.5668619876936387,"[9, 6, 6]",rainbow,0.5668619876936387
22,"[9, 6, 5]",rainbow,2,2,2,0.43162947890348136,"[9, 6, 5]",rainbow,0.43162947890348136
23,"[9, 6, 4]",rainbow,2,2,2,0.7682855271928372,"[9, 6, 4]",rainbow,0.7682855271928372
24,"[9, 6, 3]",rainbow,2,2,2,0.7692083925133374,"[9, 6, 3]",rainbow,0.7692083925133374
25,"[9, 6, 2]",rainbow,3,2,2,0.7718483649131863,"[9, 6, 2]",rainbow,0.7718483649131863
26,"[9, 5, 5]",rainbow,1,1,1,0.7942595743746638,"[9, 5, 5]",rainbow,0.7942595743746638
27,"[9, 5, 4]",rainbow,2,2,2,0.8098018064035741,"[9, 5, 4]",rainbow,0.8098018064035741
28,"[9, 5, 3]",rainbow,3,2,2,0.8131884845779465,"[9, 5, 3]",rainbow,0.8131884845779465
29,"[9, 5, 2]",rainbow,2,2,2,0.898362461070527,"[9, 5, 2]",rainbow,0.898362461070527
30,"[9, 4, 4]",rainbow,2,2,2,0.6888662965547516,"[9, 4, 4]",rainbow,0.6888662965547516
31,"[9, 4, 3]",rainbow,1,1,1,0.8437974901128877,"[9, 4, 3]",rainbow,0.8437974901128877
32,"[9, 4, 2]",rainbow,1,1,1,0.7294273199662548,"[9, 4, 2]",rainbow,0.7294273199662548
33,"[9, 3, 3]",rainbow,2,2,2,0.6923422876900746,"[9, 3, 3]",rainbow,0.6923422876900746
34,"[9, 3, 2]",rainbow,2,2,2,0.7321813837027908,"[9, 3, 2]",rainbow,0.7321813837027908
35,"[9, 2, 2]",rainbow,1,1,1,0.6896854241021086,"[9, 2, 2]",rainbow,0.6896854241021086
36,"[8, 8, 8]",rainbow,8,6,4,0.8024445465387777,"[8, 8, 8]",rainbow,0.8024445465387777
37,"[8, 8, 7]",rainbow,1,1,1,1.5024525762474223,"[8, 8, 7]",rainbow,1.5024525762474223
38,"[8, 8, 6]",rainbow,8,6,4,1.0013434230916436,"[8, 8, 6]",rainbow,1.0013434230916436
39,"[8, 8, 5]",rainbow,8,6,4,0.9410450665533602,"[8, 8, 5]",rainbow,0.9410450665533602
40,"[8, 8, 4]",rainbow,8,6,4,1.0802256359990583,"[8, 8, 4]",rainbow,1.0802256359990583
41,"[8, 8, 3]",rainbow,8,6,4,0.9008308484968568,"[8, 8, 3]",rainbow,0.9008308484968568
42,"[8, 8, 2]",rainbow,8,6,4,0.8978640195274167,"[8, 8, 2]",rainbow,0.8978640195274167
43,"[8, 7, 7]",rainbow,2,2,2,1.4977434991861096,"[8, 7, 7]",rainbow,1.4977434991861096
